AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
32.188,63.580,162.710,113.230,82.440,22.077,84.950,87.330,111.000,137.440,62.100,41.260,30.500,122.420,53.020,111.300,48.390,159.670,118.000,174.290,78.580,230.670,95.110,36.520,76.760,163.970,175.170,116.540,180.900,81.040
32.133,63.170,160.760,113.570,82.300,22.233,84.590,87.760,112.210,136.950,64.180,41.400,31.180,123.220,52.800,110.610,48.280,159.580,117.990,174.580,80.130,230.410,93.770,36.680,76.510,162.260,174.180,117.630,179.580,80.590
32.270,63.680,161.870,113.640,86.080,22.167,87.180,87.410,113.570,137.980,64.290,41.540,31.320,124.240,52.360,110.300,48.580,167.530,119.190,175.820,80.210,240.950,93.280,36.520,78.040,162.400,175.040,117.780,180.630,80.470
32.572,63.640,160.510,113.400,85.830,22.133,86.770,87.400,112.980,136.490,64.940,41.560,31.300,124.450,52.800,109.570,48.030,166.580,119.340,175.860,79.750,239.980,92.870,36.270,77.820,163.980,175.100,117.670,180.060,80.800
32.883,63.430,160.530,113.480,85.780,22.297,86.720,88.010,111.390,136.650,64.200,41.900,31.450,124.590,52.810,109.000,48.040,166.820,119.720,178.460,80.210,239.620,93.310,36.350,77.720,166.500,175.760,117.760,179.370,81.430
33.010,63.340,160.310,113.400,85.090,22.603,85.960,88.330,111.580,137.880,64.320,42.020,31.270,124.670,53.880,109.000,48.370,168.120,119.730,176.170,80.700,237.730,92.910,36.380,77.800,163.810,177.070,117.810,179.190,81.530
33.105,64.060,160.440,114.080,85.580,23.027,87.200,88.670,112.260,138.710,64.390,41.250,31.500,124.480,55.310,109.490,48.810,167.470,120.660,177.210,81.030,241.550,93.960,35.460,78.180,164.280,178.180,118.780,180.780,82.380
33.030,64.000,160.750,115.240,85.900,22.673,87.000,87.970,113.050,139.850,64.150,40.580,31.510,125.820,56.220,109.260,48.980,167.890,121.850,178.680,80.640,242.720,96.310,35.340,78.480,166.230,179.000,119.730,183.570,83.310
33.322,64.720,161.990,115.880,86.440,22.590,88.150,88.310,113.910,139.870,64.770,40.620,31.970,125.540,56.090,109.650,48.550,167.660,123.620,179.360,80.910,246.270,98.500,35.800,78.910,168.030,181.020,119.710,184.680,83.430
33.755,64.570,163.130,116.360,86.850,22.887,89.560,87.860,112.520,141.360,65.660,40.530,32.310,125.810,56.450,110.330,48.270,168.050,123.620,180.130,80.920,249.460,98.090,35.930,79.410,168.500,181.600,120.240,185.160,83.790
33.877,64.530,164.290,117.200,87.540,22.897,90.590,91.120,112.570,142.190,65.160,40.440,32.820,126.480,56.640,110.180,48.080,171.790,124.280,181.680,81.670,250.540,99.020,36.050,79.600,169.300,181.700,120.980,183.300,84.250
33.836,64.520,163.650,118.080,87.410,22.957,90.530,90.790,110.680,141.540,65.260,41.200,33.600,126.700,56.290,110.710,48.460,172.110,124.160,181.430,80.820,249.440,98.260,36.410,79.510,170.810,183.410,121.790,184.230,85.650
33.930,64.620,157.620,118.860,87.460,23.123,90.230,91.090,110.330,143.000,65.390,41.230,33.740,127.800,56.750,110.060,49.190,173.290,124.560,180.670,81.470,250.380,98.850,36.480,79.710,172.710,182.950,121.950,183.780,85.860
33.930,64.620,157.620,118.860,87.460,23.123,90.230,91.090,110.330,143.000,65.390,41.230,33.740,127.800,56.750,110.060,49.190,173.290,124.560,180.670,81.470,250.380,98.850,36.480,79.710,172.710,182.950,121.950,183.780,85.860
34.175,64.490,160.570,119.660,87.920,23.817,91.010,91.670,111.720,145.020,65.480,41.460,34.130,128.040,57.360,110.010,49.430,173.140,124.710,180.260,82.180,251.760,98.100,36.520,79.970,175.560,183.370,121.550,183.660,86.410
34.278,64.360,160.570,119.520,87.800,23.903,91.060,91.440,110.380,145.250,65.290,41.600,34.090,127.850,58.240,110.120,49.670,172.610,125.040,181.150,82.080,251.730,98.200,36.070,79.860,175.360,186.040,121.900,191.010,86.290
34.133,64.620,162.600,121.700,88.180,23.770,91.130,91.130,111.020,144.710,65.850,41.660,34.040,128.270,57.390,109.730,50.310,174.010,124.820,181.650,82.070,251.190,95.550,36.180,80.050,176.860,187.190,122.360,190.110,86.990
34.165,64.620,163.060,122.730,88.430,24.130,90.330,91.050,110.120,145.950,66.160,41.780,34.320,128.650,57.860,110.320,50.600,174.560,125.030,181.350,81.780,247.350,95.480,36.530,79.760,177.440,187.410,122.270,190.650,87.610
34.233,64.230,165.380,122.400,88.000,23.913,90.430,90.890,111.750,145.300,65.850,41.670,34.260,126.990,57.690,110.230,49.940,176.130,124.890,179.400,81.540,249.330,97.440,36.510,80.170,179.430,186.910,122.040,188.730,87.220
34.248,63.980,165.380,122.210,87.940,23.643,90.620,91.070,112.500,144.910,65.870,41.960,34.180,127.650,57.160,110.090,49.630,176.530,124.500,179.820,81.350,248.060,96.660,36.200,80.060,180.230,186.350,122.240,186.780,86.380
