Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
0,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,9233
7,9432.T 4519.T 7733.T UNH MRK KO WBA ,0.03288756284999336255,21972.38145635595719795674,722.61807610993525941012,66937
8,9432.T 4519.T 7733.T UNH JNJ MRK TRV WBA ,0.05306213232000390329,24332.46862568210053723305,1291.13266988828718240256,50189
7,9432.T 4519.T 7733.T UNH JNJ MRK WBA ,0.07121582091816790194,24637.56001960613502888009,1754.58406221688392179203,49511
7,4502.T 4519.T 7733.T UNH MRK KO WBA ,0.09443926144339821749,25102.53205610532313585281,2370.66458773781505442457,72120
8,4502.T 4519.T 7733.T UNH JNJ MRK TRV WBA ,0.10451579602785367185,26183.97087669240863760933,2736.63855934764478661236,59431
7,4519.T 2914.T 7733.T UNH JNJ MRK WBA ,0.27104154474421793264,26920.96313907092189765535,7296.69943521593268087599,49389
8,4502.T 4519.T 2914.T 7733.T UNH JNJ MRK WBA ,0.26691909102398769793,31207.69846564106410369277,8329.93050739960926875938,49734
7,9432.T 4519.T 2914.T UNH MRK KO WBA ,0.32023527071794438692,31632.00242575736047001556,10129.68286016308229591232,92075
6,4519.T 2914.T 7733.T UNH MRK WBA ,0.33970048024059767977,32661.07079611346489400603,11094.98143461190375091974,49865
9,9432.T 2914.T 7733.T MSFT UNH JNJ KO TRV WBA ,0.31732298665850711128,35361.85730928312113974243,11221.13017517367916298099,17238
7,9432.T 2914.T 7733.T UNH JNJ TRV WBA ,0.50981437234967408312,35499.84227257442398695275,18098.32980670495817321353,14050
7,2914.T 4503.T 7733.T UNH JNJ TRV WBA ,0.50907497054583139562,37039.14875374960683984682,18855.70356085774983512238,10377
6,2914.T 7733.T UNH JNJ TRV WBA ,0.54965696388799112349,37179.54717515771335456520,20435.99701902752713067457,10087
6,9432.T 2914.T 7733.T UNH TRV WBA ,0.54246092600501827352,43669.26462264575820881873,23688.86972515860179555602,14704
5,2914.T 7733.T UNH TRV WBA ,0.62453553863362876175,44181.01424784096889197826,27592.61353065538423834369,11627
6,2914.T 7733.T UNH JNJ CVX WBA ,0.56877670726034590398,49240.57333095240755937994,28006.89116279071095050313,11736
7,4502.T 2914.T 7733.T UNH CVX TRV WBA ,0.55089999015279234040,51132.48457557024084962904,28168.88524916945243603550,5625
6,2914.T 7733.T UNH CVX TRV WBA ,0.58852011344077148625,51421.11507501238520490006,30262.36047719725320348516,7667
6,9432.T 2914.T 7733.T UNH CVX WBA ,0.56537924082700818929,55289.90385850849270354956,31259.76386892180016729981,12373
6,9432.T 2914.T UNH CVX KO WBA ,0.56612119891902035196,55308.86537667142692953348,31311.52117789192197960801,39735
6,2914.T 4503.T UNH CVX KO WBA ,0.56239901398774860830,57246.40842842309939442202,32195.32365448509517591447,37459
5,2914.T 7733.T UNH CVX WBA ,0.63801005449263181735,57488.48267434434092137963,36678.22996375715592876077,3828
4,2914.T 3382.T UNH WBA ,0.64501013083830549544,62027.36052645336167188361,40008.27592872242530575022,6341
5,2914.T UNH CVX TRV WBA ,0.63057919636434434096,64845.79252471463405527174,40890.40773784356133546680,4988
5,9432.T 2914.T UNH CVX WBA ,0.58316028143821629914,72171.06982754560885950923,42087.30139232865622034296,4014
5,2914.T 4503.T UNH CVX WBA ,0.58079531545828955164,74290.99928292914410121739,43147.86436424039129633456,3582
5,2914.T 5108.T UNH CVX WBA ,0.57326381552126748353,78302.63503244948515202850,44888.06732407125673489645,4682
4,2914.T UNH CVX WBA ,0.63009183893789888486,81846.66607712917902972549,51570.91633947447553509846,3528
4,8306.T 2914.T UNH WBA ,0.48813850413773551828,107875.59892950844368897378,52658.23349441255413694307,33347
3,2914.T UNH WBA ,0.49700133940256530085,109138.27427126336260698736,54241.86849290242389542982,4182
3,UNH CVX WBA ,0.47548319233765123926,114485.86734781366249080747,54436.10568408331164391711,4684
1,UNH ,0.48343861549287364676,122415.77330308499222155660,59180.51196013289154507220,6800
2,UNH WBA ,0.31289251870651096921,191317.33141092420555651188,59861.76169737235613865778,3907
1,WBA ,0.17076925586013577685,354531.09594971878686919808,60543.01143461187166394666,7919

Duration,15061
