Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,21972.38145635595719795674,722.61807610993525941012,0.03288756284999336255,7,9432.T 4519.T 7733.T UNH MRK KO WBA 
2,24332.46862568210053723305,1291.13266988828718240256,0.05306213232000390329,8,9432.T 4519.T 7733.T UNH JNJ MRK TRV WBA 
3,24637.56001960613502888009,1754.58406221688392179203,0.07121582091816790194,7,9432.T 4519.T 7733.T UNH JNJ MRK WBA 
4,25102.53205610532313585281,2370.66458773781505442457,0.09443926144339821749,7,4502.T 4519.T 7733.T UNH MRK KO WBA 
5,26183.97087669240863760933,2736.63855934764478661236,0.10451579602785367185,8,4502.T 4519.T 7733.T UNH JNJ MRK TRV WBA 
6,26920.96313907092189765535,7296.69943521593268087599,0.27104154474421793264,7,4519.T 2914.T 7733.T UNH JNJ MRK WBA 
7,29517.76782361959340050817,7427.03626396859544911422,0.25161239523083495095,8,4502.T 4519.T 2914.T 7733.T UNH MRK KO WBA 
8,31207.69846564106410369277,8329.93050739960926875938,0.26691909102398769793,8,4502.T 4519.T 2914.T 7733.T UNH JNJ MRK WBA 
9,31632.00242575736047001556,10129.68286016308229591232,0.32023527071794438692,7,9432.T 4519.T 2914.T UNH MRK KO WBA 
10,32661.07079611346489400603,11094.98143461190375091974,0.33970048024059767977,6,4519.T 2914.T 7733.T UNH MRK WBA 
11,35047.51945008294569561258,11191.76635759591772512067,0.31933119756266886702,6,4519.T 7733.T UNH CVX MRK WBA 
12,35499.84227257442398695275,18098.32980670495817321353,0.50981437234967408312,7,9432.T 2914.T 7733.T UNH JNJ TRV WBA 
13,37039.14875374960683984682,18855.70356085774983512238,0.50907497054583139562,7,2914.T 4503.T 7733.T UNH JNJ TRV WBA 
14,37179.54717515771335456520,20435.99701902752713067457,0.54965696388799112349,6,2914.T 7733.T UNH JNJ TRV WBA 
15,40648.76212311293784296140,21113.48406523710218607448,0.51941271916942211018,6,2914.T 4503.T 7733.T UNH KO WBA 
16,42650.46270208076748531312,22639.09770160072730504908,0.53080544189491862817,7,4502.T 2914.T 3382.T UNH JNJ TRV WBA 
17,43669.26462264575820881873,23688.86972515860179555602,0.54246092600501827352,6,9432.T 2914.T 7733.T UNH TRV WBA 
18,44181.01424784096889197826,27592.61353065538423834369,0.62453553863362876175,5,2914.T 7733.T UNH TRV WBA 
19,49240.57333095240755937994,28006.89116279071095050313,0.56877670726034590398,6,2914.T 7733.T UNH JNJ CVX WBA 
20,49247.16303909432463115081,28985.22294170949317049235,0.58856634886155556607,6,4502.T 2914.T 3382.T UNH TRV WBA 
21,51421.11507501238520490006,30262.36047719725320348516,0.58852011344077148625,6,2914.T 7733.T UNH CVX TRV WBA 
22,53069.83288352117233444005,31639.94485049834111123346,0.59619454464728360854,5,2914.T 3382.T UNH TRV WBA 
23,57246.40842842309939442202,32195.32365448509517591447,0.56239901398774860830,6,2914.T 4503.T UNH CVX KO WBA 
24,57488.48267434434092137963,36678.22996375715592876077,0.63801005449263181735,5,2914.T 7733.T UNH CVX WBA 
25,62027.36052645336167188361,40008.27592872242530575022,0.64501013083830549544,4,2914.T 3382.T UNH WBA 
26,64845.79252471463405527174,40890.40773784356133546680,0.63057919636434434096,5,2914.T UNH CVX TRV WBA 
27,72171.06982754560885950923,42087.30139232865622034296,0.58316028143821629914,5,9432.T 2914.T UNH CVX WBA 
28,74290.99928292914410121739,43147.86436424039129633456,0.58079531545828955164,5,2914.T 4503.T UNH CVX WBA 
29,78302.63503244948515202850,44888.06732407125673489645,0.57326381552126748353,5,2914.T 5108.T UNH CVX WBA 
30,81846.66607712917902972549,51570.91633947447553509846,0.63009183893789888486,4,2914.T UNH CVX WBA 
31,107875.59892950844368897378,52658.23349441255413694307,0.48813850413773551828,4,8306.T 2914.T UNH WBA 
32,109138.27427126336260698736,54241.86849290242389542982,0.49700133940256530085,3,2914.T UNH WBA 
33,114485.86734781366249080747,54436.10568408331164391711,0.47548319233765123926,3,UNH CVX WBA 
34,122415.77330308499222155660,59180.51196013289154507220,0.48343861549287364676,1,UNH 
35,191317.33141092420555651188,59861.76169737235613865778,0.31289251870651096921,2,UNH WBA 
36,354531.09594971878686919808,60543.01143461187166394666,0.17076925586013577685,1,WBA 

fitness_time:,103989
execution time:,0.60759499999999999620 s
Exp_times:,1
gen:,7000
theta:,0.00029999999999999997
market:,NIKKEI30&DJIA30
