Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
44,7112.645701523892967088613659143448,6845.494906455853197257965803146362,0.962440024952908590449851544690,3,MRK{2%}VZ{3%}AMGN{9%}Cash{86%},100
45,7199.297277896857849555090069770813,6915.748719367598823737353086471558,0.960614411714903804195841985347,4,MRK{2%}VZ{1%}AMGN{11%}GS{1%}Cash{85%},100
46,7296.281867694323409523349255323410,6978.495873517771542537957429885864,0.956445488272100630133820686751,3,MRK{1%}VZ{1%}AMGN{12%}Cash{86%},100
47,7310.215272933016422030050307512283,6995.931330698284909885842353105545,0.957007566740420534401323493512,3,MRK{1%}VZ{2%}AMGN{11%}Cash{86%},100
48,7405.840773156955947342794388532639,7169.418387351777710136957466602325,0.968076226177842058540079506201,3,MRK{3%}VZ{2%}AMGN{10%}Cash{85%},100
49,7483.644782033406045229639858007431,7337.290268774691867292858660221100,0.980443417943876793785307199869,3,MRK{2%}VZ{2%}AMGN{11%}Cash{85%},100
50,7608.721330382573796669021248817444,7354.725725955202506156638264656067,0.966617833220788980064241968648,3,MRK{2%}VZ{3%}AMGN{10%}Cash{85%},100
51,7708.242640866708825342357158660889,7424.979538866936309204902499914169,0.963251921975315172907983196637,4,MRK{2%}VZ{1%}AMGN{12%}GS{1%}Cash{84%},100
52,7835.828900980206526583060622215271,7442.414996047429667669348418712616,0.949792943426372771043020293291,4,MRK{2%}VZ{2%}AMGN{11%}GS{1%}Cash{84%},100
53,7855.616851067120478546712547540665,7505.162150197651499183848500251770,0.955388009940700833055871044053,3,MRK{1%}VZ{2%}AMGN{12%}Cash{85%},100
54,7889.799260337109444662928581237793,7678.649206851130657014437019824982,0.973237588623141136601191192312,3,MRK{3%}VZ{2%}AMGN{11%}Cash{84%},100
55,7960.462596282092818000819534063339,7696.084664031612192047759890556335,0.966788622011243714560180251283,3,MRK{3%}VZ{3%}AMGN{10%}Cash{84%},100
56,8010.474417367199748696293681859970,7846.521088274050271138548851013184,0.979532631832930045234775207064,3,MRK{2%}VZ{2%}AMGN{12%}Cash{84%},100
57,8114.625711731361661804839968681335,7863.956545454545448592398315668106,0.969108967538154897347624228132,3,MRK{2%}VZ{3%}AMGN{11%}Cash{84%},100
58,8225.310126401296656695194542407990,7934.210358366292894061189144849777,0.964609265357589062972465399071,4,MRK{2%}VZ{1%}AMGN{13%}GS{1%}Cash{83%},100
59,8332.507763025556414504535496234894,7951.645815546780795557424426078796,0.954292038086204774671728046087,4,MRK{2%}VZ{2%}AMGN{12%}GS{1%}Cash{83%},100
60,8384.687586877966168685816228389740,8187.880026350450862082652747631073,0.976527740778855180003859004501,3,MRK{3%}VZ{2%}AMGN{12%}Cash{83%},100
61,8438.884244873624993488192558288574,8205.315483530961500946432352066040,0.972322317196784635662254459021,3,MRK{3%}VZ{3%}AMGN{11%}Cash{83%},100
