Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn
7,6758.T  4519.T  JNJ  CVX  KO  MCD  MMM ,0.83405359691505176478,57532.26131842511676950380,47984.98949128916865447536
7,6758.T  4519.T  JNJ  CVX  KO  MCD  TRV ,0.85558713743281122888,57663.98382483034947654232,49336.56285365852818358690
6,6758.T  4519.T  CVX  KO  MCD  TRV ,0.79737597821302974577,63841.77315092496428405866,50905.89631707312946673483
6,6758.T  4519.T  V  CVX  KO  AMGN ,0.75087089049948652075,68294.45122987475770059973,51280.31541114981519058347
8,6758.T  4519.T  JNJ  CVX  KO  MCD  VZ  AMGN ,0.73503849347976601969,70052.63775140041252598166,51491.38531707314541563392
5,6758.T  4519.T  CVX  KO  TRV ,0.74388752681404290978,71274.37098062936274800450,53020.11555400696670403704
7,6758.T  4519.T  JNJ  CVX  KO  MCD  AMGN ,0.74187338669915559031,71724.70454914106812793761,53210.64947386761195957661
7,6758.T  4519.T  JNJ  CVX  KO  MCD  VZ ,0.69812780969612486803,77815.50064811306947376579,54325.16502787456556688994
6,6758.T  4519.T  JNJ  CVX  KO  AMGN ,0.70434268539671418541,78568.73822508292505517602,55339.31606968637061072513
6,6758.T  4519.T  CVX  KO  MCD  AMGN ,0.68745408461437773617,80624.36543535794771742076,55425.54933797907142434269
6,6758.T  4519.T  JNJ  KO  MCD  AMGN ,0.67473156024867497749,83420.96689397640875540674,56286.75914982576068723574
6,6758.T  4519.T  JNJ  CVX  KO  MCD ,0.67652792649516924062,83893.77404938443214632571,56756.48100348428852157667
5,6758.T  4519.T  CVX  KO  AMGN ,0.66932219005265469747,87317.94297407339035999030,58443.83682229961414122954
5,6758.T  4519.T  JNJ  CVX  KO ,0.65876329383653442484,91141.82938992073468398303,60040.89173519163887249306
5,6758.T  4519.T  JNJ  KO  MCD ,0.61246239135712776669,99887.91162172672920860350,61177.58921951219235779718
3,4519.T  CVX  KO ,0.56168072756356079989,112060.98375147594197187573,62942.49488501736777834594
4,6758.T  4519.T  CVX  KO ,0.56885230902251371354,114477.47683974247775040567,65120.77703135884075891227
4,6758.T  4519.T  JNJ  KO ,0.54828639105211962601,121127.55821221131191123277,66412.59174912887101527303
4,6758.T  4519.T  KO  MCD ,0.52667648857530025008,126343.10263510888034943491,66541.94165156790404580534
8,6758.T  4519.T  JNJ  CVX  KO  VZ  AMGN  INTC ,0.47932533525549347875,138874.95060605980688706040,66566.28225783971720375121
8,6758.T  4519.T  JNJ  KO  MCD  VZ  AMGN  INTC ,0.48283362608569030394,139336.35812346619786694646,67276.27903832751326262951
9,6758.T  4519.T  5108.T  JNJ  KO  MCD  AMGN  INTC  WBA ,0.47806995015803277482,141327.62533092705416493118,67564.49079790942778345197
8,6758.T  4519.T  JNJ  KO  MCD  AMGN  INTC  WBA ,0.48443402686795145051,143235.24375131190754473209,69388.02591986060724593699
8,6758.T  4519.T  JNJ  CVX  KO  MCD  INTC  WBA ,0.46114351400050440644,151232.93510175929986871779,69740.08712543551519047469
7,6758.T  4519.T  JNJ  KO  MCD  AMGN  INTC ,0.45798649278118364059,155574.13724505357095040381,71250.85348432059981860220
3,6758.T  4519.T  KO ,0.47416312294390799975,158726.83596661113551817834,75262.41223693375650327653
2,4519.T  KO ,0.45152684904671874788,170747.58787271499750204384,77097.12033449472801294178
5,6758.T  4519.T  JNJ  AMGN  INTC ,0.40708306342158095958,189809.47541349806124344468,77268.22271777004061732441
5,4519.T  JNJ  KO  AMGN  INTC ,0.40374013115188017720,191598.51493172050686553121,77356.00954703830939251930
6,6758.T  4519.T  JNJ  KO  MCD  INTC ,0.39790506955535170919,195531.83888348643085919321,77803.10995121949235908687
6,6758.T  4519.T  KO  AMGN  INTC  WBA ,0.39871412788868210164,198565.80488002742640674114,79170.99172125435143243521
6,6758.T  4519.T  JNJ  KO  INTC  WBA ,0.39484826794838306929,203880.65472604084061458707,80501.92338675954670179635
5,4519.T  KO  AMGN  INTC  WBA ,0.38296101809566229779,210721.21434649446746334434,80698.01078048780618701130
1,4519.T ,0.38191186173014757266,215176.68461699274484999478,82178.52822299650870263577
5,4519.T  JNJ  KO  INTC  WBA ,0.37903035879555335708,217119.98467586937476880848,82295.06569337981636635959
5,6758.T  4519.T  KO  AMGN  INTC ,0.38168272157768740049,219291.70281862842966802418,83699.85395121952751651406
5,6758.T  4519.T  JNJ  KO  INTC ,0.37269399308471717891,228865.79995058485656045377,85296.90886411153769586235
5,6758.T  4519.T  KO  MCD  INTC ,0.34972346851400942791,244193.03021059374441392720,85400.03351219513569958508
4,4519.T  KO  AMGN  INTC ,0.35196876733240245461,246495.20945264631882309914,86758.61502439028117805719
5,6758.T  4519.T  KO  INTC  WBA ,0.35314726839719234874,250997.01464451622450724244,88638.91009756099083460867
4,4519.T  JNJ  KO  INTC ,0.34306856316177036792,258707.91347168362699449062,88754.55215331011277157813
4,6758.T  4519.T  MCD  INTC ,0.32503353176699517624,273141.03690419730264693499,88779.99589547041978221387
4,4519.T  KO  INTC  WBA ,0.33323498597927991849,278878.81323450495256111026,92932.17741811848827637732
3,4519.T  JNJ  INTC ,0.31779943980266328607,296778.41347235726425424218,94316.01354703832475934178
4,6758.T  4519.T  KO  INTC ,0.32564956125297522815,296915.99798826454207301140,96690.56447386762010864913
3,4519.T  INTC  WBA ,0.29373468660314200340,340055.91415826283628121018,99886.21737282229878474027
3,6758.T  4519.T  INTC ,0.29391139496377732820,356956.25645338196773082018,104913.51127526133495848626
3,4519.T  KO  INTC ,0.29278036224952436184,358752.72498969803564250469,105035.75278048777545336634
2,4519.T  INTC ,0.25953034238384375954,468436.71404201869154348969,121573.54078048783412668854
1,INTC ,0.18379633156792130055,875800.20734353864099830389,160968.86529616726329550147

Runtime,1.84000000000000007994
