Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,26747.24367,5065.825847,0.189396,6,UNH{21.374046%} PG{24.427481%} CVX{16.030534%} KO{12.977099%} AMGN{8.142494%} TRV{17.048346%} ,
2,27109.16341,6243.543476,0.230311,6,UNH{19.834711%} PG{26.446281%} CVX{17.355372%} KO{9.641873%} AMGN{9.090909%} TRV{17.630854%} ,
3,27292.17784,6493.20119,0.237914,6,UNH{19.834711%} PG{26.446281%} CVX{17.355372%} KO{9.090909%} AMGN{8.815427%} TRV{18.457300%} ,
4,27401.79457,6702.840861,0.244613,6,UNH{19.098143%} PG{25.198939%} CVX{16.710875%} KO{13.262599%} AMGN{8.488064%} TRV{17.241379%} ,
5,27468.61232,6763.255418,0.246218,6,UNH{19.944598%} PG{26.315789%} CVX{17.451524%} KO{13.850416%} AMGN{4.432133%} TRV{18.005540%} ,
6,27540.33535,6988.588396,0.253758,6,UNH{18.941504%} PG{26.740947%} CVX{17.548747%} KO{9.749304%} AMGN{8.913649%} TRV{18.105850%} ,
7,27734.41248,7180.717345,0.25891,6,UNH{18.836565%} PG{26.592798%} CVX{17.451524%} KO{9.695291%} AMGN{8.864266%} TRV{18.559557%} ,
8,27767.80634,7197.866901,0.259216,7,UNH{18.130312%} PG{26.628895%} CVX{17.847025%} KO{9.348442%} AMGN{9.065156%} CRM{0.566572%} TRV{18.413598%} ,
9,27842.27288,7256.055011,0.260613,8,UNH{15.873016%} PG{25.396825%} CVX{20.634921%} KO{13.227513%} DIS{0.264550%} AMGN{4.232804%} CRM{3.439153%} TRV{16.931217%} ,
10,27932.16145,7445.984373,0.266574,6,UNH{18.750000%} PG{26.704545%} CVX{17.897727%} KO{8.806818%} AMGN{9.090909%} TRV{18.750000%} ,
11,28081.11668,7572.329647,0.269659,6,UNH{18.233618%} PG{27.065527%} CVX{17.948718%} KO{9.401709%} AMGN{9.116809%} TRV{18.233618%} ,
12,28084.14457,7757.547744,0.276225,9,UNH{17.426273%} V{0.268097%} WMT{0.268097%} PG{26.809651%} CVX{21.179625%} KO{12.868633%} AMGN{1.608579%} CRM{2.144772%} TRV{17.426273%} ,
13,28164.16755,7774.60238,0.276046,6,UNH{18.497110%} PG{26.300578%} CVX{18.208092%} KO{9.248555%} AMGN{9.248555%} TRV{18.497110%} ,
14,28191.566,7791.319909,0.276371,6,UNH{18.443804%} PG{26.224784%} CVX{18.155620%} KO{9.510086%} AMGN{9.221902%} TRV{18.443804%} ,
15,28265.01174,7831.318538,0.277068,6,UNH{18.338109%} PG{26.074499%} CVX{18.051576%} KO{10.028653%} AMGN{9.169054%} TRV{18.338109%} ,
16,28299.32709,8240.224455,0.291181,9,UNH{20.050125%} V{0.250627%} WMT{0.250627%} PG{24.060150%} CVX{22.807018%} KO{10.776942%} AMGN{4.010025%} CRM{1.002506%} TRV{16.791980%} ,
17,28396.41368,8383.837288,0.295243,8,UNH{18.750000%} WMT{0.520833%} PG{25.000000%} CVX{20.572917%} KO{9.114583%} AMGN{8.333333%} CRM{0.260417%} TRV{17.447917%} ,
18,28468.49957,8511.315195,0.298973,8,UNH{19.565217%} WMT{0.543478%} PG{26.086957%} CVX{21.467391%} KO{9.510870%} AMGN{4.347826%} CRM{0.271739%} TRV{18.206522%} ,
19,28518.67891,8712.381015,0.305497,9,UNH{20.151134%} V{0.251889%} WMT{0.251889%} PG{24.181360%} CVX{22.921914%} KO{10.831234%} AMGN{4.030227%} CRM{0.503778%} TRV{16.876574%} ,
20,28580.21775,8776.022317,0.307066,8,UNH{19.851117%} V{0.248139%} WMT{0.248139%} PG{25.806452%} CVX{22.580645%} KO{10.669975%} AMGN{3.970223%} TRV{16.625310%} ,
21,28678.08478,8879.592936,0.30963,8,UNH{20.654912%} V{0.251889%} WMT{0.251889%} PG{24.181360%} CVX{22.921914%} KO{10.831234%} AMGN{4.030227%} TRV{16.876574%} ,
22,28679.32002,8949.281661,0.312047,9,UNH{20.202020%} V{0.252525%} WMT{0.252525%} PG{24.242424%} CVX{22.979798%} KO{10.858586%} AMGN{4.040404%} CRM{0.252525%} TRV{16.919192%} ,
23,28703.08134,8980.695829,0.312883,8,UNH{20.050125%} V{0.250627%} WMT{0.250627%} PG{25.062657%} CVX{22.807018%} KO{10.776942%} AMGN{4.010025%} TRV{16.791980%} ,
24,28736.17044,9339.704564,0.325016,6,UNH{20.537897%} PG{23.471883%} CVX{23.227384%} KO{12.469438%} AMGN{3.911980%} TRV{16.381418%} ,
25,28867.8366,9383.432649,0.325048,8,UNH{19.464720%} V{0.243309%} WMT{0.243309%} PG{23.357664%} CVX{22.141119%} KO{14.355231%} AMGN{3.892944%} TRV{16.301703%} ,
26,29098.5404,9402.984047,0.323143,8,UNH{16.709512%} V{0.257069%} PG{25.706941%} CVX{24.421594%} KO{12.339332%} AMGN{1.542416%} CRM{2.570694%} TRV{16.452442%} ,
27,29112.76772,9417.3509,0.323478,6,UNH{20.947631%} PG{23.940150%} CVX{23.690773%} KO{12.718204%} AMGN{1.995012%} TRV{16.708229%} ,
28,29170.29308,9429.072344,0.323242,9,UNH{20.050125%} V{0.250627%} WMT{0.250627%} PG{24.060150%} CVX{22.807018%} MRK{1.002506%} KO{10.776942%} AMGN{4.010025%} TRV{16.791980%} ,
29,29193.62154,9511.867161,0.32582,8,UNH{20.050125%} V{0.250627%} WMT{0.250627%} PG{24.060150%} CVX{22.807018%} KO{10.776942%} AMGN{4.010025%} TRV{17.794486%} ,
30,29219.84093,9573.723223,0.327645,8,UNH{17.223650%} V{0.257069%} PG{25.706941%} CVX{24.421594%} KO{12.339332%} AMGN{1.542416%} CRM{2.056555%} TRV{16.452442%} ,
31,29295.33004,9645.863503,0.329263,8,UNH{16.752577%} V{0.257732%} PG{25.773196%} CVX{24.484536%} KO{12.371134%} AMGN{1.546392%} CRM{2.319588%} TRV{16.494845%} ,
32,29376.84082,9695.916835,0.330053,8,UNH{20.050125%} V{0.250627%} WMT{0.250627%} PG{24.060150%} CVX{23.809524%} KO{10.776942%} AMGN{4.010025%} TRV{16.791980%} ,
33,29422.67886,9801.137085,0.333115,8,UNH{16.455696%} V{0.253165%} PG{25.316456%} CVX{24.050633%} KO{12.151899%} AMGN{3.544304%} CRM{2.025316%} TRV{16.202532%} ,
34,29477.38066,9836.781824,0.333706,8,UNH{16.752577%} V{0.257732%} PG{26.030928%} CVX{24.484536%} KO{12.371134%} AMGN{1.546392%} CRM{2.061856%} TRV{16.494845%} ,
35,29491.09383,9880.101945,0.33502,8,UNH{16.752577%} V{0.257732%} PG{25.773196%} CVX{24.484536%} KO{12.371134%} AMGN{1.804124%} CRM{2.061856%} TRV{16.494845%} ,
36,29501.54994,9938.810275,0.336891,8,UNH{16.624041%} V{0.255754%} PG{25.575448%} CVX{24.296675%} KO{13.299233%} AMGN{1.534527%} CRM{2.046036%} TRV{16.368286%} ,
37,29528.6817,9980.506841,0.337994,8,UNH{16.455696%} V{0.253165%} PG{25.316456%} CVX{24.050633%} KO{14.177215%} AMGN{1.518987%} CRM{2.025316%} TRV{16.202532%} ,
38,29697.47414,10012.41023,0.337147,9,UNH{16.709512%} V{0.257069%} PG{25.706941%} CVX{24.421594%} MRK{0.514139%} KO{12.339332%} AMGN{1.542416%} CRM{2.056555%} TRV{16.452442%} ,
39,29731.96525,10054.88693,0.338184,8,UNH{16.709512%} V{0.257069%} PG{25.706941%} CVX{24.421594%} KO{12.339332%} AMGN{1.542416%} CRM{2.056555%} TRV{16.966581%} ,
40,29800.45566,10075.76627,0.338108,6,UNH{17.662338%} PG{24.935065%} CVX{24.675325%} KO{13.246753%} CRM{2.077922%} TRV{17.402597%} ,
41,29912.57261,10133.01026,0.338754,9,UNH{16.624041%} V{0.255754%} PG{25.575448%} CVX{24.296675%} MRK{1.023018%} KO{12.276215%} AMGN{1.534527%} CRM{2.046036%} TRV{16.368286%} ,
