Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
24,36169.46757,27708.5211,0.766075,11,MSFT{8.389716%} UNH{0.541272%} V{0.135318%} JPM{6.089310%} MRK{17.185386%} VZ{14.749662%} IBM{14.073072%} BA{4.330176%} MMM{8.660352%} TRV{17.185386%} WBA{8.660352%} ,
25,36236.70382,27864.47284,0.768957,10,MSFT{8.412483%} V{0.135685%} JPM{6.105834%} MRK{17.232022%} VZ{15.061058%} IBM{14.111262%} BA{4.341927%} MMM{8.683853%} TRV{17.232022%} WBA{8.683853%} ,
26,36385.07395,27956.5406,0.768352,9,MSFT{8.611111%} JPM{5.138889%} MRK{17.638889%} VZ{15.416667%} IBM{13.333333%} BA{4.444444%} MMM{8.888889%} TRV{17.638889%} WBA{8.888889%} ,
27,36431.85788,28031.58267,0.769425,9,MSFT{8.563536%} JPM{5.662983%} MRK{17.541436%} VZ{15.331492%} IBM{13.259669%} BA{4.419890%} MMM{8.839779%} TRV{17.541436%} WBA{8.839779%} ,
28,36472.00957,28088.46669,0.770138,9,MSFT{8.528198%} JPM{6.052270%} MRK{17.469051%} VZ{15.268226%} IBM{13.204952%} BA{4.401651%} MMM{8.803301%} TRV{17.469051%} WBA{8.803301%} ,
29,36486.22772,28107.06348,0.770347,9,MSFT{8.516484%} JPM{6.181319%} MRK{17.445055%} VZ{15.247253%} IBM{13.186813%} BA{4.395604%} MMM{8.791209%} TRV{17.445055%} WBA{8.791209%} ,
30,36496.66659,28114.71107,0.770336,9,MSFT{8.528198%} JPM{6.189821%} MRK{17.331499%} VZ{15.268226%} IBM{13.204952%} BA{4.401651%} MMM{8.803301%} TRV{17.469051%} WBA{8.803301%} ,
31,36507.24067,28121.79601,0.770307,9,MSFT{8.539945%} JPM{6.198347%} MRK{17.217631%} VZ{15.289256%} IBM{13.223140%} BA{4.407713%} MMM{8.815427%} TRV{17.493113%} WBA{8.815427%} ,
32,36512.32479,28125.48764,0.770301,9,MSFT{8.528198%} JPM{6.189821%} MRK{17.469051%} VZ{15.268226%} IBM{13.204952%} BA{4.401651%} MMM{8.803301%} TRV{17.331499%} WBA{8.803301%} ,
33,36529.39222,28136.0905,0.770232,9,MSFT{8.563536%} JPM{6.215470%} MRK{16.988950%} VZ{15.331492%} IBM{13.259669%} BA{4.419890%} MMM{8.839779%} TRV{17.541436%} WBA{8.839779%} ,
34,36535.64094,28171.19969,0.771061,9,MSFT{8.528198%} JPM{6.189821%} MRK{17.469051%} VZ{15.130674%} IBM{13.204952%} BA{4.401651%} MMM{8.803301%} TRV{17.469051%} WBA{8.803301%} ,
35,36577.54817,28190.63224,0.770709,9,MSFT{8.264463%} JPM{6.198347%} MRK{17.493113%} VZ{15.289256%} IBM{13.223140%} BA{4.407713%} MMM{8.815427%} TRV{17.493113%} WBA{8.815427%} ,
36,36585.60252,28235.00809,0.771752,9,MSFT{8.539945%} JPM{6.198347%} MRK{17.493113%} VZ{15.013774%} IBM{13.223140%} BA{4.407713%} MMM{8.815427%} TRV{17.493113%} WBA{8.815427%} ,
37,36669.9756,28273.68004,0.771031,9,MSFT{8.011050%} JPM{6.215470%} MRK{17.541436%} VZ{15.331492%} IBM{13.259669%} BA{4.419890%} MMM{8.839779%} TRV{17.541436%} WBA{8.839779%} ,
38,36686.55709,28362.79765,0.773111,9,MSFT{8.563536%} JPM{6.215470%} MRK{17.541436%} VZ{14.779006%} IBM{13.259669%} BA{4.419890%} MMM{8.839779%} TRV{17.541436%} WBA{8.839779%} ,
39,36862.04826,28443.59669,0.771623,9,MSFT{7.500000%} JPM{6.250000%} MRK{17.638889%} VZ{15.416667%} IBM{13.333333%} BA{4.444444%} MMM{8.888889%} TRV{17.638889%} WBA{8.888889%} ,
40,36897.99796,28622.71507,0.775725,9,MSFT{8.611111%} JPM{6.250000%} MRK{17.638889%} VZ{14.305556%} IBM{13.333333%} BA{4.444444%} MMM{8.888889%} TRV{17.638889%} WBA{8.888889%} ,
41,37114.47082,28667.54201,0.772409,12,MSFT{9.827357%} V{0.531208%} JPM{8.632138%} MRK{16.733068%} MCD{0.132802%} VZ{13.413015%} HON{0.398406%} IBM{11.952191%} BA{4.249668%} MMM{8.764940%} TRV{16.865870%} WBA{8.499336%} ,
42,37199.02066,28695.21043,0.771397,9,MSFT{8.839779%} JPM{8.839779%} MRK{16.574586%} VZ{11.049724%} IBM{17.127072%} BA{1.933702%} MMM{9.392265%} TRV{17.403315%} WBA{8.839779%} ,
43,37242.85038,28734.535,0.771545,9,MSFT{8.864266%} JPM{8.864266%} MRK{16.620499%} VZ{11.080332%} IBM{17.174515%} BA{1.939058%} MMM{9.418283%} TRV{17.174515%} WBA{8.864266%} ,
