Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
19,48771.790032,6471.813096,0.132696,13.000000,AAPL{1.256732%} MSFT{0.179533%} WMT{3.052065%} JPM{0.359066%} PG{0.179533%} MRK{17.953321%} KO{14.362657%} CSCO{19.389587%} MCD{5.745063%} DIS{11.490126%} VZ{5.745063%} CRM{0.359066%} BA{19.928187%} 
20,48797.003065,6808.740532,0.139532,12.000000,AAPL{1.293900%} MSFT{0.184843%} WMT{3.142329%} JPM{0.369686%} PG{0.184843%} MRK{18.484288%} KO{20.702403%} CSCO{19.963031%} MCD{5.914972%} DIS{11.829945%} CRM{0.369686%} BA{17.560074%} 
21,49314.811718,6830.981892,0.138518,13.000000,AAPL{1.188455%} MSFT{0.169779%} WMT{2.886248%} JPM{0.339559%} PG{0.169779%} MRK{16.977929%} KO{13.582343%} CSCO{18.336163%} MCD{5.432937%} NKE{10.865874%} DIS{10.865874%} CRM{0.339559%} BA{18.845501%} 
22,49341.730055,7448.744026,0.150962,13.000000,AAPL{1.238938%} MSFT{0.176991%} WMT{3.008850%} JPM{0.353982%} PG{0.176991%} MRK{17.699115%} KO{14.159292%} CSCO{19.115044%} MCD{5.663717%} DIS{11.327434%} VZ{5.663717%} CRM{0.353982%} BA{21.061947%} 
23,49685.065428,7928.014946,0.159565,13.000000,AAPL{1.230228%} MSFT{0.175747%} WMT{2.987698%} JPM{0.351494%} PG{0.175747%} MRK{17.574692%} KO{14.059754%} CSCO{18.980668%} MCD{5.623902%} DIS{11.247803%} VZ{5.623902%} CRM{0.351494%} BA{21.616872%} 
24,49769.319437,8161.493926,0.163986,13.000000,AAPL{1.293900%} MSFT{0.184843%} WMT{3.142329%} JPM{0.369686%} PG{0.184843%} MRK{18.484288%} KO{14.787431%} CSCO{19.963031%} MCD{5.914972%} DIS{11.829945%} VZ{2.957486%} CRM{0.369686%} BA{20.517560%} 
25,49838.137914,8782.299958,0.176216,12.000000,AAPL{1.256732%} MSFT{0.179533%} WMT{3.052065%} JPM{0.359066%} PG{0.179533%} MRK{17.953321%} KO{20.107720%} CSCO{19.389587%} MCD{5.745063%} DIS{11.490126%} CRM{0.359066%} BA{19.928187%} 
26,50373.245025,9045.477676,0.179569,13.000000,AAPL{1.313321%} MSFT{0.187617%} WMT{3.189493%} JPM{0.375235%} PG{0.187617%} MRK{18.761726%} KO{15.009381%} CSCO{20.262664%} MCD{6.003752%} DIS{12.007505%} VZ{1.500938%} CRM{0.375235%} BA{20.825516%} 
27,50413.636515,9143.551043,0.181371,13.000000,AAPL{1.275046%} MSFT{0.182149%} WMT{3.096539%} JPM{0.364299%} PG{0.182149%} MRK{18.214936%} KO{14.571949%} CSCO{19.672131%} MCD{5.828780%} DIS{11.657559%} VZ{2.914390%} CRM{0.364299%} BA{21.675774%} 
28,50447.206518,9151.669968,0.181411,13.000000,AAPL{1.293900%} MSFT{0.184843%} WMT{3.142329%} JPM{0.369686%} PG{0.184843%} MRK{18.484288%} KO{14.787431%} CSCO{14.048059%} MCD{5.914972%} DIS{11.829945%} VZ{5.914972%} CRM{0.369686%} BA{23.475046%} 
29,50450.774730,9246.638590,0.183280,13.000000,MSFT{0.871460%} UNH{3.485839%} JNJ{0.217865%} HD{0.217865%} MRK{27.450980%} KO{13.943355%} CSCO{10.457516%} MCD{1.089325%} DIS{14.161220%} HON{0.217865%} CRM{1.742919%} BA{25.925926%} MMM{0.217865%} 
30,50597.874721,9726.640564,0.192234,12.000000,AAPL{1.238938%} MSFT{0.176991%} WMT{3.008850%} JPM{0.353982%} PG{0.176991%} MRK{17.699115%} KO{19.823009%} CSCO{19.115044%} MCD{5.663717%} DIS{11.327434%} CRM{0.353982%} BA{21.061947%} 
