Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
46,51340.26379538470791885629,55341.08811149822577135637,1.07792761509872048187,4,9984.T 4519.T HD HON 
47,51991.10803934362047584727,59651.38819860626244917512,1.14733827471931970621,4,9984.T 4519.T MSFT HON 
48,72489.29834039731940720230,60092.22510452962160343304,0.82898064238871282949,4,9984.T 4519.T MSFT HD 
49,73997.21011726885626558214,61021.47827177699946332723,0.82464566130360517082,3,9984.T 4519.T HON 
50,77136.23647144144342746586,62319.15841463415563339368,0.80791028011467613812,4,9984.T 4519.T 6702.T MSFT 
51,84899.97315153702220413834,67356.32759581884602084756,0.79336099995691733433,3,9984.T 4519.T MSFT 
52,126766.35739643934357445687,68817.53278048777428921312,0.54286905606408741853,3,9984.T 4519.T AAPL 
53,143644.23269250246812589467,73232.55644599303195718676,0.50981898175307260868,2,9984.T 4519.T 
54,219449.57950693168095313013,73242.79756097561039496213,0.33375683710828035755,1,9984.T 
55,395830.45785092585720121861,73288.96027874563878867775,0.18515240256308693190,1,4519.T 

fitness_time:,273399
execution time:,1.55528299999999997105 s
Exp_times:,1
gen:,7000
theta:,0.00029999999999999997
market:,NIKKEI30&DJIA30
