Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
0,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,9206
21,9984.T 6367.T 8001.T 6954.T 7733.T AAPL MSFT V JPM PG HD KO CSCO MCD DIS HON CRM INTC AXP MMM DD ,1.63993695535243877437,7312.28255094605992780998,11991.68238327524522901513,184658
20,9984.T 6367.T 8001.T 6954.T 7733.T AAPL MSFT V JPM PG HD CSCO MCD DIS HON CRM INTC AXP MMM DD ,1.61853837996271598954,7621.36232373776419990463,12335.46742857140088744927,184242
20,6758.T 9984.T 6367.T 8001.T 8411.T 6702.T AAPL MSFT JNJ V PG HD CSCO MCD HON GS INTC MMM TRV DD ,1.76586521147760677763,7847.80720614078381913714,13858.16973170728124387097,61809
19,6758.T 9984.T 6367.T 8001.T 8411.T 6702.T AAPL MSFT JNJ V HD CSCO MCD HON GS INTC MMM TRV DD ,1.69835970235594690969,8246.73691042627433489542,14005.92564459936875209678,61978
19,6758.T 9984.T 6367.T 8001.T 8411.T 6702.T AAPL MSFT V PG HD CSCO MCD HON GS INTC MMM TRV DD ,1.78836696955036389411,8310.69941103549172112253,14862.58032055753574240953,61762
18,6758.T 9984.T 6367.T 8001.T 8411.T 6702.T AAPL MSFT V HD CSCO MCD HON GS INTC MMM TRV DD ,1.78913645687103506354,8456.85801352435191802215,15130.47298257837974233553,94943
20,6758.T 9984.T 6367.T 8001.T 8411.T 6702.T AAPL MSFT V PG HD CSCO MCD DIS HON IBM GS INTC MMM DD ,1.78108075245731600766,8617.54913178977767529432,15348.55089198602763644885,61303
20,6758.T 9984.T 6367.T 8001.T 8411.T 6702.T AAPL MSFT JNJ V PG HD CSCO MCD HON IBM GS INTC MMM DD ,1.72251308910951927977,9036.04319228729946189560,15564.70267247383890207857,61401
18,6758.T 9984.T 6367.T 8001.T 8411.T 6702.T AAPL MSFT JNJ V PG HD CSCO MCD HON GS INTC MMM ,1.69174112532470610759,9496.69327089981925382745,16065.94656097562437935267,70143
18,9984.T 4063.T 8001.T 6702.T AAPL MSFT JNJ PG HD KO CSCO MCD AMGN GS INTC AXP MMM DD ,1.66093952928361043853,9691.36132992048987944145,16096.76512543552235001698,237431
18,6758.T 9984.T 6367.T 8001.T 8411.T 6702.T AAPL MSFT JNJ V PG HD CSCO DIS HON GS INTC MMM ,1.59037341528049225303,10155.83925848125909396913,16151.57676655054092407227,60986
18,6758.T 9984.T 8001.T 8411.T 6702.T AAPL MSFT JNJ V PG HD CSCO MCD DIS HON GS INTC MMM ,1.58202330150117509433,10328.50290026377660979051,16339.93225783976231468841,60352
19,9984.T 8001.T 4519.T 7733.T AAPL MSFT UNH JNJ PG HD CSCO MCD DIS HON IBM INTC AXP MMM TRV ,1.75144226936881963752,10707.39193278823222499341,18753.37882578401331556961,206313
18,9984.T 8001.T 4519.T 6702.T AAPL MSFT UNH JNJ PG HD CSCO MCD HON IBM INTC AXP MMM TRV ,1.97591776425504872527,10782.20626605223151273094,21304.75289895470268675126,252338
16,9984.T 8001.T 4519.T 6702.T AAPL MSFT JNJ PG HD CSCO MCD HON IBM INTC AXP TRV ,2.11419191446897469788,11221.91346580987556080800,23725.27871428574871970341,246560
16,9984.T 8001.T 4519.T 6702.T AAPL MSFT PG HD CSCO MCD HON IBM INTC AXP MMM TRV ,2.18627737345117933998,11380.09522123019087302964,24880.04468989546148804948,243860
15,9984.T 8001.T 4519.T 6702.T AAPL MSFT PG HD CSCO MCD HON IBM INTC AXP TRV ,2.10472161874217666977,12205.22500366640088032000,25688.60092682923641405068,244084
15,9984.T 8001.T 4519.T 6702.T AAPL MSFT HD CSCO MCD HON IBM INTC AXP MMM TRV ,1.87698173353077324421,13764.22848129783233162016,25835.20543554004689212888,247979
16,9984.T 8001.T 4519.T 6702.T AAPL MSFT WMT PG HD CSCO MCD HON IBM INTC AXP MMM ,1.92599261406259780749,13792.44261494784768729005,26564.14260627177645801567,243836
15,9984.T 8001.T 4519.T 6702.T AAPL MSFT PG HD CSCO MCD HON IBM INTC AXP MMM ,1.93167253835330443579,14015.98193257567982072942,27074.28739721251622540876,243866
14,9984.T 8001.T 4519.T 6702.T AAPL MSFT PG HD CSCO MCD HON IBM INTC AXP ,1.77452567093472146631,15804.32809495714718650561,28045.18591637630015611649,255037
13,9984.T 6367.T 4519.T 2914.T 6702.T AAPL MSFT HD CSCO AMGN HON IBM CRM ,1.84396992370611534362,16778.99744262717285891995,30939.96663414633076172322,216378
13,9984.T 6367.T 4519.T 6702.T AAPL MSFT PG HD CSCO AMGN HON IBM CRM ,1.94640725096469546784,16816.69383736455711186863,32732.13482229968212777749,231088
12,9984.T 6367.T 4519.T 6702.T AAPL MSFT HD CSCO AMGN HON IBM CRM ,1.94223896058427403233,17783.06960580561644746922,34538.97062717769586015493,208535
12,9984.T 4519.T 6702.T AAPL MSFT JNJ HD CSCO AMGN HON IBM CRM ,1.83068336560482647357,19297.38107274775393307209,35327.39452961673669051379,209144
9,9984.T 4519.T 6702.T MSFT HD CSCO MCD HON MMM ,1.79872543562413955698,20168.47337800048262579367,36277.54606271778175141662,134869
8,9984.T 4519.T 6702.T MSFT HD CSCO MCD IBM ,1.80654830790734677315,20975.85239332948549417779,37893.89064808365219505504,178743
11,9984.T 4519.T 6702.T AAPL MSFT HD CSCO AMGN HON IBM CRM ,1.75748496874658477473,22165.04023733554276986979,38954.72504878044856013730,208348
8,9984.T 4519.T 6702.T MSFT JNJ HD CSCO HON ,1.71085207892170432231,23301.10909350115616689436,39864.75093379788449965417,113794
8,9984.T 4519.T 6702.T MSFT HD CSCO AMGN HON ,1.60371460945245503105,25563.71892080209363484755,40996.90950522646744502708,107166
8,9984.T 4519.T 6702.T MSFT HD CSCO HON MMM ,1.53323053967530253949,27506.81113744890899397433,42174.28288501741189975291,114726
6,9984.T 4519.T MSFT JNJ HON IBM ,1.48388125000205040038,29254.49041244622640078887,43410.18980139370250981301,23592
7,9984.T 4519.T 6702.T MSFT HD CSCO IBM ,1.50796901276340999942,29774.18081225551213719882,44898.54204529620619723573,177155
6,9984.T 4519.T MSFT HON IBM MMM ,1.46011142916402425485,31839.72817783811478875577,46489.55101393726363312453,22510
7,9984.T 4519.T 6702.T MSFT HD AMGN HON ,1.32412137365772952791,35436.40029141900595277548,46922.09503135889826808125,4484
6,9984.T 4519.T MSFT WMT HON IBM ,1.28277538196906104595,37041.73969337849848670885,47516.23178397213632706553,22536
6,9984.T 4519.T 6702.T MSFT HD CSCO ,1.29057805481399845426,37142.13411564231500960886,47934.82319860631105257198,113443
6,9984.T 4519.T MSFT HD HON CRM ,1.30602826005926986319,37202.25146347442205296829,48587.19174912892776774243,12718
5,9984.T 4519.T MSFT HON IBM ,1.37366946424410940608,38622.64207132706360425800,53054.74404181184945628047,12364
4,9984.T 4519.T HD HON ,1.07792761509872048187,51340.26379538470791885629,55341.08811149822577135637,10635
4,9984.T 4519.T MSFT HON ,1.14733827471931970621,51991.10803934362047584727,59651.38819860626244917512,6414
4,9984.T 4519.T MSFT HD ,0.82898064238871282949,72489.29834039731940720230,60092.22510452962160343304,5988
3,9984.T 4519.T HON ,0.82464566130360517082,73997.21011726885626558214,61021.47827177699946332723,10356
4,9984.T 4519.T 6702.T MSFT ,0.80791028011467613812,77136.23647144144342746586,62319.15841463415563339368,4728
3,9984.T 4519.T MSFT ,0.79336099995691733433,84899.97315153702220413834,67356.32759581884602084756,5290
3,9984.T 4519.T AAPL ,0.54286905606408741853,126766.35739643934357445687,68817.53278048777428921312,7608
2,9984.T 4519.T ,0.50981898175307260868,143644.23269250246812589467,73232.55644599303195718676,6990
1,9984.T ,0.33375683710828035755,219449.57950693168095313013,73242.79756097561039496213,7906
1,4519.T ,0.18515240256308693190,395830.45785092585720121861,73288.96027874563878867775,25322

Duration,15355
