Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
10,4063.T 4519.T 6702.T JPM MRK MCD BA MMM TRV WBA ,0.90815413445384973734,47968.64355896141933044419,43562.92197221384412841871,35459
8,4063.T 4519.T 6702.T JPM MRK MCD MMM WBA ,0.90713375807427565345,48123.59173318959074094892,43654.53462096041766926646,134511
8,4063.T 4519.T 6702.T JPM MRK MMM TRV WBA ,0.88637430966676866717,49323.90101969013630878180,43719.43871639986900845543,133163
9,4063.T 4519.T 8766.T JPM MRK BA MMM TRV WBA ,0.87988906408496758704,49759.53742576758668292314,43782.87281485956191318110,5169
8,4063.T 8766.T 6702.T JPM MRK BA MMM WBA ,0.90434694658051339999,49968.06116679163824301213,45188.46354273634642595425,5792
7,4063.T 8766.T 6702.T MRK BA MMM WBA ,0.87802066580591486833,52032.68055563870439073071,45685.76882512837619287893,15896
8,4063.T 4519.T 6702.T MRK BA MMM TRV WBA ,0.89269653238734480993,53174.10628449280193308368,47468.34029296284279553220,37460
7,4063.T 4519.T 6702.T JPM MRK MMM WBA ,0.86584652167067532869,55269.53470925122383050621,47854.93438236183283152059,35792
6,4063.T 4519.T 6702.T MRK MMM WBA ,0.84656023669074143001,57753.04930481582414358854,48891.43508909694355679676,36618
8,4063.T 4519.T 6702.T JPM MRK BA MMM WBA ,0.81547271216188876863,62325.43728891087084775791,50824.69338266386330360547,34292
7,4063.T 6702.T MRK BA MMM TRV WBA ,0.81039997324468160400,63479.64743723570427391678,51443.90458471763849956915,30536
7,4063.T 4519.T 6702.T MRK BA MMM WBA ,0.81962825324001076233,63614.17791211590520106256,52139.97752340683655347675,36396
6,4063.T 8766.T MRK BA MMM WBA ,0.77166850207768633574,68680.94345222257834393531,52998.92075505887623876333,65360
6,4063.T 4519.T 6702.T MRK BA WBA ,0.77355746883872111841,68741.34711209117085672915,53175.38247659317858051509,37159
5,4063.T 6702.T MRK MMM WBA ,0.76408320987219291442,71649.48123217438114807010,54746.16560555724572623149,38602
7,4063.T 6702.T JPM MRK BA MMM WBA ,0.74016748276249100247,74685.63601629712502472103,55279.87920869827939895913,6010
6,4063.T 6702.T MRK BA MMM WBA ,0.76531624901211958711,75211.65947350354690570384,57560.70511023858125554398,38092
4,MRK MMM TRV WBA ,0.70934836477672136290,84210.09095144226739648730,59734.29031410455354489386,192825
5,4063.T 6702.T MRK BA WBA ,0.68440401092381009107,87501.24120418273378163576,59886.20044095441699028015,38860
6,4063.T 4519.T MRK BA MMM WBA ,0.68296155916089273941,88619.27514800474455114454,60523.55832678947626845911,37560
6,4063.T 6702.T JPM BA MMM WBA ,0.67034371720740015821,90577.63395393436076119542,60718.14784053158655297011,121340
4,4063.T 6702.T MMM WBA ,0.69188096633582329975,90706.66814505330694373697,62758.21720930231822421774,46792
3,MRK TRV WBA ,0.68581893014976380574,93806.94065562503237742931,64334.57568106314283795655,48800
5,4063.T 6702.T BA MMM WBA ,0.68225812774694838403,94588.50337050524831283838,64533.77521594682912109420,38210
5,6702.T JPM CAT MMM WBA ,0.61979197249590844976,104737.79193914306233637035,64915.64266082754329545423,202570
3,HON TRV WBA ,0.61358691190406000615,106512.88968845173076260835,65354.91506191489315824583,8922
3,6954.T MMM WBA ,0.63215889193352736708,108129.45006801902491133660,68354.99334038057713769376,9582
3,WMT MMM WBA ,0.61310200148763471795,111876.12233587882656138390,68591.47452280278957914561,31319
3,MMM TRV WBA ,0.63738940560892154430,113087.00520151111413724720,72080.45902748419030103832,18356
3,JPM MRK WBA ,0.62720725158266410482,116844.54600619852135423571,73285.74656297192268539220,17456
3,MRK MMM WBA ,0.61949593017876725121,120607.88080267299665138125,74716.09130474179983139038,6546
3,HON MMM WBA ,0.59086008795859112919,128179.97395502083236351609,75736.43068559352832380682,37119
4,MRK CAT MMM WBA ,0.59184056944709584336,128322.55366613744990900159,75946.49323467230715323240,105285
3,JPM MMM WBA ,0.59290264271489367953,136669.36874888965394347906,81031.62990939298470038921,32083
2,TRV WBA ,0.57671214335743403723,147653.02458790413220413029,85153.29228329809848219156,4988
2,MRK WBA ,0.57718917554342275000,154380.71095574097125791013,89106.87527635158039629459,8026
2,HON WBA ,0.52458201804736181995,172780.68245500771445222199,90637.63908184834872372448,6414
3,CAT MMM WBA ,0.52873611027642208882,177210.94116497162031009793,93697.82372999098151922226,16908
2,MMM WBA ,0.53614343926791574457,187871.23417205028817988932,100725.92962851101765409112,5707
3,CAT BA WBA ,0.44913967530801723882,227691.44090820886776782572,102265.25983992753026541322,4706
2,INTC WBA ,0.42984432857333204625,247504.72973177963285706937,106388.50437028083251789212,7190
2,CAT WBA ,0.46353986801279756236,253655.57965551124652847648,117579.47391422533837612718,4981
1,WBA ,0.46475881422082837569,334617.76119712699437513947,155516.55391120506101287901,4690

Duration,15291
