Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
122,78050.45932967275439295918,22391.28624584722274448723,0.28688218414282462554,4,JNJ{6.9868995633%} MRK{27.9475982533%} KO{55.4585152838%} IBM{9.6069868996%} 
123,78140.85583005951775703579,22414.32282694057357730344,0.28684511564202946898,4,JNJ{7.0484581498%} MRK{28.1938325991%} KO{55.5066079295%} IBM{9.2511013216%} 
124,78149.78146214497974142432,22424.35416490490388241597,0.28694071493682998808,4,JNJ{7.0175438596%} MRK{28.0701754386%} KO{55.7017543860%} IBM{9.2105263158%} 
125,78381.56628431887656915933,22523.81299607375694904476,0.28736109858243419346,4,JNJ{5.3333333333%} MRK{28.4444444444%} KO{56.4444444444%} IBM{9.7777777778%} 
126,78587.03417501463263761252,22592.38242222892586141825,0.28748231383710592945,4,JNJ{4.9327354260%} MRK{28.6995515695%} KO{56.9506726457%} IBM{9.4170403587%} 
127,78659.59937253025418613106,22625.68044397463017958216,0.28764042309470544412,4,JNJ{3.6036036036%} MRK{28.8288288288%} KO{57.2072072072%} IBM{10.3603603604%} 
128,78659.61954326025443151593,22626.38093929324531927705,0.28764925473418373469,4,JNJ{4.0540540541%} MRK{28.8288288288%} KO{57.2072072072%} IBM{9.9099099099%} 
129,78682.78183699151850305498,22626.81533373601996572688,0.28757009863495147650,4,JNJ{4.5045045045%} MRK{28.8288288288%} KO{57.2072072072%} IBM{9.4594594595%} 
130,78757.57752123838872648776,22661.01533373607890098356,0.28773123865605354510,4,JNJ{3.6199095023%} MRK{28.9592760181%} KO{57.4660633484%} IBM{9.9547511312%} 
131,78782.41286406290601007640,22661.78937783147557638586,0.28765035943915334693,4,JNJ{4.0723981900%} MRK{28.9592760181%} KO{57.4660633484%} IBM{9.5022624434%} 
132,78884.69567460170947015285,22696.95860163096222095191,0.28772321940944800556,4,JNJ{3.6363636364%} MRK{29.0909090909%} KO{57.7272727273%} IBM{9.5454545455%} 
133,79280.34467943139316048473,22705.71928480821952689439,0.28639783765595844267,5,JNJ{3.6036036036%} WMT{0.9009009009%} MRK{28.8288288288%} KO{57.2072072072%} IBM{9.4594594595%} 
134,79298.39380244436324574053,22720.31342796736862510443,0.28651669142971997184,3,MRK{30.4932735426%} KO{56.9506726457%} IBM{12.5560538117%} 
