Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,29336.82482166835688985884,16908.05008432149770669639,0.57634219746347969959,12,UNH{10.0903614458%} JNJ{18.8253012048%} V{1.0542168675%} WMT{2.1084337349%} HD{14.4578313253%} MRK{13.2530120482%} KO{4.6686746988%} NKE{6.0240963855%} VZ{19.1265060241%} AMGN{2.4096385542%} CRM{6.9277108434%} WBA{1.0542168675%} 
2,29338.01990024913902743720,16933.96557575760016334243,0.57720206180696598253,12,UNH{9.9397590361%} JNJ{18.8253012048%} V{1.0542168675%} WMT{2.1084337349%} HD{14.4578313253%} MRK{13.2530120482%} KO{4.6686746988%} NKE{6.0240963855%} VZ{19.1265060241%} AMGN{2.4096385542%} CRM{7.0783132530%} WBA{1.0542168675%} 
3,29338.48928537300889729522,16942.16494492750280187465,0.57747230200343635520,12,UNH{9.9697885196%} JNJ{18.8821752266%} V{1.0574018127%} WMT{1.9637462236%} HD{14.5015105740%} MRK{13.2930513595%} KO{4.6827794562%} NKE{6.0422960725%} VZ{19.1842900302%} AMGN{2.4169184290%} CRM{6.9486404834%} WBA{1.0574018127%} 
4,29338.78587619008612819016,16967.41053412384280818515,0.57832694937433515303,12,UNH{9.9547511312%} JNJ{18.8536953243%} V{1.0558069382%} WMT{2.1116138763%} HD{14.4796380090%} MRK{13.2730015083%} KO{4.6757164404%} NKE{6.0331825038%} VZ{19.1553544495%} AMGN{2.4132730015%} CRM{6.9381598793%} WBA{1.0558069382%} 
5,29341.09883212436761823483,17002.01053306976245949045,0.57946059315457387751,12,UNH{9.9697885196%} JNJ{18.8821752266%} V{1.0574018127%} WMT{2.1148036254%} HD{14.5015105740%} MRK{13.2930513595%} KO{4.6827794562%} NKE{6.0422960725%} VZ{19.1842900302%} AMGN{2.4169184290%} CRM{6.7975830816%} WBA{1.0574018127%} 
6,29343.76306536860647611320,17027.13346350458232336678,0.58026414081839206016,12,UNH{9.9547511312%} JNJ{18.8536953243%} V{1.0558069382%} WMT{2.2624434389%} HD{14.4796380090%} MRK{13.2730015083%} KO{4.6757164404%} NKE{6.0331825038%} VZ{19.1553544495%} AMGN{2.4132730015%} CRM{6.7873303167%} WBA{1.0558069382%} 
7,29345.48230097641499014571,17036.99438208165520336479,0.58056617394612664018,12,UNH{9.9848714070%} JNJ{18.9107413011%} V{1.0590015129%} WMT{2.1180030257%} HD{14.5234493192%} MRK{13.3131618759%} KO{4.6898638427%} NKE{6.0514372163%} VZ{19.2133131619%} AMGN{2.4205748865%} CRM{6.6565809380%} WBA{1.0590015129%} 
8,29346.88424696547735948116,17062.02269064555002842098,0.58139128321296307256,12,UNH{9.9697885196%} JNJ{18.8821752266%} V{1.0574018127%} WMT{2.2658610272%} HD{14.5015105740%} MRK{13.2930513595%} KO{4.6827794562%} NKE{6.0422960725%} VZ{19.1842900302%} AMGN{2.4169184290%} CRM{6.6465256798%} WBA{1.0574018127%} 
9,29350.07327552951028337702,17079.46012332011014223099,0.58192223109575780260,12,UNH{9.9848714070%} JNJ{18.9107413011%} V{0.9077155825%} WMT{2.2692889561%} HD{14.5234493192%} MRK{13.3131618759%} KO{4.6898638427%} NKE{6.0514372163%} VZ{19.2133131619%} AMGN{2.4205748865%} CRM{6.6565809380%} WBA{1.0590015129%} 
10,29352.50250235571365919895,17097.00653965746096218936,0.58247185357655018034,12,UNH{9.9848714070%} JNJ{18.9107413011%} V{1.0590015129%} WMT{2.2692889561%} HD{14.5234493192%} MRK{13.3131618759%} KO{4.6898638427%} NKE{6.0514372163%} VZ{19.2133131619%} AMGN{2.4205748865%} CRM{6.5052950076%} WBA{1.0590015129%} 
