7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T,AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
1151.800,635.800,97.480,518.800,3003.500,3146.000,10886.667,869.333,2920.667,1288.600,466.200,9067,646.667,1077.667,1323.500,4375.000,1266.667,631.000,970.000,1269.333,933.333,4270.000,1500.000,1638.000,3401,1608.000,396.300,3539.000,962.500,3857.000,24.957,53.960,140.750,123.140,78.310,24.613,63.960,85.930,106.090,136.340,59.020,45.630,29.910,123.800,57.740,100.150,55.930,162.930,118.890,159.860,81.630,163.330,79.820,35.050,63.990,133.430,181.110,117.380,157.800,82.780
1156.800,647.200,99.980,521.600,2693.500,3194.000,11233.333,878.833,3061.333,1265.200,469.900,9278,645.000,1077.667,1319.000,4464.000,1276.667,635.000,980.000,1293.333,941.500,4229.000,1514.333,1637.000,3458,1661.000,405.600,3540.000,981.250,3865.000,24.968,53.090,142.590,125.250,78.720,24.553,63.860,86.170,106.040,136.980,58.660,45.630,29.920,126.500,57.760,99.470,55.700,162.490,119.350,159.580,81.370,161.410,79.740,35.150,64.160,134.660,181.240,117.050,157.080,82.210
1155.000,646.400,101.500,510.900,2704.500,3266.000,10973.333,873.000,3082.333,1242.000,471.000,9347,636.667,1056.667,1301.000,4480.000,1255.000,627.250,972.000,1283.333,932.500,4234.000,1507.000,1625.000,3459,1673.000,401.600,3541.000,990.000,3890.000,24.990,55.910,143.020,125.140,79.360,24.597,63.930,85.320,105.590,137.410,58.790,45.510,30.630,126.060,57.760,98.220,55.620,163.250,119.880,161.360,82.140,161.770,79.690,35.690,64.480,134.720,181.420,117.010,158.850,82.510
1175.000,642.600,100.320,522.100,2695.500,3210.000,11240.000,865.500,3065.333,1273.200,483.300,9365,640.833,1080.333,1310.000,4512.000,1240.000,633.750,1012.000,1307.333,974.500,4219.000,1509.667,1640.000,3533,1647.000,405.100,3578.000,1003.750,3839.000,24.858,55.800,142.870,125.150,78.790,24.507,63.690,85.260,105.390,136.070,58.790,45.450,30.580,127.180,56.990,98.010,55.370,164.190,118.660,160.450,81.700,160.050,80.010,34.270,63.430,133.530,180.260,116.720,157.500,81.700
1167.600,639.200,100.220,514.900,2696.000,3246.000,10880.000,866.333,3065.000,1245.400,486.000,9254,638.167,1063.333,1298.500,4458.000,1300.000,627.250,996.250,1301.000,951.000,4242.000,1483.333,1624.000,3469,1656.000,395.500,3540.000,975.000,3839.000,24.665,56.570,143.690,125.030,79.910,24.517,64.040,85.720,105.660,136.520,58.820,45.830,30.710,128.260,56.730,97.710,56.100,165.670,115.610,162.070,82.550,160.410,79.380,34.660,64.280,133.470,180.440,117.150,159.360,81.350
1169.200,632.000,99.380,508.900,2608.000,3203.000,11056.667,861.167,3028.000,1247.600,485.900,9199,630.500,1058.667,1289.500,4566.000,1298.333,623.750,1000.750,1306.000,951.667,4177.000,1478.000,1610.000,3523,1667.500,395.600,3571.000,948.750,3837.000,24.335,56.730,141.730,124.890,78.940,24.583,63.870,85.800,103.070,136.500,58.560,45.570,30.790,127.400,57.140,97.390,55.870,166.560,115.490,162.650,82.190,160.510,78.690,34.690,64.330,132.940,179.630,117.450,159.810,81.570
1139.800,632.000,98.920,495.400,2686.000,3232.000,10843.333,843.500,3000.000,1237.800,466.700,9090,612.167,1038.667,1262.000,4513.000,1295.000,613.750,968.000,1292.667,933.667,4124.000,1452.667,1583.000,3477,1691.500,391.500,3501.000,910.000,3805.000,24.168,56.760,141.700,125.150,78.490,24.577,64.130,85.270,102.680,136.750,58.360,44.880,30.880,121.710,56.370,96.690,54.810,167.670,115.950,162.120,81.760,161.160,82.750,35.090,64.370,134.850,177.660,117.650,160.620,81.330
1173.200,645.200,98.520,497.300,2711.000,3202.000,11210.000,834.000,3003.333,1417.400,476.400,9175,605.167,1047.000,1182.500,4548.000,1310.000,614.000,989.250,1309.333,954.333,4110.000,1457.333,1593.000,3532,1701.500,402.800,3607.000,925.000,3796.000,25.738,56.190,141.680,124.770,78.530,24.440,64.330,84.460,102.260,136.310,58.600,43.400,30.760,119.480,55.790,96.330,55.320,170.680,114.960,161.830,81.500,160.990,84.100,34.830,64.590,135.960,178.270,116.430,160.890,79.940
1171.800,638.400,97.460,484.600,2683.000,3156.000,10970.000,821.833,3000.333,1399.600,466.900,8959,602.333,1023.333,1190.000,4533.000,1288.333,611.750,992.750,1294.000,946.167,4056.000,1423.333,1581.000,3538,1694.500,400.300,3590.000,903.750,3762.000,26.085,56.210,142.760,124.460,79.190,24.413,64.100,84.810,101.790,137.960,58.430,43.650,30.520,119.420,55.450,95.910,54.860,171.280,115.760,161.370,82.330,160.530,82.920,34.770,64.790,133.010,177.980,117.610,161.010,79.460
1178.800,656.400,97.620,522.000,2851.500,3145.000,11143.333,820.333,3009.667,1412.800,476.500,9012,592.833,1102.667,1172.500,4588.000,1288.333,604.250,1011.500,1346.667,947.167,4025.000,1434.333,1671.000,3465,1721.500,433.000,3601.000,895.000,3844.000,26.052,56.680,143.200,125.230,78.050,24.323,63.970,85.590,102.480,138.240,58.660,43.630,30.530,117.650,55.500,95.950,55.410,172.030,116.330,160.620,81.800,158.810,82.760,34.860,64.460,133.660,178.360,116.220,161.010,79.250
1159.400,667.800,100.540,544.600,2965.000,3215.000,11556.667,818.333,2896.667,1413.000,469.600,9002,588.500,1144.667,1170.500,4800.000,1286.667,601.750,1025.250,1324.333,947.333,4047.000,1429.000,1710.000,3501,1778.500,433.000,3564.000,881.250,3790.000,26.512,56.580,143.510,125.400,78.260,24.593,63.800,86.410,99.110,138.770,58.660,43.450,30.730,118.010,55.410,95.540,54.500,174.160,115.880,161.450,81.020,158.180,81.950,34.850,64.130,133.210,178.290,116.810,160.950,79.270
1139.200,664.600,98.540,512.300,3030.000,3157.000,11213.333,822.667,2900.333,1362.600,458.700,8781,583.833,1096.667,1159.000,4778.000,1260.000,591.500,975.250,1292.667,919.833,4053.000,1422.333,1658.000,3430,1740.000,421.100,3490.000,863.750,3668.000,26.120,56.580,143.170,124.850,78.280,24.377,63.650,86.760,99.590,137.220,58.330,43.530,30.620,117.700,54.920,95.010,54.000,174.150,115.450,160.580,80.500,156.060,81.240,34.560,63.470,131.600,178.360,117.030,159.390,78.950
1117.800,653.600,98.020,492.300,2956.000,3278.000,11513.333,794.667,2818.333,1342.200,442.600,8554,614.500,1049.667,1141.500,4722.000,1236.667,602.000,938.000,1244.000,955.000,3928.000,1408.333,1603.000,3343,1729.000,409.300,3437.000,850.000,3555.000,26.448,56.970,142.880,123.900,78.710,24.313,64.660,85.970,100.610,137.060,57.650,43.640,30.720,117.520,54.750,96.090,53.900,173.430,116.010,160.670,80.410,158.340,82.030,34.250,63.830,131.870,178.380,117.980,160.290,79.600
1138.200,655.800,96.400,507.100,2921.000,3203.000,11833.333,796.167,2812.333,1401.600,457.000,8537,643.500,1073.000,1162.500,4734.000,1220.000,629.750,987.750,1254.000,974.833,3952.000,1411.333,1628.000,3381,1699.500,428.500,3536.000,813.750,3538.000,26.468,57.390,142.710,123.860,79.480,24.433,64.560,86.050,100.390,136.050,57.840,43.510,30.800,118.300,54.790,95.160,53.930,172.670,115.950,161.550,80.560,158.050,81.770,34.580,63.940,131.210,177.810,117.880,160.470,79.850
1172.000,658.600,96.140,504.200,2900.500,3236.000,12213.333,792.167,2737.667,1369.200,461.400,8350,654.000,1069.667,1159.000,4629.000,1181.667,628.750,1005.500,1234.667,968.000,3960.000,1398.667,1624.000,3320,1685.500,427.200,3493.000,802.500,3512.000,26.870,57.960,142.990,124.240,80.140,24.587,66.300,85.780,100.510,136.910,63.860,43.480,31.040,119.210,55.850,95.830,53.640,173.660,116.370,163.500,81.330,162.090,82.560,34.980,65.520,131.730,178.570,118.580,160.920,80.530
1211.000,659.400,95.420,531.400,3000.000,3246.000,12626.667,788.333,2873.333,1415.600,482.900,8682,667.500,1126.000,1181.500,4694.000,1203.333,641.000,1031.750,1290.667,1000.667,4008.000,1454.667,1679.000,3445,1687.000,439.500,3628.000,823.750,3567.000,27.093,58.060,142.130,123.650,79.950,24.447,66.100,85.760,101.200,136.210,62.860,43.440,31.010,118.290,55.980,95.750,53.590,172.340,116.040,162.040,81.170,162.830,83.440,35.040,65.830,132.190,178.580,118.150,160.800,80.630
1202.200,674.800,97.080,536.000,3100.500,3244.000,12500.000,796.667,2880.667,1438.200,491.200,8791,684.333,1136.333,1213.000,4765.000,1198.333,651.500,1024.250,1299.000,997.333,3996.000,1480.000,1677.000,3484,1694.000,448.400,3616.000,851.250,3557.000,27.203,58.200,141.820,123.430,80.060,24.513,65.870,85.990,101.320,136.110,62.490,43.470,30.940,118.310,55.770,96.670,53.660,172.080,116.260,161.770,81.180,163.440,82.830,34.920,65.390,132.620,178.390,118.180,160.170,80.890
1188.800,674.600,97.280,536.100,3182.000,3226.000,12333.333,788.167,2888.333,1423.800,484.800,9164,685.833,1133.000,1215.500,4764.000,1200.000,649.750,1002.000,1282.000,987.167,3996.000,1467.333,1663.000,3463,1670.000,439.500,3370.000,851.250,3564.000,27.000,58.020,142.190,123.360,79.680,24.650,65.280,86.310,100.140,135.600,62.640,43.610,30.850,118.800,55.130,97.860,53.810,171.230,116.030,162.080,80.240,162.190,82.650,34.530,64.740,132.280,178.820,118.230,160.350,82.500
1188.800,674.600,97.280,536.100,3182.000,3226.000,12333.333,788.167,2888.333,1423.800,484.800,9164,685.833,1133.000,1215.500,4764.000,1200.000,649.750,1002.000,1282.000,987.167,3996.000,1467.333,1663.000,3463,1670.000,439.500,3370.000,851.250,3564.000,26.983,58.300,142.630,123.770,80.120,24.600,65.460,86.730,101.400,137.040,63.630,43.750,30.950,119.380,56.730,97.770,53.860,172.430,116.370,163.530,81.480,163.860,83.240,34.680,65.480,133.000,181.000,118.600,160.920,82.910
1200.000,669.800,97.480,529.000,3176.500,3240.000,12693.333,807.667,2992.667,1414.800,488.200,9270,691.667,1125.667,1212.500,4808.000,1226.667,647.500,1014.000,1293.667,985.000,4010.000,1488.000,1661.000,3429,1693.000,448.000,3356.000,866.250,3560.000,27.045,57.940,142.880,123.220,80.020,24.630,65.320,87.040,102.160,136.570,63.350,44.030,30.870,119.520,56.450,96.840,53.650,173.020,116.100,161.950,81.630,163.250,83.000,34.570,65.380,133.100,180.270,118.510,156.990,83.320
1190.000,660.000,97.400,524.900,3402.000,3255.000,12543.333,801.000,2988.667,1402.600,481.900,9284,682.000,1120.667,1196.500,4717.000,1183.333,641.000,1006.000,1271.667,982.833,4043.000,1466.667,1653.000,3475,1657.500,448.300,3358.000,852.500,3514.000,27.370,58.120,141.620,122.310,80.910,24.440,65.720,87.020,102.770,137.060,63.320,44.240,31.190,118.520,56.770,97.100,53.610,174.580,116.840,161.880,78.920,165.550,84.150,34.910,65.630,134.660,180.560,118.350,158.370,83.610
1175.000,659.000,97.080,518.000,3401.000,3190.000,12166.667,801.833,2962.333,1387.600,478.700,9155,671.500,1109.667,1182.000,4652.000,1166.667,627.000,989.500,1246.000,976.333,3991.000,1451.000,1631.000,3433,1634.000,461.200,3325.000,832.500,3465.000,27.345,57.440,141.080,120.330,80.810,24.297,65.710,86.580,102.620,136.230,63.040,43.830,31.120,117.940,56.880,96.880,52.760,172.160,116.230,160.700,77.960,165.650,84.290,35.210,65.300,135.000,179.250,116.980,157.080,82.800
1201.200,650.600,96.640,535.900,3383.500,3241.000,12323.333,799.500,2927.000,1433.800,490.100,9226,691.000,1146.000,1208.000,4690.000,1158.333,649.500,1018.750,1295.000,1009.333,3969.000,1462.333,1681.000,3465,1625.500,471.000,3360.000,848.750,3421.000,27.305,57.560,141.710,121.310,80.840,24.310,65.890,86.960,102.220,136.150,63.290,44.060,30.720,117.100,56.860,96.870,53.170,174.310,115.780,160.440,76.320,165.670,84.410,35.020,65.680,134.720,179.870,117.420,157.920,82.520
