Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,70778.202544494939502328634262084961,16437.679876353024155832827091217041,0.232242120955521935687926315950,7,9432.T 8316.T 2914.T AAPL PG HD VZ 
2,72286.932301290478790178894996643066,18788.334227155406551901251077651978,0.259913287630549993956208254531,6,9432.T 2914.T AAPL PG HD VZ 
3,74171.302458121790550649166107177734,19127.468438191819586791098117828369,0.257882331903116712723544878827,6,9432.T 8001.T AAPL PG HD VZ 
4,78800.256825303731602616608142852783,19135.281801246666873339563608169556,0.242832733955025553695961093581,7,8316.T 2914.T AAPL PG CVX HD VZ 
5,79388.050404610796249471604824066162,21012.956667652848409488797187805176,0.264686644407537086109982737980,6,8001.T 2914.T AAPL PG HD VZ 
6,82866.649515806057024747133255004883,21935.557421572932071285322308540344,0.264709114580394921922845696827,6,2914.T AAPL PG CVX HD VZ 
7,85056.101657790291937999427318572998,22666.905230715867219259962439537048,0.266493582340659784790659614373,6,9432.T 2914.T AAPL PG HD CSCO 
8,88424.383069314542808569967746734619,23006.039441752276616171002388000488,0.260177551068896784070005878675,6,9432.T 8001.T AAPL PG HD CSCO 
9,88872.011594708412303589284420013428,23143.560945919743971899151802062988,0.260414505429038267703134579278,7,9432.T 8001.T AAPL PG CVX HD CSCO 
10,89844.122142637832439504563808441162,24019.876154905581643106415867805481,0.267350557633267094104212446837,8,6902.T 2914.T AAPL PG CVX HD MCD VZ 
11,90380.856283706874819472432136535645,24023.316565837922098580747842788696,0.265800940084351122738581807425,7,6902.T 2914.T AAPL PG HD MCD VZ 
12,91234.936349380921456031501293182373,24545.752147703035006998106837272644,0.269038957332155714841093185896,5,9432.T 2914.T AAPL PG HD 
13,91888.642960287237656302750110626221,24770.025897511746734380722045898438,0.269565694949015055570384902239,7,8001.T 6902.T 2914.T AAPL PG HD VZ 
14,92281.798798227013321593403816223145,24956.462934167157072806730866432190,0.270437543038515637583429906954,5,9432.T 8001.T AAPL PG HD 
15,92822.284668304419028572738170623779,25833.683409881552506703883409500122,0.278313375954889141716819267458,6,6902.T 2914.T AAPL PG HD VZ 
16,97120.266030433442210778594017028809,25923.684471694839885458350181579590,0.266923532350822001468770849897,6,4568.T 2914.T AAPL UNH PG HD 
17,97126.717668864817824214696884155273,26172.817620917961903614923357963562,0.269470834072136955494869425820,6,8001.T 6902.T AAPL PG HD VZ 
18,98102.790091381524689495563507080078,26185.206782016084616770967841148376,0.266916025095972231362395632459,7,9432.T 6902.T 2914.T AAPL PG HD CSCO 
19,98423.937219106708653271198272705078,26479.910819926328258588910102844238,0.269039337056574012763121572789,7,9432.T 8001.T 6902.T AAPL PG HD CSCO 
20,99285.321628759673330932855606079102,26928.781395007186802104115486145020,0.271226209002951024196192975069,8,6902.T 2914.T AAPL PG CVX HD CSCO MCD 
21,100798.452614126057596877217292785645,27095.418374838049203390255570411682,0.268807880201931304053886151451,6,6902.T AAPL PG CVX HD VZ 
22,100998.984604827477596700191497802734,27217.612143418242339976131916046143,0.269484017586027413404536900998,5,8001.T 2914.T AAPL PG HD 
