Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,284006.758533050364349037408828735352,1162.656285784445799436070956289768,0.004093762739273493038438811453,3,4519.T WMT VZ 
2,340984.071902221941854804754257202148,12071.779591693795737228356301784515,0.035402766834092498637875934264,2,4519.T WMT 
3,517518.668273382179904729127883911133,13648.343649901245953515172004699707,0.026372659551464588956193324520,2,9433.T 4519.T 
4,612565.905748162651434540748596191406,31740.326353878186637302860617637634,0.051815365589294205828085893017,1,4519.T 

fitness_time:,100762
execution time:,0.416712852999999994185742480113 s
Exp_times:,1
gen:,10000
theta:,0.000299999999999999973718939339
market:,NIKKEI30&DJIA30
