Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
6,9432.T 8306.T 8058.T 9022.T HD HON ,0.79201384339507663324,59737.42652926435403060168,47312.86877997367264470086,216181
8,9432.T 8306.T 8058.T 8001.T 9022.T HD MRK VZ ,0.76929521003096590359,62539.48188357992330566049,48111.32385085640271427110,9418
5,9432.T 8306.T 8031.T HD MRK ,0.73733930977360129244,65667.97195019564242102206,48419.57711198946344666183,12595
5,9432.T 8306.T 8058.T HD HON ,0.75289396262123486903,65913.53877497918438166380,49625.90539868249470600858,266681
8,9432.T 8306.T 8058.T 8001.T 9022.T AAPL HD MRK ,0.73304738414495407284,68104.08200825449603144079,49923.51916574438655516133,107191
8,9432.T 8306.T 8058.T 8316.T 8001.T 9022.T HD MRK ,0.71859972442594111097,70243.57203968090470880270,50477.01151040843978989869,105569
8,9432.T 8306.T 8058.T 8316.T 8001.T 9022.T HD VZ ,0.68916957265644807062,73630.38309585499519016594,50743.81965270094224251807,105765
4,9432.T 8306.T 8058.T HD ,0.73922474519992464881,74225.88280507472518365830,54869.60930382083461154252,105533
4,8306.T 8058.T 9022.T HD ,0.67608762353511253629,83780.44284643691207747906,56642.92050276685040444136,126485
6,9432.T 8306.T 8058.T 8001.T HD MRK ,0.64176655957969541699,88514.28557071772229392081,56805.50852437418507179245,105285
6,9432.T 8306.T 8058.T 8001.T HD VZ ,0.61518070259706048031,92917.84085216363018844277,57161.26261923587298952043,105288
6,9432.T 8306.T 8058.T 8001.T AAPL HD ,0.61222016992099237420,97314.31604811052966397256,59577.78710671938461018726,105190
6,9432.T 8306.T 8058.T 8316.T 8001.T HD ,0.60866768325524744920,99097.15111879039613995701,60317.23338866930862423033,105280
3,8306.T 8001.T HD ,0.58779093429842022012,103408.02999808760068845004,60782.30256653497053775936,107490
3,8306.T 8058.T HD ,0.59444833436824584538,107041.77112369200040120631,63630.80255230570764979348,108980
7,9432.T 8306.T 9984.T 8058.T 8001.T AAPL HD ,0.53767784721656186608,120600.05250974053342361003,64843.97660764161264523864,207453
5,8306.T 8058.T 8001.T AAPL HD ,0.54294730842593008635,121069.77219580821110866964,65734.50694545457372441888,108074
5,9432.T 8306.T 8058.T 8001.T HD ,0.54723778101687092779,122240.10059097179328091443,66894.40139868250116705894,104732
5,8306.T 8058.T 8001.T 9022.T HD ,0.51725972245503715197,132071.90397089780890382826,68315.47639209491899237037,109171
4,8306.T 9984.T 8001.T HD ,0.50490617383241020999,138155.42341219715308398008,69755.52622924905153922737,137833
6,9432.T 8306.T 9984.T 8058.T 8001.T AAPL ,0.48584198460348365645,143583.00131911932840012014,69758.65031620554509572685,218671
2,8306.T 8001.T ,0.50838729678047200888,144218.68581375465146265924,73318.94782608693640213460,151332
4,9432.T 8306.T 8058.T 8001.T ,0.48597183992138426323,153805.83457374171121045947,74745.30441844531742390245,105332
4,8306.T 8058.T 8001.T HD ,0.48395715074893241869,158108.10425123287132009864,76517.54764374182559549809,106866
4,8306.T 8058.T 8001.T 9022.T ,0.45802634923866003547,167061.60190255867200903594,76518.61561739133321680129,130185
5,9432.T 8306.T 9984.T 8058.T 8001.T ,0.44784515182228890051,176623.86970588791882619262,79100.14374387354473583400,205493
