Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
17,24930.29188,22386.90426,0.89798,12,WMT{16.536458%} JPM{14.453125%} PG{1.041667%} MRK{10.546875%} KO{0.781250%} CSCO{4.166667%} DIS{8.333333%} VZ{6.250000%} CAT{8.333333%} INTC{4.687500%} AXP{8.333333%} TRV{16.536458%} ,
18,25005.44171,22729.69603,0.90899,16,V{0.139470%} WMT{17.712692%} JPM{13.110181%} PG{6.276151%} HD{0.278940%} MRK{9.065551%} KO{0.836820%} CSCO{4.463040%} NKE{0.139470%} DIS{8.926081%} VZ{3.207810%} CAT{8.926081%} INTC{4.602510%} AXP{4.463040%} BA{0.139470%} TRV{17.712692%} ,
19,25152.76759,23003.01865,0.914532,13,WMT{18.326118%} JPM{13.708514%} PG{4.617605%} HD{0.288600%} MRK{10.389610%} KO{1.443001%} CSCO{4.617605%} DIS{9.235209%} VZ{2.453102%} CAT{9.235209%} INTC{5.194805%} AXP{2.308802%} TRV{18.181818%} ,
20,25244.36744,23110.44949,0.91547,16,V{0.139470%} WMT{17.712692%} JPM{13.110181%} PG{1.813110%} HD{0.278940%} MRK{13.528591%} KO{0.836820%} CSCO{4.463040%} NKE{0.139470%} DIS{8.926081%} VZ{3.207810%} CAT{8.926081%} INTC{4.602510%} AXP{4.463040%} BA{0.139470%} TRV{17.712692%} ,
21,25257.24359,23120.42713,0.915398,13,WMT{17.912553%} JPM{15.655853%} PG{4.513399%} HD{0.282087%} MRK{10.155148%} KO{1.410437%} CSCO{4.513399%} DIS{9.026798%} VZ{2.397743%} CAT{9.026798%} INTC{5.077574%} AXP{2.256700%} TRV{17.771509%} ,
22,25268.45469,23129.72651,0.91536,15,V{0.136799%} WMT{17.373461%} JPM{17.236662%} PG{1.778386%} MRK{8.891929%} KO{0.820793%} CSCO{6.566347%} NKE{0.136799%} DIS{8.755130%} VZ{3.146375%} CAT{8.755130%} INTC{4.514364%} AXP{4.377565%} BA{0.136799%} TRV{17.373461%} ,
23,25280.61896,23171.13841,0.916557,16,V{0.144300%} WMT{18.326118%} JPM{13.564214%} PG{1.875902%} HD{0.288600%} MRK{9.379509%} KO{0.865801%} CSCO{4.617605%} NKE{0.144300%} DIS{9.235209%} VZ{4.473304%} CAT{9.235209%} INTC{4.761905%} AXP{4.617605%} BA{0.144300%} TRV{18.326118%} ,
24,25304.1739,23221.73523,0.917704,16,V{0.136426%} WMT{17.326057%} JPM{15.006821%} PG{1.773533%} HD{0.272851%} MRK{13.233288%} KO{0.818554%} CSCO{4.365621%} NKE{0.136426%} DIS{8.731241%} VZ{3.137790%} CAT{8.731241%} INTC{4.502046%} AXP{4.365621%} BA{0.136426%} TRV{17.326057%} ,
25,25308.69974,23279.51346,0.919823,16,V{0.142653%} WMT{18.116976%} JPM{13.409415%} PG{4.136947%} HD{0.285307%} MRK{9.272468%} KO{0.855920%} CSCO{4.564907%} NKE{0.142653%} DIS{9.129815%} VZ{3.281027%} CAT{9.129815%} INTC{4.707561%} AXP{4.564907%} BA{0.142653%} TRV{18.116976%} ,
26,25318.06091,23284.3735,0.919674,16,V{0.141044%} WMT{17.912553%} JPM{15.514810%} PG{1.833568%} HD{0.282087%} MRK{9.167842%} KO{0.846262%} CSCO{4.513399%} NKE{0.141044%} DIS{9.026798%} VZ{4.372355%} CAT{9.026798%} INTC{4.654443%} AXP{4.513399%} BA{0.141044%} TRV{17.912553%} ,
27,25333.91736,23388.81069,0.923221,16,V{0.139470%} WMT{17.712692%} JPM{15.341702%} PG{4.044630%} HD{0.278940%} MRK{9.065551%} KO{0.836820%} CSCO{4.463040%} NKE{0.139470%} DIS{8.926081%} VZ{3.207810%} CAT{8.926081%} INTC{4.602510%} AXP{4.463040%} BA{0.139470%} TRV{17.712692%} ,
28,25396.241,23441.25523,0.923021,16,V{0.137931%} WMT{17.517241%} JPM{16.275862%} PG{4.000000%} HD{0.275862%} MRK{8.965517%} KO{0.827586%} CSCO{4.413793%} NKE{0.137931%} DIS{8.827586%} VZ{3.172414%} CAT{8.827586%} INTC{4.551724%} AXP{4.413793%} BA{0.137931%} TRV{17.517241%} ,
29,25441.75208,23563.62896,0.926179,14,JNJ{0.139082%} WMT{17.663421%} JPM{15.299026%} PG{5.006954%} MRK{8.901252%} KO{0.973574%} CSCO{4.450626%} NKE{0.278164%} DIS{9.040334%} VZ{2.781641%} CAT{8.901252%} INTC{4.450626%} AXP{4.450626%} TRV{17.663421%} ,
30,25442.65393,23579.13133,0.926756,16,V{0.139470%} WMT{17.712692%} JPM{15.341702%} PG{1.813110%} HD{0.278940%} MRK{11.297071%} KO{0.836820%} CSCO{4.463040%} NKE{0.139470%} DIS{8.926081%} VZ{3.207810%} CAT{8.926081%} INTC{4.602510%} AXP{4.463040%} BA{0.139470%} TRV{17.712692%} ,
31,25467.02356,23594.92897,0.926489,15,V{0.138313%} WMT{17.565698%} JPM{17.427386%} PG{1.798064%} MRK{8.990318%} KO{0.829876%} CSCO{5.532503%} NKE{0.138313%} DIS{8.852006%} VZ{3.181189%} CAT{8.852006%} INTC{4.564315%} AXP{4.426003%} BA{0.138313%} TRV{17.565698%} ,
32,25480.07833,23614.3323,0.926776,14,JNJ{0.137552%} WMT{17.469051%} JPM{16.231087%} PG{4.951857%} MRK{8.803301%} KO{0.962861%} CSCO{4.401651%} NKE{0.275103%} DIS{8.940853%} VZ{2.751032%} CAT{8.803301%} INTC{4.401651%} AXP{4.401651%} TRV{17.469051%} ,
33,25482.14478,23629.52882,0.927297,16,V{0.137931%} WMT{17.517241%} JPM{16.275862%} PG{1.793103%} HD{0.275862%} MRK{11.172414%} KO{0.827586%} CSCO{4.413793%} NKE{0.137931%} DIS{8.827586%} VZ{3.172414%} CAT{8.827586%} INTC{4.551724%} AXP{4.413793%} BA{0.137931%} TRV{17.517241%} ,
34,25498.88831,23685.20916,0.928872,13,WMT{18.326118%} JPM{16.017316%} PG{2.308802%} HD{0.288600%} MRK{10.389610%} KO{1.443001%} CSCO{4.617605%} DIS{9.235209%} VZ{2.453102%} CAT{9.235209%} INTC{5.194805%} AXP{2.308802%} TRV{18.181818%} ,
35,25515.38931,23709.50505,0.929224,12,WMT{16.536458%} JPM{16.536458%} PG{1.041667%} MRK{10.546875%} KO{0.781250%} CSCO{4.166667%} DIS{8.333333%} VZ{4.166667%} CAT{8.333333%} INTC{4.687500%} AXP{8.333333%} TRV{16.536458%} ,
36,25538.80587,23737.80184,0.92948,13,WMT{18.116976%} JPM{16.975749%} PG{2.282454%} HD{0.285307%} MRK{10.271041%} KO{1.426534%} CSCO{4.564907%} DIS{9.129815%} VZ{2.425107%} CAT{9.129815%} INTC{5.135521%} AXP{2.282454%} TRV{17.974322%} ,
37,25555.68624,23763.72663,0.92988,16,V{0.141044%} WMT{17.912553%} JPM{15.514810%} PG{1.833568%} HD{0.282087%} MRK{10.296192%} KO{0.846262%} CSCO{4.513399%} NKE{0.141044%} DIS{9.026798%} VZ{3.244006%} CAT{9.026798%} INTC{4.654443%} AXP{4.513399%} BA{0.141044%} TRV{17.912553%} ,
38,25576.91185,23814.05361,0.931076,16,V{0.139470%} WMT{17.712692%} JPM{16.457462%} PG{1.813110%} HD{0.278940%} MRK{10.181311%} KO{0.836820%} CSCO{4.463040%} NKE{0.139470%} DIS{8.926081%} VZ{3.207810%} CAT{8.926081%} INTC{4.602510%} AXP{4.463040%} BA{0.139470%} TRV{17.712692%} ,
