Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,12016.23413184454329893924,13393.53595121952457702719,1.11462008847888172092,20,AAPL{10.2060843965%} MSFT{12.4631992149%} UNH{9.3228655545%} V{2.2571148184%} JPM{6.1825318940%} PG{6.1825318940%} HD{3.1403336605%} MRK{1.4720314033%} KO{6.6732090285%} CSCO{1.5701668302%} DIS{5.3974484789%} VZ{3.5328753680%} IBM{0.7850834151%} CRM{5.0049067713%} GS{0.6869479882%} CAT{0.1962708538%} INTC{6.2806673209%} AXP{8.9303238469%} MMM{9.4210009814%} WBA{0.2944062807%} 
2,12016.62673313369668903761,13414.27852264812463545240,1.11630982808683354435,20,AAPL{10.2161100196%} MSFT{12.4754420432%} UNH{9.3320235756%} V{2.2593320236%} JPM{6.1886051081%} PG{6.1886051081%} HD{3.1434184676%} MRK{1.4734774067%} KO{6.6797642436%} CSCO{1.5717092338%} DIS{5.4027504912%} VZ{3.5363457760%} IBM{0.7858546169%} CRM{5.0098231827%} GS{0.6876227898%} CAT{0.0982318271%} INTC{6.2868369352%} AXP{8.9390962672%} MMM{9.4302554028%} WBA{0.2946954813%} 
3,12017.38175521468838269357,13435.73737282234833401162,1.11802534416385612737,19,AAPL{10.2261553589%} MSFT{12.4877089479%} UNH{9.3411996067%} V{2.2615535890%} JPM{6.1946902655%} PG{6.1946902655%} HD{3.1465093412%} MRK{1.4749262537%} KO{6.6863323500%} CSCO{1.5732546706%} DIS{5.4080629302%} VZ{3.5398230088%} IBM{0.7866273353%} CRM{5.0147492625%} GS{0.6882989184%} INTC{6.2930186824%} AXP{8.9478859390%} MMM{9.4395280236%} WBA{0.2949852507%} 
4,12018.71819171682363958098,13436.98763066208812233526,1.11800504981660364656,20,AAPL{10.2261553589%} MSFT{12.4877089479%} UNH{9.3411996067%} V{2.2615535890%} JPM{6.1946902655%} PG{6.1946902655%} HD{3.1465093412%} MRK{1.4749262537%} KO{6.6863323500%} CSCO{1.5732546706%} DIS{5.3097345133%} VZ{3.5398230088%} IBM{0.7866273353%} CRM{5.0147492625%} GS{0.6882989184%} CAT{0.0983284169%} INTC{6.2930186824%} AXP{8.9478859390%} MMM{9.4395280236%} WBA{0.2949852507%} 
5,12019.71490486537186370697,13449.37995121959284006152,1.11894334080881718840,19,AAPL{10.2261553589%} MSFT{12.4877089479%} UNH{9.3411996067%} V{2.2615535890%} JPM{6.1946902655%} PG{6.1946902655%} HD{3.1465093412%} MRK{1.4749262537%} KO{6.7846607670%} CSCO{1.5732546706%} DIS{5.3097345133%} VZ{3.5398230088%} IBM{0.7866273353%} CRM{5.0147492625%} GS{0.6882989184%} INTC{6.2930186824%} AXP{8.9478859390%} MMM{9.4395280236%} WBA{0.2949852507%} 
6,12019.86024623450975923333,13462.01829965156139223836,1.11998126632702232897,19,AAPL{10.2060843965%} MSFT{12.4631992149%} UNH{9.3228655545%} V{2.2571148184%} JPM{6.1825318940%} PG{6.1825318940%} HD{3.1403336605%} MRK{1.4720314033%} KO{6.6732090285%} CSCO{1.5701668302%} DIS{5.3974484789%} VZ{3.5328753680%} IBM{0.9813542689%} CRM{5.0049067713%} GS{0.6869479882%} INTC{6.2806673209%} AXP{8.9303238469%} MMM{9.4210009814%} WBA{0.2944062807%} 
7,12020.32937737515385379083,13462.92349825790188333485,1.12001286117816545307,19,AAPL{10.2261553589%} MSFT{12.4877089479%} UNH{9.3411996067%} V{2.2615535890%} JPM{6.1946902655%} PG{6.1946902655%} HD{3.1465093412%} MRK{1.4749262537%} KO{6.7846607670%} CSCO{1.5732546706%} DIS{5.4080629302%} VZ{3.5398230088%} IBM{0.7866273353%} CRM{5.0147492625%} GS{0.6882989184%} INTC{6.2930186824%} AXP{8.8495575221%} MMM{9.4395280236%} WBA{0.2949852507%} 
8,12020.90797383802782860585,13471.68646689894376322627,1.12068792941584360889,19,AAPL{10.2362204724%} MSFT{12.5000000000%} UNH{9.3503937008%} V{2.2637795276%} JPM{6.2007874016%} PG{6.2007874016%} HD{3.1496062992%} MRK{1.4763779528%} KO{6.6929133858%} CSCO{1.5748031496%} DIS{5.4133858268%} VZ{3.5433070866%} IBM{0.7874015748%} CRM{5.0196850394%} GS{0.6889763780%} INTC{6.2992125984%} AXP{8.8582677165%} MMM{9.4488188976%} WBA{0.2952755906%} 
9,12022.96760631781398842577,13480.46353658541556796990,1.12122597165625892401,19,AAPL{10.2463054187%} MSFT{12.5123152709%} UNH{9.3596059113%} V{2.2660098522%} JPM{6.2068965517%} PG{6.2068965517%} HD{3.1527093596%} MRK{1.4778325123%} KO{6.6995073892%} CSCO{1.5763546798%} DIS{5.2216748768%} VZ{3.5467980296%} IBM{0.7881773399%} CRM{5.0246305419%} GS{0.6896551724%} INTC{6.3054187192%} AXP{8.9655172414%} MMM{9.4581280788%} WBA{0.2955665025%} 
10,12023.95799148107471410185,13489.12882229962815472391,1.12185428723691660302,19,AAPL{10.2564102564%} MSFT{12.5246548323%} UNH{9.3688362919%} V{2.2682445759%} JPM{6.2130177515%} PG{6.2130177515%} HD{3.1558185404%} MRK{1.4792899408%} KO{6.5088757396%} CSCO{1.5779092702%} DIS{5.4240631164%} VZ{3.5502958580%} IBM{0.7889546351%} CRM{5.0295857988%} GS{0.6903353057%} INTC{6.3116370809%} AXP{8.8757396450%} MMM{9.4674556213%} WBA{0.2958579882%} 
11,12024.17326507891630171798,13493.46448083626455627382,1.12219478074426315395,19,AAPL{10.2463054187%} MSFT{12.5123152709%} UNH{9.3596059113%} V{2.2660098522%} JPM{6.2068965517%} PG{6.2068965517%} HD{3.1527093596%} MRK{1.4778325123%} KO{6.6995073892%} CSCO{1.5763546798%} DIS{5.3201970443%} VZ{3.5467980296%} IBM{0.7881773399%} CRM{5.0246305419%} GS{0.6896551724%} INTC{6.3054187192%} AXP{8.8669950739%} MMM{9.4581280788%} WBA{0.2955665025%} 
12,12026.71703441204772389028,13507.00802787458815146238,1.12308354717475955553,19,AAPL{10.2463054187%} MSFT{12.5123152709%} UNH{9.3596059113%} V{2.2660098522%} JPM{6.2068965517%} PG{6.2068965517%} HD{3.1527093596%} MRK{1.4778325123%} KO{6.6995073892%} CSCO{1.5763546798%} DIS{5.4187192118%} VZ{3.5467980296%} IBM{0.7881773399%} CRM{5.0246305419%} GS{0.6896551724%} INTC{6.3054187192%} AXP{8.7684729064%} MMM{9.4581280788%} WBA{0.2955665025%} 
