AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
194.030,413.520,497.440,147.740,270.380,65.820,201.820,164.650,157.460,328.010,128.420,62.930,46.650,259.750,94.400,102.770,40.980,307.420,202.460,165.280,236.620,454.980,331.360,30.290,236.880,184.570,99.760,210.340,80.630,15.920
194.350,416.070,505.490,147.800,272.420,66.600,199.160,167.010,156.130,328.260,128.710,63.940,47.420,262.720,94.740,103.330,41.560,307.370,207.230,165.810,234.860,455.300,327.570,30.030,237.250,188.620,98.610,209.640,80.340,16.110
195.870,424.010,503.120,145.970,274.500,67.090,197.260,166.050,154.980,330.260,129.450,63.920,46.020,259.990,94.320,101.500,41.350,307.380,209.270,167.380,236.530,461.680,329.450,30.780,234.690,189.850,99.060,208.410,80.620,15.940
194.480,424.520,501.920,146.420,277.040,67.150,196.910,168.470,155.930,331.100,130.520,64.150,46.230,260.720,95.720,101.210,41.330,305.690,208.450,168.200,242.760,458.100,328.290,30.420,233.350,191.420,98.220,209.710,80.250,15.860
196.890,423.850,490.690,147.080,278.670,65.880,199.950,167.060,156.080,327.030,130.670,63.910,45.840,256.210,96.550,101.540,40.940,305.020,208.780,170.010,241.850,454.910,328.940,30.740,232.670,190.240,100.860,212.950,80.010,15.840
193.120,427.870,495.000,147.130,275.040,66.960,199.610,167.350,156.740,332.560,131.490,63.590,45.850,253.810,96.000,102.740,40.410,304.720,210.740,170.380,241.840,453.550,329.610,30.910,232.440,190.120,100.660,213.000,79.880,15.940
207.150,432.680,496.220,146.760,274.670,66.730,194.360,167.480,156.490,335.720,131.840,63.550,45.770,254.280,95.870,100.870,40.420,300.700,209.480,169.320,240.990,444.270,327.310,30.920,224.530,185.500,101.320,209.410,79.660,15.930
213.070,441.060,493.070,145.410,270.320,66.310,191.530,165.180,154.220,344.140,130.200,62.880,45.620,254.480,93.680,100.800,39.770,301.080,208.500,169.000,235.800,448.700,328.730,30.760,224.040,182.670,101.210,207.260,80.530,15.540
214.240,441.580,497.300,145.450,271.190,66.700,193.660,166.410,152.840,347.880,129.370,62.990,45.520,253.700,94.180,100.090,39.780,298.500,208.630,169.120,229.030,446.350,326.360,30.460,222.190,180.700,101.540,207.070,80.080,15.450
212.490,442.570,497.120,145.540,270.660,67.020,193.780,166.790,152.570,346.840,129.480,62.550,45.680,253.580,93.390,99.970,39.670,298.620,208.530,169.210,231.940,446.460,321.470,30.450,224.820,177.270,100.900,205.850,79.660,15.550
216.670,448.370,489.230,145.950,271.170,67.420,194.980,167.500,153.190,349.500,127.500,62.620,45.690,253.510,95.000,101.520,39.460,303.280,211.950,169.500,230.480,450.180,322.400,30.980,228.270,178.390,100.530,208.130,80.420,15.150
214.290,446.340,481.050,145.650,273.620,67.600,197.000,168.560,153.330,353.870,127.990,62.630,45.970,250.790,94.780,101.500,40.080,305.990,212.870,170.550,231.810,457.430,325.140,30.630,229.310,174.990,100.770,208.510,80.720,16.110
214.290,446.340,481.050,145.650,273.620,67.600,197.000,168.560,153.330,353.870,127.990,62.630,45.970,250.790,94.780,101.500,40.080,305.990,212.870,170.550,231.810,457.430,325.140,30.630,229.310,174.990,100.770,208.510,80.720,16.110
209.680,445.700,484.520,147.780,276.820,68.010,198.670,167.670,156.640,353.440,129.670,62.180,46.720,253.800,95.570,101.840,40.240,309.890,214.140,173.920,241.800,458.050,329.130,30.620,230.210,176.300,101.660,211.970,79.870,15.870
207.490,449.780,482.590,148.750,275.220,67.910,196.300,168.260,155.280,355.800,130.720,62.770,47.290,259.390,97.180,102.270,40.240,308.160,215.090,172.460,245.060,450.180,327.840,31.090,230.380,176.560,102.390,209.800,79.830,15.970
208.140,447.670,489.980,149.120,276.300,68.900,198.880,168.450,159.310,350.880,132.960,63.970,47.280,260.380,97.170,101.980,41.170,318.150,215.890,175.010,239.940,462.090,330.000,30.570,231.470,179.100,102.990,211.090,81.080,15.910
209.070,450.950,484.500,147.190,273.530,67.420,198.070,166.850,158.460,338.320,132.920,63.840,47.380,257.380,94.750,102.200,41.080,319.310,214.450,172.600,241.760,457.380,327.400,30.740,230.590,175.100,102.050,208.720,80.460,15.700
213.250,452.160,484.040,146.820,273.600,68.290,197.430,167.450,155.950,341.820,131.500,64.050,46.860,257.830,94.060,102.180,41.020,312.820,213.430,171.870,243.150,455.860,326.730,30.540,230.680,178.500,101.450,205.740,80.030,15.660
214.100,452.850,486.440,145.800,266.590,67.880,199.170,166.620,156.320,341.490,129.820,63.910,47.450,258.170,94.190,102.170,40.820,313.690,214.380,170.850,252.850,445.960,327.460,30.590,228.400,182.510,103.170,206.950,79.980,12.190
210.620,446.950,509.260,146.160,262.470,67.710,202.260,164.920,156.420,344.240,123.800,63.650,47.510,254.840,75.370,99.290,41.240,312.450,213.540,172.950,257.100,452.320,333.100,30.970,231.550,182.010,102.190,203.340,80.490,12.095
