AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
226.210,420.690,583.300,161.990,277.600,81.270,207.040,173.040,149.700,409.050,114.740,71.710,52.740,302.980,89.130,94.050,45.210,320.320,206.070,219.350,270.870,490.170,392.390,22.690,268.600,154.220,137.060,235.120,87.920,8.700
226.780,417.130,592.310,161.170,277.000,80.430,207.290,171.920,150.950,411.260,112.080,71.010,52.620,303.760,83.100,94.150,45.050,319.730,203.880,219.730,279.480,491.990,394.050,22.390,270.920,152.890,135.430,235.060,88.050,8.700
225.670,416.540,592.750,160.500,276.860,80.430,205.230,170.120,151.250,411.580,110.180,70.520,52.430,303.450,82.100,93.630,44.520,317.480,202.880,222.720,280.910,486.100,391.090,22.260,268.590,150.520,134.780,233.300,87.140,8.670
226.800,416.060,591.200,160.290,277.930,80.940,211.220,168.880,150.740,408.360,109.770,70.170,52.750,303.760,82.250,95.150,44.180,319.660,203.780,226.000,287.750,495.160,397.090,22.590,275.970,155.000,135.270,236.210,87.540,8.720
221.690,409.540,583.560,159.530,273.790,79.100,210.930,167.120,151.120,408.060,108.590,69.010,52.510,300.850,80.830,92.390,43.840,317.450,203.330,227.120,284.570,494.620,398.250,22.380,273.790,155.910,134.850,225.970,85.940,8.870
225.770,414.710,581.580,159.690,274.960,79.710,210.750,168.160,148.750,414.180,108.520,69.180,52.730,301.900,80.770,92.510,44.010,317.680,207.000,228.620,291.570,496.570,387.960,23.320,269.110,154.650,134.690,230.340,84.480,9.080
229.540,417.460,591.220,160.650,276.930,80.400,213.420,169.270,149.650,416.070,110.270,69.570,53.560,303.830,82.450,93.600,44.110,322.410,213.700,234.300,287.920,505.180,396.190,23.460,271.420,149.370,135.010,231.470,85.640,8.910
229.040,415.840,597.700,160.510,277.470,79.610,212.840,168.950,150.620,409.960,109.400,69.250,53.540,304.040,82.100,92.990,42.950,321.010,213.600,233.020,290.170,503.720,396.640,23.220,270.470,146.620,133.460,233.200,86.310,9.030
227.550,416.320,598.050,161.460,277.840,80.100,222.290,171.090,151.420,411.900,109.730,69.570,54.250,305.040,82.150,94.130,43.000,328.350,215.990,233.260,288.100,516.300,402.020,23.560,276.160,151.020,134.750,236.580,86.530,9.210
231.300,419.140,605.400,161.600,280.680,80.290,221.480,172.510,151.780,415.420,109.690,70.340,54.270,309.840,81.600,94.970,43.190,324.620,217.600,235.260,291.640,522.750,393.950,23.440,276.520,148.990,135.760,240.120,86.850,9.000
233.850,418.740,556.290,164.100,279.290,81.650,222.390,173.570,147.730,415.580,111.530,70.340,54.080,313.340,82.120,94.220,43.740,325.090,217.270,232.960,288.350,522.380,387.990,22.660,277.310,152.350,135.730,240.880,84.710,10.420
231.780,416.120,571.340,164.280,287.520,81.220,223.640,172.380,148.730,418.610,110.420,70.570,56.380,312.920,83.940,96.750,43.910,321.630,218.960,233.670,290.860,529.860,393.620,22.310,281.680,154.900,136.350,242.950,85.290,11.070
232.150,416.720,566.030,164.470,290.390,80.890,224.420,172.280,151.200,415.600,109.750,69.900,56.400,314.700,83.400,96.540,43.850,321.330,219.550,232.880,291.110,529.000,394.490,22.440,285.780,155.310,135.680,264.820,85.240,10.660
235.000,418.160,569.610,165.120,290.620,81.310,225.370,171.280,150.750,415.000,108.700,70.440,56.760,316.560,82.920,97.280,43.990,321.660,222.020,232.200,292.940,528.500,393.860,22.770,276.790,155.000,135.140,265.450,85.090,10.790
236.480,418.780,571.470,162.830,286.850,80.810,223.000,169.540,150.880,406.400,106.340,69.450,56.590,314.890,81.480,96.620,43.700,316.740,221.500,231.750,291.290,517.800,390.480,22.840,270.740,159.820,134.840,259.700,84.870,10.450
