Risk,Expected Return,Remaining Fund,Selected Stocks
42219.92825092087150551379,32029.38511563363863388076,0.00000000000000000000,AAPL:0.0155945419; MSFT:0.1218323587; UNH:0.1159844055; JNJ:0.0038986355; V:0.0009746589; WMT:0.1179337232; JPM:0.0019493177; CVX:0.1120857700; MRK:0.1228070175; KO:0.0116959064; CSCO:0.0633528265; DIS:0.0019493177; AMGN:0.0009746589; HON:0.0009746589; IBM:0.1208576998; CRM:0.0009746589; GS:0.0116959064; CAT:0.0029239766; INTC:0.0136452242; AXP:0.0029239766; MMM:0.1237816764; WBA:0.0311890838; 
42651.2904491081,33246.4455296022,0.0000000000,MSFT:0.1237623762; UNH:0.1178217822; JNJ:0.0039603960; V:0.0009900990; WMT:0.1198019802; JPM:0.0019801980; CVX:0.1138613861; MRK:0.1247524752; KO:0.0118811881; CSCO:0.0643564356; DIS:0.0019801980; AMGN:0.0009900990; HON:0.0009900990; IBM:0.1227722772; CRM:0.0009900990; GS:0.0118811881; CAT:0.0029702970; INTC:0.0138613861; AXP:0.0029702970; MMM:0.1257425743; WBA:0.0316831683; 
44278.0723449021,34157.3488297872,0.0000000000,MSFT:0.1179435484; UNH:0.1169354839; JNJ:0.0040322581; V:0.0010080645; WMT:0.1219758065; JPM:0.0060483871; CVX:0.1159274194; MRK:0.1270161290; KO:0.0120967742; CSCO:0.0655241935; DIS:0.0020161290; AMGN:0.0010080645; HON:0.0010080645; IBM:0.1250000000; CRM:0.0010080645; GS:0.0120967742; CAT:0.0030241935; AXP:0.0030241935; MMM:0.1280241935; WBA:0.0352822581; 
46122.5387098773,36162.3481544866,0.0000000000,AAPL:0.0180790960; MSFT:0.1412429379; UNH:0.1344632768; JNJ:0.0045197740; V:0.0011299435; WMT:0.1367231638; JPM:0.0033898305; CVX:0.1299435028; MRK:0.0610169492; KO:0.0327683616; CSCO:0.0011299435; DIS:0.0022598870; AMGN:0.0011299435; HON:0.0056497175; IBM:0.1401129944; CRM:0.0011299435; GS:0.0011299435; CAT:0.0011299435; AXP:0.0033898305; MMM:0.1435028249; WBA:0.0361581921; 
46546.8084528427,36504.4871137835,0.0000000000,AAPL:0.0177975528; MSFT:0.1390433815; UNH:0.1323692992; JNJ:0.0044493882; V:0.0011123471; WMT:0.1345939933; JPM:0.0033370412; CVX:0.1279199110; MRK:0.0600667408; KO:0.0322580645; CSCO:0.0011123471; DIS:0.0022246941; AMGN:0.0011123471; HON:0.0055617353; IBM:0.1379310345; CRM:0.0011123471; GS:0.0133481646; CAT:0.0033370412; AXP:0.0033370412; MMM:0.1412680756; WBA:0.0367074527; 
47442.6852693556,37561.3413806660,0.0000000000,AAPL:0.0177383592; MSFT:0.1385809313; UNH:0.1319290466; JNJ:0.0044345898; V:0.0011086475; WMT:0.1341463415; JPM:0.0033259424; CVX:0.1274944568; MRK:0.0532150776; KO:0.0088691796; CSCO:0.0011086475; MCD:0.0044345898; DIS:0.0022172949; VZ:0.0044345898; AMGN:0.0720620843; HON:0.0011086475; IBM:0.1019955654; CRM:0.0011086475; GS:0.0066518847; CAT:0.0033259424; AXP:0.0033259424; MMM:0.1407982262; WBA:0.0365853659; 
48343.6144023689,38154.9365564293,0.0000000000,AAPL:0.0174291939; MSFT:0.1361655773; UNH:0.1296296296; JNJ:0.0043572985; V:0.0010893246; WMT:0.1318082789; JPM:0.0032679739; CVX:0.1296296296; MRK:0.0522875817; KO:0.0087145969; CSCO:0.0010893246; DIS:0.0021786492; AMGN:0.0708061002; HON:0.0010893246; IBM:0.1002178649; CRM:0.0010893246; GS:0.0152505447; CAT:0.0076252723; AXP:0.0119825708; MMM:0.1383442266; WBA:0.0359477124; 
50543.5983739059,39049.4814801110,0.0000000000,MSFT:0.1407942238; UNH:0.1395908544; JNJ:0.0048134777; V:0.0012033694; WMT:0.1456077016; JPM:0.0072202166; CVX:0.0734055355; HD:0.0060168472; MRK:0.0385078219; CSCO:0.0036101083; MCD:0.0433212996; NKE:0.0012033694; AMGN:0.0204572804; HON:0.0012033694; IBM:0.1492178099; CRM:0.0036101083; GS:0.0108303249; CAT:0.0012033694; INTC:0.0024067389; AXP:0.0036101083; MMM:0.1528279182; WBA:0.0493381468; 
51769.3477821766,41155.7096762257,0.0000000000,MSFT:0.1006289308; UNH:0.0842767296; JNJ:0.0050314465; V:0.0012578616; WMT:0.1522012579; JPM:0.0037735849; CVX:0.1446540881; MRK:0.0603773585; KO:0.0100628931; CSCO:0.0012578616; DIS:0.0025157233; VZ:0.0050314465; AMGN:0.0817610063; HON:0.0012578616; IBM:0.1157232704; CRM:0.0012578616; GS:0.0176100629; CAT:0.0088050314; AXP:0.0012578616; BA:0.0012578616; MMM:0.1597484277; WBA:0.0402515723; 
53320.9955081994,41821.0374051804,0.0000000000,MSFT:0.0820512821; UNH:0.0858974359; JNJ:0.0051282051; V:0.0012820513; WMT:0.1551282051; JPM:0.0038461538; CVX:0.1474358974; MRK:0.0615384615; KO:0.0102564103; CSCO:0.0012820513; DIS:0.0025641026; VZ:0.0051282051; AMGN:0.0833333333; HON:0.0012820513; IBM:0.1179487179; CRM:0.0038461538; GS:0.0179487179; CAT:0.0089743590; MMM:0.1628205128; WBA:0.0423076923; 
54909.8028686645,43338.7648242368,0.0000000000,MSFT:0.0681233933; UNH:0.1491002571; JNJ:0.0051413882; V:0.0012853470; WMT:0.1555269923; JPM:0.0077120823; CVX:0.1478149100; MRK:0.0205655527; KO:0.0102827763; CSCO:0.0012853470; DIS:0.0025706941; AMGN:0.0835475578; HON:0.0115681234; IBM:0.1182519280; CRM:0.0012853470; GS:0.0089974293; CAT:0.0025706941; AXP:0.0012853470; MMM:0.1606683805; WBA:0.0424164524; 
57225.6138833861,44565.8748519889,0.0000000000,MSFT:0.0379084967; UNH:0.1555555556; JNJ:0.0052287582; V:0.0013071895; WMT:0.1581699346; JPM:0.0039215686; CVX:0.1503267974; MRK:0.0209150327; KO:0.0104575163; CSCO:0.0013071895; DIS:0.0026143791; AMGN:0.0849673203; HON:0.0013071895; IBM:0.1202614379; CRM:0.0013071895; GS:0.0183006536; CAT:0.0091503268; AXP:0.0039215686; MMM:0.1660130719; TRV:0.0052287582; WBA:0.0418300654; 
57549.0019777102,44728.3363506013,0.0000000000,MSFT:0.0375647668; UNH:0.1541450777; JNJ:0.0077720207; V:0.0012953368; WMT:0.1567357513; JPM:0.0038860104; CVX:0.1489637306; MRK:0.0207253886; KO:0.0103626943; CSCO:0.0012953368; DIS:0.0025906736; AMGN:0.0841968912; HON:0.0012953368; IBM:0.1191709845; CRM:0.0012953368; GS:0.0181347150; CAT:0.0090673575; AXP:0.0142487047; MMM:0.1645077720; WBA:0.0427461140; 
62517.9724589419,45056.6802312673,0.0000000000,MSFT:0.0727023320; UNH:0.1591220850; JNJ:0.0054869684; V:0.0013717421; WMT:0.1659807956; JPM:0.0082304527; CVX:0.1577503429; MRK:0.0219478738; KO:0.0109739369; CSCO:0.0013717421; DIS:0.0027434842; AMGN:0.0013717421; HON:0.0123456790; IBM:0.1262002743; CRM:0.0013717421; GS:0.0096021948; CAT:0.0041152263; INTC:0.0027434842; AXP:0.0041152263; MMM:0.1742112483; WBA:0.0562414266; 
62687.0924574289,45687.6900323774,0.0000000000,MSFT:0.0374677003; UNH:0.1537467700; JNJ:0.0051679587; V:0.0012919897; WMT:0.1563307494; JPM:0.0038759690; CVX:0.1485788114; MRK:0.0206718346; KO:0.0103359173; CSCO:0.0012919897; DIS:0.0025839793; AMGN:0.0839793282; HON:0.0012919897; IBM:0.1188630491; CRM:0.0012919897; GS:0.0180878553; CAT:0.0090439276; AXP:0.0038759690; MMM:0.1640826873; TRV:0.0051679587; WBA:0.0529715762; 
63005.5571642743,46662.4852867715,0.0000000000,MSFT:0.0686922061; UNH:0.1545574637; JNJ:0.0066050198; V:0.0013210040; WMT:0.1624834875; JPM:0.1505944518; CVX:0.0462351387; MRK:0.0211360634; KO:0.0105680317; CSCO:0.0013210040; DIS:0.0026420079; AMGN:0.0013210040; HON:0.0013210040; IBM:0.1215323646; CRM:0.0013210040; GS:0.0184940555; CAT:0.0039630119; AXP:0.0039630119; MMM:0.1677675033; WBA:0.0541611625; 
63399.5262600095,48051.8945259020,0.0000000000,MSFT:0.0306278714; UNH:0.1791730475; JNJ:0.0076569678; V:0.0015313936; WMT:0.1868300153; JPM:0.1715160796; CVX:0.0535987749; MRK:0.0245022971; CSCO:0.0015313936; NKE:0.0015313936; DIS:0.0091883614; IBM:0.0796324655; CRM:0.0015313936; GS:0.0091883614; CAT:0.0045941807; AXP:0.0045941807; MMM:0.1822358346; WBA:0.0505359877; 
66088.3199289943,49084.7274953747,0.0000000000,MSFT:0.0302114804; UNH:0.1767371601; JNJ:0.0075528701; V:0.0015105740; WMT:0.1842900302; JPM:0.1691842900; PG:0.0015105740; CVX:0.0528700906; MRK:0.0241691843; CSCO:0.0015105740; NKE:0.0015105740; DIS:0.0090634441; IBM:0.0785498489; CRM:0.0015105740; GS:0.0090634441; CAT:0.0045317221; AXP:0.0045317221; MMM:0.1797583082; WBA:0.0619335347; 
66377.0353453758,49832.2964153561,0.0000000000,MSFT:0.0309597523; UNH:0.1811145511; JNJ:0.0077399381; V:0.0015479876; WMT:0.1888544892; JPM:0.1733746130; CVX:0.0541795666; CSCO:0.0015479876; NKE:0.0015479876; DIS:0.0092879257; AMGN:0.0015479876; IBM:0.0804953560; CRM:0.0015479876; GS:0.0092879257; CAT:0.0046439628; AXP:0.0046439628; MMM:0.1965944272; WBA:0.0510835913; 
68175.6659697616,50585.2006128585,0.0000000000,MSFT:0.0036563071; UNH:0.1334552102; JNJ:0.0054844607; V:0.0018281536; WMT:0.2248628885; JPM:0.2084095064; CVX:0.0639853748; CSCO:0.0018281536; MCD:0.0146252285; DIS:0.0036563071; AMGN:0.0018281536; IBM:0.0804387569; CRM:0.0018281536; GS:0.0109689214; CAT:0.0054844607; AXP:0.0054844607; MMM:0.1736745887; WBA:0.0585009141; 
70574.1305666141,51588.3873473635,0.0000000000,UNH:0.1816770186; JNJ:0.0077639752; V:0.0015527950; WMT:0.1909937888; JPM:0.1770186335; CVX:0.0543478261; MRK:0.0248447205; CSCO:0.0015527950; DIS:0.0031055901; AMGN:0.0046583851; IBM:0.0683229814; CRM:0.0015527950; GS:0.0093167702; CAT:0.0046583851; AXP:0.0046583851; MMM:0.1972049689; WBA:0.0667701863; 
72014.6100869814,52295.5970074005,0.0000000000,UNH:0.1130434783; JNJ:0.0156521739; V:0.0017391304; WMT:0.2139130435; JPM:0.1982608696; CVX:0.0608695652; MRK:0.0139130435; CSCO:0.0017391304; DIS:0.0034782609; AMGN:0.0017391304; IBM:0.0765217391; CRM:0.0017391304; GS:0.0104347826; CAT:0.0052173913; AXP:0.0052173913; MMM:0.2208695652; WBA:0.0556521739; 
73418.7033144679,53687.5612534690,0.0000000000,UNH:0.1162790698; JNJ:0.0017889088; V:0.0017889088; WMT:0.2200357782; JPM:0.2039355993; CVX:0.0626118068; CSCO:0.0017889088; DIS:0.0035778175; AMGN:0.0017889088; IBM:0.0787119857; CRM:0.0017889088; GS:0.0107334526; CAT:0.0053667263; AXP:0.0053667263; MMM:0.2271914132; WBA:0.0572450805; 
73599.7527919578,53808.7907076781,0.0000000000,UNH:0.1156583630; JNJ:0.0017793594; V:0.0017793594; WMT:0.2188612100; JPM:0.2028469751; CVX:0.0622775801; CSCO:0.0017793594; DIS:0.0035587189; AMGN:0.0088967972; IBM:0.0782918149; CRM:0.0017793594; GS:0.0124555160; CAT:0.0035587189; AXP:0.0017793594; MMM:0.2259786477; WBA:0.0587188612; 
76179.4616810366,55518.8371993524,0.0000000000,AAPL:0.0024509804; UNH:0.1642156863; JNJ:0.0171568627; V:0.0024509804; WMT:0.1887254902; JPM:0.0049019608; CVX:0.0857843137; CSCO:0.0024509804; DIS:0.0049019608; AMGN:0.0024509804; IBM:0.1078431373; CRM:0.0024509804; GS:0.0147058824; CAT:0.0073529412; AXP:0.0073529412; MMM:0.3063725490; WBA:0.0784313725; 
82451.8624516528,56287.4379000925,0.0000000000,AAPL:0.0022935780; UNH:0.1536697248; JNJ:0.0160550459; V:0.0022935780; WMT:0.1490825688; JPM:0.1467889908; CVX:0.0068807339; NKE:0.0022935780; DIS:0.0045871560; IBM:0.1192660550; CRM:0.0022935780; GS:0.0137614679; CAT:0.0068807339; AXP:0.0068807339; MMM:0.2912844037; WBA:0.0756880734; 
