Risk,Expected Return,Remaining Fund,Selected Stocks
55418.6067941677,34369.9036100833,0.0000000000,V:0.0145631068; PG:0.0048543689; CVX:0.0048543689; HD:0.0048543689; MRK:0.1456310680; CSCO:0.6165048544; VZ:0.0242718447; AMGN:0.1699029126; IBM:0.0097087379; GS:0.0048543689; 
55749.8970782309,34524.0579324700,0.0000000000,V:0.0146341463; PG:0.0048780488; CVX:0.0048780488; HD:0.0048780488; MRK:0.1463414634; CSCO:0.6195121951; VZ:0.0195121951; AMGN:0.1707317073; IBM:0.0097560976; GS:0.0048780488; 
57404.1847732653,35557.5705481036,0.0000000000,V:0.0050000000; PG:0.0050000000; CVX:0.0050000000; HD:0.0050000000; MRK:0.1500000000; CSCO:0.6350000000; VZ:0.0200000000; AMGN:0.1750000000; 
59902.6530411014,35570.6364246069,0.0000000000,V:0.0173410405; PG:0.0057803468; CVX:0.0057803468; HD:0.0462427746; MRK:0.0115606936; CSCO:0.7341040462; AMGN:0.1791907514; 
60218.1636295418,36326.8578515264,0.0000000000,AAPL:0.0058479532; V:0.0175438596; PG:0.0058479532; CVX:0.0058479532; HD:0.0058479532; MRK:0.0233918129; CSCO:0.7426900585; VZ:0.0116959064; AMGN:0.1812865497; 
61056.8052397417,36766.5327590195,0.0000000000,MSFT:0.0118343195; V:0.0059171598; CVX:0.0059171598; HD:0.0059171598; MRK:0.0236686391; CSCO:0.7514792899; VZ:0.0118343195; AMGN:0.1834319527; 
62480.8679596231,37705.3678376504,0.0000000000,V:0.0181818182; PG:0.0060606061; CVX:0.0060606061; MRK:0.0121212121; CSCO:0.7696969697; AMGN:0.1878787879; 
62809.8864066260,37902.4480619797,0.0000000000,V:0.0121951220; PG:0.0060975610; CVX:0.0060975610; MRK:0.0121951220; CSCO:0.7743902439; AMGN:0.1890243902; 
65485.2228720942,38508.0594079556,0.0000000000,V:0.0067567568; PG:0.0067567568; CVX:0.0067567568; MRK:0.0135135135; CSCO:0.7500000000; MCD:0.0067567568; AMGN:0.2094594595; 
70359.8915753834,39306.4471114709,0.0000000000,V:0.0074074074; CVX:0.0074074074; HD:0.0074074074; MRK:0.0444444444; CSCO:0.7037037037; AMGN:0.2296296296; 
72695.5872689200,39389.6023843663,0.0000000000,V:0.0055865922; CVX:0.0055865922; HD:0.0055865922; MRK:0.0223463687; CSCO:0.7094972067; AMGN:0.2402234637; CAT:0.0055865922; MMM:0.0055865922; 
73539.2159815492,40010.5335501850,0.0000000000,V:0.0056818182; WMT:0.0056818182; CVX:0.0056818182; HD:0.0056818182; CSCO:0.7215909091; VZ:0.0113636364; AMGN:0.2443181818; 
89794.0943010468,40764.2113783534,0.0000000000,MSFT:0.0099502488; V:0.0049751244; CVX:0.0049751244; HD:0.0049751244; MRK:0.0199004975; CSCO:0.6218905473; VZ:0.0298507463; AMGN:0.2935323383; IBM:0.0099502488; 
93920.9211225442,42090.4564269196,0.0000000000,V:0.0050761421; CVX:0.0050761421; HD:0.0050761421; MRK:0.0203045685; CSCO:0.6446700508; VZ:0.0101522843; AMGN:0.2994923858; IBM:0.0101522843; 
96713.3451645477,42697.7121327475,0.0000000000,V:0.0052083333; WMT:0.0052083333; PG:0.0052083333; CVX:0.0052083333; CSCO:0.6614583333; VZ:0.0104166667; AMGN:0.3072916667; 
104063.5451975954,43000.0249012489,0.0000000000,V:0.0148514851; WMT:0.0049504950; PG:0.0049504950; CVX:0.0049504950; MRK:0.0099009901; CSCO:0.6287128713; AMGN:0.3217821782; IBM:0.0099009901; 
104188.3582361259,43188.1564407956,0.0000000000,MSFT:0.0100000000; V:0.0050000000; CVX:0.0050000000; MRK:0.0100000000; CSCO:0.6350000000; AMGN:0.3250000000; IBM:0.0100000000; 
110384.4853781735,43519.9952370491,0.0000000000,V:0.0048543689; WMT:0.0145631068; PG:0.0048543689; CVX:0.0048543689; MRK:0.0097087379; CSCO:0.6165048544; AMGN:0.3349514563; IBM:0.0097087379; 
111319.4525544873,43945.3804773358,0.0000000000,V:0.0049019608; WMT:0.0049019608; PG:0.0049019608; CVX:0.0049019608; MRK:0.0098039216; CSCO:0.6225490196; AMGN:0.3382352941; IBM:0.0098039216; 
119503.4369957147,44455.7059518965,0.0000000000,V:0.0046511628; WMT:0.0046511628; PG:0.0046511628; CVX:0.0046511628; MRK:0.0279069767; CSCO:0.5906976744; AMGN:0.3534883721; IBM:0.0093023256; 
119928.7839712455,44668.4976040704,0.0000000000,V:0.0046728972; CVX:0.0046728972; HD:0.0046728972; MRK:0.0280373832; CSCO:0.5934579439; AMGN:0.3551401869; IBM:0.0093457944; 
124527.9332204727,44905.6228723405,0.0000000000,V:0.0044642857; PG:0.0044642857; MRK:0.0535714286; CSCO:0.5669642857; AMGN:0.3616071429; IBM:0.0089285714; 
126565.2271829637,45093.3297016652,0.0000000000,V:0.0045871560; CVX:0.0045871560; HD:0.0045871560; MRK:0.0183486239; CSCO:0.5825688073; AMGN:0.3715596330; IBM:0.0091743119; MMM:0.0045871560; 
127971.0532065819,45516.7257146161,0.0000000000,V:0.0046082949; CVX:0.0046082949; HD:0.0046082949; MRK:0.0184331797; CSCO:0.5852534562; AMGN:0.3732718894; IBM:0.0092165899; 
132463.3978826421,45922.8855735430,0.0000000000,V:0.0050761421; CVX:0.0050761421; HD:0.0050761421; MRK:0.0304568528; CSCO:0.5736040609; AMGN:0.3807106599; 
137497.4902534675,46204.4190864940,0.0000000000,V:0.0092165899; CVX:0.0046082949; HD:0.0046082949; MRK:0.0276497696; CSCO:0.5576036866; VZ:0.0046082949; AMGN:0.3917050691; 
142854.3861903306,46542.0372617946,0.0000000000,V:0.0042553191; PG:0.0042553191; CVX:0.0042553191; MRK:0.0255319149; CSCO:0.5404255319; VZ:0.0170212766; AMGN:0.4042553191; 
147211.5481038271,47300.1854162813,0.0000000000,V:0.0043290043; PG:0.0043290043; CVX:0.0043290043; MRK:0.0259740260; CSCO:0.5497835498; AMGN:0.4112554113; 
150892.5765670694,47586.7712534691,0.0000000000,V:0.0044052863; PG:0.0044052863; CVX:0.0044052863; MRK:0.0264317181; CSCO:0.5418502203; AMGN:0.4185022026; 
159561.7464651903,48198.1641628123,0.0000000000,V:0.0040983607; CVX:0.0040983607; HD:0.0040983607; MRK:0.0163934426; CSCO:0.5204918033; VZ:0.0122950820; AMGN:0.4385245902; 
162931.2272828709,48763.1012765958,0.0000000000,V:0.0041493776; CVX:0.0041493776; HD:0.0041493776; MRK:0.0165975104; CSCO:0.5269709544; AMGN:0.4439834025; 
173126.9513510859,49001.8395444033,0.0000000000,V:0.0086580087; CVX:0.0043290043; HD:0.0043290043; MRK:0.0259740260; CSCO:0.4891774892; AMGN:0.4632034632; MMM:0.0043290043; 
175659.3025480737,49611.5317576318,0.0000000000,V:0.0043668122; CVX:0.0043668122; HD:0.0043668122; MRK:0.0262008734; CSCO:0.4934497817; AMGN:0.4672489083; 
180053.3998849189,49807.5558580018,0.0000000000,V:0.0050505051; PG:0.0050505051; HD:0.0050505051; MRK:0.0303030303; CSCO:0.4797979798; AMGN:0.4747474747; 
181408.3075916577,49921.1601456985,0.0000000000,V:0.0050251256; PG:0.0050251256; HD:0.0050251256; MRK:0.0301507538; CSCO:0.4773869347; AMGN:0.4773869347; 
187787.9118168579,50345.1362303423,0.0000000000,V:0.0048543689; PG:0.0048543689; HD:0.0048543689; MRK:0.0291262136; CSCO:0.4611650485; VZ:0.0048543689; AMGN:0.4902912621; 
192331.5481931941,50516.6218200740,0.0000000000,V:0.0046728972; PG:0.0046728972; HD:0.0046728972; MRK:0.0280373832; CSCO:0.4439252336; VZ:0.0140186916; AMGN:0.5000000000; 
196818.4577407663,51056.4994125809,0.0000000000,V:0.0047846890; PG:0.0047846890; HD:0.0047846890; MRK:0.0095693780; CSCO:0.4545454545; VZ:0.0047846890; AMGN:0.5119617225; MMM:0.0047846890; 
198745.3871404516,51528.2382678076,0.0000000000,V:0.0048076923; PG:0.0048076923; HD:0.0048076923; MRK:0.0096153846; CSCO:0.4567307692; VZ:0.0048076923; AMGN:0.5144230769; 
210349.7112499319,51669.5197155412,0.0000000000,V:0.0065789474; CVX:0.0065789474; HD:0.0065789474; MRK:0.0263157895; CSCO:0.4144736842; AMGN:0.5328947368; INTC:0.0065789474; 
215641.1106438664,52165.9611100833,0.0000000000,V:0.0050761421; CVX:0.0050761421; HD:0.0050761421; MRK:0.0304568528; CSCO:0.4010152284; VZ:0.0050761421; AMGN:0.5431472081; INTC:0.0050761421; 
217087.3262750540,52599.3080296022,0.0000000000,V:0.0051020408; CVX:0.0051020408; HD:0.0051020408; MRK:0.0306122449; CSCO:0.4030612245; VZ:0.0051020408; AMGN:0.5459183673; 
225652.6989254973,52886.2425925070,0.0000000000,V:0.0131578947; CVX:0.0065789474; HD:0.0065789474; MRK:0.0394736842; CSCO:0.3750000000; AMGN:0.5592105263; 
227381.8287529587,53200.9293593895,0.0000000000,V:0.0066225166; CVX:0.0066225166; HD:0.0066225166; MRK:0.0397350993; CSCO:0.3774834437; AMGN:0.5629139073; 
229145.0395856448,53521.2697155412,0.0000000000,CVX:0.0066666667; HD:0.0066666667; MRK:0.0400000000; CSCO:0.3800000000; AMGN:0.5666666667; 
237733.0692669020,54095.3632654949,0.0000000000,V:0.0061349693; PG:0.0061349693; CVX:0.0061349693; MRK:0.0368098160; CSCO:0.3619631902; AMGN:0.5828220859; 
244336.8832262142,54280.6377567068,0.0000000000,V:0.0057803468; PG:0.0057803468; CVX:0.0057803468; HD:0.0057803468; MRK:0.0346820809; CSCO:0.3410404624; VZ:0.0057803468; AMGN:0.5953757225; 
265390.2479095133,54496.6861193339,0.0000000000,AAPL:0.0059523810; V:0.0178571429; PG:0.0059523810; CVX:0.0059523810; HD:0.0059523810; MRK:0.0357142857; CSCO:0.2559523810; VZ:0.0178571429; AMGN:0.6369047619; IBM:0.0119047619; 
268284.8507761416,54577.8249722479,0.0000000000,V:0.0178571429; PG:0.0059523810; CVX:0.0059523810; HD:0.0059523810; MRK:0.0357142857; CSCO:0.2559523810; NKE:0.0059523810; VZ:0.0178571429; AMGN:0.6369047619; IBM:0.0119047619; 
269094.1450049331,55123.0195652174,0.0000000000,V:0.0179640719; PG:0.0059880240; CVX:0.0059880240; HD:0.0059880240; MRK:0.0359281437; CSCO:0.2574850299; VZ:0.0179640719; AMGN:0.6407185629; IBM:0.0119760479; 
272808.4899404014,55728.0604694727,0.0000000000,V:0.0060606061; PG:0.0060606061; CVX:0.0060606061; HD:0.0060606061; MRK:0.0363636364; CSCO:0.2606060606; VZ:0.0181818182; AMGN:0.6484848485; IBM:0.0121212121; 
277644.0145856137,56550.0615078631,0.0000000000,V:0.0061728395; CVX:0.0061728395; HD:0.0061728395; MRK:0.0246913580; CSCO:0.2654320988; VZ:0.0185185185; AMGN:0.6604938272; IBM:0.0123456790; 
285936.9802384895,56606.6667321924,0.0000000000,AAPL:0.0054945055; V:0.0054945055; PG:0.0054945055; CVX:0.0054945055; HD:0.0054945055; MRK:0.0329670330; CSCO:0.2362637363; VZ:0.0109890110; AMGN:0.6758241758; IBM:0.0164835165; 
291408.3249255301,57496.6981891767,0.0000000000,V:0.0055555556; PG:0.0055555556; CVX:0.0055555556; HD:0.0055555556; MRK:0.0333333333; CSCO:0.2388888889; VZ:0.0111111111; AMGN:0.6833333333; IBM:0.0111111111; 
300892.1328857667,57696.8820235892,0.0000000000,V:0.0196078431; PG:0.0065359477; CVX:0.0065359477; HD:0.0065359477; MRK:0.0392156863; CSCO:0.2026143791; VZ:0.0196078431; AMGN:0.6993464052; 
302953.1280979957,58133.8041350601,0.0000000000,V:0.0197368421; PG:0.0065789474; HD:0.0065789474; MRK:0.0394736842; CSCO:0.2039473684; VZ:0.0197368421; AMGN:0.7039473684; 
305908.4285172065,58550.0020629047,0.0000000000,CVX:0.0066666667; HD:0.0066666667; MRK:0.0400000000; CSCO:0.2066666667; VZ:0.0200000000; AMGN:0.7133333333; CRM:0.0066666667; 
307349.6243746169,58845.1754209066,0.0000000000,V:0.0066666667; CVX:0.0066666667; HD:0.0066666667; MRK:0.0400000000; CSCO:0.2066666667; VZ:0.0200000000; AMGN:0.7133333333; 
309664.3375095880,59203.9707169288,0.0000000000,CVX:0.0067114094; HD:0.0067114094; MRK:0.0402684564; CSCO:0.2080536913; VZ:0.0201342282; AMGN:0.7181208054; 
311337.1963179605,59345.8928237742,0.0000000000,V:0.0067567568; CVX:0.0067567568; HD:0.0067567568; MRK:0.0270270270; CSCO:0.2094594595; VZ:0.0202702703; AMGN:0.7229729730; 
343277.3387067594,59399.6879555966,0.0000000000,V:0.0234375000; JPM:0.0078125000; PG:0.0078125000; CVX:0.0078125000; HD:0.0078125000; MRK:0.0468750000; CSCO:0.0859375000; VZ:0.0234375000; AMGN:0.7734375000; IBM:0.0156250000; 
344283.4555427538,60124.9333186864,0.0000000000,V:0.0272727273; PG:0.0090909091; CVX:0.0090909091; HD:0.0090909091; MRK:0.0545454545; CSCO:0.1000000000; AMGN:0.7727272727; IBM:0.0181818182; 
348925.0874894553,60446.0543200740,0.0000000000,V:0.0079365079; CVX:0.0238095238; HD:0.0079365079; MRK:0.0476190476; CSCO:0.0873015873; VZ:0.0238095238; AMGN:0.7857142857; IBM:0.0158730159; 
353091.9649391320,61251.0487118409,0.0000000000,V:0.0080645161; CVX:0.0080645161; MRK:0.0483870968; CSCO:0.0887096774; VZ:0.0241935484; AMGN:0.7983870968; IBM:0.0161290323; MMM:0.0080645161; 
357736.5104490300,62132.3529486587,0.0000000000,V:0.0081300813; CVX:0.0081300813; MRK:0.0487804878; CSCO:0.0894308943; VZ:0.0243902439; AMGN:0.8048780488; IBM:0.0162601626; 
364347.5144907813,62450.7678654024,0.0000000000,V:0.0076335878; CVX:0.0076335878; HD:0.0076335878; MRK:0.0458015267; CSCO:0.0839694656; VZ:0.0229007634; AMGN:0.8167938931; CAT:0.0076335878; 
373115.7417357120,63773.9398866790,0.0000000000,V:0.0078125000; CVX:0.0078125000; HD:0.0078125000; MRK:0.0312500000; CSCO:0.0859375000; VZ:0.0234375000; AMGN:0.8359375000; 
381536.5168044739,64641.6966396855,0.0000000000,V:0.0160000000; PG:0.0080000000; CVX:0.0080000000; CSCO:0.0880000000; VZ:0.0240000000; AMGN:0.8560000000; 
384598.5615794500,64692.3761679001,0.0000000000,MSFT:0.0161290323; V:0.0080645161; PG:0.0080645161; CVX:0.0080645161; CSCO:0.0887096774; VZ:0.0080645161; AMGN:0.8629032258; 
387298.4508589515,65443.0924962997,0.0000000000,V:0.0090909091; WMT:0.0090909091; PG:0.0090909091; CVX:0.0090909091; CSCO:0.1000000000; AMGN:0.8636363636; 
390124.8569067892,65605.5933954672,0.0000000000,V:0.0081300813; WMT:0.0081300813; PG:0.0081300813; CVX:0.0081300813; CSCO:0.0894308943; VZ:0.0081300813; AMGN:0.8699186992; 
394323.7663374908,66119.8406232655,0.0000000000,V:0.0081967213; WMT:0.0081967213; PG:0.0081967213; CVX:0.0081967213; CSCO:0.0901639344; AMGN:0.8770491803; 
397495.9481083095,66744.6946295098,0.0000000000,V:0.0082644628; WMT:0.0082644628; CVX:0.0082644628; CSCO:0.0909090909; AMGN:0.8842975207; 
