Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn
7,8035.T  6367.T  8058.T  4519.T  AAPL  WMT  MRK ,0.43442131611528389534,74111.03532250518037471920,32195.41350346899344003759
8,8035.T  6367.T  8058.T  4519.T  AAPL  WMT  MRK  CRM ,0.42245016842042631966,78181.26352252974174916744,33027.68794241442083148286
7,8035.T  6367.T  8058.T  8316.T  4519.T  AAPL  MRK ,0.43206551554013705729,78280.39543811707699205726,33822.25941165584663394839
7,7203.T  8035.T  8058.T  4519.T  2914.T  AAPL  MRK ,0.42408688408074934895,80159.28112344503460917622,33994.49976179463556036353
5,8035.T  8058.T  4519.T  WMT  MRK ,0.41893600391040386466,81939.65733107952110003680,34327.47260407028079498559
8,8035.T  6367.T  8058.T  8316.T  4519.T  AAPL  MRK  CRM ,0.41573899198338148953,82867.30853437064797617495,34451.17131845511903520674
4,6367.T  8058.T  4519.T  AAPL ,0.43674887676415918847,82921.24400007490476127714,36215.76017691948800347745
7,7203.T  8035.T  6367.T  8058.T  4519.T  AAPL  MRK ,0.42196142972306266428,86100.91953354616998694837,36331.26710684551653685048
6,8035.T  8058.T  4519.T  2914.T  AAPL  MRK ,0.42076517993397283268,87176.61105729770497418940,36680.88243755783332744613
5,6367.T  8058.T  4519.T  AAPL  CRM ,0.40975081280215613910,89972.78431522788014262915,36866.42150323771056719124
6,7203.T  8035.T  8058.T  4519.T  2914.T  MRK ,0.40163381056800795399,91887.00534646192681975663,36904.92809898242558119819
7,7203.T  8035.T  8058.T  4519.T  2914.T  MRK  CRM ,0.39720696447880127211,93983.32570473705709446222,37330.83151480110245756805
6,8035.T  6367.T  8058.T  4519.T  AAPL  MRK ,0.41926169041015354244,94154.71341438348463270813,39475.46430619798047700897
5,8035.T  8058.T  4519.T  AAPL  MRK ,0.41381807251977409390,96295.96919464667735155672,39849.01236355223227292299
5,7203.T  8035.T  8058.T  4519.T  MRK ,0.40115842327915945953,100006.27703070350980851799,40118.36041165584174450487
