Layer,Number of Stock,Portfolio,DailyRisk,ExpectedReturn,
Layer 1,0,,0.000000000000000000000000000000,0.000000000000000000000000000000
Layer 1,21,8306.T 8035.T 4063.T 8316.T 8001.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ HON IBM CRM WBA,21490.996127902537409681826829910278,12602.762333487518844776786863803864
Layer 1,20,8306.T 8035.T 4063.T 8316.T 8001.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM WBA,21762.560592970006837276741862297058,13727.269468085081825847737491130829
Layer 1,21,8306.T 8035.T 4063.T 8316.T 8001.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM AXP WBA,22105.050184704821731429547071456909,14816.244738667899582651443779468536
Layer 1,20,8306.T 8035.T 8316.T 8001.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM AXP WBA,22218.489356573183613363653421401978,16794.183751156324433395639061927795
Layer 1,19,8306.T 8035.T 8001.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM AXP WBA,22380.542034664955281186848878860474,17155.081200277509196894243359565735
Layer 1,20,8306.T 8035.T 8316.T 8001.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ IBM CRM WBA,22747.921168642358679790049791336060,17620.608945420899544842541217803955
Layer 1,19,8306.T 8035.T 8001.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ IBM CRM WBA,22966.828667302808753447607159614563,18024.936630434771359432488679885864
Layer 1,19,8306.T 8035.T 8316.T 8001.T 4502.T 4519.T 6702.T MSFT UNH WMT JPM CVX HD CSCO MCD VZ IBM CRM WBA,23265.186331937518843915313482284546,19004.535612858438980765640735626221
Layer 1,19,8306.T 8035.T 8316.T 8001.T 4502.T 4519.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM MMM WBA,23825.962855796678923070430755615234,20460.572016651254671160131692886353
Layer 1,19,9432.T 8306.T 8035.T 8316.T 4502.T 4519.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM MMM WBA,24556.249044457468698965385556221008,22002.470790934330580057576298713684
Layer 1,19,8306.T 8035.T 8316.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT CVX HD CSCO MCD VZ IBM CRM MMM WBA,24962.799352379559422843158245086670,22614.212858464390592416748404502869
Layer 1,19,8306.T 8035.T 8316.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT JPM CVX CSCO MCD VZ IBM CRM MMM WBA,25520.883711723796295700594782829285,23687.214065679905615979805588722229
Layer 1,19,8306.T 8035.T 8316.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT CVX HD MCD VZ IBM CRM AXP MMM WBA,25897.686581000521982787176966667175,23983.206225716916378587484359741211
Layer 1,19,8306.T 8035.T 8316.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM AXP MMM WBA,26364.037693331916671013459563255310,25056.207432932445954065769910812378
Layer 1,18,8306.T 8035.T 4502.T 4519.T 4503.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM AXP MMM WBA,27043.448759035502007463946938514709,25909.096156336720014223828911781311
Layer 1,17,8306.T 8035.T 8316.T 4502.T 4519.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM MMM WBA,27311.763941775716375559568405151367,26450.634808048078411957249045372009
Layer 1,18,8306.T 8035.T 8316.T 4502.T 4519.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM AXP MMM WBA,27669.711513528276555007323622703552,26945.529551341343903914093971252441
Layer 1,18,8306.T 8035.T 4502.T 4519.T 8411.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM AXP MMM WBA,28516.762072816967702237889170646667,28033.638940795553935458883643150330
Layer 1,16,8306.T 8035.T 4519.T 8411.T 6702.T MSFT UNH WMT CVX MCD VZ IBM CRM AXP MMM WBA,29704.264951762466807849705219268799,28923.721327474577265093103051185608
Layer 1,16,8306.T 8035.T 4519.T 8411.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM MMM WBA,30206.414946591568877920508384704590,29957.711262719687510980293154716492
Layer 1,17,8306.T 8035.T 4519.T 8411.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM AXP MMM WBA,31056.186189532189018791541457176208,30403.640298334856197470799088478088
Layer 1,18,8306.T 8035.T 4502.T 4519.T 8411.T 6702.T MSFT UNH WMT JPM CVX MCD AMGN IBM CRM AXP MMM WBA,31525.680600169838726287707686424255,30647.065959759478573687374591827393
Layer 1,17,8306.T 8035.T 4502.T 4519.T 8411.T 6702.T MSFT UNH WMT JPM CVX MCD IBM CRM GS MMM WBA,32313.045282064176717540249228477478,31457.432527752069290727376937866211
Layer 1,17,8306.T 8035.T 4502.T 8411.T 6702.T MSFT UNH WMT JPM CVX MCD VZ IBM CRM AXP MMM WBA,33069.163971487039816565811634063721,31910.446958834392717108130455017090
Layer 1,15,8306.T 8035.T 4502.T 4519.T 8411.T 6702.T UNH WMT JPM MCD CRM GS AXP MMM WBA,33948.418009833869291469454765319824,32199.774632284897961653769016265869
