After EL,,,Gbest ratio:,1.527613,#in front,1010
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,30391.04316,42152.4121,1.387001,9,AAPL{14.285714%} V{17.032967%} WMT{15.796703%} CVX{9.203297%} KO{16.346154%} MCD{4.395604%} DIS{13.324176%} HON{8.791209%} DD{0.824176%} ,
2,30408.42955,42178.48902,1.387066,9,AAPL{14.246575%} V{16.986301%} WMT{16.027397%} CVX{9.178082%} KO{16.301370%} MCD{4.383562%} DIS{13.287671%} HON{8.767123%} DD{0.821918%} ,
3,30418.99358,42191.85983,1.387024,9,AAPL{14.227086%} V{16.963064%} WMT{16.142271%} CVX{9.165527%} KO{16.279070%} MCD{4.377565%} DIS{13.269494%} HON{8.755130%} DD{0.820793%} ,
4,30423.33872,42410.50665,1.394012,9,AAPL{13.259669%} V{17.127072%} WMT{16.436464%} CVX{9.254144%} KO{16.436464%} MCD{4.419890%} DIS{13.397790%} HON{8.839779%} DD{0.828729%} ,
5,30449.69857,42435.61986,1.39363,8,AAPL{15.204678%} V{18.128655%} WMT{17.397661%} CVX{9.795322%} KO{17.397661%} DIS{11.842105%} HON{9.356725%} DD{0.877193%} ,
6,30476.003,42985.79647,1.41048,10,AAPL{8.831909%} V{17.806268%} WMT{17.948718%} CVX{9.544160%} MRK{0.142450%} KO{17.948718%} MCD{4.558405%} DIS{13.817664%} HON{9.116809%} DD{0.284900%} ,
7,30546.68094,43081.88769,1.410362,9,AAPL{14.545455%} V{17.342657%} WMT{16.643357%} CVX{9.370629%} KO{16.643357%} MCD{2.237762%} DIS{13.426573%} HON{8.951049%} DD{0.839161%} ,
8,30561.99701,43143.03232,1.411656,9,AAPL{14.606742%} V{17.415730%} WMT{16.151685%} CVX{9.410112%} KO{16.713483%} MCD{2.247191%} DIS{13.623596%} HON{8.988764%} DD{0.842697%} ,
9,30575.57988,43166.58234,1.411799,9,AAPL{14.565826%} V{17.366947%} WMT{16.386555%} CVX{9.383754%} KO{16.666667%} MCD{2.240896%} DIS{13.585434%} HON{8.963585%} DD{0.840336%} ,
10,30584.55651,43178.40267,1.411771,9,AAPL{14.545455%} V{17.342657%} WMT{16.503497%} CVX{9.370629%} KO{16.643357%} MCD{2.237762%} DIS{13.566434%} HON{8.951049%} DD{0.839161%} ,
11,30594.20554,43189.34081,1.411684,9,AAPL{14.525140%} V{17.318436%} WMT{16.620112%} CVX{9.357542%} KO{16.620112%} MCD{2.234637%} DIS{13.547486%} HON{8.938547%} DD{0.837989%} ,
12,30598.10315,43202.71665,1.411941,9,AAPL{14.545455%} V{17.342657%} WMT{16.643357%} CVX{9.230769%} KO{16.643357%} MCD{2.237762%} DIS{13.566434%} HON{8.951049%} DD{0.839161%} ,
13,30601.608,43215.10944,1.412184,9,AAPL{14.565826%} V{17.366947%} WMT{16.666667%} CVX{9.103641%} KO{16.666667%} MCD{2.240896%} DIS{13.585434%} HON{8.963585%} DD{0.840336%} ,
14,30602.10365,43412.57871,1.418614,9,AAPL{13.559322%} V{17.514124%} WMT{16.807910%} CVX{9.463277%} KO{16.807910%} MCD{2.259887%} DIS{13.700565%} HON{9.039548%} DD{0.847458%} ,
15,30678.59223,43509.13006,1.418224,8,AAPL{14.772727%} V{17.613636%} WMT{16.335227%} CVX{9.517045%} KO{18.039773%} DIS{13.778409%} HON{9.090909%} DD{0.852273%} ,
16,30691.4674,43592.03677,1.420331,9,AAPL{14.710042%} V{17.538897%} WMT{16.831683%} CVX{9.476662%} KO{16.831683%} MCD{1.131542%} DIS{13.578501%} HON{9.052334%} DD{0.848656%} ,
17,30712.51669,43877.98514,1.428668,11,AAPL{8.998549%} V{18.142235%} WMT{18.287373%} CVX{9.724238%} MRK{0.145138%} KO{18.287373%} CSCO{0.580552%} MCD{2.322206%} DIS{13.933237%} HON{9.288824%} DD{0.290276%} ,
18,30724.01812,44032.31486,1.433156,10,AAPL{9.037901%} V{18.221574%} WMT{18.367347%} CVX{9.766764%} MRK{0.145773%} KO{18.367347%} MCD{2.332362%} DIS{14.139942%} HON{9.329446%} DD{0.291545%} ,
19,30756.05009,44070.92955,1.432919,10,AAPL{8.998549%} V{18.142235%} WMT{18.287373%} CVX{9.724238%} KO{18.287373%} CSCO{0.580552%} MCD{2.322206%} DIS{14.078374%} HON{9.288824%} DD{0.290276%} ,
20,30793.33524,44097.74522,1.432055,10,AAPL{9.011628%} V{18.168605%} WMT{18.313953%} CVX{9.738372%} MRK{0.145349%} KO{18.313953%} CSCO{0.581395%} MCD{2.325581%} DIS{14.098837%} HON{9.302326%} ,
21,30819.32245,44107.71697,1.431171,11,AAPL{8.454810%} V{18.221574%} WMT{18.367347%} CVX{9.766764%} MRK{0.145773%} KO{18.367347%} CSCO{0.583090%} MCD{2.332362%} DIS{14.139942%} HON{9.329446%} DD{0.291545%} ,
