Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,21978.89446,3334.474002,0.151713,19,MSFT{3.607214%} UNH{23.046092%} JNJ{0.200401%} V{0.200401%} WMT{4.609218%} JPM{0.200401%} CVX{23.647295%} MRK{0.200401%} KO{19.639279%} NKE{6.613226%} DIS{0.200401%} AMGN{12.224449%} HON{0.400802%} IBM{0.200401%} CRM{0.801603%} INTC{2.204409%} MMM{0.601202%} TRV{1.202405%} DD{0.200401%} ,
2,22671.71799,5801.941945,0.255911,12,MSFT{6.336088%} UNH{24.793388%} WMT{0.275482%} CVX{30.027548%} KO{17.906336%} NKE{4.958678%} DIS{2.479339%} VZ{0.550964%} AMGN{10.743802%} GS{0.275482%} INTC{1.377410%} TRV{0.275482%} ,
3,23265.41724,6099.409713,0.262166,12,MSFT{6.199461%} UNH{22.102426%} WMT{0.269542%} CVX{29.380054%} KO{17.520216%} NKE{4.851752%} DIS{2.425876%} VZ{0.539084%} AMGN{14.824798%} GS{0.269542%} INTC{1.347709%} TRV{0.269542%} ,
4,23408.84547,6385.643558,0.272788,12,MSFT{6.133333%} UNH{24.000000%} WMT{0.266667%} CVX{29.066667%} KO{17.333333%} NKE{4.800000%} DIS{2.400000%} VZ{0.533333%} AMGN{13.600000%} GS{0.266667%} INTC{1.333333%} TRV{0.266667%} ,
5,23594.57024,6479.491489,0.274618,12,MSFT{6.100796%} UNH{23.872679%} WMT{0.265252%} CVX{28.912467%} KO{17.241379%} NKE{4.774536%} DIS{2.387268%} VZ{0.530504%} AMGN{14.058355%} GS{0.265252%} INTC{1.326260%} TRV{0.265252%} ,
6,23666.75736,7284.408475,0.307791,12,MSFT{6.478873%} UNH{25.352113%} WMT{0.281690%} CVX{30.704225%} KO{18.309859%} NKE{2.816901%} DIS{2.535211%} VZ{0.563380%} AMGN{10.985915%} GS{0.281690%} INTC{1.408451%} TRV{0.281690%} ,
7,23719.03024,7284.581888,0.30712,13,MSFT{7.542579%} UNH{23.357664%} JNJ{0.486618%} V{3.892944%} WMT{1.946472%} CVX{28.223844%} KO{11.678832%} NKE{3.892944%} DIS{1.703163%} AMGN{15.328467%} GS{0.243309%} INTC{1.216545%} TRV{0.486618%} ,
8,24106.88366,7876.159773,0.326718,13,MSFT{7.692308%} UNH{23.821340%} JNJ{0.496278%} V{3.970223%} WMT{1.985112%} CVX{28.784119%} KO{9.925558%} NKE{3.970223%} DIS{1.736973%} AMGN{15.632754%} GS{0.248139%} INTC{1.240695%} TRV{0.496278%} ,
9,24347.22985,8182.413283,0.336072,13,MSFT{7.769424%} UNH{24.060150%} JNJ{0.501253%} V{4.010025%} WMT{2.005013%} CVX{29.072682%} KO{9.022556%} NKE{4.010025%} DIS{1.754386%} AMGN{15.789474%} GS{0.250627%} INTC{1.253133%} TRV{0.501253%} ,
10,24466.41369,8188.571939,0.334686,14,MSFT{7.808564%} UNH{24.181360%} JNJ{0.503778%} V{4.030227%} WMT{2.015113%} CVX{29.219144%} KO{8.060453%} NKE{4.030227%} DIS{1.763224%} AMGN{15.869018%} GS{0.251889%} INTC{1.259446%} TRV{0.503778%} WBA{0.503778%} ,
11,24472.91043,8303.294017,0.339285,13,MSFT{7.808564%} UNH{24.181360%} JNJ{0.503778%} V{4.534005%} WMT{2.015113%} CVX{29.219144%} KO{8.060453%} NKE{4.030227%} DIS{1.763224%} AMGN{15.869018%} GS{0.251889%} INTC{1.259446%} TRV{0.503778%} ,
12,24477.54536,8336.85096,0.340592,13,MSFT{7.808564%} UNH{24.181360%} JNJ{0.503778%} V{4.030227%} WMT{2.015113%} CVX{29.219144%} KO{8.564232%} NKE{4.030227%} DIS{1.763224%} AMGN{15.869018%} GS{0.251889%} INTC{1.259446%} TRV{0.503778%} ,
13,24536.52337,8341.17289,0.339949,14,MSFT{7.828283%} UNH{24.242424%} JNJ{0.505051%} V{4.040404%} WMT{2.020202%} CVX{29.292929%} KO{8.080808%} NKE{4.040404%} DIS{1.767677%} AMGN{15.909091%} GS{0.252525%} INTC{1.262626%} TRV{0.505051%} WBA{0.252525%} ,
14,24543.74604,8398.415156,0.342181,13,MSFT{7.828283%} UNH{24.242424%} JNJ{0.505051%} V{4.292929%} WMT{2.020202%} CVX{29.292929%} KO{8.080808%} NKE{4.040404%} DIS{1.767677%} AMGN{15.909091%} GS{0.252525%} INTC{1.262626%} TRV{0.505051%} ,
15,24547.7627,8415.355343,0.342816,13,MSFT{7.828283%} UNH{24.242424%} JNJ{0.505051%} V{4.040404%} WMT{2.020202%} CVX{29.292929%} KO{8.333333%} NKE{4.040404%} DIS{1.767677%} AMGN{15.909091%} GS{0.252525%} INTC{1.262626%} TRV{0.505051%} ,
16,24582.78304,8431.764681,0.342995,14,MSFT{7.828283%} UNH{24.242424%} JNJ{0.505051%} V{4.040404%} WMT{2.020202%} PG{0.252525%} CVX{29.292929%} KO{8.080808%} NKE{4.040404%} DIS{1.767677%} AMGN{15.909091%} GS{0.252525%} INTC{1.262626%} TRV{0.505051%} ,
17,24599.82723,8441.973355,0.343172,14,MSFT{7.828283%} UNH{24.242424%} JNJ{0.505051%} V{4.040404%} WMT{2.020202%} CVX{29.292929%} KO{8.080808%} NKE{4.040404%} DIS{1.767677%} AMGN{15.909091%} IBM{0.252525%} GS{0.252525%} INTC{1.262626%} TRV{0.505051%} ,
18,24611.45935,8469.314721,0.344121,13,MSFT{7.828283%} UNH{24.242424%} JNJ{0.757576%} V{4.040404%} WMT{2.020202%} CVX{29.292929%} KO{8.080808%} NKE{4.040404%} DIS{1.767677%} AMGN{15.909091%} GS{0.252525%} INTC{1.262626%} TRV{0.505051%} ,
19,24613.95619,8477.272235,0.344409,13,MSFT{7.808564%} UNH{24.181360%} JNJ{0.503778%} V{4.030227%} WMT{2.518892%} CVX{29.219144%} KO{8.060453%} NKE{4.030227%} DIS{1.763224%} AMGN{15.869018%} GS{0.251889%} INTC{1.259446%} TRV{0.503778%} ,
20,24615.58718,8485.766602,0.344731,13,MSFT{7.828283%} UNH{24.242424%} JNJ{0.505051%} V{4.040404%} WMT{2.272727%} CVX{29.292929%} KO{8.080808%} NKE{4.040404%} DIS{1.767677%} AMGN{15.909091%} GS{0.252525%} INTC{1.262626%} TRV{0.505051%} ,
21,24617.12551,8493.458164,0.345022,13,MSFT{7.848101%} UNH{24.303797%} JNJ{0.506329%} V{4.050633%} WMT{2.025316%} CVX{29.367089%} KO{8.101266%} NKE{4.050633%} DIS{1.772152%} AMGN{15.949367%} GS{0.253165%} INTC{1.265823%} TRV{0.506329%} ,
22,24620.39026,8507.943201,0.345565,13,MSFT{7.828283%} UNH{24.242424%} JNJ{0.505051%} V{4.040404%} WMT{2.020202%} CVX{29.545455%} KO{8.080808%} NKE{4.040404%} DIS{1.767677%} AMGN{15.909091%} GS{0.252525%} INTC{1.262626%} TRV{0.505051%} ,
23,24621.78674,8521.162951,0.346082,13,MSFT{7.808564%} UNH{24.181360%} JNJ{0.503778%} V{4.030227%} WMT{2.015113%} CVX{29.722922%} KO{8.060453%} NKE{4.030227%} DIS{1.763224%} AMGN{15.869018%} GS{0.251889%} INTC{1.259446%} TRV{0.503778%} ,
24,24658.83373,8544.345449,0.346502,13,MSFT{7.828283%} UNH{24.494949%} JNJ{0.505051%} V{4.040404%} WMT{2.020202%} CVX{29.292929%} KO{8.080808%} NKE{4.040404%} DIS{1.767677%} AMGN{15.909091%} GS{0.252525%} INTC{1.262626%} TRV{0.505051%} ,
25,24669.20486,8603.154216,0.348741,13,MSFT{7.692308%} UNH{23.821340%} JNJ{0.496278%} V{3.970223%} WMT{1.985112%} CVX{30.769231%} KO{7.940447%} NKE{3.970223%} DIS{1.736973%} AMGN{15.632754%} GS{0.248139%} INTC{1.240695%} TRV{0.496278%} ,
26,24800.29709,8693.783745,0.350552,13,MSFT{7.769424%} UNH{25.062657%} JNJ{0.501253%} V{4.010025%} WMT{2.005013%} CVX{29.072682%} KO{8.020050%} NKE{4.010025%} DIS{1.754386%} AMGN{15.789474%} GS{0.250627%} INTC{1.253133%} TRV{0.501253%} ,
27,25037.44274,8890.410779,0.355085,13,MSFT{7.692308%} UNH{25.806452%} JNJ{0.496278%} V{3.970223%} WMT{1.985112%} CVX{28.784119%} KO{7.940447%} NKE{3.970223%} DIS{1.736973%} AMGN{15.632754%} GS{0.248139%} INTC{1.240695%} TRV{0.496278%} ,
28,25345.15098,8891.862809,0.350831,12,MSFT{6.609195%} UNH{26.149425%} WMT{0.287356%} CVX{31.321839%} KO{18.678161%} NKE{0.574713%} DIS{2.586207%} VZ{0.574713%} AMGN{11.206897%} GS{0.287356%} INTC{1.436782%} TRV{0.287356%} ,
29,25348.31363,8934.540088,0.352471,12,MSFT{8.401084%} UNH{24.390244%} WMT{0.271003%} CVX{29.539295%} KO{17.615176%} NKE{0.542005%} DIS{2.439024%} VZ{0.542005%} AMGN{14.363144%} GS{0.271003%} INTC{1.355014%} TRV{0.271003%} ,
30,25397.72832,9024.54334,0.355329,11,MSFT{8.378378%} UNH{24.324324%} WMT{0.270270%} CVX{29.459459%} KO{17.567568%} NKE{0.540541%} DIS{2.432432%} VZ{0.540541%} AMGN{14.864865%} INTC{1.351351%} TRV{0.270270%} ,
31,25417.98477,9058.89813,0.356397,9,MSFT{8.781870%} UNH{24.929178%} CVX{30.878187%} KO{9.065156%} NKE{4.532578%} DIS{5.099150%} AMGN{14.447592%} INTC{1.416431%} TRV{0.849858%} ,
