After EL,,,Gbest ratio:,1.396337,#in front,1051
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,11478.09256,13626.42203,1.187168,19,AAPL{10.590858%} MSFT{8.584169%} V{9.364548%} WMT{4.570792%} PG{13.489409%} CVX{7.246377%} HD{0.222965%} MRK{1.226310%} KO{10.813824%} CSCO{7.023411%} MCD{9.587514%} DIS{0.780379%} AMGN{3.678930%} CRM{3.567447%} GS{5.462653%} CAT{0.111483%} INTC{1.783724%} BA{1.783724%} MMM{0.111483%} ,
2,11529.12561,14872.73885,1.290014,18,AAPL{13.879781%} MSFT{7.103825%} JNJ{0.218579%} V{9.726776%} WMT{4.699454%} JPM{0.218579%} PG{13.551913%} CVX{6.994536%} MRK{2.841530%} KO{10.928962%} CSCO{2.841530%} MCD{10.163934%} DIS{1.967213%} AMGN{3.497268%} CRM{3.497268%} GS{5.245902%} INTC{1.748634%} BA{0.874317%} ,
3,11633.45137,14896.18939,1.280462,16,AAPL{13.864629%} MSFT{7.423581%} V{9.279476%} WMT{4.694323%} PG{13.537118%} CVX{6.986900%} MRK{2.947598%} KO{10.480349%} CSCO{3.165939%} MCD{9.497817%} DIS{2.401747%} AMGN{3.493450%} CRM{3.493450%} GS{5.240175%} INTC{1.746725%} BA{1.746725%} ,
4,11723.45531,15220.03523,1.298255,19,AAPL{14.285714%} MSFT{8.661417%} V{9.448819%} WMT{4.611924%} PG{13.610799%} CVX{7.311586%} HD{0.224972%} MRK{1.237345%} KO{10.911136%} CSCO{3.487064%} MCD{9.673791%} DIS{1.687289%} AMGN{3.712036%} CRM{3.599550%} GS{3.712036%} CAT{0.112486%} INTC{1.799775%} BA{1.799775%} MMM{0.112486%} ,
5,11724.29688,15228.72957,1.298903,16,AAPL{13.986784%} MSFT{7.488987%} V{9.361233%} WMT{4.735683%} PG{13.656388%} CVX{7.048458%} MRK{2.973568%} KO{10.572687%} CSCO{3.193833%} MCD{9.581498%} DIS{2.422907%} AMGN{3.524229%} CRM{3.524229%} GS{5.286344%} INTC{1.762115%} BA{0.881057%} ,
6,11765.10786,15539.55698,1.320817,16,AAPL{13.925439%} MSFT{7.894737%} V{9.978070%} WMT{4.714912%} PG{13.596491%} CVX{7.017544%} MRK{1.535088%} KO{10.526316%} CSCO{2.960526%} MCD{10.087719%} DIS{1.973684%} AMGN{3.508772%} CRM{3.508772%} GS{5.263158%} INTC{1.754386%} BA{1.754386%} ,
7,11829.03792,15836.92336,1.338818,16,AAPL{14.048673%} MSFT{7.964602%} V{10.066372%} WMT{4.756637%} PG{13.716814%} CVX{7.079646%} MRK{1.548673%} KO{10.619469%} CSCO{2.876106%} MCD{10.176991%} DIS{1.991150%} AMGN{3.539823%} CRM{3.539823%} GS{5.309735%} INTC{1.769912%} BA{0.995575%} ,
8,11857.82154,15878.26736,1.339054,16,AAPL{14.048673%} MSFT{7.964602%} V{10.066372%} WMT{4.756637%} PG{13.716814%} CVX{7.079646%} MRK{1.548673%} KO{10.619469%} CSCO{2.986726%} MCD{10.176991%} DIS{1.991150%} AMGN{3.539823%} CRM{3.539823%} GS{5.309735%} INTC{1.769912%} BA{0.884956%} ,
9,11903.1137,15979.30469,1.342447,16,AAPL{13.925439%} MSFT{8.771930%} V{9.978070%} WMT{4.714912%} PG{13.596491%} CVX{7.017544%} MRK{1.535088%} KO{10.526316%} CSCO{2.850877%} MCD{10.087719%} DIS{1.973684%} AMGN{3.508772%} CRM{3.508772%} GS{5.263158%} INTC{1.754386%} BA{0.986842%} ,
10,11907.61773,16020.48643,1.345398,16,AAPL{13.925439%} MSFT{8.771930%} V{9.978070%} WMT{4.714912%} PG{13.596491%} CVX{7.017544%} MRK{1.535088%} KO{10.526316%} CSCO{2.960526%} MCD{10.087719%} DIS{1.973684%} AMGN{3.508772%} CRM{3.508772%} GS{5.263158%} INTC{1.754386%} BA{0.877193%} ,
11,11917.9958,16043.43439,1.346152,16,AAPL{13.925439%} MSFT{7.894737%} V{9.978070%} WMT{4.714912%} PG{13.596491%} CVX{7.017544%} MRK{1.535088%} KO{12.280702%} CSCO{2.850877%} MCD{10.087719%} DIS{1.973684%} AMGN{3.508772%} CRM{3.508772%} GS{5.263158%} INTC{1.754386%} BA{0.109649%} ,
12,11958.5648,16084.61614,1.345029,15,AAPL{13.925439%} MSFT{7.894737%} V{9.978070%} WMT{4.714912%} PG{13.596491%} CVX{7.017544%} MRK{1.535088%} KO{12.280702%} CSCO{2.960526%} MCD{10.087719%} DIS{1.973684%} AMGN{3.508772%} CRM{3.508772%} GS{5.263158%} INTC{1.754386%} ,
13,11961.27213,16149.72826,1.350168,16,AAPL{13.986784%} MSFT{8.810573%} V{10.022026%} WMT{4.735683%} PG{13.656388%} CVX{7.048458%} MRK{1.541850%} KO{10.572687%} CSCO{2.863436%} MCD{10.132159%} DIS{1.982379%} AMGN{3.524229%} CRM{3.524229%} GS{5.286344%} INTC{1.762115%} BA{0.550661%} ,
14,11983.49068,16190.99113,1.351108,16,AAPL{13.986784%} MSFT{8.810573%} V{10.022026%} WMT{4.735683%} PG{13.656388%} CVX{7.048458%} MRK{1.541850%} KO{10.572687%} CSCO{2.973568%} MCD{10.132159%} DIS{1.982379%} AMGN{3.524229%} CRM{3.524229%} GS{5.286344%} INTC{1.762115%} BA{0.440529%} ,
15,12008.98319,16197.83964,1.34881,16,AAPL{13.789359%} MSFT{8.686211%} V{9.880565%} WMT{4.668838%} PG{13.463626%} CVX{7.817590%} MRK{1.628664%} KO{10.423453%} CSCO{2.823018%} MCD{10.097720%} DIS{2.388708%} AMGN{3.474484%} CRM{3.474484%} GS{5.211726%} INTC{1.737242%} BA{0.434311%} ,
16,12014.58316,16235.40352,1.351308,16,AAPL{14.017660%} MSFT{8.830022%} V{10.044150%} WMT{4.746137%} PG{13.686534%} CVX{7.064018%} MRK{1.545254%} KO{10.596026%} CSCO{2.869757%} MCD{10.154525%} DIS{1.986755%} AMGN{3.532009%} CRM{3.532009%} GS{5.298013%} INTC{1.766004%} BA{0.331126%} ,
17,12019.32392,16251.83427,1.352142,16,AAPL{13.925439%} MSFT{8.771930%} V{9.978070%} WMT{4.714912%} PG{13.596491%} CVX{7.017544%} MRK{1.535088%} KO{11.403509%} CSCO{2.850877%} MCD{10.087719%} DIS{1.973684%} AMGN{3.508772%} CRM{3.508772%} GS{5.263158%} INTC{1.754386%} BA{0.109649%} ,
18,12043.07032,16286.14739,1.352325,16,AAPL{13.986784%} MSFT{8.810573%} V{10.022026%} WMT{4.735683%} PG{13.656388%} CVX{7.048458%} MRK{1.541850%} KO{11.013216%} CSCO{2.863436%} MCD{10.132159%} DIS{1.982379%} AMGN{3.524229%} CRM{3.524229%} GS{5.286344%} INTC{1.762115%} BA{0.110132%} ,
19,12047.35189,16293.01601,1.352415,15,AAPL{13.925439%} MSFT{8.771930%} V{9.978070%} WMT{4.714912%} PG{13.596491%} CVX{7.017544%} MRK{1.535088%} KO{11.403509%} CSCO{2.960526%} MCD{10.087719%} DIS{1.973684%} AMGN{3.508772%} CRM{3.508772%} GS{5.263158%} INTC{1.754386%} ,
20,12050.7566,16294.83617,1.352184,15,AAPL{13.910186%} MSFT{7.886090%} V{9.967141%} WMT{4.709748%} PG{13.581599%} CVX{7.009858%} MRK{1.533406%} KO{12.267251%} CSCO{2.847755%} MCD{10.076670%} DIS{2.190581%} AMGN{3.504929%} CRM{3.504929%} GS{5.257393%} INTC{1.752464%} ,
21,12061.26405,16303.65167,1.351737,16,AAPL{14.017660%} MSFT{8.830022%} V{10.044150%} WMT{4.746137%} PG{13.686534%} CVX{7.064018%} MRK{1.545254%} KO{10.816777%} CSCO{2.869757%} MCD{10.154525%} DIS{1.986755%} AMGN{3.532009%} CRM{3.532009%} GS{5.298013%} INTC{1.766004%} BA{0.110375%} ,
