After EL,,,Gbest ratio:,0.423654,#in front,1773
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,11928.87987,2725.525652,0.228481,14,AAPL{0.420168%} MSFT{16.806723%} JNJ{10.294118%} V{2.941176%} HD{0.420168%} MRK{6.722689%} KO{25.840336%} MCD{25.210084%} DIS{8.403361%} VZ{0.210084%} HON{1.680672%} INTC{0.210084%} MMM{0.420168%} DD{0.420168%} ,
2,12034.10935,2762.826233,0.229583,10,AAPL{1.066098%} MSFT{17.057569%} JNJ{10.021322%} V{3.411514%} JPM{0.213220%} MRK{6.823028%} KO{26.226013%} MCD{26.652452%} DIS{6.823028%} MMM{1.705757%} ,
3,12063.94748,3067.69583,0.254286,13,AAPL{1.836735%} MSFT{19.183673%} JNJ{11.224490%} V{2.857143%} PG{0.408163%} HD{1.836735%} MRK{6.530612%} KO{25.918367%} MCD{25.306122%} DIS{4.285714%} VZ{0.204082%} MMM{0.204082%} DD{0.204082%} ,
4,12219.76997,3574.955741,0.292555,14,AAPL{0.434783%} MSFT{17.391304%} JNJ{10.652174%} V{3.043478%} HD{0.434783%} MRK{3.478261%} KO{26.739130%} MCD{26.086957%} DIS{8.695652%} VZ{0.217391%} HON{1.739130%} INTC{0.217391%} MMM{0.434783%} DD{0.434783%} ,
5,12225.97909,3892.784191,0.318403,8,AAPL{2.216749%} MSFT{19.704433%} UNH{0.985222%} JNJ{11.576355%} KO{29.556650%} MCD{31.034483%} DIS{2.955665%} AMGN{1.970443%} ,
6,12408.16817,4235.12581,0.341318,8,AAPL{2.238806%} MSFT{19.900498%} UNH{0.995025%} JNJ{11.691542%} KO{29.850746%} MCD{31.343284%} DIS{2.985075%} AMGN{0.995025%} ,
7,12491.79407,4333.290488,0.346891,9,MSFT{23.279352%} JNJ{11.336032%} V{0.809717%} MRK{3.238866%} KO{25.708502%} MCD{24.696356%} DIS{10.526316%} AMGN{0.202429%} INTC{0.202429%} ,
8,12502.62287,4438.919178,0.355039,8,AAPL{2.153110%} MSFT{22.966507%} UNH{0.956938%} JNJ{11.244019%} KO{28.708134%} MCD{30.143541%} DIS{2.870813%} AMGN{0.956938%} ,
9,12678.65908,4442.520454,0.350394,13,AAPL{1.363636%} MSFT{22.272727%} JNJ{10.681818%} V{0.227273%} PG{0.227273%} KO{27.727273%} MCD{28.636364%} DIS{6.818182%} VZ{0.227273%} AMGN{1.136364%} MMM{0.227273%} TRV{0.227273%} DD{0.227273%} ,
10,12687.60553,4479.265357,0.353043,13,AAPL{1.363636%} MSFT{22.272727%} JNJ{10.681818%} V{0.227273%} WMT{0.227273%} PG{0.227273%} KO{27.727273%} MCD{28.636364%} DIS{6.818182%} VZ{0.227273%} AMGN{1.136364%} MMM{0.227273%} DD{0.227273%} ,
11,12694.81269,4520.472111,0.356088,9,AAPL{0.417537%} MSFT{20.459290%} JNJ{11.691023%} HD{0.417537%} MRK{3.340292%} KO{26.513570%} MCD{22.546973%} DIS{13.987474%} MMM{0.626305%} ,
12,12704.63766,4643.091199,0.365464,8,AAPL{2.093023%} MSFT{22.325581%} UNH{0.930233%} JNJ{10.930233%} V{3.720930%} KO{27.906977%} MCD{29.302326%} DIS{2.790698%} ,
13,12739.57186,4761.455846,0.373753,9,MSFT{23.662551%} JNJ{11.522634%} V{0.823045%} MRK{1.646091%} KO{26.131687%} MCD{25.102881%} DIS{10.699588%} AMGN{0.205761%} INTC{0.205761%} ,
14,12800.30301,4773.604936,0.372929,8,AAPL{0.228311%} MSFT{25.570776%} UNH{0.913242%} JNJ{10.730594%} V{3.652968%} KO{27.397260%} MCD{28.767123%} DIS{2.739726%} ,
15,12875.77573,4818.721162,0.374247,9,AAPL{1.063830%} MSFT{23.829787%} JNJ{10.000000%} V{3.404255%} KO{26.170213%} MCD{26.595745%} DIS{6.808511%} AMGN{0.425532%} MMM{1.702128%} ,
16,12877.17671,4840.164882,0.375872,8,AAPL{0.232558%} MSFT{26.046512%} UNH{0.930233%} JNJ{10.930233%} V{1.860465%} KO{27.906977%} MCD{29.302326%} DIS{2.790698%} ,
17,12886.89699,4893.143638,0.379699,10,AAPL{1.746725%} MSFT{25.109170%} JNJ{12.227074%} V{0.873362%} MRK{0.873362%} KO{27.729258%} MCD{26.637555%} DIS{4.366812%} AMGN{0.218341%} INTC{0.218341%} ,
18,12908.57658,4981.13358,0.385878,9,MSFT{23.858921%} JNJ{11.618257%} V{0.829876%} MRK{0.829876%} KO{26.348548%} MCD{25.311203%} DIS{10.788382%} AMGN{0.207469%} INTC{0.207469%} ,
19,12966.6682,5009.483099,0.386335,10,AAPL{1.754386%} MSFT{25.219298%} JNJ{12.280702%} V{0.877193%} MRK{0.438596%} KO{27.850877%} MCD{26.754386%} DIS{4.385965%} AMGN{0.219298%} INTC{0.219298%} ,
20,12997.17217,5059.319324,0.389263,9,AAPL{1.731602%} MSFT{24.891775%} JNJ{12.121212%} V{2.597403%} KO{27.489177%} MCD{26.406926%} DIS{4.329004%} AMGN{0.216450%} INTC{0.216450%} ,
21,13004.55522,5092.548726,0.391597,9,MSFT{23.958333%} JNJ{11.666667%} V{0.833333%} MRK{0.416667%} KO{26.458333%} MCD{25.416667%} DIS{10.833333%} AMGN{0.208333%} INTC{0.208333%} ,
22,13020.78256,5115.324217,0.392858,7,AAPL{1.851852%} MSFT{22.916667%} JNJ{12.962963%} KO{29.398148%} MCD{27.777778%} DIS{4.861111%} INTC{0.231481%} ,
23,13043.28799,5118.644247,0.392435,9,AAPL{1.758242%} MSFT{25.274725%} JNJ{12.307692%} V{1.098901%} KO{27.912088%} MCD{26.813187%} DIS{4.395604%} AMGN{0.219780%} INTC{0.219780%} ,
24,13054.89245,5147.893978,0.394327,9,MSFT{24.008351%} JNJ{11.691023%} V{0.835073%} MRK{0.208768%} KO{26.513570%} MCD{25.469729%} DIS{10.855950%} AMGN{0.208768%} INTC{0.208768%} ,
25,13071.14527,5156.77715,0.394516,9,AAPL{1.731602%} MSFT{24.891775%} JNJ{12.121212%} V{0.865801%} KO{27.489177%} MCD{26.406926%} DIS{6.060606%} AMGN{0.216450%} INTC{0.216450%} ,
26,13088.65485,5187.879232,0.396365,8,MSFT{23.958333%} JNJ{11.666667%} V{1.250000%} KO{26.458333%} MCD{25.416667%} DIS{10.833333%} AMGN{0.208333%} INTC{0.208333%} ,
27,13097.23535,5195.631048,0.396697,8,MSFT{24.008351%} JNJ{11.691023%} V{1.043841%} KO{26.513570%} MCD{25.469729%} DIS{10.855950%} AMGN{0.208768%} INTC{0.208768%} ,
28,13107.78487,5204.250569,0.397035,8,MSFT{24.058577%} JNJ{11.715481%} V{0.836820%} KO{26.569038%} MCD{25.523013%} DIS{10.878661%} AMGN{0.209205%} INTC{0.209205%} ,
29,13116.395,5207.381482,0.397013,8,MSFT{24.008351%} JNJ{11.691023%} V{0.835073%} KO{26.513570%} MCD{25.469729%} DIS{11.064718%} AMGN{0.208768%} INTC{0.208768%} ,
30,13120.6065,5208.400874,0.396963,9,AAPL{0.208768%} MSFT{24.008351%} JNJ{11.691023%} V{0.835073%} KO{26.513570%} MCD{25.469729%} DIS{10.855950%} AMGN{0.208768%} INTC{0.208768%} ,
31,13123.31989,5218.602964,0.397659,8,AAPL{1.769912%} MSFT{24.778761%} JNJ{12.610619%} V{0.442478%} KO{28.097345%} MCD{26.991150%} DIS{5.088496%} INTC{0.221239%} ,
32,13138.26246,5228.12346,0.397931,8,AAPL{1.766004%} MSFT{24.944812%} JNJ{12.582781%} V{0.441501%} KO{28.035320%} MCD{26.931567%} DIS{5.077263%} INTC{0.220751%} ,
33,13148.34207,5229.303821,0.397716,8,MSFT{23.958333%} JNJ{12.083333%} V{0.833333%} KO{26.458333%} MCD{25.416667%} DIS{10.833333%} AMGN{0.208333%} INTC{0.208333%} ,
34,13169.12233,5240.374769,0.397929,8,MSFT{24.688797%} JNJ{11.618257%} V{0.829876%} KO{26.348548%} MCD{25.311203%} DIS{10.788382%} AMGN{0.207469%} INTC{0.207469%} ,
35,13201.28601,5266.858897,0.398966,6,AAPL{1.079914%} MSFT{25.485961%} JNJ{12.095032%} KO{27.429806%} MCD{27.213823%} DIS{6.695464%} ,
36,13212.49282,5291.144454,0.400465,7,MSFT{23.529412%} JNJ{11.974790%} V{0.420168%} KO{26.680672%} MCD{25.630252%} DIS{11.554622%} INTC{0.210084%} ,
37,13222.72194,5300.055215,0.400829,7,MSFT{23.689727%} JNJ{11.949686%} V{0.419287%} KO{26.624738%} MCD{25.576520%} DIS{11.530398%} INTC{0.209644%} ,
38,13225.18771,5300.507365,0.400789,7,AAPL{1.732673%} MSFT{21.287129%} JNJ{13.861386%} MRK{0.495050%} KO{31.435644%} MCD{23.514851%} DIS{7.673267%} ,
39,13238.84093,5305.699482,0.400768,7,MSFT{24.058577%} JNJ{11.715481%} V{0.418410%} KO{26.569038%} MCD{25.523013%} DIS{11.506276%} INTC{0.209205%} ,
40,13240.99484,5310.906617,0.401096,7,AAPL{1.070664%} MSFT{25.267666%} JNJ{11.991435%} MRK{0.856531%} KO{27.194861%} MCD{23.554604%} DIS{10.064240%} ,
41,13248.62688,5314.880019,0.401165,8,AAPL{1.927711%} MSFT{20.000000%} JNJ{11.566265%} V{2.168675%} KO{30.602410%} MCD{21.686747%} DIS{11.807229%} INTC{0.240964%} ,
