After EL,,,Gbest ratio:,0.053847,#in front,6886
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,198771.5825,269.590679,0.001356,2,MRK{7.692308%} KO{92.307692%} ,
2,201110.6664,1127.207815,0.005605,3,MRK{5.797101%} KO{92.753623%} VZ{1.449275%} ,
3,201373.928,1242.080226,0.006168,2,MRK{5.882353%} KO{94.117647%} ,
4,201844.2009,1418.0377,0.007025,2,MRK{5.555556%} KO{94.444444%} ,
5,202267.279,1574.837317,0.007786,2,MRK{5.263158%} KO{94.736842%} ,
6,202991.5644,1844.230174,0.009085,2,MRK{4.761905%} KO{95.238095%} ,
7,204095.3106,2253.952979,0.011044,2,MRK{4.000000%} KO{96.000000%} ,
8,205170.3173,2633.664627,0.012836,3,MRK{2.985075%} KO{95.522388%} VZ{1.492537%} ,
9,205503.1843,2774.92493,0.013503,2,MRK{3.030303%} KO{96.969697%} ,
10,205755.8299,2867.877997,0.013938,2,MRK{2.857143%} KO{97.142857%} ,
11,205979.947,2950.933833,0.014326,2,MRK{2.702703%} KO{97.297297%} ,
12,206364.4808,3092.685017,0.014987,2,MRK{2.439024%} KO{97.560976%} ,
13,206945.0479,3306.707317,0.015979,2,MRK{2.040816%} KO{97.959184%} ,
14,207305.3536,3421.053868,0.016502,3,MRK{1.515152%} KO{96.969697%} VZ{1.515152%} ,
15,207678.0803,3576.582491,0.017222,2,MRK{1.538462%} KO{98.461538%} ,
16,207808.7653,3624.467404,0.017441,2,MRK{1.449275%} KO{98.550725%} ,
17,207924.7711,3667.175401,0.017637,2,MRK{1.369863%} KO{98.630137%} ,
18,208121.6275,3739.903118,0.01797,2,MRK{1.234568%} KO{98.765432%} ,
19,208419.8381,3849.274425,0.018469,2,MRK{1.030928%} KO{98.969072%} ,
20,208714.6885,3874.546233,0.018564,2,KO{95.238095%} VZ{4.761905%} ,
21,208781.7873,3906.117627,0.018709,2,KO{95.522388%} VZ{4.477612%} ,
22,208896.0801,3959.145679,0.018953,2,KO{96.000000%} VZ{4.000000%} ,
23,209134.125,4066.751916,0.019446,2,KO{96.969697%} VZ{3.030303%} ,
24,209177.3275,4086.012554,0.019534,2,KO{97.142857%} VZ{2.857143%} ,
25,209215.7053,4103.14176,0.019612,2,KO{97.297297%} VZ{2.702703%} ,
26,209283.405,4132.413669,0.019746,2,KO{97.560976%} VZ{2.439024%} ,
27,209385.6127,4176.618763,0.019947,2,KO{97.959184%} VZ{2.040816%} ,
28,209516.4475,4232.359547,0.020201,2,KO{98.461538%} VZ{1.538462%} ,
29,209522.8324,4234.943101,0.020212,2,KO{98.484848%} VZ{1.515152%} ,
30,209529.0621,4237.462066,0.020224,2,KO{98.507463%} VZ{1.492537%} ,
31,209539.8284,4242.280516,0.020246,2,KO{98.550725%} VZ{1.449275%} ,
32,209560.5495,4251.103474,0.020286,2,KO{98.630137%} VZ{1.369863%} ,
33,209595.5455,4266.101247,0.020354,2,KO{98.765432%} VZ{1.234568%} ,
34,209649.7967,4288.720505,0.020457,2,KO{98.969072%} VZ{1.030928%} ,
35,209929.6139,4403.108571,0.020974,1,KO{100.000000%} ,
36,210226.5825,4421.060857,0.02103,2,WMT{1.030928%} KO{98.969072%} ,
37,210284.9753,4424.585645,0.021041,2,WMT{1.234568%} KO{98.765432%} ,
38,210324.2424,4426.931547,0.021048,2,WMT{1.369863%} KO{98.630137%} ,
39,210348.8479,4428.34977,0.021052,2,WMT{1.449275%} KO{98.550725%} ,
40,210374.5176,4429.892606,0.021057,2,WMT{1.538462%} KO{98.461538%} ,
41,210478.0636,4435.983843,0.021076,2,WMT{1.886792%} KO{98.113208%} ,
42,210521.115,4438.604686,0.021084,2,WMT{2.040816%} KO{97.959184%} ,
43,210575.1163,4441.772446,0.021094,2,WMT{2.222222%} KO{97.777778%} ,
