After EL,,,Gbest ratio:,1.058716,#in front,1886
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,21798.88688,15927.84734,0.730673,13,AAPL{1.063830%} MSFT{0.177305%} UNH{14.539007%} WMT{0.177305%} KO{17.021277%} VZ{11.347518%} HON{3.546099%} CRM{20.035461%} GS{3.368794%} INTC{11.347518%} AXP{0.177305%} TRV{11.702128%} WBA{5.496454%} ,
2,21967.01256,16853.82354,0.767233,12,AAPL{1.094891%} MSFT{0.182482%} UNH{14.963504%} WMT{0.182482%} KO{17.518248%} HON{9.489051%} CRM{20.620438%} GS{0.547445%} INTC{11.678832%} AXP{0.182482%} TRV{12.043796%} WBA{11.496350%} ,
3,21999.28687,17584.57831,0.799325,12,AAPL{1.094891%} MSFT{0.182482%} UNH{14.963504%} WMT{0.182482%} KO{17.518248%} HON{9.489051%} CRM{20.620438%} GS{3.467153%} INTC{11.678832%} AXP{0.182482%} TRV{12.043796%} WBA{8.576642%} ,
4,22078.07414,17674.62386,0.800551,12,AAPL{1.145038%} MSFT{0.190840%} UNH{15.648855%} WMT{0.190840%} KO{18.320611%} HON{3.816794%} CRM{21.564885%} GS{0.572519%} INTC{12.213740%} AXP{1.717557%} TRV{12.595420%} WBA{12.022901%} ,
5,22172.33217,18226.41287,0.822034,13,AAPL{1.127820%} MSFT{0.187970%} UNH{15.413534%} WMT{0.187970%} KO{18.045113%} VZ{3.007519%} HON{3.759398%} CRM{21.240602%} GS{3.571429%} INTC{12.030075%} AXP{0.187970%} TRV{12.406015%} WBA{8.834586%} ,
6,22241.08732,18618.41478,0.837118,12,AAPL{1.145038%} MSFT{0.190840%} UNH{15.648855%} WMT{0.190840%} KO{18.320611%} HON{5.343511%} CRM{21.564885%} GS{3.625954%} INTC{12.213740%} AXP{0.190840%} TRV{12.595420%} WBA{8.969466%} ,
7,22331.01209,18793.13473,0.841571,13,AAPL{1.145038%} MSFT{0.190840%} UNH{15.648855%} WMT{0.190840%} PG{1.526718%} KO{18.320611%} HON{3.816794%} CRM{21.564885%} GS{3.625954%} INTC{12.213740%} AXP{0.190840%} TRV{12.595420%} WBA{8.969466%} ,
8,22388.51684,18888.83066,0.843684,13,AAPL{1.153846%} MSFT{0.192308%} UNH{15.769231%} WMT{0.192308%} PG{0.769231%} KO{18.461538%} HON{3.846154%} CRM{21.730769%} GS{3.653846%} INTC{12.307692%} AXP{0.192308%} TRV{12.692308%} WBA{9.038462%} ,
9,22397.96968,18889.83333,0.843373,12,AAPL{1.158301%} MSFT{0.193050%} UNH{15.830116%} WMT{0.193050%} KO{18.532819%} HON{4.247104%} CRM{21.814672%} GS{3.667954%} INTC{12.355212%} AXP{0.193050%} TRV{12.741313%} WBA{9.073359%} ,
