Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,41688.95909,15670.04031,0.37588,18,AAPL{0.155039%} MSFT{18.294574%} UNH{1.085271%} JNJ{0.620155%} V{17.674419%} WMT{0.465116%} JPM{2.015504%} PG{0.310078%} CVX{0.155039%} KO{0.155039%} MCD{14.883721%} DIS{0.155039%} AMGN{0.155039%} IBM{7.596899%} CRM{0.310078%} AXP{0.155039%} BA{16.744186%} WBA{19.069767%} ,
2,42276.15555,15891.3265,0.375893,18,AAPL{0.156986%} MSFT{19.780220%} UNH{1.098901%} JNJ{0.627943%} V{15.384615%} WMT{0.470958%} JPM{2.040816%} PG{0.313972%} CVX{0.156986%} KO{0.156986%} MCD{15.070644%} DIS{0.156986%} AMGN{0.156986%} IBM{7.692308%} CRM{0.313972%} AXP{0.156986%} BA{16.954474%} WBA{19.309262%} ,
3,42443.06064,16079.33012,0.378845,9,MSFT{20.000000%} UNH{1.120000%} V{15.360000%} MCD{15.360000%} IBM{9.120000%} CRM{0.480000%} AXP{0.320000%} BA{17.920000%} WBA{20.320000%} ,
4,42813.67629,16134.95996,0.376865,10,MSFT{19.778481%} UNH{2.215190%} V{15.506329%} JPM{0.158228%} MCD{15.348101%} IBM{8.860759%} CRM{0.158228%} INTC{0.158228%} BA{17.721519%} WBA{20.094937%} ,
5,42852.85464,16724.17105,0.39027,18,AAPL{0.155039%} MSFT{18.294574%} UNH{1.085271%} JNJ{0.620155%} V{15.193798%} WMT{0.465116%} JPM{2.015504%} PG{0.310078%} CVX{0.155039%} KO{0.155039%} MCD{14.883721%} DIS{0.155039%} AMGN{0.155039%} IBM{7.596899%} CRM{2.790698%} AXP{0.155039%} BA{16.744186%} WBA{19.069767%} ,
6,43413.67373,17429.5698,0.401477,18,AAPL{0.151286%} MSFT{17.851740%} UNH{1.059002%} JNJ{0.605144%} V{14.826021%} WMT{0.453858%} JPM{1.966717%} PG{0.302572%} CVX{0.151286%} KO{0.151286%} MCD{14.523449%} DIS{0.151286%} AMGN{0.151286%} IBM{7.413011%} CRM{5.143722%} AXP{0.151286%} BA{16.338880%} WBA{18.608169%} ,
7,44295.58567,17805.52608,0.401971,10,MSFT{20.292208%} UNH{2.272727%} V{15.909091%} JPM{0.162338%} MCD{10.551948%} IBM{9.090909%} CRM{2.759740%} INTC{0.162338%} BA{18.181818%} WBA{20.616883%} ,
8,44640.24145,18516.43702,0.414792,10,MSFT{19.778481%} UNH{2.215190%} V{15.506329%} JPM{0.158228%} MCD{10.284810%} IBM{8.860759%} CRM{5.221519%} INTC{0.158228%} BA{17.721519%} WBA{20.094937%} ,
9,45516.60243,18552.95589,0.407609,12,AAPL{1.117318%} MSFT{17.458101%} UNH{2.094972%} V{13.407821%} JPM{0.558659%} KO{0.279330%} MCD{13.547486%} IBM{7.960894%} CRM{9.078212%} BA{15.642458%} TRV{1.117318%} WBA{17.737430%} ,
10,45627.50273,18590.07984,0.407431,12,AAPL{1.115760%} MSFT{17.433752%} UNH{2.092050%} V{13.389121%} JPM{0.557880%} KO{0.278940%} MCD{13.528591%} IBM{7.949791%} CRM{9.205021%} BA{15.620642%} TRV{1.115760%} WBA{17.712692%} ,
11,45674.8375,18695.20797,0.409311,10,MSFT{17.837079%} UNH{2.106742%} V{13.623596%} PG{0.140449%} MCD{13.483146%} IBM{8.848315%} CRM{9.269663%} BA{15.730337%} TRV{1.123596%} WBA{17.837079%} ,
12,45813.34731,18706.13607,0.408312,10,MSFT{18.382353%} UNH{2.058824%} V{14.411765%} JPM{0.147059%} MCD{14.264706%} IBM{8.235294%} CRM{9.558824%} INTC{0.147059%} BA{16.470588%} WBA{16.323529%} ,
13,45815.25066,18829.36839,0.410985,10,MSFT{17.985612%} UNH{2.014388%} V{14.100719%} JPM{0.143885%} MCD{13.956835%} IBM{8.057554%} CRM{9.208633%} INTC{0.143885%} BA{16.115108%} WBA{18.273381%} ,
14,45825.18339,18875.37951,0.4119,9,MSFT{17.985612%} UNH{2.014388%} V{14.100719%} JPM{0.143885%} MCD{13.956835%} IBM{8.057554%} CRM{9.352518%} BA{16.115108%} WBA{18.273381%} ,
15,45875.05256,18881.79877,0.411592,11,AAPL{1.126761%} MSFT{17.605634%} UNH{2.112676%} V{13.521127%} JPM{0.563380%} KO{0.281690%} MCD{13.661972%} IBM{8.028169%} CRM{9.436620%} BA{15.774648%} WBA{17.887324%} ,
16,45905.82156,19010.25307,0.414114,8,MSFT{18.000000%} UNH{2.000000%} V{13.714286%} MCD{13.714286%} IBM{9.000000%} CRM{9.428571%} BA{16.000000%} WBA{18.142857%} ,
17,45917.76724,19033.18199,0.414506,8,MSFT{17.857143%} UNH{2.142857%} V{13.714286%} MCD{13.714286%} IBM{9.000000%} CRM{9.428571%} BA{16.000000%} WBA{18.142857%} ,
18,46036.73191,19051.46976,0.413832,10,MSFT{18.409426%} UNH{2.209131%} V{9.425626%} WMT{0.147275%} CSCO{0.294551%} MCD{16.642121%} IBM{8.247423%} CRM{9.425626%} BA{16.494845%} WBA{18.703976%} ,
19,46066.65006,19052.29379,0.413581,10,MSFT{18.491124%} UNH{2.218935%} V{9.467456%} WMT{0.147929%} CSCO{0.295858%} MCD{16.715976%} IBM{8.284024%} CRM{9.615385%} BA{16.568047%} WBA{18.195266%} ,
20,46095.54827,19070.2023,0.41371,10,MSFT{18.436578%} UNH{2.212389%} V{9.439528%} WMT{0.147493%} CSCO{0.294985%} MCD{16.666667%} IBM{8.259587%} CRM{9.587021%} BA{16.519174%} WBA{18.436578%} ,
21,46114.6015,19080.56782,0.413764,10,MSFT{18.409426%} UNH{2.209131%} V{9.425626%} WMT{0.147275%} CSCO{0.294551%} MCD{16.642121%} IBM{8.247423%} CRM{9.572901%} BA{16.494845%} WBA{18.556701%} ,
22,46117.63175,19131.69762,0.414846,9,MSFT{18.436578%} UNH{2.212389%} V{9.439528%} WMT{0.147493%} MCD{16.666667%} IBM{8.259587%} CRM{9.587021%} BA{16.519174%} WBA{18.731563%} ,
23,46251.71822,19136.31867,0.413743,11,AAPL{1.152738%} MSFT{18.011527%} UNH{2.161383%} V{9.221902%} JPM{0.576369%} KO{0.288184%} MCD{16.282421%} IBM{8.213256%} CRM{9.654179%} BA{16.138329%} WBA{18.299712%} ,
24,46267.73049,19234.63099,0.415725,8,MSFT{18.221574%} UNH{2.186589%} V{9.329446%} MCD{16.618076%} IBM{9.183673%} CRM{9.620991%} BA{16.326531%} WBA{18.513120%} ,
25,46315.60271,19271.19127,0.416084,8,MSFT{18.421053%} UNH{2.046784%} V{9.356725%} MCD{16.374269%} IBM{9.210526%} CRM{9.649123%} BA{16.374269%} WBA{18.567251%} ,
26,46323.37179,19271.56063,0.416022,8,MSFT{18.248175%} UNH{2.189781%} V{9.489051%} MCD{16.350365%} IBM{9.197080%} CRM{9.635036%} BA{16.350365%} WBA{18.540146%} ,
27,46385.2015,19295.44351,0.415983,8,MSFT{18.518519%} UNH{1.925926%} V{11.851852%} MCD{14.222222%} IBM{8.444444%} CRM{9.629630%} BA{16.592593%} WBA{18.814815%} ,
28,46458.56408,19303.37654,0.415497,9,MSFT{18.248175%} UNH{2.189781%} V{9.489051%} MCD{16.350365%} IBM{9.197080%} CRM{9.635036%} CAT{0.583942%} BA{16.350365%} WBA{17.956204%} ,
29,46459.72441,19312.54652,0.415684,8,MSFT{18.168605%} UNH{2.180233%} V{9.302326%} MCD{16.569767%} IBM{9.156977%} CRM{9.883721%} BA{16.279070%} WBA{18.459302%} ,
30,46478.56411,19392.81735,0.417242,9,MSFT{18.248175%} UNH{2.189781%} JNJ{0.145985%} V{11.678832%} MCD{14.014599%} IBM{9.197080%} CRM{9.635036%} BA{16.350365%} WBA{18.540146%} ,
31,46482.98424,19399.31631,0.417342,8,MSFT{18.274854%} UNH{2.192982%} V{11.695906%} MCD{14.035088%} IBM{9.210526%} CRM{9.649123%} BA{16.374269%} WBA{18.567251%} ,
32,46544.8033,19413.48488,0.417092,9,AAPL{0.149031%} MSFT{18.628912%} UNH{2.086438%} V{10.879285%} MCD{14.456036%} IBM{8.494784%} CRM{9.687034%} BA{16.691505%} WBA{18.926975%} ,
33,46557.56858,19416.4885,0.417043,8,MSFT{18.656716%} UNH{2.238806%} V{9.552239%} MCD{15.671642%} IBM{8.507463%} CRM{9.701493%} BA{16.716418%} WBA{18.955224%} ,
34,46577.07032,19420.77527,0.41696,9,MSFT{18.656716%} UNH{2.089552%} V{11.044776%} JPM{0.149254%} MCD{14.477612%} IBM{8.358209%} CRM{9.701493%} BA{16.716418%} WBA{18.805970%} ,
35,46593.7428,19429.72297,0.417003,9,MSFT{18.628912%} UNH{2.086438%} V{11.028316%} JPM{0.149031%} MCD{14.456036%} IBM{8.345753%} CRM{9.687034%} BA{16.691505%} WBA{18.926975%} ,
36,46610.87564,19458.40909,0.417465,8,MSFT{18.545994%} UNH{2.225519%} V{9.495549%} MCD{15.430267%} IBM{9.347181%} CRM{9.495549%} BA{16.617211%} WBA{18.842730%} ,
37,46647.79301,19460.91894,0.417188,9,MSFT{18.656716%} UNH{2.089552%} V{11.044776%} JPM{0.149254%} MCD{14.328358%} IBM{8.358209%} CRM{9.701493%} BA{16.716418%} WBA{18.955224%} ,
38,46660.40674,19470.83287,0.417288,9,MSFT{18.313953%} UNH{2.034884%} V{11.627907%} JPM{0.581395%} MCD{13.953488%} IBM{9.156977%} CRM{9.593023%} BA{16.279070%} WBA{18.459302%} ,
