After EL,,,Gbest ratio:,0.920141,#in front,4785
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,25744.04289,18378.59002,0.713897,16,WMT{13.108614%} PG{9.612984%} KO{14.107366%} CSCO{8.739076%} MCD{8.364544%} NKE{0.249688%} DIS{0.624220%} VZ{13.857678%} AMGN{0.124844%} HON{8.239700%} IBM{0.124844%} CAT{0.124844%} INTC{0.499376%} AXP{7.365793%} BA{1.997503%} TRV{12.858926%} ,
2,25932.49324,20307.45205,0.783089,14,WMT{12.960761%} PG{9.036861%} KO{13.674197%} CSCO{13.079667%} MCD{4.042806%} NKE{0.237812%} DIS{0.356718%} VZ{13.198573%} AMGN{0.118906%} HON{7.847800%} IBM{0.118906%} AXP{7.015458%} BA{4.161712%} TRV{14.149822%} ,
3,26106.66879,21003.34564,0.80452,10,WMT{11.245466%} PG{8.101572%} KO{13.542926%} CSCO{13.422007%} MCD{3.869407%} VZ{13.663845%} HON{11.608222%} AXP{7.134220%} BA{4.232164%} TRV{13.180169%} ,
4,26153.66841,22464.96243,0.85896,10,WMT{11.581569%} PG{8.343711%} KO{10.958904%} CSCO{13.823163%} MCD{3.985056%} VZ{14.072229%} HON{11.955168%} AXP{7.347447%} BA{4.358655%} TRV{13.574097%} ,
5,26496.61187,23289.98574,0.87898,14,WMT{12.838634%} PG{8.951708%} KO{10.718492%} CSCO{12.956419%} MCD{4.004711%} NKE{0.235571%} DIS{0.353357%} VZ{13.074205%} AMGN{0.117786%} HON{7.773852%} IBM{0.117786%} AXP{6.949352%} BA{7.891637%} TRV{14.016490%} ,
6,26726.35585,23532.3217,0.880491,14,WMT{12.899408%} PG{8.994083%} KO{10.295858%} CSCO{13.017751%} MCD{4.023669%} NKE{0.236686%} DIS{0.355030%} VZ{13.136095%} AMGN{0.118343%} HON{7.810651%} IBM{0.118343%} AXP{6.982249%} BA{7.928994%} TRV{14.082840%} ,
7,26809.38721,23554.58561,0.878595,11,WMT{12.117780%} PG{8.040770%} KO{10.419026%} CSCO{14.269536%} MCD{0.226501%} DIS{4.077010%} VZ{12.684032%} HON{9.060023%} AXP{8.154020%} BA{7.474519%} TRV{13.476784%} ,
8,26836.8667,24031.5817,0.895469,10,WMT{11.137725%} PG{8.023952%} KO{10.538922%} CSCO{13.293413%} MCD{3.832335%} VZ{13.532934%} HON{11.497006%} AXP{7.065868%} BA{8.023952%} TRV{13.053892%} ,
9,27035.13367,24281.56281,0.898148,10,WMT{11.191336%} PG{8.062575%} KO{10.108303%} CSCO{13.357401%} MCD{3.850782%} VZ{13.598075%} HON{11.552347%} AXP{7.099880%} BA{8.062575%} TRV{13.116727%} ,
10,27169.26141,24407.02634,0.898332,10,WMT{11.218335%} PG{8.082027%} KO{9.891435%} CSCO{13.389626%} MCD{3.860072%} VZ{13.630881%} HON{11.580217%} AXP{7.117008%} BA{8.082027%} TRV{13.148372%} ,
11,27244.73526,24469.23597,0.898127,10,WMT{11.231884%} PG{8.091787%} KO{9.782609%} CSCO{13.405797%} MCD{3.864734%} VZ{13.647343%} HON{11.594203%} AXP{7.125604%} BA{8.091787%} TRV{13.164251%} ,
12,27287.24656,24473.59555,0.896888,10,WMT{11.191336%} PG{8.543923%} KO{9.626955%} CSCO{13.357401%} MCD{3.850782%} VZ{13.598075%} HON{11.552347%} AXP{7.099880%} BA{8.062575%} TRV{13.116727%} ,
13,27318.11669,24542.99234,0.898415,10,WMT{11.191336%} PG{8.062575%} KO{9.626955%} CSCO{13.357401%} MCD{3.850782%} VZ{13.598075%} HON{11.552347%} AXP{7.581227%} BA{8.062575%} TRV{13.116727%} ,
14,27336.30939,24551.13042,0.898114,10,WMT{11.231884%} PG{8.091787%} KO{9.661836%} CSCO{13.405797%} MCD{3.864734%} VZ{13.647343%} HON{11.714976%} AXP{7.125604%} BA{8.091787%} TRV{13.164251%} ,
15,27343.5387,24566.50034,0.898439,10,WMT{11.459590%} PG{8.082027%} KO{9.650181%} CSCO{13.389626%} MCD{3.860072%} VZ{13.630881%} HON{11.580217%} AXP{7.117008%} BA{8.082027%} TRV{13.148372%} ,
16,27347.42193,24571.2624,0.898486,10,WMT{11.218335%} PG{8.082027%} KO{9.650181%} CSCO{13.389626%} MCD{3.860072%} VZ{13.630881%} HON{11.821472%} AXP{7.117008%} BA{8.082027%} TRV{13.148372%} ,
17,27368.9986,24608.73839,0.899146,10,WMT{11.191336%} PG{8.062575%} KO{9.626955%} CSCO{13.357401%} MCD{3.850782%} VZ{13.598075%} HON{12.033694%} AXP{7.099880%} BA{8.062575%} TRV{13.116727%} ,
18,27416.43525,24683.16154,0.900305,10,WMT{11.137725%} PG{8.023952%} KO{9.580838%} CSCO{13.293413%} MCD{3.832335%} VZ{13.532934%} HON{12.455090%} AXP{7.065868%} BA{8.023952%} TRV{13.053892%} ,
19,27442.95509,24720.12176,0.900782,10,WMT{11.191336%} PG{8.062575%} KO{9.626955%} CSCO{13.357401%} MCD{3.850782%} VZ{13.598075%} HON{11.552347%} AXP{7.099880%} BA{8.543923%} TRV{13.116727%} ,
20,27529.08465,24829.82423,0.901949,10,WMT{11.032028%} PG{7.947805%} KO{9.489917%} CSCO{13.167260%} MCD{3.795967%} VZ{13.404508%} HON{13.285884%} AXP{6.998814%} BA{7.947805%} TRV{12.930012%} ,
21,27572.10851,24904.63629,0.903255,10,WMT{11.137725%} PG{8.023952%} KO{9.580838%} CSCO{13.293413%} MCD{3.832335%} VZ{13.532934%} HON{11.497006%} AXP{7.065868%} BA{8.982036%} TRV{13.053892%} ,
22,27622.8604,24912.11022,0.901866,10,WMT{13.090909%} PG{7.636364%} KO{10.060606%} CSCO{14.303030%} MCD{1.939394%} VZ{13.575758%} HON{7.636364%} AXP{8.727273%} BA{9.575758%} TRV{13.454545%} ,
23,27629.94028,24941.1545,0.902686,10,WMT{12.996390%} PG{7.581227%} KO{9.747292%} CSCO{14.199759%} MCD{2.888087%} VZ{13.477738%} HON{7.581227%} AXP{8.664260%} BA{9.506619%} TRV{13.357401%} ,
24,27660.84792,24963.68397,0.902492,11,WMT{13.059250%} PG{7.617896%} KO{9.794438%} CSCO{14.268440%} MCD{1.934704%} DIS{0.483676%} VZ{13.542926%} HON{7.617896%} AXP{8.706167%} BA{9.552600%} TRV{13.422007%} ,
25,27663.62187,24990.76008,0.90338,10,WMT{13.059250%} PG{7.617896%} KO{9.794438%} CSCO{14.268440%} MCD{2.418380%} VZ{13.542926%} HON{7.617896%} AXP{8.706167%} BA{9.552600%} TRV{13.422007%} ,
26,27685.80394,25001.93759,0.90306,11,WMT{13.090909%} PG{7.636364%} KO{9.818182%} CSCO{14.303030%} MCD{1.939394%} DIS{0.242424%} VZ{13.575758%} HON{7.636364%} AXP{8.727273%} BA{9.575758%} TRV{13.454545%} ,
27,27686.54796,25015.47565,0.903525,10,WMT{13.090909%} PG{7.636364%} KO{9.818182%} CSCO{14.303030%} MCD{2.181818%} VZ{13.575758%} HON{7.636364%} AXP{8.727273%} BA{9.575758%} TRV{13.454545%} ,
