After EL,,,Gbest ratio:,0.5297,#in front,2978
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,28927.51807,8126.052712,0.280911,18,AAPL{12.186978%} UNH{19.866444%} JNJ{1.335559%} V{1.001669%} JPM{0.333890%} PG{21.035058%} CVX{0.166945%} HD{1.335559%} MRK{10.684474%} MCD{2.003339%} NKE{0.166945%} DIS{2.504174%} VZ{0.166945%} IBM{10.517529%} CRM{4.841402%} GS{0.166945%} CAT{0.667780%} TRV{11.018364%} ,
2,29285.45056,9521.132099,0.325115,18,AAPL{12.874780%} UNH{20.987654%} JNJ{1.410935%} V{1.058201%} JPM{0.352734%} PG{22.222222%} CVX{0.176367%} HD{1.410935%} MRK{5.643739%} MCD{2.116402%} NKE{0.176367%} DIS{2.645503%} VZ{0.176367%} IBM{11.111111%} CRM{5.114638%} GS{0.176367%} CAT{0.705467%} TRV{11.640212%} ,
3,30037.25569,9826.590423,0.327147,20,AAPL{15.637066%} UNH{21.814672%} JNJ{1.544402%} V{0.386100%} WMT{0.772201%} JPM{0.386100%} PG{22.393822%} CVX{0.193050%} HD{0.386100%} MRK{1.544402%} MCD{2.316602%} NKE{0.193050%} DIS{2.123552%} HON{0.193050%} IBM{12.162162%} CRM{4.440154%} GS{0.193050%} MMM{0.193050%} TRV{12.741313%} DD{0.386100%} ,
4,30112.41848,10279.68414,0.341377,18,AAPL{13.248639%} UNH{21.597096%} JNJ{1.451906%} V{1.088929%} JPM{0.362976%} PG{22.867514%} CVX{0.181488%} HD{1.451906%} MRK{2.903811%} MCD{2.177858%} NKE{0.181488%} DIS{2.722323%} VZ{0.181488%} IBM{11.433757%} CRM{5.263158%} GS{0.181488%} CAT{0.725953%} TRV{11.978221%} ,
5,30280.53759,10375.61498,0.34265,20,AAPL{15.637066%} UNH{21.814672%} JNJ{1.544402%} V{0.386100%} WMT{0.772201%} JPM{0.386100%} PG{19.305019%} CVX{0.193050%} HD{0.386100%} MRK{1.544402%} MCD{2.316602%} NKE{0.193050%} DIS{2.123552%} HON{0.193050%} IBM{12.162162%} CRM{4.440154%} GS{0.193050%} MMM{0.193050%} TRV{15.830116%} DD{0.386100%} ,
6,30409.80386,10967.67841,0.360663,20,AAPL{15.637066%} UNH{18.725869%} JNJ{1.544402%} V{0.386100%} WMT{0.772201%} JPM{0.386100%} PG{22.393822%} CVX{0.193050%} HD{0.386100%} MRK{1.544402%} MCD{2.316602%} NKE{0.193050%} DIS{2.123552%} HON{0.193050%} IBM{12.162162%} CRM{4.440154%} GS{0.193050%} MMM{0.193050%} TRV{15.830116%} DD{0.386100%} ,
7,30545.26455,11657.39251,0.381643,18,AAPL{12.186978%} UNH{19.866444%} JNJ{1.335559%} V{1.001669%} JPM{0.333890%} PG{21.035058%} CVX{0.166945%} HD{1.335559%} MRK{5.342237%} MCD{2.003339%} NKE{0.166945%} DIS{2.504174%} VZ{0.166945%} IBM{15.859766%} CRM{4.841402%} GS{0.166945%} CAT{0.667780%} TRV{11.018364%} ,
8,31097.93967,12257.40835,0.394155,9,AAPL{12.038835%} UNH{18.640777%} PG{23.106796%} HD{11.844660%} MRK{6.213592%} MCD{3.106796%} IBM{9.320388%} CRM{3.300971%} TRV{12.427184%} ,
9,31201.39372,12432.22526,0.398451,18,AAPL{12.521441%} UNH{20.411664%} JNJ{1.372213%} V{1.029160%} JPM{0.343053%} PG{21.612350%} CVX{0.171527%} HD{1.372213%} MRK{2.744425%} MCD{2.058319%} NKE{0.171527%} DIS{2.572899%} VZ{0.171527%} IBM{16.295026%} CRM{4.974271%} GS{0.171527%} CAT{0.686106%} TRV{11.320755%} ,
