Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
33,61277.7227,2764.493634,0.045114,6,AAPL{6.000000%} WMT{24.000000%} CVX{31.666667%} NKE{27.333333%} CAT{10.666667%} TRV{0.333333%} ,
34,61424.26925,2781.877773,0.04529,6,AAPL{6.122449%} WMT{21.768707%} CVX{32.312925%} NKE{27.891156%} CAT{11.564626%} TRV{0.340136%} ,
35,61573.80556,2828.716914,0.04594,5,AAPL{8.719346%} WMT{26.158038%} CVX{30.245232%} NKE{26.158038%} CAT{8.719346%} ,
36,61608.17332,2849.087781,0.046245,6,AAPL{3.672316%} WMT{27.401130%} CVX{31.355932%} NKE{27.118644%} CAT{10.169492%} MMM{0.282486%} ,
37,61729.22021,2860.281715,0.046336,6,AAPL{6.122449%} WMT{22.448980%} CVX{32.312925%} NKE{27.891156%} CAT{10.884354%} TRV{0.340136%} ,
38,61749.20871,2893.158598,0.046853,5,AAPL{9.329446%} WMT{18.658892%} CVX{32.361516%} NKE{27.988338%} CAT{11.661808%} ,
39,61888.61805,2893.32551,0.046751,6,AAPL{6.164384%} WMT{21.917808%} CVX{32.534247%} NKE{28.082192%} CAT{10.958904%} TRV{0.342466%} ,
40,61951.74553,2901.358208,0.046833,6,AAPL{6.143345%} WMT{21.843003%} CVX{32.423208%} NKE{28.327645%} CAT{10.921502%} TRV{0.341297%} ,
41,62106.37645,2916.65405,0.046962,5,AAPL{4.455446%} WMT{31.683168%} CVX{30.693069%} NKE{25.247525%} CAT{7.920792%} ,
42,62180.03994,2924.089623,0.047026,6,AAPL{6.081081%} WMT{21.621622%} CVX{32.094595%} NKE{29.054054%} CAT{10.810811%} TRV{0.337838%} ,
43,62241.59636,3003.37235,0.048253,5,AAPL{8.533333%} WMT{25.600000%} CVX{31.733333%} NKE{25.600000%} CAT{8.533333%} ,
44,62480.80512,3046.053549,0.048752,5,AAPL{9.116809%} WMT{22.792023%} CVX{31.623932%} NKE{27.350427%} CAT{9.116809%} ,
45,62491.8242,3077.802482,0.049251,5,AAPL{9.116809%} WMT{18.233618%} CVX{33.903134%} NKE{27.350427%} CAT{11.396011%} ,
46,62570.32724,3086.280274,0.049325,5,AAPL{9.439528%} WMT{18.879056%} CVX{32.743363%} NKE{28.318584%} CAT{10.619469%} ,
47,62603.54515,3087.138042,0.049313,5,AAPL{8.443272%} WMT{25.329815%} CVX{32.453826%} NKE{25.329815%} CAT{8.443272%} ,
48,62792.85481,3128.588767,0.049824,5,AAPL{8.398950%} WMT{25.196850%} CVX{32.808399%} NKE{25.196850%} CAT{8.398950%} ,
49,62889.02344,3149.19107,0.050075,5,AAPL{8.376963%} WMT{25.130890%} CVX{32.984293%} NKE{25.130890%} CAT{8.376963%} ,
50,62896.27088,3167.265773,0.050357,5,AAPL{9.014085%} WMT{18.028169%} CVX{34.647887%} NKE{27.042254%} CAT{11.267606%} ,
51,62987.71204,3170.192651,0.05033,5,AAPL{8.355091%} WMT{25.065274%} CVX{33.159269%} NKE{25.065274%} CAT{8.355091%} ,
52,63051.4646,3184.7359,0.05051,5,AAPL{9.495549%} WMT{18.991098%} CVX{32.937685%} NKE{28.486647%} CAT{10.089021%} ,
53,63105.93303,3210.936053,0.050882,5,AAPL{8.963585%} WMT{17.927171%} CVX{35.014006%} NKE{26.890756%} CAT{11.204482%} ,
54,63160.68935,3223.200785,0.051032,5,AAPL{8.913649%} WMT{22.284123%} CVX{33.147632%} NKE{26.740947%} CAT{8.913649%} ,
55,63213.04343,3232.819642,0.051142,5,AAPL{8.938547%} WMT{17.877095%} CVX{35.195531%} NKE{26.815642%} CAT{11.173184%} ,
56,63288.72985,3268.438943,0.051643,5,AAPL{9.221902%} WMT{18.443804%} CVX{34.293948%} NKE{27.665706%} CAT{10.374640%} ,
57,63532.96218,3308.814253,0.05208,5,AAPL{8.815427%} WMT{22.038567%} CVX{33.884298%} NKE{26.446281%} CAT{8.815427%} ,
58,63682.83771,3356.722572,0.05271,5,AAPL{9.116809%} WMT{18.233618%} CVX{35.042735%} NKE{27.350427%} CAT{10.256410%} ,
59,63752.90789,3365.469676,0.052789,5,AAPL{9.275362%} WMT{18.550725%} CVX{34.492754%} NKE{27.826087%} CAT{9.855072%} ,
60,63824.04719,3371.676232,0.052828,5,AAPL{8.743169%} WMT{21.857923%} CVX{34.426230%} NKE{26.229508%} CAT{8.743169%} ,
61,63887.38705,3399.932269,0.053218,5,AAPL{9.065156%} WMT{18.130312%} CVX{35.410765%} NKE{27.195467%} CAT{10.198300%} ,
62,63966.2348,3401.344203,0.053174,5,AAPL{9.221902%} WMT{19.596542%} CVX{34.293948%} NKE{27.665706%} CAT{9.221902%} ,
63,63991.84239,3421.473729,0.053467,5,AAPL{9.039548%} WMT{18.079096%} CVX{35.593220%} NKE{27.118644%} CAT{10.169492%} ,
64,64061.17557,3426.730535,0.053492,5,AAPL{9.014085%} WMT{20.281690%} CVX{34.647887%} NKE{27.042254%} CAT{9.014085%} ,
65,64096.66076,3442.82874,0.053713,5,AAPL{9.014085%} WMT{18.028169%} CVX{35.774648%} NKE{27.042254%} CAT{10.140845%} ,
66,64139.51902,3452.88512,0.053834,5,AAPL{9.169054%} WMT{18.338109%} CVX{35.243553%} NKE{27.507163%} CAT{9.742120%} ,
67,64256.85487,3469.175771,0.053989,5,AAPL{8.963585%} WMT{20.168067%} CVX{35.014006%} NKE{26.890756%} CAT{8.963585%} ,
68,64339.82844,3495.693017,0.054332,5,AAPL{9.116809%} WMT{18.233618%} CVX{35.612536%} NKE{27.350427%} CAT{9.686610%} ,
69,64384.32067,3501.35746,0.054382,5,AAPL{9.195402%} WMT{18.390805%} CVX{35.344828%} NKE{27.586207%} CAT{9.482759%} ,
70,64442.70445,3517.186414,0.054579,5,AAPL{9.090909%} WMT{18.181818%} CVX{35.795455%} NKE{27.272727%} CAT{9.659091%} ,
71,64490.12841,3519.156791,0.054569,5,AAPL{9.169054%} WMT{18.911175%} CVX{35.243553%} NKE{27.507163%} CAT{9.169054%} ,
72,64539.50867,3530.282975,0.0547,5,AAPL{9.065156%} WMT{19.263456%} CVX{35.410765%} NKE{27.195467%} CAT{9.065156%} ,
73,64546.36987,3538.553033,0.054822,5,AAPL{9.065156%} WMT{18.130312%} CVX{35.977337%} NKE{27.195467%} CAT{9.631728%} ,
74,64583.24919,3544.176964,0.054878,5,AAPL{9.142857%} WMT{18.285714%} CVX{35.714286%} NKE{27.428571%} CAT{9.428571%} ,
75,64639.20563,3550.401397,0.054926,5,AAPL{9.221902%} WMT{18.443804%} CVX{35.446686%} NKE{27.665706%} CAT{9.221902%} ,
76,64640.12171,3551.381265,0.054941,5,AAPL{9.039548%} WMT{19.209040%} CVX{35.593220%} NKE{27.118644%} CAT{9.039548%} ,
77,64673.38654,3554.983486,0.054968,5,AAPL{9.195402%} WMT{18.390805%} CVX{35.344828%} NKE{27.873563%} CAT{9.195402%} ,
78,64683.95821,3565.667839,0.055124,5,AAPL{9.116809%} WMT{18.233618%} CVX{35.897436%} NKE{27.350427%} CAT{9.401709%} ,
79,64740.65215,3572.316321,0.055179,5,AAPL{9.014085%} WMT{19.154930%} CVX{35.774648%} NKE{27.042254%} CAT{9.014085%} ,
80,64761.40916,3577.330211,0.055239,5,AAPL{9.142857%} WMT{18.571429%} CVX{35.714286%} NKE{27.428571%} CAT{9.142857%} ,
81,64786.16936,3582.571744,0.055298,5,AAPL{9.090909%} WMT{18.750000%} CVX{35.795455%} NKE{27.272727%} CAT{9.090909%} ,
82,64787.29818,3586.671636,0.055361,5,AAPL{9.090909%} WMT{18.181818%} CVX{36.079545%} NKE{27.272727%} CAT{9.375000%} ,
83,64836.02225,3593.184445,0.05542,5,AAPL{9.169054%} WMT{18.338109%} CVX{35.816619%} NKE{27.507163%} CAT{9.169054%} ,
84,64860.42512,3598.343094,0.055478,5,AAPL{9.116809%} WMT{18.518519%} CVX{35.897436%} NKE{27.350427%} CAT{9.116809%} ,
85,64887.21214,3603.483586,0.055535,5,AAPL{9.065156%} WMT{18.696884%} CVX{35.977337%} NKE{27.195467%} CAT{9.065156%} ,
86,64937.64072,3614.326627,0.055658,5,AAPL{9.142857%} WMT{18.285714%} CVX{36.000000%} NKE{27.428571%} CAT{9.142857%} ,
87,64960.95744,3618.660076,0.055705,5,AAPL{9.116809%} WMT{18.233618%} CVX{35.897436%} NKE{27.635328%} CAT{9.116809%} ,
88,64962.65642,3619.370105,0.055715,5,AAPL{9.090909%} WMT{18.465909%} CVX{36.079545%} NKE{27.272727%} CAT{9.090909%} ,
89,64990.95419,3623.074762,0.055747,5,AAPL{9.090909%} WMT{18.181818%} CVX{35.795455%} NKE{27.840909%} CAT{9.090909%} ,
90,65037.08403,3635.153062,0.055894,5,AAPL{9.116809%} WMT{18.233618%} CVX{36.182336%} NKE{27.350427%} CAT{9.116809%} ,
91,65060.56402,3639.61581,0.055942,5,AAPL{9.090909%} WMT{18.181818%} CVX{36.079545%} NKE{27.556818%} CAT{9.090909%} ,
92,65086.55785,3643.855655,0.055985,5,AAPL{9.065156%} WMT{18.130312%} CVX{35.977337%} NKE{27.762040%} CAT{9.065156%} ,
93,65136.41252,3649.228949,0.056024,5,AAPL{4.692082%} WMT{19.354839%} CVX{36.950147%} NKE{28.445748%} CAT{10.557185%} ,
94,65154.84318,3652.656005,0.056061,5,AAPL{9.014085%} WMT{18.028169%} CVX{35.774648%} NKE{28.169014%} CAT{9.014085%} ,
95,65341.6873,3669.885423,0.056165,5,AAPL{8.913649%} WMT{17.827298%} CVX{35.376045%} NKE{28.969359%} CAT{8.913649%} ,
96,65370.15359,3717.007776,0.056861,5,AAPL{6.956522%} WMT{19.130435%} CVX{36.521739%} NKE{28.115942%} CAT{9.275362%} ,
97,65488.10173,3718.443012,0.05678,5,AAPL{4.637681%} WMT{21.449275%} CVX{36.521739%} NKE{28.115942%} CAT{9.275362%} ,
98,65596.13928,3730.802796,0.056875,5,AAPL{4.892966%} WMT{19.571865%} CVX{36.391437%} NKE{29.357798%} CAT{9.785933%} ,
99,65622.94379,3750.12513,0.057147,5,AAPL{4.719764%} WMT{19.469027%} CVX{37.168142%} NKE{28.613569%} CAT{10.029499%} ,
100,65732.90126,3783.955033,0.057566,5,AAPL{5.865103%} WMT{19.354839%} CVX{36.950147%} NKE{28.445748%} CAT{9.384164%} ,
101,65814.73019,3784.677154,0.057505,5,AAPL{4.692082%} WMT{20.527859%} CVX{36.950147%} NKE{28.445748%} CAT{9.384164%} ,
102,65882.89035,3800.883931,0.057692,5,AAPL{4.733728%} WMT{19.526627%} CVX{37.278107%} NKE{28.698225%} CAT{9.763314%} ,
103,65935.36566,3817.665104,0.0579,5,AAPL{5.309735%} WMT{19.469027%} CVX{37.168142%} NKE{28.613569%} CAT{9.439528%} ,
104,65988.00093,3818.760358,0.057871,5,AAPL{4.833837%} WMT{19.335347%} CVX{37.160121%} NKE{29.003021%} CAT{9.667674%} ,
105,66043.51741,3835.126551,0.05807,5,AAPL{5.029586%} WMT{19.526627%} CVX{37.278107%} NKE{28.698225%} CAT{9.467456%} ,
106,66068.35967,3835.308651,0.058051,5,AAPL{4.733728%} WMT{19.822485%} CVX{37.278107%} NKE{28.698225%} CAT{9.467456%} ,
107,66098.64832,3845.402762,0.058177,5,AAPL{5.438066%} WMT{19.335347%} CVX{38.368580%} NKE{27.190332%} CAT{9.667674%} ,
108,66155.25126,3852.38917,0.058233,5,AAPL{4.747774%} WMT{19.584570%} CVX{37.388724%} NKE{28.783383%} CAT{9.495549%} ,
109,66192.0493,3861.812382,0.058343,5,AAPL{4.804805%} WMT{19.219219%} CVX{37.537538%} NKE{28.828829%} CAT{9.609610%} ,
110,66224.77625,3869.529281,0.05843,5,AAPL{4.747774%} WMT{19.584570%} CVX{37.685460%} NKE{28.486647%} CAT{9.495549%} ,
111,66257.1783,3873.551436,0.058462,5,AAPL{4.733728%} WMT{19.526627%} CVX{37.573964%} NKE{28.698225%} CAT{9.467456%} ,
112,66296.5111,3883.228203,0.058574,5,AAPL{4.790419%} WMT{19.161677%} CVX{37.724551%} NKE{28.742515%} CAT{9.580838%} ,
113,66401.27284,3904.109644,0.058796,5,AAPL{4.776119%} WMT{19.104478%} CVX{37.910448%} NKE{28.656716%} CAT{9.552239%} ,
114,66630.78563,3913.428756,0.058733,6,AAPL{9.846154%} WMT{12.307692%} CVX{37.846154%} NKE{29.846154%} CAT{9.846154%} MMM{0.307692%} ,
115,66822.1986,3956.393987,0.059208,6,AAPL{9.785933%} WMT{12.232416%} CVX{38.226300%} NKE{29.663609%} CAT{9.785933%} MMM{0.305810%} ,
116,66919.78646,3977.721631,0.05944,6,AAPL{9.756098%} WMT{12.195122%} CVX{38.414634%} NKE{29.573171%} CAT{9.756098%} MMM{0.304878%} ,
117,66994.33763,3995.430153,0.059638,6,AAPL{9.756098%} WMT{12.195122%} CVX{38.719512%} NKE{29.268293%} CAT{9.756098%} MMM{0.304878%} ,
118,67020.06807,3999.015341,0.059669,6,AAPL{9.726444%} WMT{12.158055%} CVX{38.601824%} NKE{29.483283%} CAT{9.726444%} MMM{0.303951%} ,
119,67125.06261,4015.414991,0.05982,5,AAPL{10.031348%} WMT{12.539185%} CVX{39.811912%} NKE{27.586207%} CAT{10.031348%} ,
120,67139.27868,4047.359607,0.060283,5,AAPL{9.756098%} WMT{12.195122%} CVX{38.719512%} NKE{29.573171%} CAT{9.756098%} ,
121,67362.74757,4066.596582,0.060369,5,AAPL{10.476190%} WMT{10.158730%} CVX{38.730159%} NKE{30.476190%} CAT{10.158730%} ,
122,67457.94324,4088.150833,0.060603,5,AAPL{10.443038%} WMT{10.126582%} CVX{38.924051%} NKE{30.379747%} CAT{10.126582%} ,
123,67537.34312,4107.735539,0.060822,5,AAPL{10.158730%} WMT{10.158730%} CVX{39.047619%} NKE{30.476190%} CAT{10.158730%} ,
124,67734.78974,4150.952545,0.061282,5,AAPL{10.094637%} WMT{10.094637%} CVX{39.432177%} NKE{30.283912%} CAT{10.094637%} ,
125,67836.6612,4172.615302,0.06151,5,AAPL{10.062893%} WMT{10.062893%} CVX{39.622642%} NKE{30.188679%} CAT{10.062893%} ,
126,67938.98595,4194.185215,0.061735,5,AAPL{10.031348%} WMT{10.031348%} CVX{39.811912%} NKE{30.094044%} CAT{10.031348%} ,
127,68344.02946,4215.788287,0.061685,6,AAPL{10.355987%} WMT{7.766990%} CVX{39.805825%} NKE{31.391586%} CAT{10.355987%} MMM{0.323625%} ,
128,68533.01433,4259.719963,0.062156,6,AAPL{10.289389%} WMT{7.717042%} CVX{40.192926%} NKE{31.189711%} CAT{10.289389%} MMM{0.321543%} ,
129,68630.88943,4281.323212,0.062382,6,AAPL{10.256410%} WMT{7.692308%} CVX{40.384615%} NKE{31.089744%} CAT{10.256410%} MMM{0.320513%} ,
130,68703.73955,4299.836287,0.062585,6,AAPL{10.256410%} WMT{7.692308%} CVX{40.705128%} NKE{30.769231%} CAT{10.256410%} MMM{0.320513%} ,
131,68729.37894,4302.833618,0.062605,6,AAPL{10.223642%} WMT{7.667732%} CVX{40.575080%} NKE{30.990415%} CAT{10.223642%} MMM{0.319489%} ,
132,68858.60605,4354.315918,0.063236,5,AAPL{10.256410%} WMT{7.692308%} CVX{40.705128%} NKE{31.089744%} CAT{10.256410%} ,
133,69141.43376,4365.284522,0.063136,5,AAPL{11.073826%} WMT{5.369128%} CVX{40.604027%} NKE{32.214765%} CAT{10.738255%} ,
134,69233.55375,4387.473028,0.063372,5,AAPL{11.036789%} WMT{5.351171%} CVX{40.802676%} NKE{32.107023%} CAT{10.702341%} ,
135,69327.29722,4409.616754,0.063606,5,AAPL{11.000000%} WMT{5.333333%} CVX{41.000000%} NKE{32.000000%} CAT{10.666667%} ,
136,69356.19811,4436.667528,0.063969,5,AAPL{7.305936%} WMT{16.438356%} CVX{39.726027%} NKE{29.223744%} CAT{7.305936%} ,
137,69603.73966,4477.981175,0.064335,5,AAPL{5.315615%} WMT{10.631229%} CVX{41.528239%} NKE{31.893688%} CAT{10.631229%} ,
138,69704.38563,4499.110574,0.064546,5,AAPL{5.298013%} WMT{10.596026%} CVX{41.721854%} NKE{31.788079%} CAT{10.596026%} ,
139,69808.25114,4520.707246,0.064759,5,AAPL{5.280528%} WMT{10.561056%} CVX{41.914191%} NKE{31.683168%} CAT{10.561056%} ,
140,69963.54503,4554.129826,0.065093,5,AAPL{7.174888%} WMT{16.143498%} CVX{40.807175%} NKE{28.699552%} CAT{7.174888%} ,
141,69971.04456,4555.299549,0.065103,5,AAPL{7.441860%} WMT{14.883721%} CVX{40.465116%} NKE{29.767442%} CAT{7.441860%} ,
142,70085.06643,4555.858567,0.065005,5,AAPL{12.213740%} WMT{6.488550%} CVX{41.603053%} NKE{30.534351%} CAT{9.160305%} ,
143,70283.54671,4611.57912,0.065614,5,AAPL{7.111111%} WMT{16.000000%} CVX{41.333333%} NKE{28.444444%} CAT{7.111111%} ,
144,70414.97435,4630.71761,0.065763,5,AAPL{7.142857%} WMT{7.142857%} CVX{42.410714%} NKE{32.589286%} CAT{10.714286%} ,
145,70444.49632,4639.472748,0.06586,5,AAPL{7.079646%} WMT{15.929204%} CVX{41.592920%} NKE{28.318584%} CAT{7.079646%} ,
146,70578.99684,4672.717373,0.066205,5,AAPL{7.305936%} WMT{14.611872%} CVX{41.552511%} NKE{29.223744%} CAT{7.305936%} ,
147,70884.93925,4692.438053,0.066198,5,AAPL{10.847458%} WMT{2.711864%} CVX{43.050847%} NKE{32.542373%} CAT{10.847458%} ,
148,70899.12573,4729.942714,0.066714,5,AAPL{7.239819%} WMT{14.479638%} CVX{42.081448%} NKE{28.959276%} CAT{7.239819%} ,
149,70946.43484,4730.479494,0.066677,5,AAPL{7.048458%} WMT{14.977974%} CVX{41.850220%} NKE{29.074890%} CAT{7.048458%} ,
150,71062.40094,4758.144393,0.066957,5,AAPL{7.207207%} WMT{14.414414%} CVX{42.342342%} NKE{28.828829%} CAT{7.207207%} ,
151,71226.52595,4786.044453,0.067195,5,AAPL{7.174888%} WMT{14.349776%} CVX{42.600897%} NKE{28.699552%} CAT{7.174888%} ,
152,71259.73485,4789.89644,0.067217,5,AAPL{7.111111%} WMT{14.222222%} CVX{42.222222%} NKE{29.333333%} CAT{7.111111%} ,
153,71331.75525,4793.286938,0.067197,5,AAPL{7.048458%} WMT{14.096916%} CVX{41.850220%} NKE{29.955947%} CAT{7.048458%} ,
