Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,61732.0702,39291.55968,0.636485,18,UNH{0.154560%} JNJ{4.945904%} WMT{17.619784%} PG{0.463679%} CVX{0.309119%} MRK{19.629057%} KO{10.819165%} MCD{15.146832%} NKE{3.709428%} DIS{0.618238%} VZ{0.154560%} AMGN{0.154560%} HON{0.463679%} GS{5.873261%} INTC{0.154560%} AXP{0.154560%} BA{11.128284%} TRV{8.500773%} ,
2,61735.85226,40050.65802,0.648742,18,UNH{0.155039%} JNJ{4.961240%} WMT{17.674419%} PG{0.465116%} CVX{0.310078%} MRK{19.689922%} KO{10.852713%} MCD{15.193798%} NKE{3.720930%} VZ{0.155039%} AMGN{0.155039%} HON{0.465116%} GS{5.891473%} INTC{0.155039%} AXP{0.155039%} BA{11.162791%} TRV{8.527132%} WBA{0.310078%} ,
3,61981.01763,41121.51392,0.663453,11,JNJ{0.194175%} WMT{18.640777%} JPM{0.194175%} CVX{0.194175%} MRK{24.466019%} MCD{18.640777%} NKE{7.961165%} DIS{1.553398%} GS{3.106796%} BA{12.427184%} TRV{12.621359%} ,
4,61991.7052,41145.12079,0.66372,11,JNJ{0.194175%} WMT{18.640777%} CVX{0.194175%} MRK{24.466019%} MCD{18.640777%} NKE{7.961165%} DIS{1.553398%} GS{3.106796%} CAT{0.194175%} BA{12.427184%} TRV{12.621359%} ,
5,61999.91845,41156.59808,0.663817,12,JNJ{0.194553%} WMT{18.677043%} JPM{0.194553%} CVX{0.194553%} MRK{24.124514%} MCD{18.677043%} NKE{7.976654%} DIS{1.556420%} GS{3.112840%} CAT{0.194553%} BA{12.451362%} TRV{12.645914%} ,
6,62008.62364,41181.05479,0.664118,12,JNJ{0.195312%} WMT{18.750000%} JPM{0.195312%} CVX{0.195312%} MRK{23.828125%} MCD{18.750000%} NKE{8.007812%} DIS{1.562500%} GS{3.125000%} CAT{0.195312%} BA{12.500000%} TRV{12.695312%} ,
7,62011.52817,41193.08662,0.664281,11,WMT{18.640777%} JPM{0.194175%} CVX{0.194175%} MRK{24.466019%} MCD{18.640777%} NKE{7.961165%} DIS{1.553398%} GS{3.106796%} CAT{0.194175%} BA{12.427184%} TRV{12.621359%} ,
8,62028.85483,41202.73466,0.664251,11,JNJ{0.194175%} WMT{18.640777%} JPM{0.194175%} MRK{24.466019%} MCD{18.640777%} NKE{7.961165%} DIS{1.553398%} GS{3.106796%} CAT{0.194175%} BA{12.427184%} TRV{12.621359%} ,
9,62057.40712,41232.6427,0.664427,12,JNJ{0.196850%} WMT{18.897638%} JPM{0.196850%} CVX{0.196850%} MRK{23.228346%} MCD{18.897638%} NKE{8.070866%} DIS{1.574803%} GS{3.149606%} CAT{0.196850%} BA{12.598425%} TRV{12.795276%} ,
10,62075.91611,42768.19816,0.688966,11,JNJ{0.196850%} WMT{18.897638%} JPM{0.196850%} CVX{0.196850%} MRK{24.803150%} MCD{18.897638%} NKE{8.070866%} GS{3.149606%} CAT{0.196850%} BA{12.598425%} TRV{12.795276%} ,
11,62110.40167,43347.0482,0.697903,11,JNJ{0.196850%} WMT{18.897638%} JPM{0.196850%} CVX{0.196850%} MRK{24.803150%} MCD{12.598425%} NKE{8.070866%} GS{3.149606%} CAT{0.196850%} BA{12.598425%} TRV{19.094488%} ,
12,62527.79967,44425.08217,0.710485,11,JNJ{0.203252%} WMT{19.512195%} JPM{0.203252%} CVX{0.203252%} MRK{25.609756%} MCD{13.008130%} NKE{8.333333%} GS{3.252033%} CAT{0.203252%} BA{13.008130%} TRV{16.463415%} ,
13,62613.94767,44576.68465,0.711929,7,WMT{19.433198%} MRK{25.708502%} MCD{12.955466%} NKE{6.275304%} GS{6.477733%} BA{12.955466%} TRV{16.194332%} ,
14,62647.71401,44598.29837,0.71189,7,WMT{19.472617%} MRK{25.557809%} MCD{12.981744%} NKE{6.288032%} GS{6.490872%} BA{12.981744%} TRV{16.227181%} ,
15,62679.85283,44616.45194,0.711815,7,WMT{19.512195%} MRK{25.406504%} MCD{13.008130%} NKE{6.300813%} GS{6.504065%} BA{13.008130%} TRV{16.260163%} ,
16,62760.09993,44657.71179,0.711562,7,WMT{19.591837%} MRK{25.102041%} MCD{13.061224%} NKE{6.326531%} GS{6.530612%} BA{13.061224%} TRV{16.326531%} ,
17,62815.49081,44991.61785,0.71625,11,JNJ{0.206612%} WMT{19.834711%} JPM{0.206612%} CVX{0.206612%} MRK{26.033058%} MCD{13.223140%} NKE{8.471074%} GS{3.305785%} CAT{0.206612%} BA{13.223140%} TRV{15.082645%} ,
18,62977.32934,45210.45106,0.717885,12,JNJ{0.206612%} WMT{19.834711%} JPM{0.206612%} CVX{0.206612%} MRK{26.033058%} KO{1.652893%} MCD{13.223140%} NKE{8.471074%} GS{3.305785%} CAT{0.206612%} BA{13.223140%} TRV{13.429752%} ,
19,62982.22713,45283.16034,0.718983,11,JNJ{0.208333%} WMT{20.000000%} JPM{0.208333%} CVX{0.208333%} MRK{26.250000%} MCD{13.333333%} NKE{8.541667%} GS{3.333333%} CAT{0.208333%} BA{13.333333%} TRV{14.375000%} ,
20,63024.73452,45412.85067,0.720556,11,JNJ{0.206612%} WMT{21.487603%} JPM{0.206612%} CVX{0.206612%} MRK{26.033058%} MCD{13.223140%} NKE{8.471074%} GS{3.305785%} CAT{0.206612%} BA{13.223140%} TRV{13.429752%} ,
21,63069.91046,45429.69763,0.720307,11,JNJ{0.209205%} WMT{20.083682%} JPM{0.209205%} CVX{0.209205%} MRK{26.359833%} MCD{13.389121%} NKE{8.577406%} GS{3.347280%} CAT{0.209205%} BA{13.389121%} TRV{14.016736%} ,
22,63073.09653,45495.30532,0.721311,11,JNJ{0.208333%} WMT{20.833333%} JPM{0.208333%} CVX{0.208333%} MRK{26.250000%} MCD{13.333333%} NKE{8.541667%} GS{3.333333%} CAT{0.208333%} BA{13.333333%} TRV{13.541667%} ,
23,63111.71818,45536.08912,0.721516,11,JNJ{0.209205%} WMT{20.502092%} JPM{0.209205%} CVX{0.209205%} MRK{26.359833%} MCD{13.389121%} NKE{8.577406%} GS{3.347280%} CAT{0.209205%} BA{13.389121%} TRV{13.598326%} ,
24,63124.45028,45553.29275,0.721643,11,JNJ{0.209644%} WMT{20.125786%} JPM{0.209644%} CVX{0.209644%} MRK{26.624738%} MCD{13.417191%} NKE{8.595388%} GS{3.354298%} CAT{0.209644%} BA{13.417191%} TRV{13.626834%} ,
25,63134.97217,45555.56208,0.721558,11,JNJ{0.209644%} WMT{20.335430%} JPM{0.209644%} CVX{0.209644%} MRK{26.415094%} MCD{13.417191%} NKE{8.595388%} GS{3.354298%} CAT{0.209644%} BA{13.417191%} TRV{13.626834%} ,
26,63161.24558,45576.98301,0.721597,11,JNJ{0.210084%} WMT{20.168067%} JPM{0.210084%} CVX{0.210084%} MRK{26.470588%} MCD{13.445378%} NKE{8.613445%} GS{3.361345%} CAT{0.210084%} BA{13.445378%} TRV{13.655462%} ,
27,63173.80293,45610.14595,0.721979,11,JNJ{0.209644%} WMT{20.125786%} JPM{0.209644%} CVX{0.209644%} MRK{26.415094%} MCD{13.417191%} NKE{8.595388%} GS{3.563941%} CAT{0.209644%} BA{13.417191%} TRV{13.626834%} ,
28,63190.30947,45645.76202,0.722354,11,JNJ{0.209205%} WMT{20.083682%} JPM{0.209205%} CVX{0.209205%} MRK{26.359833%} MCD{13.389121%} NKE{8.577406%} GS{3.765690%} CAT{0.209205%} BA{13.389121%} TRV{13.598326%} ,
29,63229.47262,45713.50564,0.722978,11,JNJ{0.208333%} WMT{20.000000%} JPM{0.208333%} CVX{0.208333%} MRK{26.250000%} MCD{13.333333%} NKE{8.541667%} GS{4.166667%} CAT{0.208333%} BA{13.333333%} TRV{13.541667%} ,
30,63334.62506,45845.17457,0.723856,11,JNJ{0.206612%} WMT{19.834711%} JPM{0.206612%} CVX{0.206612%} MRK{26.033058%} MCD{13.223140%} NKE{8.471074%} GS{4.958678%} CAT{0.206612%} BA{13.223140%} TRV{13.429752%} ,
31,63385.37648,45853.26737,0.723405,8,WMT{19.298246%} MRK{27.850877%} MCD{7.017544%} NKE{4.824561%} CRM{1.754386%} GS{7.456140%} BA{14.035088%} TRV{17.763158%} ,
32,63527.90015,45904.7782,0.722592,12,JNJ{0.209205%} WMT{20.083682%} JPM{0.209205%} CVX{0.209205%} MRK{26.359833%} MCD{13.389121%} NKE{8.577406%} GS{3.347280%} CAT{0.209205%} BA{13.389121%} TRV{13.598326%} DD{0.418410%} ,
33,63581.96512,45975.56054,0.723091,11,JNJ{0.209205%} WMT{20.083682%} JPM{0.209205%} CVX{0.209205%} MRK{26.359833%} MCD{13.389121%} NKE{8.577406%} GS{3.347280%} CAT{0.209205%} BA{13.807531%} TRV{13.598326%} ,
34,63680.38362,46063.6951,0.723358,8,WMT{19.426049%} MRK{26.269316%} MCD{8.830022%} NKE{5.518764%} CRM{0.883002%} GS{7.064018%} BA{14.128035%} TRV{17.880795%} ,
35,63688.34461,46260.40473,0.726356,8,WMT{19.298246%} MRK{26.096491%} MCD{8.771930%} NKE{6.140351%} CRM{0.877193%} GS{7.017544%} BA{14.035088%} TRV{17.763158%} ,
36,63708.9039,46324.59579,0.727129,8,WMT{19.256018%} MRK{26.039387%} MCD{8.752735%} NKE{6.345733%} CRM{0.875274%} GS{7.002188%} BA{14.004376%} TRV{17.724289%} ,
37,63736.2981,46549.61755,0.730347,8,WMT{23.628692%} MRK{26.793249%} MCD{6.751055%} NKE{4.641350%} GS{7.172996%} INTC{0.421941%} BA{13.502110%} TRV{17.088608%} ,
38,63774.64683,46712.94479,0.732469,8,WMT{19.426049%} MRK{26.269316%} MCD{1.766004%} NKE{5.518764%} CRM{0.883002%} GS{7.064018%} BA{14.128035%} TRV{24.944812%} ,
39,63779.55749,47534.20397,0.745289,7,WMT{20.824295%} MRK{27.548807%} MCD{6.941432%} NKE{6.507592%} GS{6.941432%} BA{13.882863%} TRV{17.353579%} ,
40,63784.91058,47595.90596,0.746194,7,WMT{20.779221%} MRK{27.489177%} MCD{6.926407%} NKE{6.709957%} GS{6.926407%} BA{13.852814%} TRV{17.316017%} ,
41,63826.00591,47623.92398,0.746152,7,WMT{20.824295%} MRK{27.331887%} MCD{6.941432%} NKE{6.724512%} GS{6.941432%} BA{13.882863%} TRV{17.353579%} ,
42,63867.72848,47651.01755,0.746089,7,WMT{20.869565%} MRK{27.173913%} MCD{6.956522%} NKE{6.739130%} GS{6.956522%} BA{13.913043%} TRV{17.391304%} ,
43,63966.12454,47708.14659,0.745835,7,WMT{20.960699%} MRK{26.855895%} MCD{6.986900%} NKE{6.768559%} GS{6.986900%} BA{13.973799%} TRV{17.467249%} ,
44,64138.41484,47724.27683,0.744083,7,WMT{19.298246%} MRK{27.850877%} MCD{7.017544%} NKE{6.578947%} GS{7.456140%} BA{14.035088%} TRV{17.763158%} ,
45,64171.05838,47845.7589,0.745597,10,JNJ{1.754386%} WMT{21.052632%} MRK{27.850877%} KO{0.219298%} MCD{7.017544%} NKE{6.359649%} VZ{0.438596%} GS{7.017544%} BA{14.035088%} TRV{14.254386%} ,
