After EL,,,Gbest ratio:,0.289172,#in front,3140
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,59745.7118,4800.760267,0.080353,13,MSFT{0.400000%} UNH{6.400000%} JNJ{3.600000%} V{19.200000%} WMT{1.600000%} PG{1.600000%} HD{0.800000%} MRK{6.800000%} KO{12.800000%} MCD{4.000000%} GS{7.600000%} MMM{19.200000%} TRV{16.000000%} ,
2,60548.97135,6600.188067,0.109006,11,UNH{16.202532%} V{31.139241%} HD{0.253165%} KO{25.569620%} CSCO{2.025316%} MCD{0.759494%} DIS{1.265823%} BA{1.012658%} MMM{16.708861%} TRV{0.506329%} DD{4.556962%} ,
3,60616.5975,7083.824108,0.116863,12,V{19.471947%} HD{0.330033%} KO{33.333333%} CSCO{2.640264%} MCD{0.990099%} DIS{1.650165%} AMGN{1.320132%} GS{10.561056%} BA{1.320132%} MMM{21.782178%} TRV{0.660066%} DD{5.940594%} ,
4,60628.18311,7272.448049,0.119952,11,UNH{16.368286%} V{31.457801%} HD{0.255754%} KO{25.831202%} MCD{0.767263%} DIS{1.278772%} AMGN{1.023018%} BA{1.023018%} MMM{16.879795%} TRV{0.511509%} DD{4.603581%} ,
5,60677.62524,11148.62851,0.183735,13,JNJ{5.379747%} V{29.430380%} WMT{0.949367%} JPM{1.265823%} PG{0.316456%} KO{37.025316%} MCD{1.582278%} DIS{1.265823%} VZ{0.316456%} HON{0.316456%} INTC{0.316456%} MMM{20.886076%} TRV{0.949367%} ,
6,61357.80174,12484.21638,0.203466,13,JNJ{5.120482%} V{32.831325%} WMT{0.903614%} JPM{1.204819%} PG{0.301205%} KO{35.240964%} MCD{1.506024%} DIS{1.204819%} VZ{0.301205%} HON{0.301205%} INTC{0.301205%} MMM{19.879518%} TRV{0.903614%} ,
7,62086.02563,12805.24259,0.20625,15,JNJ{0.313480%} V{34.169279%} WMT{0.940439%} PG{0.313480%} HD{0.313480%} KO{36.677116%} MCD{0.313480%} DIS{1.567398%} VZ{0.313480%} HON{0.313480%} INTC{0.313480%} AXP{1.253918%} MMM{20.689655%} TRV{2.194357%} DD{0.313480%} ,
8,62092.77152,13104.5515,0.211048,13,JNJ{5.000000%} V{34.411765%} WMT{0.882353%} JPM{1.176471%} PG{0.294118%} KO{34.411765%} MCD{1.470588%} DIS{1.176471%} VZ{0.294118%} HON{0.294118%} INTC{0.294118%} MMM{19.411765%} TRV{0.882353%} ,
9,62540.28276,13403.8697,0.214324,13,JNJ{4.941860%} V{35.174419%} WMT{0.872093%} JPM{1.162791%} PG{0.290698%} KO{34.011628%} MCD{1.453488%} DIS{1.162791%} VZ{0.290698%} HON{0.290698%} INTC{0.290698%} MMM{19.186047%} TRV{0.872093%} ,
10,62763.73471,13650.54402,0.217491,13,JNJ{4.913295%} V{36.127168%} WMT{0.289017%} JPM{1.156069%} PG{0.289017%} KO{33.815029%} MCD{1.445087%} DIS{1.156069%} VZ{0.289017%} HON{0.289017%} INTC{0.289017%} MMM{19.075145%} TRV{0.867052%} ,
11,62777.93932,13880.72462,0.221108,11,AAPL{0.589971%} JNJ{2.359882%} V{36.873156%} JPM{0.294985%} KO{36.578171%} DIS{2.654867%} VZ{0.589971%} CRM{0.294985%} GS{0.294985%} MMM{18.879056%} DD{0.589971%} ,
12,63136.1721,14098.85036,0.223309,6,V{37.809187%} KO{33.568905%} DIS{4.240283%} GS{0.353357%} BA{1.413428%} MMM{22.614841%} ,
13,63765.73113,14668.82211,0.230042,5,V{39.222615%} MRK{0.353357%} KO{33.568905%} DIS{4.240283%} MMM{22.614841%} ,
14,64328.91676,14820.46687,0.230386,13,JNJ{5.666667%} V{36.333333%} WMT{1.000000%} JPM{1.333333%} PG{0.333333%} KO{39.000000%} MCD{1.666667%} DIS{1.333333%} VZ{0.333333%} HON{0.333333%} INTC{0.333333%} MMM{11.333333%} TRV{1.000000%} ,
15,64518.21708,15161.90164,0.235002,7,V{38.023952%} HD{2.095808%} KO{37.125749%} DIS{2.694611%} HON{0.299401%} MMM{19.161677%} DD{0.598802%} ,
16,65362.60084,15444.76433,0.236294,13,JNJ{5.519481%} V{37.987013%} WMT{0.974026%} JPM{1.298701%} PG{0.324675%} KO{37.987013%} MCD{1.623377%} DIS{1.298701%} VZ{0.324675%} HON{0.324675%} INTC{0.324675%} MMM{11.038961%} TRV{0.974026%} ,
17,65646.60881,15702.91329,0.239204,5,V{40.575080%} HD{0.638978%} KO{33.546326%} DIS{4.792332%} MMM{20.447284%} ,
18,65830.52563,16098.48248,0.244544,13,JNJ{6.343284%} V{34.701493%} WMT{1.119403%} JPM{1.492537%} PG{0.373134%} KO{43.656716%} MCD{1.865672%} DIS{7.462687%} VZ{0.373134%} HON{0.373134%} INTC{0.373134%} MMM{0.746269%} TRV{1.119403%} ,
19,66164.47834,16230.96279,0.245312,13,JNJ{6.538462%} V{35.769231%} WMT{1.153846%} JPM{1.538462%} PG{0.384615%} KO{45.000000%} MCD{1.923077%} DIS{4.615385%} VZ{0.384615%} HON{0.384615%} INTC{0.384615%} MMM{0.769231%} TRV{1.153846%} ,
20,66463.90138,16309.62405,0.245391,11,AAPL{0.651466%} JNJ{2.605863%} V{40.716612%} JPM{0.325733%} KO{40.390879%} DIS{2.931596%} VZ{0.651466%} CRM{0.325733%} GS{0.325733%} MMM{10.423453%} DD{0.651466%} ,
21,66629.62604,16336.70832,0.245187,13,JNJ{6.692913%} V{36.614173%} WMT{1.181102%} JPM{1.574803%} PG{0.393701%} KO{46.062992%} MCD{1.968504%} DIS{2.362205%} VZ{0.393701%} HON{0.393701%} INTC{0.393701%} MMM{0.787402%} TRV{1.181102%} ,
22,66725.36905,16360.4597,0.245191,14,UNH{2.898551%} JNJ{6.159420%} V{39.492754%} WMT{1.086957%} JPM{1.449275%} PG{0.362319%} KO{42.391304%} MCD{1.811594%} DIS{1.449275%} VZ{0.362319%} HON{0.362319%} INTC{0.362319%} MMM{0.724638%} TRV{1.086957%} ,
23,66818.44141,16365.43791,0.244924,13,JNJ{6.719368%} V{36.758893%} WMT{1.185771%} JPM{1.976285%} PG{0.395257%} KO{46.245059%} MCD{1.976285%} DIS{1.581028%} VZ{0.395257%} HON{0.395257%} INTC{0.395257%} MMM{0.790514%} TRV{1.185771%} ,
24,66829.58712,16372.60917,0.24499,13,JNJ{6.746032%} V{36.904762%} WMT{1.190476%} JPM{1.587302%} PG{0.396825%} KO{46.428571%} MCD{1.984127%} DIS{1.587302%} VZ{0.396825%} HON{0.396825%} INTC{0.396825%} MMM{0.793651%} TRV{1.190476%} ,
25,66992.82051,16549.62403,0.247036,13,JNJ{6.692913%} V{37.401575%} WMT{1.181102%} JPM{1.574803%} PG{0.393701%} KO{46.062992%} MCD{1.968504%} DIS{1.574803%} VZ{0.393701%} HON{0.393701%} INTC{0.393701%} MMM{0.787402%} TRV{1.181102%} ,
26,66993.24145,16563.79038,0.247246,12,JNJ{0.327869%} V{39.672131%} HD{1.311475%} KO{41.639344%} MCD{0.655738%} DIS{2.622951%} HON{0.327869%} CRM{0.983607%} BA{0.655738%} MMM{10.491803%} TRV{0.655738%} DD{0.655738%} ,
27,67263.10564,16647.60374,0.2475,11,AAPL{0.687285%} UNH{5.498282%} JNJ{2.749141%} V{42.955326%} JPM{0.343643%} KO{42.611684%} DIS{3.092784%} VZ{0.687285%} CRM{0.343643%} GS{0.343643%} DD{0.687285%} ,
28,67443.70032,16894.00509,0.25049,13,JNJ{5.985915%} V{38.380282%} WMT{1.056338%} JPM{1.408451%} PG{0.352113%} KO{41.197183%} MCD{1.760563%} DIS{1.408451%} VZ{0.352113%} HON{0.352113%} INTC{0.352113%} MMM{0.704225%} TRV{6.690141%} ,
29,67466.38144,16928.20857,0.250913,13,JNJ{6.159420%} V{39.492754%} WMT{1.086957%} JPM{1.449275%} PG{0.362319%} KO{42.391304%} MCD{1.811594%} DIS{1.449275%} VZ{0.362319%} HON{0.362319%} INTC{0.362319%} MMM{3.623188%} TRV{1.086957%} ,
30,67622.83276,17081.30874,0.252597,13,JNJ{5.666667%} V{36.333333%} WMT{1.000000%} JPM{1.333333%} PG{0.333333%} KO{39.000000%} MCD{1.666667%} DIS{12.000000%} VZ{0.333333%} HON{0.333333%} INTC{0.333333%} MMM{0.666667%} TRV{1.000000%} ,
31,67679.04402,17380.3723,0.256806,13,JNJ{5.985915%} V{38.380282%} WMT{1.056338%} JPM{1.408451%} PG{0.352113%} KO{41.197183%} MCD{1.760563%} DIS{7.042254%} VZ{0.352113%} HON{0.352113%} INTC{0.352113%} MMM{0.704225%} TRV{1.056338%} ,
32,68063.0767,17542.55134,0.25774,13,JNJ{6.159420%} V{39.492754%} WMT{1.086957%} JPM{1.449275%} PG{0.362319%} KO{42.391304%} MCD{1.811594%} DIS{4.347826%} VZ{0.362319%} HON{0.362319%} INTC{0.362319%} MMM{0.724638%} TRV{1.086957%} ,
33,68450.2748,17766.90032,0.259559,7,V{42.052980%} HD{2.317881%} KO{41.059603%} DIS{2.980132%} HON{0.331126%} MMM{10.596026%} DD{0.662252%} ,
