After EL,,,Gbest ratio:,0.477138,#in front,2368
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,71596.44429,17968.51499,0.250969,2,KO{80.000000%} NKE{20.000000%} ,
2,72834.3063,19052.80356,0.261591,2,KO{88.888889%} NKE{11.111111%} ,
3,74911.50233,19690.49949,0.26285,2,KO{94.117647%} NKE{5.882353%} ,
4,74960.02084,22301.41852,0.297511,2,PG{20.000000%} KO{80.000000%} ,
5,75456.59344,25913.58554,0.343424,2,MSFT{11.111111%} KO{88.888889%} ,
6,78020.83936,30319.99032,0.388614,2,MSFT{20.000000%} KO{80.000000%} ,
7,80763.79398,30797.52112,0.381328,6,AAPL{23.333333%} PG{23.703704%} HD{2.962963%} KO{47.037037%} CSCO{1.481481%} INTC{1.481481%} ,
8,81333.15154,30913.24197,0.380082,6,AAPL{22.992701%} MSFT{2.919708%} PG{23.357664%} HD{2.919708%} KO{46.350365%} CSCO{1.459854%} ,
9,81463.98712,31824.19183,0.390654,6,AAPL{22.992701%} PG{23.357664%} HD{2.919708%} KO{46.350365%} CSCO{1.459854%} INTC{2.919708%} ,
10,82534.60817,32020.91105,0.38797,6,AAPL{22.340426%} MSFT{5.673759%} PG{22.695035%} HD{2.836879%} KO{45.035461%} CSCO{1.418440%} ,
11,83531.31751,33790.96767,0.404531,6,AAPL{22.340426%} PG{22.695035%} HD{2.836879%} KO{45.035461%} CSCO{1.418440%} INTC{5.673759%} ,
12,84288.38311,34107.10729,0.404648,6,AAPL{31.045752%} PG{20.915033%} HD{2.614379%} KO{41.503268%} CSCO{1.307190%} INTC{2.614379%} ,
13,85567.35832,34246.70721,0.400231,6,AAPL{34.905660%} PG{20.125786%} HD{2.515723%} KO{39.937107%} CSCO{1.257862%} INTC{1.257862%} ,
14,85637.18962,35814.47482,0.418212,6,AAPL{30.254777%} PG{20.382166%} HD{2.547771%} KO{40.445860%} CSCO{1.273885%} INTC{5.095541%} ,
15,86698.3581,35870.10158,0.413734,5,AAPL{39.197531%} PG{19.753086%} KO{39.197531%} CSCO{1.234568%} INTC{0.617284%} ,
16,86708.97334,36270.41995,0.418301,5,AAPL{38.957055%} PG{19.631902%} KO{38.957055%} CSCO{1.226994%} INTC{1.226994%} ,
