Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,26431.61014,33352.27213,1.261833,13,AAPL{0.465116%} MSFT{1.627907%} WMT{18.372093%} HD{0.232558%} MRK{22.325581%} KO{0.232558%} NKE{2.790698%} DIS{3.488372%} VZ{14.883721%} IBM{29.534884%} CRM{4.651163%} BA{0.697674%} WBA{0.697674%} ,
2,26550.81169,33876.20359,1.275901,13,AAPL{0.458716%} MSFT{3.440367%} WMT{18.119266%} HD{0.229358%} MRK{22.018349%} KO{0.229358%} NKE{2.752294%} DIS{7.110092%} VZ{14.678899%} IBM{29.128440%} CRM{0.917431%} BA{0.688073%} WBA{0.229358%} ,
3,26639.34453,34018.44548,1.277,13,AAPL{0.457666%} MSFT{3.432494%} WMT{18.077803%} HD{0.228833%} MRK{21.967963%} KO{0.228833%} NKE{2.745995%} DIS{7.093822%} VZ{14.645309%} IBM{29.061785%} CRM{0.915332%} BA{0.686499%} WBA{0.457666%} ,
4,26668.61106,34121.31687,1.279456,12,MSFT{3.440367%} WMT{18.119266%} HD{0.229358%} MRK{22.018349%} KO{0.229358%} NKE{2.752294%} DIS{7.110092%} VZ{14.678899%} IBM{29.128440%} CRM{0.917431%} BA{0.688073%} WBA{0.688073%} ,
5,26680.64057,34165.48879,1.280535,11,MSFT{5.251142%} WMT{18.036530%} MRK{21.917808%} KO{0.228311%} NKE{1.369863%} DIS{7.077626%} VZ{14.611872%} IBM{28.995434%} CRM{1.141553%} BA{0.684932%} WBA{0.684932%} ,
6,26697.14441,34329.87301,1.285901,12,AAPL{0.464037%} MSFT{3.480278%} WMT{18.329466%} MRK{22.273782%} NKE{0.928074%} DIS{7.192575%} VZ{14.849188%} HON{0.464037%} IBM{29.466357%} CRM{1.624130%} BA{0.696056%} WBA{0.232019%} ,
7,26737.50474,34397.73302,1.286498,12,AAPL{0.465116%} MSFT{3.488372%} WMT{18.372093%} MRK{22.325581%} KO{0.232558%} NKE{1.395349%} DIS{7.209302%} VZ{14.883721%} IBM{29.534884%} CRM{1.162791%} BA{0.697674%} WBA{0.232558%} ,
8,26768.78938,34403.57518,1.285212,11,MSFT{5.263158%} WMT{18.077803%} MRK{21.967963%} KO{0.457666%} NKE{0.915332%} DIS{7.093822%} VZ{14.645309%} IBM{29.061785%} CRM{1.144165%} BA{0.686499%} WBA{0.686499%} ,
9,26801.28702,34473.62567,1.286268,12,AAPL{0.462963%} MSFT{3.472222%} WMT{18.287037%} MRK{22.222222%} NKE{0.925926%} DIS{7.175926%} VZ{14.814815%} HON{0.462963%} IBM{29.398148%} CRM{1.620370%} BA{0.694444%} WBA{0.462963%} ,
10,26805.16865,34541.38711,1.288609,12,AAPL{0.464037%} MSFT{3.480278%} WMT{18.329466%} MRK{22.273782%} KO{0.232019%} NKE{1.392111%} DIS{7.192575%} VZ{14.849188%} IBM{29.466357%} CRM{1.160093%} BA{0.696056%} WBA{0.464037%} ,
11,26827.07111,34578.338,1.288935,11,MSFT{3.480278%} WMT{18.329466%} MRK{22.273782%} NKE{0.928074%} DIS{7.192575%} VZ{14.849188%} HON{0.464037%} IBM{29.466357%} CRM{1.624130%} BA{0.696056%} WBA{0.696056%} ,
12,26833.27806,34646.33377,1.29117,11,MSFT{3.488372%} WMT{18.372093%} MRK{22.325581%} KO{0.232558%} NKE{1.395349%} DIS{7.209302%} VZ{14.883721%} IBM{29.534884%} CRM{1.162791%} BA{0.697674%} WBA{0.697674%} ,
13,26859.65913,34678.10777,1.291085,11,AAPL{0.464037%} MSFT{3.480278%} WMT{18.329466%} MRK{22.273782%} NKE{0.928074%} DIS{7.192575%} VZ{14.849188%} IBM{29.466357%} CRM{1.624130%} BA{0.696056%} WBA{0.696056%} ,
14,26892.77129,34684.42384,1.28973,12,AAPL{0.462963%} MSFT{3.472222%} WMT{18.287037%} MRK{22.222222%} KO{0.231481%} NKE{1.388889%} DIS{7.175926%} VZ{14.814815%} IBM{29.398148%} CRM{1.157407%} BA{0.694444%} WBA{0.694444%} ,
15,26902.41052,34718.82749,1.290547,12,AAPL{0.464037%} MSFT{3.480278%} WMT{18.097448%} MRK{22.273782%} KO{0.232019%} NKE{1.392111%} DIS{7.192575%} VZ{14.849188%} IBM{29.466357%} CRM{1.160093%} BA{0.696056%} WBA{0.696056%} ,
16,26917.4297,34753.18336,1.291103,12,AAPL{0.465116%} MSFT{3.488372%} WMT{17.906977%} MRK{22.325581%} KO{0.232558%} NKE{1.395349%} DIS{7.209302%} VZ{14.883721%} IBM{29.534884%} CRM{1.162791%} BA{0.697674%} WBA{0.697674%} ,
17,26924.37647,34833.94072,1.29377,11,MSFT{3.263403%} WMT{18.414918%} MRK{22.377622%} KO{0.233100%} NKE{0.466200%} DIS{7.226107%} VZ{14.918415%} IBM{29.603730%} CRM{2.097902%} BA{0.699301%} WBA{0.699301%} ,
18,26975.02404,34858.7905,1.292262,12,AAPL{0.469484%} MSFT{3.521127%} WMT{17.605634%} HD{0.234742%} MRK{22.535211%} NKE{0.938967%} DIS{7.276995%} VZ{15.023474%} IBM{29.812207%} CRM{1.173709%} BA{0.704225%} WBA{0.704225%} ,
19,27007.37418,34894.84585,1.292049,12,AAPL{0.470588%} MSFT{3.529412%} WMT{17.411765%} HD{0.235294%} MRK{22.588235%} NKE{0.941176%} DIS{7.294118%} VZ{15.058824%} IBM{29.882353%} CRM{1.176471%} BA{0.705882%} WBA{0.705882%} ,
20,27019.4992,34921.47536,1.292455,12,AAPL{0.470588%} MSFT{3.294118%} WMT{17.647059%} HD{0.235294%} MRK{22.588235%} NKE{0.941176%} DIS{7.294118%} VZ{15.058824%} IBM{29.882353%} CRM{1.176471%} BA{0.705882%} WBA{0.705882%} ,
21,27026.58002,34929.76408,1.292423,11,AAPL{0.470588%} MSFT{3.529412%} WMT{17.647059%} MRK{22.588235%} NKE{0.941176%} DIS{7.294118%} VZ{15.058824%} IBM{29.882353%} CRM{1.176471%} BA{0.705882%} WBA{0.705882%} ,
22,27044.95603,34930.38068,1.291567,12,AAPL{0.471698%} MSFT{3.537736%} WMT{17.216981%} HD{0.235849%} MRK{22.641509%} NKE{0.943396%} DIS{7.311321%} VZ{15.094340%} IBM{29.952830%} CRM{1.179245%} BA{0.707547%} WBA{0.707547%} ,
23,27066.86151,34960.67359,1.291641,12,AAPL{0.465116%} MSFT{3.488372%} WMT{18.139535%} MRK{22.325581%} KO{0.465116%} NKE{0.930233%} DIS{7.209302%} VZ{14.883721%} IBM{29.534884%} CRM{1.162791%} BA{0.697674%} WBA{0.697674%} ,
24,27071.07655,34984.4585,1.292319,12,AAPL{0.471698%} MSFT{3.066038%} WMT{17.688679%} HD{0.235849%} MRK{22.641509%} NKE{0.943396%} DIS{7.311321%} VZ{15.094340%} IBM{29.952830%} CRM{1.179245%} BA{0.707547%} WBA{0.707547%} ,
25,27113.49348,35038.80718,1.292301,13,AAPL{0.455581%} MSFT{4.328018%} WMT{17.995444%} MRK{21.867882%} KO{0.455581%} CSCO{0.911162%} NKE{0.911162%} DIS{7.061503%} VZ{14.578588%} IBM{28.929385%} CRM{1.138952%} BA{0.683371%} WBA{0.683371%} ,
