After EL,,,Gbest ratio:,0.93428,#in front,1200
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,30263.85289,15318.45981,0.506164,28,AAPL{0.228833%} MSFT{13.958810%} UNH{11.098398%} JNJ{9.839817%} V{13.501144%} WMT{11.899314%} JPM{0.457666%} PG{2.517162%} CVX{3.661327%} HD{2.517162%} MRK{3.318078%} KO{1.487414%} CSCO{0.114416%} MCD{7.665904%} DIS{3.890160%} VZ{2.517162%} AMGN{1.601831%} HON{1.716247%} IBM{1.144165%} CRM{0.686499%} GS{1.830664%} CAT{0.800915%} INTC{1.144165%} AXP{0.114416%} BA{0.228833%} MMM{0.114416%} TRV{1.830664%} DD{0.114416%} ,
2,30318.12267,17936.15709,0.591599,25,MSFT{8.940646%} UNH{8.564989%} JNJ{7.888805%} V{6.461307%} WMT{7.663411%} JPM{0.751315%} PG{9.541698%} CVX{0.300526%} HD{9.090909%} MRK{4.132231%} KO{8.865515%} MCD{4.583020%} NKE{0.075131%} DIS{3.531180%} VZ{5.033809%} AMGN{0.976709%} HON{0.676183%} IBM{0.525920%} CRM{2.779865%} GS{2.028550%} INTC{2.404207%} BA{0.225394%} MMM{0.300526%} TRV{4.583020%} DD{0.075131%} ,
3,30873.35682,18058.82695,0.584932,25,MSFT{9.275136%} UNH{8.885425%} JNJ{4.442712%} V{6.703040%} WMT{7.950117%} JPM{0.779423%} PG{9.898675%} CVX{0.311769%} HD{9.431021%} MRK{4.286828%} KO{9.197194%} MCD{4.754482%} NKE{0.077942%} DIS{3.663289%} VZ{5.222136%} AMGN{1.013250%} HON{0.701481%} IBM{0.545596%} CRM{2.883866%} GS{2.104443%} INTC{2.494154%} BA{0.233827%} MMM{0.311769%} TRV{4.754482%} DD{0.077942%} ,
4,30888.47228,18325.10606,0.593267,25,MSFT{9.104820%} UNH{8.722265%} JNJ{3.136955%} V{6.579954%} WMT{7.804132%} JPM{0.765111%} PG{9.716909%} CVX{0.306044%} HD{9.257842%} MRK{6.656465%} KO{9.028309%} MCD{4.667177%} NKE{0.076511%} DIS{3.596021%} VZ{5.126243%} AMGN{0.994644%} HON{0.688600%} IBM{0.535578%} CRM{2.830910%} GS{2.065800%} INTC{2.448355%} BA{0.841622%} MMM{0.306044%} TRV{4.667177%} DD{0.076511%} ,
5,30940.62988,19199.88289,0.620539,26,AAPL{0.105932%} MSFT{13.135593%} UNH{8.156780%} JNJ{12.711864%} V{13.029661%} WMT{8.474576%} JPM{0.423729%} PG{2.118644%} CVX{4.131356%} HD{11.864407%} MRK{4.555085%} KO{1.271186%} MCD{3.919492%} DIS{2.754237%} VZ{7.309322%} AMGN{0.847458%} HON{0.211864%} IBM{1.165254%} CRM{1.377119%} CAT{0.317797%} INTC{0.317797%} AXP{0.211864%} MMM{0.423729%} TRV{0.635593%} DD{0.105932%} WBA{0.423729%} ,
6,31028.28687,19225.67127,0.619618,25,MSFT{8.940646%} UNH{8.564989%} JNJ{3.080391%} V{8.865515%} WMT{7.663411%} JPM{0.751315%} PG{9.541698%} CVX{0.300526%} HD{9.090909%} MRK{6.536439%} KO{8.865515%} MCD{4.583020%} NKE{0.075131%} DIS{3.531180%} VZ{5.033809%} AMGN{0.976709%} HON{0.676183%} IBM{0.525920%} CRM{2.779865%} GS{2.028550%} INTC{2.404207%} BA{0.225394%} MMM{0.300526%} TRV{4.583020%} DD{0.075131%} ,
7,31151.57338,19245.83539,0.617813,25,MSFT{9.716909%} UNH{8.722265%} JNJ{3.136955%} V{6.579954%} WMT{7.804132%} JPM{0.765111%} PG{9.716909%} CVX{0.306044%} HD{9.257842%} MRK{6.656465%} KO{9.028309%} MCD{4.667177%} NKE{0.076511%} DIS{3.596021%} VZ{5.126243%} AMGN{0.994644%} HON{0.688600%} IBM{0.535578%} CRM{2.830910%} GS{2.065800%} INTC{2.448355%} BA{0.229533%} MMM{0.306044%} TRV{4.667177%} DD{0.076511%} ,
8,31222.41207,19253.53652,0.616658,25,MSFT{9.132771%} UNH{8.749041%} JNJ{3.146585%} V{6.600153%} WMT{7.828089%} JPM{0.767460%} PG{9.746738%} CVX{0.306984%} HD{9.286262%} MRK{6.676899%} KO{9.056025%} MCD{4.681504%} NKE{0.076746%} DIS{3.607061%} VZ{5.448964%} AMGN{0.997698%} HON{0.690714%} IBM{0.537222%} CRM{2.839601%} GS{2.072141%} INTC{2.455871%} BA{0.230238%} MMM{0.306984%} TRV{4.681504%} DD{0.076746%} ,
9,31279.43502,19720.5506,0.630464,25,MSFT{8.834447%} UNH{8.463252%} JNJ{3.043801%} V{8.760208%} WMT{7.572383%} JPM{0.742390%} PG{9.428359%} CVX{0.296956%} HD{8.982925%} MRK{7.646622%} KO{8.760208%} MCD{4.528582%} NKE{0.074239%} DIS{3.489235%} VZ{4.974016%} AMGN{0.965108%} HON{0.668151%} IBM{0.519673%} CRM{2.746845%} GS{2.004454%} INTC{2.375650%} BA{0.222717%} MMM{0.296956%} TRV{4.528582%} DD{0.074239%} ,
10,31389.52947,23200.19813,0.739106,21,AAPL{0.105485%} MSFT{12.236287%} UNH{6.751055%} JNJ{11.286920%} V{12.869198%} WMT{10.232068%} JPM{0.316456%} PG{8.122363%} HD{8.016878%} MRK{2.531646%} KO{7.700422%} MCD{0.316456%} NKE{0.316456%} DIS{2.215190%} VZ{6.751055%} AMGN{0.316456%} HON{0.316456%} CRM{1.160338%} CAT{0.210970%} TRV{8.122363%} WBA{0.105485%} ,
11,31957.39982,24874.96339,0.778379,15,MSFT{14.382786%} UNH{10.872027%} JNJ{7.248018%} V{14.382786%} WMT{14.382786%} PG{8.154020%} HD{7.248018%} MRK{5.322763%} MCD{0.113250%} DIS{0.113250%} VZ{7.248018%} CRM{0.453001%} GS{0.906002%} MMM{0.113250%} TRV{9.060023%} ,
12,32000.18006,25161.62397,0.786296,13,MSFT{14.350797%} UNH{10.933941%} JNJ{7.289294%} V{14.350797%} WMT{14.464692%} PG{8.428246%} HD{7.517084%} MRK{5.353075%} DIS{0.341686%} VZ{7.289294%} CRM{0.455581%} INTC{0.113895%} TRV{9.111617%} ,
13,32217.05739,25399.9452,0.788401,18,MSFT{13.283741%} UNH{7.651435%} JNJ{12.221041%} V{12.008502%} WMT{12.858661%} PG{8.607864%} HD{6.801275%} MRK{4.675877%} KO{1.700319%} MCD{0.212540%} DIS{1.594049%} VZ{5.100956%} AMGN{0.956429%} HON{0.106270%} IBM{0.212540%} CRM{1.381509%} GS{0.425080%} TRV{10.201913%} ,
14,32637.59516,26180.55521,0.802159,18,MSFT{12.846865%} UNH{7.399794%} JNJ{5.241521%} V{11.613566%} WMT{12.435766%} PG{8.324769%} HD{6.577595%} MRK{7.810894%} KO{8.221994%} MCD{0.205550%} DIS{1.541624%} VZ{4.933196%} AMGN{0.924974%} HON{0.102775%} IBM{0.205550%} CRM{1.336074%} GS{0.411100%} TRV{9.866393%} ,
15,32904.02437,26775.06452,0.813732,18,MSFT{13.283741%} UNH{7.651435%} JNJ{5.419766%} V{12.008502%} WMT{12.858661%} PG{8.607864%} HD{6.801275%} MRK{8.076514%} KO{5.100956%} MCD{0.212540%} DIS{1.594049%} VZ{5.100956%} AMGN{0.956429%} HON{0.106270%} IBM{0.212540%} CRM{1.381509%} GS{0.425080%} TRV{10.201913%} ,
16,32953.42776,27021.90069,0.820003,15,MSFT{13.766520%} UNH{7.929515%} JNJ{7.048458%} V{12.555066%} WMT{13.876652%} PG{7.819383%} HD{10.572687%} MRK{8.480176%} MCD{0.110132%} DIS{0.660793%} VZ{7.268722%} CRM{0.660793%} AXP{0.110132%} BA{0.110132%} TRV{9.030837%} ,
17,33074.89771,27262.97424,0.82428,15,MSFT{14.013453%} UNH{8.071749%} JNJ{7.174888%} V{12.780269%} WMT{14.125561%} PG{7.959641%} HD{8.968610%} MRK{8.632287%} MCD{0.112108%} DIS{0.672646%} VZ{7.399103%} CRM{0.672646%} AXP{0.112108%} BA{0.112108%} TRV{9.192825%} ,
