Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,40362.96162,39757.26949,0.984994,9,AAPL{0.584795%} JNJ{6.237817%} V{13.645224%} WMT{12.475634%} CVX{12.475634%} MRK{24.756335%} KO{9.356725%} MCD{7.797271%} CAT{12.670565%} ,
2,40584.80019,40963.93843,1.009342,8,JNJ{3.968254%} V{13.492063%} WMT{12.698413%} CVX{12.698413%} MRK{25.198413%} KO{9.722222%} MCD{7.936508%} CAT{14.285714%} ,
3,40634.1444,41035.11833,1.009868,9,AAPL{0.198413%} JNJ{3.968254%} V{13.492063%} WMT{12.698413%} CVX{12.698413%} MRK{25.198413%} KO{9.523810%} MCD{7.936508%} CAT{14.285714%} ,
4,40643.75664,41040.96087,1.009773,9,AAPL{0.198020%} JNJ{4.158416%} V{13.465347%} WMT{12.673267%} CVX{12.673267%} MRK{25.148515%} KO{9.504950%} MCD{7.920792%} CAT{14.257426%} ,
5,40651.67716,41044.23805,1.009657,9,AAPL{0.197628%} JNJ{4.347826%} V{13.438735%} WMT{12.648221%} CVX{12.648221%} MRK{25.098814%} KO{9.486166%} MCD{7.905138%} CAT{14.229249%} ,
6,40675.86142,41055.52466,1.009334,9,AAPL{0.196850%} JNJ{4.724409%} V{13.385827%} WMT{12.598425%} CVX{12.598425%} MRK{25.000000%} KO{9.448819%} MCD{7.874016%} CAT{14.173228%} ,
7,40711.50993,41090.56093,1.009311,9,AAPL{0.198807%} JNJ{3.180915%} V{13.916501%} WMT{12.723658%} CVX{12.723658%} MRK{25.248509%} KO{9.542744%} MCD{7.952286%} CAT{14.512922%} ,
8,40735.97751,41152.07234,1.010214,8,JNJ{3.952569%} V{13.833992%} WMT{12.648221%} CVX{12.648221%} MRK{25.098814%} KO{9.486166%} MCD{7.905138%} CAT{14.426877%} ,
9,40752.51635,41185.90131,1.010635,9,AAPL{0.199601%} JNJ{3.193613%} V{13.572854%} WMT{12.774451%} CVX{12.774451%} MRK{25.349301%} KO{9.580838%} MCD{7.984032%} CAT{14.570858%} ,
10,40780.92967,41203.63232,1.010365,9,AAPL{0.198020%} JNJ{3.960396%} V{13.465347%} WMT{12.673267%} CVX{12.673267%} MRK{25.148515%} KO{9.504950%} MCD{7.920792%} CAT{14.455446%} ,
