After EL,,,Gbest ratio:,0.985829,#in front,435
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,45368.19919,42725.32992,0.941746,5,MRK{18.604651%} VZ{3.488372%} AMGN{73.837209%} GS{0.581395%} BA{3.488372%} ,
2,45571.81096,43499.74674,0.954532,5,MRK{18.713450%} VZ{3.508772%} AMGN{74.269006%} GS{0.584795%} BA{2.923977%} ,
3,45792.28719,43670.74524,0.95367,6,MRK{18.604651%} KO{1.162791%} VZ{3.488372%} AMGN{73.837209%} GS{0.581395%} BA{2.325581%} ,
4,45839.64148,43781.75944,0.955107,6,MRK{18.713450%} DIS{0.584795%} VZ{3.508772%} AMGN{74.269006%} GS{0.584795%} BA{2.339181%} ,
5,45863.51358,43890.79377,0.956987,5,MRK{18.604651%} VZ{3.488372%} AMGN{73.837209%} GS{1.744186%} BA{2.325581%} ,
6,45873.43498,43974.15373,0.958597,6,MRK{18.713450%} KO{0.584795%} VZ{3.508772%} AMGN{74.269006%} GS{0.584795%} BA{2.339181%} ,
7,45914.8692,43979.2869,0.957844,6,MRK{18.713450%} VZ{3.508772%} AMGN{74.269006%} GS{0.584795%} CAT{0.584795%} BA{2.339181%} ,
8,45960.0776,44015.56412,0.957691,6,MRK{18.713450%} VZ{3.508772%} AMGN{74.269006%} GS{0.584795%} BA{2.339181%} DD{0.584795%} ,
9,45981.34586,44331.44008,0.964118,5,MRK{18.713450%} VZ{4.093567%} AMGN{74.269006%} GS{0.584795%} BA{2.339181%} ,
10,46115.40425,44659.05574,0.968419,5,MRK{17.977528%} VZ{7.865169%} AMGN{71.348315%} GS{0.561798%} BA{2.247191%} ,
11,46259.76614,44719.16532,0.966697,5,MRK{18.478261%} VZ{9.782609%} AMGN{69.021739%} GS{0.543478%} BA{2.173913%} ,
12,46290.99624,44723.32839,0.966134,5,MRK{17.500000%} VZ{5.000000%} AMGN{73.333333%} GS{2.500000%} BA{1.666667%} ,
13,46298.18037,44777.96797,0.967165,5,MRK{18.032787%} VZ{9.836066%} AMGN{69.398907%} GS{0.546448%} BA{2.185792%} ,
14,46346.87367,44836.3951,0.967409,5,MRK{17.582418%} VZ{9.890110%} AMGN{69.780220%} GS{0.549451%} BA{2.197802%} ,
15,46400.34641,44942.00319,0.96857,5,MRK{17.692308%} VZ{4.615385%} AMGN{73.846154%} GS{2.307692%} BA{1.538462%} ,
16,46404.72535,44968.82359,0.969057,5,MRK{15.555556%} VZ{4.444444%} AMGN{77.037037%} GS{0.740741%} BA{2.222222%} ,
17,46413.06252,44992.99925,0.969404,5,MRK{18.579235%} VZ{8.743169%} AMGN{69.398907%} GS{1.639344%} BA{1.639344%} ,
