After EL,,,Gbest ratio:,0.361103,#in front,2011
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,58350.97231,17226.2413,0.295218,6,JNJ{14.253898%} KO{16.481069%} MCD{28.285078%} VZ{26.503341%} AMGN{0.222717%} BA{14.253898%} ,
2,58507.63585,17353.52398,0.296603,7,JNJ{14.988290%} JPM{0.234192%} KO{24.121780%} MCD{29.742389%} VZ{14.988290%} AMGN{0.936768%} BA{14.988290%} ,
3,58844.99119,17477.38263,0.297007,6,JNJ{14.918415%} KO{17.249417%} MCD{29.603730%} VZ{22.377622%} AMGN{0.932401%} BA{14.918415%} ,
4,59213.41774,17780.30766,0.300275,7,JNJ{13.973799%} KO{16.157205%} MCD{27.729258%} VZ{25.982533%} AMGN{1.965066%} IBM{0.218341%} BA{13.973799%} ,
5,59684.28436,19763.30106,0.331131,8,AAPL{0.286533%} JNJ{2.292264%} KO{21.203438%} MCD{36.103152%} VZ{29.226361%} AMGN{1.146132%} BA{9.169054%} TRV{0.573066%} ,
6,61472.76863,20248.07876,0.329383,6,JNJ{7.823961%} KO{25.916870%} MCD{31.051345%} VZ{15.647922%} AMGN{3.911980%} BA{15.647922%} ,
7,61559.47035,20271.46969,0.329299,6,JNJ{7.305936%} KO{17.123288%} MCD{28.995434%} VZ{27.853881%} AMGN{4.109589%} BA{14.611872%} ,
8,61582.39426,20285.74369,0.329408,6,JNJ{7.356322%} KO{17.241379%} MCD{29.195402%} VZ{27.356322%} AMGN{4.137931%} BA{14.712644%} ,
9,61614.73836,20289.51021,0.329296,6,JNJ{7.373272%} KO{17.050691%} MCD{29.262673%} VZ{27.419355%} AMGN{4.147465%} BA{14.746544%} ,
10,61717.70765,20328.88661,0.329385,6,JNJ{7.511737%} KO{17.136150%} MCD{29.812207%} VZ{26.291080%} AMGN{4.225352%} BA{15.023474%} ,
11,61778.936,20390.35806,0.330054,6,JNJ{7.710843%} KO{18.554217%} MCD{30.602410%} VZ{23.373494%} AMGN{4.337349%} BA{15.421687%} ,
12,61903.60671,20401.80073,0.329574,6,JNJ{7.766990%} KO{17.718447%} MCD{30.825243%} VZ{23.786408%} AMGN{4.368932%} BA{15.533981%} ,
13,61940.02959,20413.97481,0.329576,6,JNJ{7.804878%} KO{17.804878%} MCD{30.975610%} VZ{23.414634%} AMGN{4.390244%} BA{15.609756%} ,
14,61990.7277,20417.99319,0.329372,6,JNJ{8.060453%} KO{26.700252%} MCD{31.989924%} VZ{12.846348%} AMGN{4.282116%} BA{16.120907%} ,
15,62068.62205,20488.83455,0.3301,7,JNJ{7.785888%} JPM{0.243309%} KO{25.060827%} MCD{30.900243%} VZ{15.571776%} AMGN{4.866180%} BA{15.571776%} ,
16,62075.63261,20649.92783,0.332658,6,JNJ{7.804878%} KO{25.121951%} MCD{30.975610%} VZ{15.609756%} AMGN{4.878049%} BA{15.609756%} ,
17,62473.41393,20858.69507,0.333881,8,JNJ{3.846154%} MRK{0.240385%} KO{26.682692%} MCD{30.528846%} VZ{19.230769%} AMGN{3.846154%} HON{0.240385%} BA{15.384615%} ,
18,62569.58979,20922.32719,0.334385,6,JNJ{7.256236%} KO{16.780045%} MCD{28.798186%} VZ{26.984127%} AMGN{5.668934%} BA{14.512472%} ,
19,62612.95999,20923.91342,0.334179,7,JNJ{3.836930%} MRK{0.239808%} KO{17.745803%} MCD{30.455635%} VZ{28.537170%} AMGN{3.836930%} BA{15.347722%} ,
20,62695.52398,21030.1209,0.335433,6,JNJ{3.836930%} KO{17.745803%} MCD{30.455635%} VZ{28.537170%} AMGN{4.076739%} BA{15.347722%} ,
21,62730.64157,21032.58649,0.335284,7,JNJ{3.846154%} MRK{0.240385%} KO{17.788462%} MCD{30.528846%} VZ{28.125000%} AMGN{4.086538%} BA{15.384615%} ,
22,62737.71662,21097.03168,0.336274,6,JNJ{3.791469%} KO{17.772512%} MCD{30.094787%} VZ{28.909953%} AMGN{4.265403%} BA{15.165877%} ,
23,62750.3692,21133.72978,0.336791,6,JNJ{4.071247%} KO{26.972010%} MCD{32.315522%} VZ{16.284987%} AMGN{4.071247%} BA{16.284987%} ,
24,62786.38139,21350.46468,0.340049,7,JNJ{3.818616%} MRK{0.238663%} KO{26.491647%} MCD{30.310263%} VZ{19.093079%} AMGN{4.773270%} BA{15.274463%} ,
25,63051.08062,21459.87786,0.340357,7,JNJ{3.970223%} MRK{0.248139%} KO{23.573201%} MCD{31.513648%} VZ{19.851117%} AMGN{4.962779%} BA{15.880893%} ,
26,63281.23554,21550.30547,0.340548,6,JNJ{4.060914%} KO{26.142132%} MCD{32.233503%} VZ{16.243655%} AMGN{5.076142%} BA{16.243655%} ,
27,63395.71623,21562.18279,0.340121,5,KO{24.541284%} MCD{29.128440%} VZ{27.981651%} AMGN{3.669725%} BA{14.678899%} ,
28,63491.51662,21570.17748,0.339733,7,JNJ{4.123711%} MRK{0.257732%} KO{20.360825%} MCD{32.731959%} VZ{20.876289%} AMGN{5.154639%} BA{16.494845%} ,
29,63514.347,21681.93619,0.341371,5,KO{24.480370%} MCD{29.330254%} VZ{27.482679%} AMGN{3.926097%} BA{14.780600%} ,
30,63529.58309,22172.86316,0.349016,6,JPM{0.288184%} KO{29.682997%} MCD{36.599424%} VZ{18.443804%} AMGN{5.763689%} BA{9.221902%} ,
31,63945.30605,22295.21958,0.348661,6,KO{19.576720%} MCD{33.597884%} VZ{31.481481%} AMGN{6.613757%} IBM{0.264550%} BA{8.465608%} ,
32,64133.14671,22490.34081,0.350682,5,KO{23.248408%} MCD{40.445860%} VZ{20.382166%} AMGN{5.732484%} BA{10.191083%} ,
33,64385.30547,22548.11008,0.350206,5,KO{23.870968%} MCD{40.967742%} VZ{19.032258%} AMGN{5.806452%} BA{10.322581%} ,
34,64389.37288,22567.51727,0.350485,5,KO{24.025974%} MCD{40.909091%} VZ{18.831169%} AMGN{5.844156%} BA{10.389610%} ,
35,64700.00716,22723.88123,0.351219,6,WMT{0.317460%} KO{22.539683%} MCD{40.317460%} VZ{20.317460%} AMGN{6.349206%} BA{10.158730%} ,
36,64801.98766,22755.779,0.351159,5,KO{22.611465%} MCD{40.445860%} VZ{20.382166%} AMGN{6.369427%} BA{10.191083%} ,
37,65147.21814,22774.47969,0.349585,6,KO{23.296703%} MCD{27.912088%} VZ{26.813187%} AMGN{7.032967%} BA{14.065934%} TRV{0.879121%} ,
38,65225.2668,22928.62224,0.35153,5,KO{23.672566%} MCD{28.097345%} VZ{26.991150%} AMGN{7.079646%} BA{14.159292%} ,
