After EL,,,Gbest ratio:,0.393351,#in front,3979
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,68635.54336,7594.354473,0.110648,25,AAPL{0.953895%} UNH{3.656598%} JNJ{2.225755%} V{3.020668%} JPM{1.589825%} PG{0.635930%} CVX{0.158983%} MRK{12.400636%} KO{3.338633%} CSCO{0.158983%} MCD{11.764706%} DIS{1.589825%} VZ{15.262321%} AMGN{0.476948%} HON{19.395866%} IBM{0.794913%} CRM{0.158983%} GS{0.476948%} INTC{0.794913%} AXP{0.476948%} BA{14.149444%} MMM{5.087440%} TRV{1.112878%} DD{0.158983%} WBA{0.158983%} ,
2,68852.6247,13886.80968,0.201689,25,AAPL{0.952381%} MSFT{0.190476%} UNH{0.380952%} JNJ{3.047619%} V{0.380952%} WMT{1.142857%} CVX{0.190476%} HD{0.190476%} MRK{16.190476%} KO{7.238095%} CSCO{0.952381%} DIS{1.904762%} VZ{18.857143%} AMGN{1.904762%} HON{14.095238%} IBM{0.761905%} CRM{0.571429%} CAT{0.571429%} INTC{1.142857%} AXP{0.761905%} BA{23.428571%} MMM{0.761905%} TRV{0.380952%} DD{3.428571%} WBA{0.571429%} ,
3,69863.98476,14077.05431,0.201492,17,AAPL{0.225225%} UNH{1.801802%} V{0.225225%} JPM{0.900901%} MRK{17.117117%} CSCO{0.225225%} DIS{0.900901%} VZ{14.864865%} AMGN{0.225225%} HON{1.576577%} IBM{3.378378%} CRM{0.225225%} INTC{14.414414%} BA{28.153153%} MMM{14.639640%} DD{0.900901%} WBA{0.225225%} ,
4,71174.86379,15306.68147,0.215057,25,AAPL{0.924214%} MSFT{0.184843%} UNH{0.369686%} JNJ{2.957486%} V{0.369686%} WMT{1.109057%} CVX{0.184843%} HD{0.184843%} MRK{18.669131%} KO{7.024030%} CSCO{0.924214%} DIS{1.848429%} VZ{18.299445%} AMGN{1.848429%} HON{13.678373%} IBM{0.739372%} CRM{0.554529%} CAT{0.554529%} INTC{1.109057%} AXP{0.739372%} BA{22.735675%} MMM{0.739372%} TRV{0.369686%} DD{3.327172%} WBA{0.554529%} ,
5,71492.48934,17951.46006,0.251096,23,AAPL{0.430108%} MSFT{0.215054%} UNH{3.010753%} V{0.215054%} WMT{0.645161%} PG{0.645161%} CVX{0.645161%} MRK{19.139785%} KO{1.935484%} MCD{2.365591%} DIS{1.505376%} VZ{18.064516%} AMGN{0.430108%} HON{16.129032%} IBM{1.505376%} CRM{0.215054%} GS{0.215054%} INTC{1.720430%} BA{26.021505%} MMM{1.505376%} TRV{0.215054%} DD{1.290323%} WBA{1.935484%} ,
6,73063.81813,18924.4964,0.259013,17,AAPL{0.213675%} UNH{1.709402%} V{0.213675%} JPM{0.854701%} MRK{21.367521%} KO{13.675214%} CSCO{0.213675%} DIS{0.854701%} VZ{14.102564%} AMGN{0.213675%} HON{1.495726%} IBM{3.205128%} CRM{0.213675%} BA{26.709402%} MMM{13.888889%} DD{0.854701%} WBA{0.213675%} ,
7,73528.12782,19288.27499,0.262325,17,AAPL{0.211864%} UNH{1.694915%} V{0.211864%} JPM{0.847458%} MRK{22.033898%} KO{13.559322%} CSCO{0.211864%} DIS{0.847458%} VZ{13.983051%} AMGN{0.211864%} HON{1.483051%} IBM{3.177966%} CRM{0.211864%} BA{26.483051%} MMM{13.771186%} DD{0.847458%} WBA{0.211864%} ,
8,73958.90446,19477.60436,0.263357,23,AAPL{0.461894%} MSFT{0.230947%} UNH{3.233256%} V{0.230947%} WMT{0.692841%} PG{0.692841%} CVX{0.692841%} MRK{20.554273%} KO{2.078522%} MCD{2.540416%} DIS{1.616628%} VZ{19.399538%} AMGN{0.461894%} HON{9.930716%} IBM{1.616628%} CRM{0.230947%} GS{0.230947%} INTC{1.847575%} BA{27.944573%} MMM{1.616628%} TRV{0.230947%} DD{1.385681%} WBA{2.078522%} ,
9,74032.49857,19673.09542,0.265736,16,UNH{1.684211%} V{0.210526%} JPM{0.842105%} MRK{22.736842%} KO{13.473684%} CSCO{0.210526%} DIS{0.842105%} VZ{13.894737%} AMGN{0.210526%} HON{1.473684%} IBM{3.157895%} CRM{0.210526%} BA{26.315789%} MMM{13.684211%} DD{0.842105%} WBA{0.210526%} ,
