After EL,,,Gbest ratio:,1.162788,#in front,1008
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
22,13487.37714,15072.67149,1.117539,11,V{10.289389%} WMT{7.556270%} PG{6.270096%} CVX{20.418006%} KO{10.289389%} MCD{8.360129%} IBM{9.967846%} CAT{1.286174%} AXP{4.983923%} BA{15.434084%} MMM{5.144695%} ,
23,13511.81948,15162.46415,1.122163,10,V{10.423453%} WMT{10.260586%} PG{6.351792%} CVX{20.684039%} KO{10.423453%} MCD{8.469055%} IBM{10.097720%} AXP{4.885993%} BA{15.798046%} MMM{2.605863%} ,
24,13557.68273,15166.26316,1.118647,11,V{10.305958%} WMT{7.568438%} PG{6.280193%} CVX{20.450886%} KO{10.305958%} MCD{8.373591%} IBM{9.983897%} CAT{1.288245%} AXP{4.669887%} BA{15.619968%} MMM{5.152979%} ,
25,13572.38378,15193.48588,1.119441,11,V{10.339257%} WMT{7.592892%} PG{6.300485%} CVX{20.516963%} KO{10.339257%} MCD{8.400646%} IBM{10.016155%} CAT{1.292407%} AXP{4.361874%} BA{15.670436%} MMM{5.169628%} ,
26,13593.47003,15208.34934,1.118798,11,V{10.305958%} WMT{7.568438%} PG{6.280193%} CVX{20.450886%} KO{10.305958%} MCD{8.373591%} IBM{9.661836%} CAT{1.288245%} AXP{4.991948%} BA{15.619968%} MMM{5.152979%} ,
27,13602.37631,15246.3205,1.120857,11,V{10.339257%} WMT{7.592892%} PG{6.300485%} CVX{20.516963%} KO{10.339257%} MCD{7.754443%} IBM{10.016155%} CAT{1.292407%} AXP{5.008078%} BA{15.670436%} MMM{5.169628%} ,
28,13608.02682,15246.76705,1.120425,11,V{10.406504%} WMT{7.642276%} PG{6.341463%} CVX{20.650407%} KO{10.406504%} MCD{8.455285%} IBM{10.081301%} CAT{1.300813%} AXP{3.739837%} BA{15.772358%} MMM{5.203252%} ,
29,13645.12136,15277.98449,1.119666,11,V{10.339257%} WMT{7.592892%} PG{6.300485%} CVX{20.516963%} KO{10.339257%} MCD{8.400646%} IBM{9.369952%} CAT{1.292407%} AXP{5.008078%} BA{15.670436%} MMM{5.169628%} ,
30,13656.57165,15478.10995,1.133382,11,V{10.240000%} WMT{10.080000%} PG{6.080000%} CVX{20.320000%} KO{10.240000%} MCD{8.320000%} IBM{9.920000%} CAT{1.280000%} AXP{4.800000%} BA{15.520000%} MMM{3.200000%} ,
31,13762.94762,15534.69578,1.128733,10,V{10.561056%} WMT{10.396040%} PG{6.435644%} CVX{20.957096%} KO{10.561056%} MCD{8.580858%} IBM{10.231023%} AXP{4.950495%} BA{16.006601%} MMM{1.320132%} ,
32,13824.83281,15572.60982,1.126423,11,V{10.543657%} WMT{7.742998%} PG{6.425041%} CVX{20.922570%} KO{10.543657%} MCD{5.930807%} IBM{10.214168%} CAT{1.317957%} AXP{5.107084%} BA{15.980231%} MMM{5.271829%} ,
33,13825.64886,15607.53334,1.128883,10,V{10.561056%} WMT{10.396040%} PG{6.435644%} CVX{20.957096%} KO{10.561056%} MCD{8.580858%} IBM{10.231023%} AXP{4.950495%} BA{16.006601%} TRV{1.320132%} ,
34,13864.79526,15849.08681,1.143117,11,V{10.372771%} WMT{10.210697%} PG{6.158833%} CVX{20.583468%} KO{10.372771%} MCD{8.427877%} IBM{10.048622%} CAT{1.296596%} AXP{4.862237%} BA{15.721232%} MMM{1.944895%} ,
35,13947.62234,16001.30583,1.147243,11,V{10.372771%} WMT{10.210697%} PG{6.158833%} CVX{20.583468%} KO{10.372771%} MCD{9.724473%} IBM{10.048622%} CAT{1.296596%} AXP{4.862237%} BA{15.721232%} MMM{0.648298%} ,
36,14004.81574,16027.6097,1.144436,11,V{10.372771%} WMT{10.210697%} PG{6.158833%} CVX{20.583468%} KO{11.669368%} MCD{8.427877%} IBM{10.048622%} CAT{1.296596%} AXP{4.862237%} BA{15.721232%} MMM{0.648298%} ,
37,14032.32095,16072.33765,1.14538,12,V{10.440457%} WMT{10.277325%} PG{6.199021%} CVX{20.717781%} KO{10.440457%} MCD{8.482871%} IBM{10.114192%} CAT{1.305057%} AXP{4.893964%} BA{15.823817%} MMM{0.652529%} TRV{0.652529%} ,
38,14038.99266,16131.2212,1.14903,11,V{10.474632%} WMT{10.310966%} PG{6.219313%} CVX{20.785597%} KO{10.474632%} MCD{8.510638%} IBM{10.147300%} CAT{1.309329%} AXP{4.909984%} BA{15.875614%} MMM{0.981997%} ,
39,14059.09906,16169.71356,1.150124,11,V{10.474632%} WMT{10.310966%} PG{6.219313%} CVX{20.785597%} KO{10.474632%} MCD{8.837971%} IBM{10.147300%} CAT{1.309329%} AXP{4.909984%} BA{15.875614%} MMM{0.654664%} ,
40,14070.10529,16179.43539,1.149916,11,V{10.491803%} WMT{10.327869%} PG{6.229508%} CVX{20.819672%} KO{10.491803%} MCD{8.524590%} IBM{10.163934%} CAT{1.311475%} AXP{4.918033%} BA{15.901639%} MMM{0.819672%} ,
41,14078.27983,16190.64431,1.150044,11,V{10.491803%} WMT{10.327869%} PG{6.229508%} CVX{20.819672%} KO{10.491803%} MCD{8.524590%} IBM{10.327869%} CAT{1.311475%} AXP{4.918033%} BA{15.901639%} MMM{0.655738%} ,
42,14080.11595,16198.67041,1.150464,11,V{10.491803%} WMT{10.327869%} PG{6.229508%} CVX{20.819672%} KO{10.491803%} MCD{8.688525%} IBM{10.163934%} CAT{1.311475%} AXP{4.918033%} BA{15.901639%} MMM{0.655738%} ,
43,14085.89764,16202.00275,1.150229,11,V{10.491803%} WMT{10.327869%} PG{6.229508%} CVX{20.819672%} KO{10.655738%} MCD{8.524590%} IBM{10.163934%} CAT{1.311475%} AXP{4.918033%} BA{15.901639%} MMM{0.655738%} ,
44,14094.80559,16212.11475,1.150219,11,V{10.491803%} WMT{10.327869%} PG{6.229508%} CVX{20.819672%} KO{10.491803%} MCD{8.524590%} IBM{10.163934%} CAT{1.311475%} AXP{5.081967%} BA{15.901639%} MMM{0.655738%} ,
45,14096.17949,16217.06249,1.150458,11,V{10.491803%} WMT{10.327869%} PG{6.393443%} CVX{20.819672%} KO{10.491803%} MCD{8.524590%} IBM{10.163934%} CAT{1.311475%} AXP{4.918033%} BA{15.901639%} MMM{0.655738%} ,
46,14096.67609,16220.07962,1.150632,11,V{10.801964%} WMT{10.310966%} PG{6.219313%} CVX{20.785597%} KO{10.474632%} MCD{8.510638%} IBM{10.147300%} CAT{1.309329%} AXP{4.909984%} BA{15.875614%} MMM{0.654664%} ,
47,14097.93313,16223.86461,1.150797,11,V{10.655738%} WMT{10.327869%} PG{6.229508%} CVX{20.819672%} KO{10.491803%} MCD{8.524590%} IBM{10.163934%} CAT{1.311475%} AXP{4.918033%} BA{15.901639%} MMM{0.655738%} ,
48,14102.1228,16228.14653,1.150759,11,V{10.509031%} WMT{10.344828%} PG{6.239737%} CVX{20.853859%} KO{10.509031%} MCD{8.538588%} IBM{10.180624%} CAT{1.313629%} AXP{4.926108%} BA{15.927750%} MMM{0.656814%} ,
49,14120.80267,16240.60419,1.150119,12,V{10.491803%} WMT{10.327869%} PG{6.229508%} CVX{20.819672%} HD{0.163934%} KO{10.491803%} MCD{8.524590%} IBM{10.163934%} CAT{1.311475%} AXP{4.918033%} BA{15.901639%} MMM{0.655738%} ,
50,14141.73096,16254.00115,1.149364,12,V{10.474632%} WMT{10.310966%} PG{6.219313%} CVX{20.785597%} HD{0.327332%} KO{10.474632%} MCD{8.510638%} IBM{10.147300%} CAT{1.309329%} AXP{4.909984%} BA{15.875614%} MMM{0.654664%} ,
51,14146.62227,16288.38336,1.151397,11,V{10.491803%} WMT{10.327869%} PG{6.229508%} CVX{20.819672%} KO{10.491803%} MCD{8.524590%} IBM{10.163934%} CAT{1.475410%} AXP{4.918033%} BA{15.901639%} MMM{0.655738%} ,
52,14176.74105,16327.49846,1.15171,10,V{10.561056%} WMT{10.396040%} PG{6.435644%} CVX{20.957096%} KO{10.561056%} MCD{8.580858%} IBM{10.231023%} CAT{1.320132%} AXP{5.115512%} BA{15.841584%} ,
53,14195.60716,16348.36203,1.151649,11,V{10.474632%} WMT{10.310966%} PG{6.219313%} CVX{20.785597%} KO{10.474632%} MCD{8.510638%} IBM{10.147300%} CAT{1.636661%} AXP{4.909984%} BA{15.875614%} MMM{0.654664%} ,
54,14203.25171,16360.65884,1.151895,11,V{10.474632%} WMT{10.310966%} PG{6.219313%} CVX{20.785597%} KO{10.474632%} MCD{8.510638%} IBM{10.147300%} CAT{1.309329%} AXP{4.909984%} BA{16.202946%} MMM{0.654664%} ,
55,14217.43336,16389.08782,1.152746,10,V{10.561056%} WMT{10.396040%} PG{6.435644%} CVX{20.792079%} KO{10.561056%} MCD{8.580858%} IBM{10.231023%} CAT{1.320132%} AXP{5.115512%} BA{16.006601%} ,
56,14219.77706,16394.30986,1.152923,10,V{10.543657%} WMT{10.378913%} PG{6.425041%} CVX{20.922570%} KO{10.543657%} MCD{8.566722%} IBM{10.214168%} CAT{1.317957%} AXP{5.107084%} BA{15.980231%} ,
57,14225.29023,16405.18199,1.153241,10,V{10.561056%} WMT{10.396040%} PG{6.270627%} CVX{20.957096%} KO{10.561056%} MCD{8.580858%} IBM{10.231023%} CAT{1.320132%} AXP{5.115512%} BA{16.006601%} ,
58,14226.77687,16410.24211,1.153476,10,V{10.561056%} WMT{10.396040%} PG{6.435644%} CVX{20.957096%} KO{10.561056%} MCD{8.580858%} IBM{10.231023%} CAT{1.320132%} AXP{4.950495%} BA{16.006601%} ,
59,14230.76035,16415.10782,1.153495,10,V{10.578512%} WMT{10.413223%} PG{6.115702%} CVX{20.991736%} KO{10.578512%} MCD{8.595041%} IBM{10.247934%} CAT{1.322314%} AXP{5.123967%} BA{16.033058%} ,
60,14233.6532,16425.13818,1.153965,10,V{10.578512%} WMT{10.413223%} PG{6.446281%} CVX{20.991736%} KO{10.578512%} MCD{8.595041%} IBM{10.247934%} CAT{1.322314%} AXP{4.793388%} BA{16.033058%} ,
61,14244.96642,16426.7366,1.153161,10,V{10.578512%} WMT{10.082645%} PG{6.446281%} CVX{20.991736%} KO{10.578512%} MCD{8.595041%} IBM{10.247934%} CAT{1.322314%} AXP{5.123967%} BA{16.033058%} ,
62,14245.27601,16437.29214,1.153877,10,V{10.613599%} WMT{10.447761%} PG{5.804312%} CVX{21.061360%} KO{10.613599%} MCD{8.623549%} IBM{10.281924%} CAT{1.326700%} AXP{5.140962%} BA{16.086235%} ,
63,14251.30275,16457.57764,1.154812,10,V{10.613599%} WMT{10.447761%} PG{6.467662%} CVX{21.061360%} KO{10.613599%} MCD{8.623549%} IBM{10.281924%} CAT{1.326700%} AXP{4.477612%} BA{16.086235%} ,
64,14267.8576,16468.3096,1.154224,10,V{10.578512%} WMT{10.413223%} PG{6.446281%} CVX{20.991736%} KO{10.578512%} MCD{8.595041%} IBM{9.917355%} CAT{1.322314%} AXP{5.123967%} BA{16.033058%} ,
65,14293.56005,16521.69056,1.155884,10,V{10.684474%} WMT{10.517529%} PG{6.510851%} CVX{21.202003%} KO{10.684474%} MCD{8.681135%} IBM{10.350584%} CAT{1.335559%} AXP{3.839733%} BA{16.193656%} ,
66,14320.83309,16544.24673,1.155257,10,V{10.613599%} WMT{10.447761%} PG{6.467662%} CVX{21.061360%} KO{10.613599%} MCD{8.623549%} IBM{9.618574%} CAT{1.326700%} AXP{5.140962%} BA{16.086235%} ,
67,14400.21739,16571.74378,1.150798,11,V{10.322581%} WMT{7.580645%} PG{7.419355%} CVX{20.483871%} KO{10.483871%} MCD{10.000000%} IBM{10.000000%} CAT{2.580645%} AXP{4.838710%} BA{15.645161%} MMM{0.645161%} ,
68,14410.49253,16651.02382,1.155479,10,V{10.829103%} WMT{10.659898%} PG{6.598985%} CVX{21.489002%} KO{10.829103%} MCD{8.798646%} IBM{10.490694%} CAT{1.353638%} AXP{2.538071%} BA{16.412860%} ,
69,14437.19887,16696.30545,1.156478,10,V{10.684474%} WMT{10.517529%} PG{6.510851%} CVX{21.202003%} KO{10.684474%} MCD{8.681135%} IBM{9.015025%} CAT{1.335559%} AXP{5.175292%} BA{16.193656%} ,
70,14490.1118,16711.12025,1.153278,10,V{10.355987%} WMT{7.605178%} PG{7.443366%} CVX{20.550162%} KO{10.841424%} MCD{10.032362%} IBM{10.032362%} CAT{2.588997%} AXP{4.854369%} BA{15.695793%} ,
71,14491.30298,16715.66034,1.153496,11,V{10.372771%} WMT{7.617504%} PG{7.455429%} CVX{20.583468%} KO{10.534846%} MCD{10.048622%} IBM{10.048622%} CAT{2.593193%} AXP{4.862237%} BA{15.721232%} MMM{0.162075%} ,
