After EL,,,Gbest ratio:,0.856718,#in front,5485
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,30925.96485,21263.74146,0.687569,12,AAPL{7.658321%} UNH{9.425626%} V{18.703976%} CVX{9.425626%} MRK{9.278351%} CSCO{0.589102%} MCD{18.703976%} NKE{9.425626%} CRM{0.441826%} GS{0.147275%} AXP{6.774669%} WBA{9.425626%} ,
2,31168.30468,23724.47587,0.761173,12,AAPL{8.037094%} UNH{9.891808%} V{19.629057%} CVX{4.945904%} MRK{9.737249%} CSCO{0.618238%} MCD{19.629057%} NKE{9.891808%} CRM{0.463679%} GS{0.154560%} AXP{7.109737%} WBA{9.891808%} ,
3,31640.32575,23879.55322,0.754719,14,AAPL{7.957958%} UNH{10.210210%} V{19.069069%} CVX{4.804805%} MRK{9.459459%} CSCO{1.501502%} MCD{18.918919%} NKE{9.609610%} HON{0.600601%} CRM{0.450450%} AXP{6.756757%} TRV{0.300300%} DD{0.600601%} WBA{9.759760%} ,
4,31787.65976,24087.74139,0.75777,12,AAPL{7.658321%} UNH{9.425626%} V{18.703976%} MRK{4.565538%} KO{9.425626%} CSCO{0.589102%} MCD{18.703976%} NKE{9.425626%} CRM{5.154639%} GS{0.147275%} AXP{6.774669%} WBA{9.425626%} ,
5,31856.06707,24112.30534,0.756914,14,AAPL{10.994764%} UNH{9.424084%} JNJ{2.094241%} V{16.623037%} CVX{4.188482%} MRK{7.722513%} KO{4.188482%} CSCO{0.523560%} MCD{16.623037%} NKE{8.376963%} CRM{4.581152%} AXP{6.020942%} DD{0.261780%} WBA{8.376963%} ,
6,31868.01461,25048.71535,0.786014,12,AAPL{8.240887%} UNH{10.142631%} V{20.126783%} CVX{2.535658%} MRK{9.984152%} CSCO{0.633914%} MCD{20.126783%} NKE{10.142631%} CRM{0.475436%} GS{0.158479%} AXP{7.290016%} WBA{10.142631%} ,
7,32236.79034,25168.00138,0.780723,14,AAPL{8.153846%} UNH{10.461538%} V{19.538462%} CVX{2.461538%} MRK{9.692308%} CSCO{1.538462%} MCD{19.384615%} NKE{9.846154%} HON{0.615385%} CRM{0.461538%} AXP{6.923077%} TRV{0.307692%} DD{0.615385%} WBA{10.000000%} ,
8,32258.72097,25237.85627,0.782358,14,AAPL{11.229947%} UNH{9.625668%} JNJ{2.139037%} V{16.978610%} CVX{2.139037%} MRK{7.887701%} KO{4.278075%} CSCO{0.534759%} MCD{16.978610%} NKE{8.556150%} CRM{4.679144%} AXP{6.149733%} DD{0.267380%} WBA{8.556150%} ,
9,32345.31746,25584.26486,0.790973,10,AAPL{12.361111%} UNH{8.888889%} V{17.361111%} CVX{4.444444%} MRK{10.972222%} MCD{17.638889%} NKE{8.888889%} CRM{1.111111%} AXP{11.111111%} WBA{7.222222%} ,
10,32367.80868,26193.3379,0.80924,11,AAPL{7.703704%} UNH{9.481481%} V{18.814815%} MRK{9.333333%} MCD{18.814815%} NKE{9.481481%} HON{4.740741%} CRM{5.185185%} GS{0.148148%} AXP{6.814815%} WBA{9.481481%} ,
11,32471.92332,26597.51152,0.819093,12,AAPL{8.037094%} UNH{9.891808%} JNJ{4.945904%} V{19.629057%} MRK{4.791345%} CSCO{0.618238%} MCD{19.629057%} NKE{9.891808%} CRM{5.409583%} GS{0.154560%} AXP{7.109737%} WBA{9.891808%} ,
12,32635.34592,26813.88781,0.821621,11,AAPL{7.890744%} UNH{9.711684%} V{19.271624%} MRK{9.559939%} MCD{19.271624%} NKE{9.711684%} HON{2.427921%} CRM{5.311077%} GS{0.151745%} AXP{6.980273%} WBA{9.711684%} ,
13,32764.40564,27000.29548,0.824074,12,AAPL{8.037094%} UNH{9.891808%} V{19.629057%} MRK{7.264297%} CSCO{0.618238%} MCD{19.629057%} NKE{9.891808%} HON{2.472952%} CRM{5.409583%} GS{0.154560%} AXP{7.109737%} WBA{9.891808%} ,
14,32777.83571,27010.91378,0.82406,12,AAPL{7.938931%} UNH{9.770992%} V{19.389313%} MRK{8.396947%} CSCO{0.610687%} MCD{19.389313%} NKE{9.770992%} HON{2.442748%} CRM{5.343511%} GS{0.152672%} AXP{7.022901%} WBA{9.770992%} ,
15,32808.32749,27016.70731,0.823471,12,AAPL{7.890744%} UNH{9.711684%} V{19.271624%} MRK{8.952959%} CSCO{0.606980%} MCD{19.271624%} NKE{9.711684%} HON{2.427921%} CRM{5.311077%} GS{0.151745%} AXP{6.980273%} WBA{9.711684%} ,
16,32812.37278,27060.03774,0.82469,11,AAPL{7.854985%} UNH{9.667674%} V{19.184290%} MRK{9.516616%} CSCO{0.604230%} MCD{19.184290%} NKE{9.667674%} HON{2.416918%} CRM{5.287009%} AXP{6.948640%} WBA{9.667674%} ,
17,32824.94885,27116.08824,0.826082,12,AAPL{8.240887%} UNH{10.142631%} JNJ{2.535658%} V{20.126783%} MRK{4.912837%} CSCO{0.633914%} MCD{20.126783%} NKE{10.142631%} CRM{5.546751%} GS{0.158479%} AXP{7.290016%} WBA{10.142631%} ,
18,32870.73387,27136.40858,0.825549,12,AAPL{8.037094%} UNH{9.891808%} JNJ{2.472952%} V{19.629057%} MRK{7.264297%} CSCO{0.618238%} MCD{19.629057%} NKE{9.891808%} CRM{5.409583%} GS{0.154560%} AXP{7.109737%} WBA{9.891808%} ,
19,32945.49934,27378.81062,0.831033,11,AAPL{11.228534%} UNH{12.681638%} V{16.776750%} MRK{8.322325%} CSCO{0.132100%} MCD{16.776750%} NKE{8.454425%} HON{2.113606%} CRM{0.396301%} AXP{14.663144%} WBA{8.454425%} ,
20,33085.98557,27475.76195,0.830435,12,AAPL{11.988717%} UNH{9.026798%} V{17.912553%} HD{2.256700%} MRK{8.885755%} CSCO{0.141044%} MCD{17.912553%} NKE{9.026798%} HON{2.256700%} CRM{4.936530%} AXP{6.629055%} WBA{9.026798%} ,
21,33103.69961,27663.61668,0.835665,11,AAPL{11.348465%} UNH{12.817089%} V{16.955941%} MRK{8.411215%} CSCO{0.133511%} MCD{16.955941%} NKE{8.544726%} HON{1.068091%} CRM{0.400534%} AXP{14.819760%} WBA{8.544726%} ,
22,33203.11614,27728.97918,0.835132,11,AAPL{9.732017%} UNH{9.026798%} V{17.912553%} MRK{8.885755%} CSCO{0.141044%} MCD{17.912553%} NKE{9.026798%} HON{2.256700%} CRM{4.936530%} AXP{11.142454%} WBA{9.026798%} ,
23,33262.88249,27842.6676,0.837049,11,AAPL{11.424731%} UNH{12.903226%} V{17.069892%} HD{0.537634%} MRK{8.467742%} CSCO{0.134409%} MCD{17.069892%} NKE{8.602151%} CRM{0.403226%} AXP{14.784946%} WBA{8.602151%} ,
24,33299.56481,27924.76743,0.838593,10,AAPL{11.548913%} UNH{13.043478%} V{17.255435%} MRK{8.423913%} CSCO{0.135870%} MCD{17.255435%} NKE{8.695652%} CRM{0.407609%} AXP{14.538043%} WBA{8.695652%} ,
25,33302.71455,27956.99917,0.839481,10,AAPL{11.533243%} UNH{13.025780%} V{17.232022%} MRK{8.005427%} CSCO{0.135685%} MCD{17.232022%} NKE{8.683853%} CRM{0.407056%} AXP{15.061058%} WBA{8.683853%} ,
26,33324.54463,28024.38501,0.840953,8,AAPL{11.989101%} UNH{13.079019%} V{17.029973%} MRK{9.400545%} MCD{17.302452%} NKE{8.719346%} AXP{15.395095%} WBA{7.084469%} ,
27,33402.61617,28050.05914,0.839756,11,AAPL{11.988717%} UNH{9.026798%} V{17.912553%} MRK{8.885755%} CSCO{0.141044%} MCD{17.912553%} NKE{9.026798%} HON{2.256700%} CRM{4.936530%} AXP{8.885755%} WBA{9.026798%} ,
28,33431.31357,28055.34733,0.839194,12,AAPL{11.659808%} UNH{8.779150%} JNJ{0.548697%} V{17.421125%} MRK{8.641975%} CSCO{0.137174%} MCD{17.421125%} NKE{8.779150%} HON{2.194787%} CRM{4.801097%} AXP{10.836763%} WBA{8.779150%} ,
29,33437.95147,28058.9105,0.839134,12,AAPL{11.675824%} UNH{8.791209%} V{17.445055%} HD{0.549451%} MRK{8.653846%} CSCO{0.137363%} MCD{17.445055%} NKE{8.791209%} HON{2.197802%} CRM{4.807692%} AXP{10.714286%} WBA{8.791209%} ,
30,33445.10851,28070.53834,0.839302,12,AAPL{11.691884%} UNH{8.803301%} V{17.469051%} MRK{8.665750%} KO{0.275103%} CSCO{0.137552%} MCD{17.469051%} NKE{8.803301%} HON{2.200825%} CRM{4.814305%} AXP{10.866575%} WBA{8.803301%} ,
31,33454.72016,28100.43927,0.839954,11,AAPL{11.691884%} UNH{8.803301%} V{17.469051%} MRK{8.665750%} CSCO{0.137552%} MCD{17.469051%} NKE{8.803301%} HON{2.475928%} CRM{4.814305%} AXP{10.866575%} WBA{8.803301%} ,
32,33463.22338,28115.54516,0.840192,12,AAPL{11.691884%} UNH{8.803301%} JNJ{0.275103%} V{17.469051%} MRK{8.665750%} CSCO{0.137552%} MCD{17.469051%} NKE{8.803301%} HON{2.200825%} CRM{4.814305%} AXP{10.866575%} WBA{8.803301%} ,
33,33466.51142,28145.549,0.841006,11,AAPL{11.805556%} UNH{8.888889%} V{17.638889%} MRK{8.611111%} CSCO{0.138889%} MCD{17.638889%} NKE{8.888889%} HON{2.222222%} CRM{4.861111%} AXP{10.416667%} WBA{8.888889%} ,
