Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,56497.24744,1313.062553,0.023241,7,JPM{0.611621%} PG{38.837920%} MRK{19.571865%} VZ{6.116208%} AMGN{22.018349%} HON{0.305810%} BA{12.538226%} ,
2,56602.95949,4798.400458,0.084773,9,UNH{0.427350%} WMT{0.427350%} PG{54.273504%} MRK{12.393162%} VZ{8.119658%} AMGN{13.675214%} CAT{0.427350%} BA{9.401709%} TRV{0.854701%} ,
3,57571.06491,4887.739673,0.084899,7,JPM{0.677966%} PG{43.050847%} MRK{21.694915%} VZ{9.491525%} AMGN{13.559322%} HON{0.338983%} BA{11.186441%} ,
4,57807.52502,6173.134298,0.106788,7,JPM{0.677966%} PG{43.050847%} MRK{21.694915%} VZ{6.779661%} AMGN{13.559322%} HON{0.338983%} BA{13.898305%} ,
5,58010.95808,6417.679389,0.110629,7,JPM{0.696864%} PG{44.250871%} MRK{22.299652%} VZ{4.181185%} AMGN{13.937282%} HON{0.348432%} BA{14.285714%} ,
6,58392.76999,8342.866206,0.142875,9,UNH{0.458716%} WMT{0.458716%} PG{58.256881%} MRK{13.302752%} VZ{8.715596%} AMGN{7.339450%} CAT{0.458716%} BA{10.091743%} TRV{0.917431%} ,
7,59103.26206,8359.166564,0.141433,4,PG{71.348315%} VZ{10.112360%} AMGN{8.988764%} BA{9.550562%} ,
8,59491.62857,9022.174174,0.151655,7,JPM{0.716846%} PG{45.519713%} MRK{22.939068%} VZ{7.168459%} AMGN{8.602151%} HON{0.358423%} BA{14.695341%} ,
9,59786.04859,9364.098733,0.156627,7,JPM{0.738007%} PG{46.863469%} MRK{23.616236%} VZ{4.428044%} AMGN{8.856089%} HON{0.369004%} BA{15.129151%} ,
10,59821.14745,10316.81149,0.172461,9,UNH{0.476190%} WMT{0.476190%} PG{60.476190%} MRK{13.809524%} VZ{9.047619%} AMGN{3.809524%} CAT{0.476190%} BA{10.476190%} TRV{0.952381%} ,
11,60164.26231,11111.94549,0.184693,4,PG{56.444444%} MRK{28.444444%} VZ{8.000000%} BA{7.111111%} ,
12,60165.24673,11798.00839,0.196093,5,JPM{1.020408%} PG{56.632653%} MRK{32.653061%} VZ{1.530612%} BA{8.163265%} ,
13,60742.09583,12018.58754,0.197863,4,PG{65.803109%} MRK{16.580311%} VZ{9.326425%} BA{8.290155%} ,
14,60844.11503,12187.52482,0.200307,4,PG{65.463918%} MRK{16.494845%} VZ{9.278351%} BA{8.762887%} ,
15,61098.93152,12290.93297,0.201164,6,PG{54.741379%} MRK{27.586207%} VZ{3.448276%} AMGN{1.724138%} BA{12.068966%} WBA{0.431034%} ,
16,61421.99508,12726.85359,0.207204,5,WMT{0.423729%} PG{53.813559%} MRK{27.118644%} VZ{6.779661%} BA{11.864407%} ,
17,61468.61609,12949.42213,0.210667,4,PG{54.042553%} MRK{27.234043%} VZ{6.808511%} BA{11.914894%} ,
18,61530.10955,12998.01815,0.211246,5,JPM{1.219512%} PG{67.682927%} MRK{19.512195%} VZ{1.829268%} BA{9.756098%} ,
19,61918.13669,13264.69255,0.21423,5,WMT{0.438596%} PG{55.701754%} MRK{28.070175%} VZ{3.508772%} BA{12.280702%} ,
20,62005.98862,13496.86265,0.21767,4,PG{55.947137%} MRK{28.193833%} VZ{3.524229%} BA{12.334802%} ,
21,62575.29691,13568.37824,0.216833,4,PG{60.975610%} MRK{15.609756%} VZ{10.243902%} BA{13.170732%} ,
22,62613.27245,13605.09488,0.217288,5,UNH{1.694915%} PG{53.813559%} MRK{27.118644%} VZ{3.813559%} BA{13.559322%} ,
23,62694.40133,13838.04335,0.220722,5,WMT{0.490196%} PG{62.254902%} MRK{15.686275%} VZ{7.843137%} BA{13.725490%} ,
24,62783.40595,14100.33524,0.224587,4,PG{62.561576%} MRK{15.763547%} VZ{7.881773%} BA{13.793103%} ,
25,63120.7544,14111.44249,0.223563,4,PG{55.217391%} MRK{27.826087%} VZ{3.043478%} BA{13.913043%} ,
26,63470.36486,14196.18868,0.223666,5,UNH{1.886792%} PG{59.905660%} MRK{15.094340%} VZ{8.018868%} BA{15.094340%} ,
27,63524.16044,14207.10795,0.223649,4,PG{59.624413%} MRK{15.023474%} VZ{10.328638%} BA{15.023474%} ,
28,63525.61709,14286.79264,0.224898,4,PG{59.905660%} MRK{15.094340%} VZ{9.905660%} BA{15.094340%} ,
29,63576.33276,14446.97097,0.227238,4,PG{60.476190%} MRK{15.238095%} VZ{9.047619%} BA{15.238095%} ,
30,63700.28057,14611.09732,0.229373,4,PG{61.057692%} MRK{15.384615%} VZ{8.173077%} BA{15.384615%} ,
31,63975.76893,14784.71151,0.231099,4,PG{65.128205%} MRK{16.410256%} VZ{4.102564%} BA{14.358974%} ,
32,64141.72025,14824.14753,0.231116,4,PG{67.914439%} MRK{8.556150%} VZ{8.556150%} BA{14.973262%} ,
33,64639.79365,14829.27387,0.229414,4,PG{57.990868%} MRK{14.611872%} VZ{10.502283%} BA{16.894977%} ,
34,64715.04514,14925.03276,0.230627,4,PG{58.064516%} MRK{14.746544%} VZ{10.138249%} BA{17.050691%} ,
35,64819.07691,14992.22834,0.231293,4,PG{64.795918%} MRK{8.163265%} VZ{10.714286%} BA{16.326531%} ,
36,64827.83257,15020.35366,0.231696,5,PG{62.871287%} MRK{15.841584%} VZ{4.455446%} HON{0.990099%} BA{15.841584%} ,
37,64908.75075,15027.0444,0.23151,4,PG{64.432990%} MRK{8.247423%} VZ{10.824742%} BA{16.494845%} ,
38,64946.1548,15172.73442,0.23362,4,PG{65.463918%} MRK{8.247423%} VZ{9.793814%} BA{16.494845%} ,
39,64985.75457,15298.83781,0.235418,4,PG{63.500000%} MRK{16.000000%} VZ{4.500000%} BA{16.000000%} ,
40,65160.32902,15357.89601,0.235694,4,PG{66.145833%} MRK{8.333333%} VZ{8.854167%} BA{16.666667%} ,
41,65522.41143,15479.42426,0.236246,4,PG{64.141414%} MRK{16.161616%} VZ{3.535354%} BA{16.161616%} ,
42,65821.40484,15498.09974,0.235457,4,PG{63.184080%} MRK{7.960199%} VZ{10.945274%} BA{17.910448%} ,
43,65849.08043,15601.58614,0.236929,4,PG{70.949721%} MRK{8.938547%} VZ{4.469274%} BA{15.642458%} ,
44,66086.76253,15624.79516,0.236429,4,PG{73.837209%} MRK{0.581395%} VZ{9.302326%} BA{16.279070%} ,
45,66147.69786,15779.97857,0.238557,4,PG{69.021739%} MRK{4.347826%} VZ{9.239130%} BA{17.391304%} ,
46,66416.12452,15801.11839,0.237911,4,PG{69.780220%} MRK{2.197802%} VZ{10.439560%} BA{17.582418%} ,
47,66562.40206,15851.93038,0.238151,3,PG{73.837209%} VZ{9.302326%} BA{16.860465%} ,
48,66706.47662,15913.92449,0.238566,4,PG{70.555556%} MRK{1.111111%} VZ{10.555556%} BA{17.777778%} ,
49,66720.5762,16005.35524,0.239886,4,PG{70.555556%} MRK{2.222222%} VZ{9.444444%} BA{17.777778%} ,
50,66816.19351,16027.7716,0.239879,5,PG{57.870370%} MRK{16.666667%} VZ{5.555556%} CAT{0.925926%} BA{18.981481%} ,
51,66951.98561,16137.74202,0.241035,4,PG{69.021739%} MRK{8.695652%} VZ{4.891304%} BA{17.391304%} ,
52,67189.49946,16181.37917,0.240832,4,PG{71.751412%} MRK{0.564972%} VZ{9.604520%} BA{18.079096%} ,
53,67243.77774,16234.79838,0.241432,4,PG{59.748428%} MRK{10.062893%} VZ{10.062893%} BA{20.125786%} ,
54,67352.20675,16240.90603,0.241134,3,PG{72.159091%} VZ{9.659091%} BA{18.181818%} ,
55,67491.37086,16295.35241,0.241443,4,PG{59.006211%} MRK{9.937888%} VZ{10.559006%} BA{20.496894%} ,
56,67562.4377,16348.51314,0.241976,3,PG{72.571429%} VZ{9.142857%} BA{18.285714%} ,
57,67650.25763,16349.05399,0.24167,3,PG{70.555556%} VZ{10.555556%} BA{18.888889%} ,
58,67689.1507,16402.3553,0.242319,3,PG{71.751412%} VZ{9.604520%} BA{18.644068%} ,
59,67799.77898,16457.40152,0.242735,3,PG{72.988506%} VZ{8.620690%} BA{18.390805%} ,
60,67853.34148,16464.10357,0.242642,3,PG{70.833333%} VZ{10.119048%} BA{19.047619%} ,
61,67908.32571,16509.99049,0.243122,3,PG{72.159091%} VZ{9.090909%} BA{18.750000%} ,
62,67908.89113,16566.19134,0.243947,5,PG{68.072289%} MRK{4.216867%} VZ{7.831325%} CAT{0.602410%} BA{19.277108%} ,
63,68248.80215,16589.21051,0.24307,3,PG{68.944099%} VZ{11.180124%} BA{19.875776%} ,
64,68252.71207,16640.28095,0.243804,4,PG{68.944099%} MRK{0.621118%} VZ{10.559006%} BA{19.875776%} ,
65,68313.65621,16661.65191,0.243899,3,PG{69.780220%} VZ{10.439560%} BA{19.780220%} ,
66,68359.89646,16679.127,0.24399,3,PG{73.837209%} VZ{7.558140%} BA{18.604651%} ,
67,68420.24858,16708.2614,0.244201,3,PG{73.684211%} VZ{7.602339%} BA{18.713450%} ,
68,68438.13063,16708.56237,0.244141,3,PG{69.375000%} VZ{10.625000%} BA{20.000000%} ,
69,68553.23651,16796.18105,0.245009,4,PG{62.913907%} MRK{5.298013%} VZ{10.596026%} BA{21.192053%} ,
70,68694.41603,16858.46896,0.245413,5,PG{62.500000%} MRK{10.000000%} VZ{6.000000%} CAT{1.000000%} BA{20.500000%} ,
71,68734.47191,16875.55223,0.245518,3,PG{70.555556%} VZ{9.444444%} BA{20.000000%} ,
72,68886.22394,16884.94384,0.245114,4,PG{63.076923%} MRK{4.102564%} VZ{11.282051%} BA{21.538462%} ,
73,68981.8033,16892.57793,0.244885,4,PG{66.842105%} MRK{0.526316%} VZ{11.578947%} BA{21.052632%} ,
74,69034.58072,16905.3146,0.244882,3,PG{74.705882%} VZ{6.470588%} BA{18.823529%} ,
75,69085.65324,16905.9789,0.24471,4,PG{65.625000%} MRK{1.041667%} VZ{11.979167%} BA{21.354167%} ,
76,69114.81682,16966.20379,0.245479,4,PG{64.189189%} MRK{2.702703%} VZ{11.486486%} BA{21.621622%} ,
77,69163.26155,16986.33526,0.245598,4,PG{62.686567%} MRK{3.980100%} VZ{11.442786%} BA{21.890547%} ,
78,69222.86776,16991.08143,0.245455,4,PG{58.878505%} MRK{7.476636%} VZ{11.214953%} BA{22.429907%} ,
79,69281.94319,17057.16196,0.246199,4,PG{59.345794%} MRK{7.476636%} VZ{10.747664%} BA{22.429907%} ,
80,69326.16472,17099.53468,0.246653,4,PG{64.625850%} MRK{2.721088%} VZ{10.884354%} BA{21.768707%} ,
81,69437.75078,17108.67538,0.246389,4,PG{58.962264%} MRK{7.547170%} VZ{10.849057%} BA{22.641509%} ,
82,69466.48838,17115.489,0.246385,3,PG{67.204301%} VZ{11.290323%} BA{21.505376%} ,
83,69490.39848,17119.82027,0.246362,4,PG{64.397906%} MRK{2.094241%} VZ{11.518325%} BA{21.989529%} ,
84,69519.92426,17120.85889,0.246273,4,PG{65.068493%} MRK{1.369863%} VZ{11.643836%} BA{21.917808%} ,
85,69550.65035,17152.95051,0.246625,4,PG{63.758389%} MRK{2.684564%} VZ{11.409396%} BA{22.147651%} ,
86,69582.00699,17153.5987,0.246523,3,PG{66.867470%} VZ{11.445783%} BA{21.686747%} ,
87,69599.3582,17186.01043,0.246928,4,PG{59.069767%} MRK{7.441860%} VZ{10.697674%} BA{22.790698%} ,
88,69706.78195,17267.50434,0.247716,3,PG{68.279570%} VZ{10.215054%} BA{21.505376%} ,
89,69896.28476,17294.21603,0.247427,3,PG{66.666667%} VZ{11.290323%} BA{22.043011%} ,
90,69899.39179,17325.53557,0.247864,5,PG{65.104167%} MRK{6.250000%} VZ{6.250000%} CAT{1.041667%} BA{21.354167%} ,
91,69965.19453,17338.11373,0.247811,4,PG{65.972222%} MRK{0.694444%} VZ{11.111111%} BA{22.222222%} ,
92,70151.15807,17365.61363,0.247546,3,PG{65.775401%} VZ{11.764706%} BA{22.459893%} ,
93,70180.47578,17389.36469,0.247781,4,PG{65.068493%} MRK{0.684932%} VZ{11.643836%} BA{22.602740%} ,
94,70189.39497,17419.5741,0.24818,3,PG{66.433566%} VZ{11.188811%} BA{22.377622%} ,
95,70199.79556,17483.23203,0.24905,3,PG{69.021739%} VZ{9.239130%} BA{21.739130%} ,
96,70382.21865,17483.69389,0.248411,4,PG{56.547619%} MRK{9.523810%} VZ{10.119048%} BA{23.809524%} ,
97,70393.65027,17499.82571,0.248599,4,PG{61.650485%} MRK{3.883495%} VZ{11.165049%} BA{23.300971%} ,
98,70481.33452,17529.16282,0.248706,4,PG{61.463415%} MRK{3.902439%} VZ{11.219512%} BA{23.414634%} ,
99,70496.21104,17529.56676,0.24866,3,PG{65.803109%} VZ{11.398964%} BA{22.797927%} ,
100,70567.77785,17558.07299,0.248811,4,PG{61.274510%} MRK{3.921569%} VZ{11.274510%} BA{23.529412%} ,
101,70569.48281,17565.91643,0.248917,4,PG{58.256881%} MRK{7.339450%} VZ{10.550459%} BA{23.853211%} ,
102,70656.38867,17566.4158,0.248618,3,PG{65.128205%} VZ{11.794872%} BA{23.076923%} ,
103,70657.74227,17610.06191,0.24923,3,PG{65.972222%} VZ{11.111111%} BA{22.916667%} ,
