DailyRisk,ExpectedReturn
0.000000000000000000000000000000,0.000000000000000000000000000000
36592.004297551276977173984050750732,12175.729009362748911371454596519470
39646.018989050542586483061313629150,13821.162419208741994225420057773590
40529.686814630644221324473619461060,14079.351392328633664874359965324402
42964.837953972259128931909799575806,15392.538021745765945524908602237701
45821.746792151207046117633581161499,17661.893131984317733440548181533813
47682.782615625517792068421840667725,17997.823144065238011535257101058960
48701.932495487402775324881076812744,18095.525774690435355296358466148376
50152.475410825754806865006685256958,19231.892020537594362394884228706360
50881.927639657762483693659305572510,20189.714231350088084582239389419556
53256.646911495983658824115991592407,20735.513600120844785124063491821289
55491.470246915254392661154270172119,22145.895940803413395769894123077393
56074.080476253446249756962060928345,22993.991078224138618679717183113098
57273.642056880344171077013015747070,23747.705919661762891337275505065918
63382.862949323651264421641826629639,25317.152836001198011217638850212097
63532.789551106478029396384954452515,25437.939990939310519024729728698730
65612.666144383736536838114261627197,27825.681189972823631251230835914612
70501.792037280116346664726734161377,28387.159613409869052702561020851135
73190.084137402664055116474628448486,29116.904022953807725571095943450928
74341.461009449252742342650890350342,29925.655992147378128720447421073914
82081.953887232579290866851806640625,30137.511144669289933517575263977051
83231.283878796253702603280544281006,30773.542074901852174662053585052490
88160.934797050518682226538658142090,32322.469477499209460802376270294189
88442.405045949431951157748699188232,32344.917677438879763940349221229553
88702.974108291004085913300514221191,32574.405095137411990435793995857239
90093.306915837165433913469314575195,32863.921256418027041945606470108032
90850.225673585198819637298583984375,34422.444279673785786144435405731201
93115.550168830872280523180961608887,35227.850824524291965644806623458862
107945.632641814911039546132087707520,35467.141591664156294427812099456787
108420.231937512580770999193191528320,36591.861232256116636563092470169067
114535.287040702780359424650669097900,38390.799546964626642875373363494873
144272.401408598467241972684860229492,38997.727209302334813401103019714355
148067.806356819055508822202682495117,39797.501679250992310699075460433960
159741.347431768168462440371513366699,40004.621014799144177231937646865845
163279.150282775866799056529998779297,40717.860993657450308091938495635986
186569.610316582140512764453887939453,41628.863264874657033942639827728271
257615.750240534340264275670051574707,45859.556384777948551345616579055786
Runtime,5041.000000000000000000000000000000
