Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
1,41746.48213,17267.72622,0.413633,14,AAPL{2.469136%} MSFT{10.030864%} JNJ{9.876543%} WMT{19.598765%} MRK{0.308642%} KO{19.135802%} NKE{2.469136%} AMGN{15.432099%} IBM{4.629630%} CRM{10.493827%} GS{0.154321%} AXP{0.771605%} BA{4.012346%} MMM{0.617284%} ,
2,42323.23176,17453.78934,0.412393,13,AAPL{8.219178%} MSFT{0.171233%} WMT{21.746575%} MRK{0.342466%} KO{21.232877%} NKE{8.219178%} AMGN{17.123288%} IBM{5.136986%} CRM{11.643836%} GS{0.171233%} AXP{0.856164%} BA{4.452055%} MMM{0.684932%} ,
3,42482.50702,17913.78627,0.421674,10,AAPL{8.450704%} WMT{22.359155%} KO{21.302817%} NKE{7.218310%} DIS{0.176056%} AMGN{18.309859%} IBM{4.401408%} CRM{11.267606%} BA{5.633803%} MMM{0.880282%} ,
4,42568.43692,18542.10565,0.435583,14,AAPL{8.450704%} MSFT{2.992958%} JNJ{11.267606%} WMT{22.359155%} MRK{0.352113%} KO{21.830986%} NKE{2.816901%} AMGN{6.338028%} IBM{5.281690%} CRM{11.971831%} GS{0.176056%} AXP{0.880282%} BA{4.577465%} MMM{0.704225%} ,
5,42857.05418,19181.34209,0.447566,14,AAPL{8.571429%} MSFT{1.607143%} JNJ{11.428571%} WMT{22.678571%} MRK{0.357143%} KO{22.142857%} NKE{2.857143%} AMGN{6.428571%} IBM{5.357143%} CRM{12.142857%} GS{0.178571%} AXP{0.892857%} BA{4.642857%} MMM{0.714286%} ,
6,43042.33533,19691.37584,0.457489,14,AAPL{8.000000%} MSFT{2.833333%} JNJ{10.666667%} WMT{21.166667%} MRK{0.333333%} KO{20.666667%} NKE{2.666667%} AMGN{11.333333%} IBM{5.000000%} CRM{11.333333%} GS{0.166667%} AXP{0.833333%} BA{4.333333%} MMM{0.666667%} ,
7,43225.63942,19695.11324,0.455635,15,AAPL{8.571429%} MSFT{0.178571%} JNJ{11.428571%} WMT{22.678571%} MRK{0.357143%} KO{22.142857%} NKE{2.857143%} AMGN{6.428571%} IBM{5.357143%} CRM{12.142857%} GS{0.178571%} AXP{0.892857%} BA{4.642857%} MMM{0.714286%} DD{1.428571%} ,
8,43284.74178,19764.07716,0.456606,15,AAPL{8.664260%} MSFT{0.180505%} JNJ{11.552347%} WMT{22.924188%} MRK{0.361011%} KO{22.382671%} NKE{2.888087%} AMGN{6.498195%} HON{0.361011%} IBM{5.415162%} CRM{12.274368%} GS{0.180505%} AXP{0.902527%} BA{4.693141%} MMM{0.722022%} ,
9,43289.25189,19766.01472,0.456603,15,AAPL{8.633094%} MSFT{0.179856%} JNJ{11.510791%} WMT{22.841727%} MRK{0.359712%} KO{22.302158%} NKE{2.877698%} AMGN{6.474820%} IBM{5.395683%} CRM{12.230216%} GS{0.179856%} AXP{0.899281%} BA{4.676259%} MMM{0.719424%} DD{0.719424%} ,
10,43307.64415,19841.8266,0.45816,14,AAPL{9.352518%} MSFT{0.179856%} JNJ{11.510791%} WMT{22.841727%} MRK{0.359712%} KO{22.302158%} NKE{2.877698%} AMGN{6.474820%} IBM{5.395683%} CRM{12.230216%} GS{0.179856%} AXP{0.899281%} BA{4.676259%} MMM{0.719424%} ,
11,43331.49342,20312.43368,0.468768,14,AAPL{8.108108%} MSFT{1.520270%} JNJ{10.810811%} WMT{21.452703%} MRK{0.337838%} KO{20.945946%} NKE{2.702703%} AMGN{11.486486%} IBM{5.067568%} CRM{11.486486%} GS{0.168919%} AXP{0.844595%} BA{4.391892%} MMM{0.675676%} ,
