Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
496,57978.34855,36104.1423,0.622718,5,MRK{9.326425%} CSCO{65.803109%} VZ{0.518135%} AMGN{18.652850%} IBM{5.699482%} ,
497,58215.85631,36250.40005,0.622689,5,MRK{8.376963%} CSCO{66.492147%} VZ{4.712042%} AMGN{18.848168%} IBM{1.570681%} ,
498,58762.30948,36430.16867,0.619958,5,MRK{8.421053%} CSCO{66.842105%} VZ{0.526316%} AMGN{18.947368%} IBM{5.263158%} ,
499,59539.01872,36720.74569,0.616751,5,MRK{5.405405%} CSCO{68.648649%} VZ{4.864865%} AMGN{19.459459%} IBM{1.621622%} ,
500,59805.9428,36726.41287,0.614093,5,MRK{5.405405%} CSCO{68.648649%} VZ{0.540541%} AMGN{19.459459%} IBM{5.945946%} ,
501,60028.27119,36883.30664,0.614432,5,MRK{4.371585%} CSCO{69.398907%} VZ{4.918033%} AMGN{19.672131%} IBM{1.639344%} ,
502,60548.29675,37051.16473,0.611927,5,MRK{3.314917%} CSCO{70.165746%} VZ{4.972376%} AMGN{19.889503%} IBM{1.657459%} ,
503,60698.24725,37076.38226,0.610831,5,MRK{4.395604%} CSCO{69.780220%} VZ{0.549451%} AMGN{19.780220%} IBM{5.494505%} ,
504,61095.92872,37222.7812,0.609251,5,MRK{2.234637%} CSCO{70.949721%} VZ{5.027933%} AMGN{20.111732%} IBM{1.675978%} ,
505,61381.36934,37310.23336,0.607843,5,MRK{1.685393%} CSCO{71.348315%} VZ{5.056180%} AMGN{20.224719%} IBM{1.685393%} ,
506,61671.9099,37398.07173,0.606404,5,MRK{1.129944%} CSCO{71.751412%} VZ{5.084746%} AMGN{20.338983%} IBM{1.694915%} ,
507,61830.09717,37421.87305,0.605237,5,MRK{2.247191%} CSCO{71.348315%} VZ{0.561798%} AMGN{20.224719%} IBM{5.617978%} ,
508,61971.54477,37487.29323,0.604911,5,MRK{0.568182%} CSCO{72.159091%} VZ{5.113636%} AMGN{20.454545%} IBM{1.704545%} ,
509,62276.62602,37576.84951,0.603386,4,CSCO{72.571429%} VZ{5.142857%} AMGN{20.571429%} IBM{1.714286%} ,
510,62362.05348,37594.50794,0.602843,5,MRK{1.123596%} CSCO{71.348315%} VZ{5.056180%} AMGN{20.786517%} IBM{1.685393%} ,
511,62438.92156,37600.17618,0.602191,5,MRK{1.136364%} CSCO{72.159091%} VZ{0.568182%} AMGN{20.454545%} IBM{5.681818%} ,
512,62753.20635,37690.0995,0.600608,5,MRK{0.571429%} CSCO{72.571429%} VZ{0.571429%} AMGN{20.571429%} IBM{5.714286%} ,
513,62964.86057,37773.55213,0.599915,4,CSCO{72.159091%} VZ{5.113636%} AMGN{21.022727%} IBM{1.704545%} ,
