Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
52,6952.530726978104212321341037750244,5664.479230039516551187261939048767,0.814736310054621659659801480302,4,WMT{2%}MRK{4%}NKE{1%}BA{2%}Cash{91%},100
53,7154.219206429293990368023514747620,5766.317801844554196577519178390503,0.806002393197922661904897267959,5,WMT{2%}MRK{4%}NKE{1%}BA{2%}TRV{1%}Cash{90%},100
54,7235.446740526607754873111844062805,6010.734916469022209639661014080048,0.830734456630324302750523202121,4,WMT{2%}MRK{5%}NKE{1%}BA{2%}Cash{90%},100
55,7293.410184458568437548819929361343,6020.967526218693819828331470489502,0.825535294730672664087478551664,4,WMT{3%}MRK{4%}NKE{1%}BA{2%}Cash{90%},100
56,7610.834712632677110377699136734009,6122.806098023722370271570980548859,0.804485490646764000999269228487,5,WMT{3%}MRK{4%}NKE{1%}BA{2%}TRV{1%}Cash{89%},100
57,7784.527445301248917530756443738937,6244.889119367601779231335967779160,0.802218138897695776101670617209,5,WMT{2%}MRK{5%}KO{1%}NKE{1%}BA{2%}Cash{89%},100
58,7826.429148555919709906447678804398,6255.121729117259746999479830265045,0.799230608287230581687765607057,5,WMT{3%}MRK{4%}KO{1%}NKE{1%}BA{2%}Cash{89%},100
59,7867.888764476252617896534502506256,6367.223212648228582111187279224396,0.809267060484691547195268412906,4,WMT{3%}MRK{5%}NKE{1%}BA{2%}Cash{89%},100
60,7985.054739181111472134944051504135,6377.936995520443815621547400951385,0.798734285968654256215870645974,5,WMT{2%}MRK{5%}NKE{1%}IBM{1%}BA{2%}Cash{89%},100
61,8002.744973085809760959818959236145,6445.741944137037535256240516901016,0.805441378653804385123748943442,5,WMT{2%}PG{1%}MRK{5%}NKE{1%}BA{2%}Cash{89%},100
62,8034.232638165644857508596032857895,6627.300423715408214775379747152328,0.824882813603532438762044876057,5,WMT{2%}MRK{5%}NKE{1%}GS{1%}BA{2%}Cash{89%},100
63,8274.298167401953833177685737609863,6637.533033465088919911067932844162,0.802186831943621836416014048154,5,WMT{3%}MRK{4%}NKE{1%}GS{1%}BA{2%}Cash{89%},100
64,8298.268586680982480174861848354340,6729.138995520403113914653658866882,0.810908796844791446289946179604,6,WMT{2%}MRK{5%}NKE{1%}GS{1%}BA{2%}TRV{1%}Cash{88%},100
65,8352.397862633768454543314874172211,6800.936884848470981523860245943069,0.814249631866067025143252067210,5,WMT{2%}MRK{5%}NKE{1%}BA{2%}WBA{1%}Cash{89%},100
66,8393.102630949262675130739808082581,6983.788719894590030889958143234253,0.832086658173596172005659354909,5,WMT{3%}MRK{5%}NKE{1%}GS{1%}BA{2%}Cash{88%},100
67,8748.992456672771368175745010375977,6993.733889855064262519590556621552,0.799375919511853272325652142172,6,WMT{3%}MRK{5%}MCD{1%}NKE{1%}GS{1%}BA{2%}Cash{87%},100
68,8754.561278920386030222289264202118,7085.627291699608576891478151082993,0.809364063595133020889704766887,6,WMT{3%}MRK{5%}NKE{1%}GS{1%}BA{2%}TRV{1%}Cash{87%},100
69,8766.487007861869642511010169982910,7146.847351251669351768214255571365,0.815246443055503089425428697723,5,WMT{2%}MRK{6%}NKE{1%}BA{2%}WBA{1%}Cash{88%},100
70,8836.078828033505487837828695774078,7157.425181027655526122543960809708,0.810022785029924974331549947237,5,WMT{3%}MRK{5%}NKE{1%}BA{2%}WBA{1%}Cash{88%},100
71,8987.239293546252156374976038932800,7176.698864822125869977753609418869,0.798543204471669376687259500613,6,WMT{3%}MRK{5%}NKE{1%}VZ{1%}GS{1%}BA{2%}Cash{87%},100
72,8998.687711569880775641649961471558,7217.942922793158686545211821794510,0.802110613696798813165855790430,6,WMT{3%}MRK{5%}KO{1%}NKE{1%}GS{1%}BA{2%}Cash{87%},100
73,9032.818427044419877347536385059357,7329.699186297755659325048327445984,0.811452067314062830405418935698,5,WMT{3%}MRK{6%}NKE{1%}GS{1%}BA{2%}Cash{87%},100
74,9182.904819435312674613669514656067,7340.445409222658781800419092178345,0.799359848932208238991847792931,5,WMT{4%}MRK{5%}NKE{1%}GS{1%}BA{2%}Cash{87%},100
75,9224.063969240007281769067049026489,7591.932220816862354695331305265427,0.823057195411273756491254971479,5,WMT{2%}MRK{6%}NKE{1%}GS{2%}BA{2%}Cash{87%},100
76,9359.440990690209218882955610752106,7602.510050592892184795346111059189,0.812282491887610813563469491783,5,WMT{3%}MRK{5%}NKE{1%}GS{2%}BA{2%}Cash{87%},100
77,9531.486795263837848324328660964966,7693.770792621863620297517627477646,0.807195242241207422395632420375,6,WMT{2%}MRK{6%}NKE{1%}GS{2%}BA{2%}TRV{1%}Cash{86%},100
78,9542.987247048607969190925359725952,7704.348622397890721913427114486694,0.807330914623263340423875433771,6,WMT{3%}MRK{5%}NKE{1%}GS{2%}BA{2%}TRV{1%}Cash{86%},100
79,9571.625927403772948309779167175293,7763.412858498035348020493984222412,0.811086111950030996808891359251,6,WMT{2%}MRK{6%}NKE{1%}GS{1%}BA{2%}WBA{1%}Cash{87%},100
80,9591.678445489022124093025922775269,7948.420516996069636661559343338013,0.828678792994173130104229585413,5,WMT{3%}MRK{6%}NKE{1%}GS{2%}BA{2%}Cash{86%},100
81,9861.925555308826005784794688224792,7951.432322002633554802741855382919,0.806275841103085144645490345283,5,WMT{3%}MRK{6%}NKE{1%}BA{2%}DD{1%}Cash{87%},100
82,9889.867511230384479858912527561188,7959.166739920948202779982239007950,0.804779915492594866144315801648,5,WMT{4%}MRK{5%}NKE{1%}GS{2%}BA{2%}Cash{86%},100
