Non-Dominant Set,Risk,Profit,TrendRaio,a,b,# of Portfolio,Portfolio{%}
1,46505.972106570225150790065526962280,293.864228041753619891096604987979,0.006318849273128888076322962064,51.224342718214543879184930119663,-1242.866053504682668062741868197918,15,AAPL{0.2283105023%} JNJ{15.0684931507%} WMT{14.6118721461%} JPM{0.4566210046%} PG{3.6529680365%} MRK{17.5799086758%} KO{14.8401826484%} CSCO{14.6118721461%} VZ{0.9132420091%} CRM{0.2283105023%} CAT{0.4566210046%} INTC{0.9132420091%} BA{15.0684931507%} TRV{0.4566210046%} WBA{0.9132420091%} 
2,47478.218357175450364593416452407837,757.465136389706231057061813771725,0.015953950308146502834460989106,25.928359033704772684814088279381,-20.385634621436793167958967387676,15,AAPL{0.2463054187%} JNJ{16.2561576355%} WMT{15.7635467980%} JPM{0.4926108374%} PG{3.9408866995%} MRK{18.9655172414%} KO{8.1280788177%} CSCO{15.7635467980%} VZ{0.9852216749%} CRM{0.2463054187%} CAT{0.4926108374%} INTC{0.9852216749%} BA{16.2561576355%} TRV{0.4926108374%} WBA{0.9852216749%} 
3,47701.023047025621053762733936309814,1703.677818397225564694963395595551,0.035715750094451229057490593277,370.839833687474310863763093948364,-9421.517192227003761217929422855377,18,AAPL{0.2865329513%} JNJ{4.5845272206%} WMT{0.7163323782%} JPM{1.1461318052%} PG{9.4555873926%} CVX{1.1461318052%} MRK{9.4555873926%} KO{14.6131805158%} CSCO{12.0343839542%} MCD{9.4555873926%} NKE{2.2922636103%} DIS{9.3123209169%} AMGN{0.1432664756%} IBM{0.1432664756%} BA{16.3323782235%} MMM{0.5730659026%} TRV{6.0171919771%} DD{2.2922636103%} 
4,47841.350873918163415510207414627075,2195.254087324318334140116348862648,0.045886122511668306356291680004,156.692677141221622605371521785855,-2505.526226912330457707867026329041,18,UNH{0.6369426752%} JNJ{10.1910828025%} V{0.3184713376%} WMT{5.0955414013%} JPM{1.2738853503%} PG{0.4777070064%} MRK{15.6050955414%} KO{10.8280254777%} CSCO{14.0127388535%} NKE{7.6433121019%} VZ{2.7070063694%} AMGN{1.2738853503%} HON{5.0955414013%} IBM{0.4777070064%} BA{18.1528662420%} MMM{0.6369426752%} TRV{0.3184713376%} DD{5.2547770701%} 
5,48128.679411867015005555003881454468,2724.989100753362890827702358365059,0.056618821335901153846137390246,501.155222554901911280467174947262,-12309.667575893694447586312890052795,18,AAPL{0.3003003003%} JNJ{4.8048048048%} WMT{0.7507507508%} JPM{1.2012012012%} PG{9.9099099099%} CVX{1.2012012012%} MRK{14.7147147147%} KO{15.3153153153%} CSCO{12.6126126126%} MCD{0.3003003003%} NKE{2.4024024024%} DIS{9.7597597598%} AMGN{0.1501501502%} IBM{0.1501501502%} BA{17.1171171171%} MMM{0.6006006006%} TRV{6.3063063063%} DD{2.4024024024%} 
6,48251.958314116141991689801216125488,3349.781720797741854767082259058952,0.069422710245062968503759748273,314.409341715204675438144477084279,-6082.498530658398522064089775085449,25,AAPL{0.3731343284%} MSFT{0.1865671642%} UNH{1.8656716418%} JNJ{11.9402985075%} V{0.1865671642%} WMT{0.3731343284%} JPM{0.1865671642%} PG{0.9328358209%} CVX{3.7313432836%} MRK{19.2164179104%} KO{19.0298507463%} CSCO{6.3432835821%} MCD{0.1865671642%} NKE{3.7313432836%} DIS{0.7462686567%} VZ{0.3731343284%} AMGN{0.7462686567%} HON{0.3731343284%} IBM{1.4925373134%} CRM{0.9328358209%} GS{0.9328358209%} BA{19.4029850746%} MMM{5.5970149254%} TRV{0.7462686567%} DD{0.3731343284%} 
7,48654.025568917022610548883676528931,4140.629821521474696055520325899124,0.085103540212852324398085102075,188.629260100597633709185174666345,-1518.247981496454031002940610051155,19,UNH{0.3508771930%} JNJ{4.2105263158%} V{0.1754385965%} WMT{0.3508771930%} JPM{1.7543859649%} PG{1.9298245614%} MRK{20.1754385965%} KO{11.2280701754%} CSCO{14.0350877193%} MCD{5.6140350877%} NKE{0.1754385965%} DIS{2.9824561404%} VZ{11.2280701754%} AMGN{0.3508771930%} HON{1.4035087719%} IBM{0.5263157895%} BA{19.6491228070%} MMM{3.5087719298%} TRV{0.3508771930%} 
8,48893.195703346857044380158185958862,4202.404623614357660699170082807541,0.085950704656572340933706755095,-247.249876073585028279921971261501,11619.900905821908963844180107116699,18,UNH{0.3508771930%} JNJ{4.2105263158%} V{0.1754385965%} WMT{11.5789473684%} JPM{1.7543859649%} PG{1.9298245614%} MRK{20.1754385965%} KO{11.2280701754%} CSCO{14.0350877193%} MCD{5.6140350877%} NKE{0.1754385965%} DIS{2.9824561404%} AMGN{0.3508771930%} HON{1.4035087719%} IBM{0.5263157895%} BA{19.6491228070%} MMM{3.5087719298%} TRV{0.3508771930%} 
9,49398.541809409653069451451301574707,6086.462720586047908000182360410690,0.123211384337394980192925686424,128.651838539032496555591933429241,2226.907564415072556585073471069336,18,UNH{0.3508771930%} JNJ{4.2105263158%} V{0.1754385965%} WMT{0.3508771930%} JPM{1.7543859649%} PG{1.9298245614%} MRK{20.1754385965%} KO{11.2280701754%} CSCO{14.0350877193%} MCD{5.6140350877%} NKE{0.1754385965%} DIS{14.2105263158%} AMGN{0.3508771930%} HON{1.4035087719%} IBM{0.5263157895%} BA{19.6491228070%} MMM{3.5087719298%} TRV{0.3508771930%} 
10,49828.449372285052959341555833816528,6527.504303619805796188302338123322,0.130999547163320934073382773022,133.644583420018307151622138917446,2518.166801019256126892287284135818,19,UNH{0.3717472119%} JNJ{4.4609665428%} V{0.1858736059%} WMT{0.3717472119%} JPM{1.8587360595%} PG{2.0446096654%} MRK{21.3754646840%} KO{11.8959107807%} CSCO{14.8698884758%} MCD{5.9479553903%} NKE{0.1858736059%} DIS{3.1598513011%} VZ{5.9479553903%} AMGN{0.3717472119%} HON{1.4869888476%} IBM{0.5576208178%} BA{20.8178438662%} MMM{3.7174721190%} TRV{0.3717472119%} 
