Non-Dominant Set,Risk,Profit,TrendRaio,a,b,# of Portfolio,Portfolio{%}
146,28864.153908952746860450133681297302,37075.702382205323374364525079727173,1.284489491677274219938453825307,2740.793947622351879545021802186966,-41493.724116302102629560977220535278,19,AAPL{18.5064935065%} MSFT{0.1623376623%} UNH{19.6428571429%} V{0.1623376623%} WMT{0.4870129870%} JPM{0.3246753247%} PG{12.9870129870%} HD{0.3246753247%} KO{1.6233766234%} CSCO{0.8116883117%} MCD{11.3636363636%} NKE{8.1168831169%} DIS{4.8701298701%} VZ{0.1623376623%} CRM{2.1103896104%} GS{0.1623376623%} INTC{0.1623376623%} AXP{0.3246753247%} DD{17.6948051948%} 
147,28869.149048592793405987322330474854,37125.446596665424294769763946533203,1.285990332938998781386885639222,2747.201658508759464893955737352371,-41627.667613919016730505973100662231,19,AAPL{18.5365853659%} MSFT{0.1626016260%} UNH{19.6747967480%} V{0.1626016260%} WMT{0.1626016260%} JPM{0.3252032520%} PG{13.0081300813%} HD{0.3252032520%} KO{1.6260162602%} CSCO{0.8130081301%} MCD{11.5447154472%} NKE{8.1300813008%} DIS{4.8780487805%} VZ{0.1626016260%} CRM{2.1138211382%} GS{0.1626016260%} INTC{0.1626016260%} AXP{0.3252032520%} DD{17.7235772358%} 
148,28872.581078964525659102946519851685,37128.149750500619120430201292037964,1.285931093204230046822544863971,2749.776070700390391721157357096672,-41698.764276243906351737678050994873,19,AAPL{18.5667752443%} MSFT{0.1628664495%} UNH{19.7068403909%} V{0.1628664495%} WMT{0.1628664495%} JPM{0.3257328990%} PG{13.0293159609%} HD{0.3257328990%} KO{1.6286644951%} CSCO{0.8143322476%} MCD{11.4006514658%} NKE{8.1433224756%} DIS{4.8859934853%} VZ{0.1628664495%} CRM{2.1172638436%} GS{0.1628664495%} INTC{0.1628664495%} AXP{0.3257328990%} DD{17.7524429967%} 
149,28877.102965794896590523421764373779,37130.852306820648664142936468124390,1.285823316514900005458343912323,2751.875747123440305585972964763641,-41756.252444051307975314557552337646,19,AAPL{18.6991869919%} MSFT{0.1626016260%} UNH{19.6747967480%} V{0.1626016260%} WMT{0.1626016260%} JPM{0.3252032520%} PG{13.0081300813%} HD{0.3252032520%} KO{1.6260162602%} CSCO{0.8130081301%} MCD{11.3821138211%} NKE{8.1300813008%} DIS{4.8780487805%} VZ{0.1626016260%} CRM{2.1138211382%} GS{0.1626016260%} INTC{0.1626016260%} AXP{0.3252032520%} DD{17.7235772358%} 
150,28890.700046829424536554142832756042,37166.810676669381791725754737854004,1.286462793093454681780940518365,2750.670782841394157003378495573997,-41685.751764783919497858732938766479,19,AAPL{18.5365853659%} MSFT{0.1626016260%} UNH{19.6747967480%} V{0.1626016260%} WMT{0.1626016260%} JPM{0.3252032520%} PG{13.0081300813%} HD{0.3252032520%} KO{1.6260162602%} CSCO{0.8130081301%} MCD{11.3821138211%} NKE{8.1300813008%} DIS{5.0406504065%} VZ{0.1626016260%} CRM{2.1138211382%} GS{0.1626016260%} INTC{0.1626016260%} AXP{0.3252032520%} DD{17.7235772358%} 
151,28910.567159578422433696687221527100,37184.460240053369489032775163650513,1.286189234365597844345074918238,2749.765552204343293851707130670547,-41642.152256471134023740887641906738,19,AAPL{18.5365853659%} MSFT{0.1626016260%} UNH{19.6747967480%} V{0.1626016260%} WMT{0.1626016260%} JPM{0.3252032520%} PG{13.0081300813%} HD{0.4878048780%} KO{1.6260162602%} CSCO{0.8130081301%} MCD{11.3821138211%} NKE{8.1300813008%} DIS{4.8780487805%} VZ{0.1626016260%} CRM{2.1138211382%} GS{0.1626016260%} INTC{0.1626016260%} AXP{0.3252032520%} DD{17.7235772358%} 
152,28946.220878477597580058500170707703,37213.171306365577038377523422241211,1.285596881976213801124231395079,2740.277852659803556889528408646584,-41341.460469882120378315448760986328,19,AAPL{18.5365853659%} UNH{19.6747967480%} V{0.1626016260%} WMT{0.4878048780%} PG{13.0081300813%} HD{0.3252032520%} MRK{0.3252032520%} KO{1.3008130081%} CSCO{0.8130081301%} MCD{11.5447154472%} NKE{8.1300813008%} DIS{4.8780487805%} CRM{2.1138211382%} GS{0.1626016260%} CAT{0.1626016260%} INTC{0.1626016260%} AXP{0.3252032520%} TRV{0.1626016260%} DD{17.7235772358%} 
153,28947.301490112862666137516498565674,37214.532200418114371132105588912964,1.285595903062984213249819731573,2745.195343901181786350207403302193,-41481.067658082436537370085716247559,19,AAPL{18.5970636215%} UNH{19.7389885808%} V{0.1631321370%} WMT{0.4893964111%} PG{13.0505709625%} HD{0.3262642741%} MRK{0.3262642741%} KO{1.3050570962%} CSCO{0.8156606852%} MCD{11.2561174551%} NKE{8.1566068515%} DIS{4.8939641109%} CRM{2.1207177814%} GS{0.1631321370%} CAT{0.1631321370%} INTC{0.1631321370%} AXP{0.3262642741%} TRV{0.1631321370%} DD{17.7814029364%} 
154,28954.745658868294412968680262565613,37220.334813190034765284508466720581,1.285465783457508726073115212785,2747.496550134495009842794388532639,-41541.232957332154910545796155929565,19,AAPL{18.7296416938%} UNH{19.7068403909%} V{0.1628664495%} WMT{0.4885993485%} PG{13.0293159609%} HD{0.3257328990%} MRK{0.3257328990%} KO{1.3029315961%} CSCO{0.8143322476%} MCD{11.2377850163%} NKE{8.1433224756%} DIS{4.8859934853%} CRM{2.1172638436%} GS{0.1628664495%} CAT{0.1628664495%} INTC{0.1628664495%} AXP{0.3257328990%} TRV{0.1628664495%} DD{17.7524429967%} 
155,28956.124252580142638180404901504517,37246.194374111502838786691427230835,1.286297642917203276624604768585,2758.451075443790614372119307518005,-41829.403121943832957185804843902588,19,AAPL{18.5365853659%} MSFT{0.1626016260%} UNH{19.6747967480%} V{0.1626016260%} WMT{0.1626016260%} JPM{0.3252032520%} PG{13.0081300813%} HD{0.3252032520%} KO{1.6260162602%} CSCO{0.8130081301%} MCD{11.3821138211%} NKE{8.2926829268%} DIS{4.8780487805%} VZ{0.1626016260%} CRM{2.1138211382%} GS{0.1626016260%} INTC{0.1626016260%} AXP{0.3252032520%} DD{17.7235772358%} 
