Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn
12,7203.T  6758.T  4063.T  4502.T  3382.T  6954.T  7733.T  9022.T  MRK  DIS  CRM  BA ,0.96768571104658407389,48209.20826555522216949612,46651.36197944666491821408
13,7203.T  6758.T  4063.T  4502.T  3382.T  6954.T  7733.T  9022.T  V  MRK  DIS  CRM  BA ,0.97238891343735889272,48446.97261762062407797202,47109.29906297759589506313
11,7203.T  6758.T  4502.T  3382.T  6954.T  7733.T  9022.T  V  DIS  VZ  CRM ,0.96946179716798752679,49611.32313400629209354520,48096.28248537549370666966
11,6758.T  4063.T  4502.T  3382.T  6954.T  7733.T  9022.T  MRK  DIS  CRM  BA ,0.96676676168632524888,50441.44008895270962966606,48765.10768959159759106115
11,7203.T  6758.T  4063.T  4502.T  3382.T  6954.T  9022.T  MRK  DIS  CRM  BA ,0.98188040954049826681,50751.89302442035113926977,49832.28950777341378852725
11,7203.T  6758.T  4063.T  3382.T  6954.T  7733.T  9022.T  MRK  DIS  CRM  BA ,0.97821381831418963149,51605.14216033950651763007,50480.86315731227659853175
9,7203.T  6758.T  4502.T  3382.T  6954.T  9022.T  DIS  VZ  CRM ,0.98234855207944860034,52577.68950647270685294643,51649.61715836627990938723
10,7203.T  6758.T  4502.T  3382.T  6954.T  9022.T  V  DIS  VZ  CRM ,0.97874410011043078139,52889.12277376152633223683,51764.91687483531859470531
11,7203.T  6758.T  4063.T  4502.T  3382.T  6954.T  7733.T  MRK  DIS  CRM  BA ,0.97707011744744476367,53569.28435035680013243109,52340.94695177868561586365
10,6758.T  4063.T  4502.T  3382.T  6954.T  9022.T  MRK  DIS  CRM  BA ,0.96591712751849445606,54352.67026266144966939464,52500.17513306983892107382
11,7203.T  6758.T  9432.T  4063.T  3382.T  6954.T  7733.T  MRK  DIS  CRM  BA ,0.96697069853640993387,54681.96467750956071540713,52875.85758155471557984129
10,7203.T  6758.T  4063.T  3382.T  6954.T  9022.T  MRK  DIS  CRM  BA ,0.99220599723544800064,54814.49192478771874448285,54387.26762318841065280139
11,7203.T  6758.T  4063.T  4502.T  3382.T  6954.T  9022.T  V  DIS  CRM  BA ,0.98710336716917823630,56363.76919249505590414628,55636.86635625826602336019
8,7203.T  6758.T  3382.T  6954.T  9022.T  DIS  VZ  CRM ,1.01007576507052054815,56963.28503616453235736117,57537.23371383402991341427
10,7203.T  6758.T  4063.T  4502.T  3382.T  6954.T  7733.T  DIS  CRM  BA ,0.99368439570524236260,59085.60991407692199572921,58712.44858234520506812260
10,6758.T  4063.T  4502.T  3382.T  6954.T  9022.T  V  DIS  CRM  BA ,0.97307040304877712167,60515.50194763346371473745,58885.84387088275252608582
8,7203.T  6758.T  9433.T  3382.T  6954.T  DIS  VZ  CRM ,0.97975002002142663748,61067.01423296004213625565,59830.40841739134339150041
8,7203.T  6758.T  4502.T  3382.T  6954.T  DIS  VZ  CRM ,0.98037680615634159587,61297.94282238993037026376,60095.08140816868399269879
8,7203.T  6758.T  9432.T  3382.T  6954.T  DIS  VZ  CRM ,0.98497879232926377480,61757.97164520584192359820,60830.29232779976882738993
9,7203.T  6758.T  4063.T  3382.T  6954.T  9022.T  DIS  CRM  BA ,0.98135150552403838109,62826.39274100554757751524,61654.77510303031158400699
9,6758.T  4063.T  4502.T  3382.T  6954.T  7733.T  DIS  CRM  BA ,0.99237952295437981132,63101.16174939313350478187,62620.30079472991928923875
9,7203.T  6758.T  4063.T  4502.T  3382.T  6954.T  DIS  CRM  BA ,1.00483847308747131777,63619.03516491736081661656,63926.85415441371151246130
9,7203.T  6758.T  4063.T  3382.T  6954.T  7733.T  DIS  CRM  BA ,0.99025771319280531113,65357.09954967428348027170,64720.37194097498286282644
8,7203.T  6758.T  4063.T  4502.T  6954.T  DIS  CRM  BA ,0.99103175516597985517,67419.35058382483839523047,66814.71734123845817521214
7,7203.T  6758.T  4502.T  6954.T  V  DIS  CRM ,0.96826685404929546674,69220.55002217533183284104,67023.96420553360076155514
8,6758.T  4063.T  4502.T  3382.T  6954.T  DIS  CRM  BA ,0.98814136719948264531,69824.20180803892435505986,68996.18223820817365776747
8,7203.T  6758.T  4063.T  3382.T  6954.T  DIS  CRM  BA ,0.99953678570890436283,71388.71243361401138827205,71355.64416179184627253562
7,7203.T  6758.T  3382.T  6954.T  V  DIS  CRM ,0.97748598189399360514,73881.05714844969043042511,72217.69769011859898455441
6,6758.T  3382.T  6954.T  7733.T  DIS  CRM ,0.99148270788407344423,74144.86007404234260320663,73513.34664189722388982773
8,6758.T  8035.T  4063.T  6954.T  9022.T  DIS  CRM  BA ,0.95584043556495246197,77267.46249042297131381929,73855.36500184451870154589
6,7203.T  6758.T  3382.T  6954.T  DIS  CRM ,0.97415286493750063990,77473.52275827951962128282,75471.05415177864779252559
5,6758.T  4502.T  6954.T  DIS  CRM ,1.00056363864175557055,78570.65623373816197272390,78614.94169169958331622183
5,7203.T  6758.T  6954.T  DIS  CRM ,1.01885001528024377038,80868.99003339784394484013,82393.37173122527019586414
5,6758.T  6902.T  6954.T  DIS  CRM ,0.96602870671082108345,85722.63907697933609597385,82810.53016337283770553768
5,6758.T  3382.T  6954.T  DIS  CRM ,0.97728423317273338533,87883.68458605562045704573,85887.33929907773563172668
3,6758.T  6954.T  CRM ,0.96482272459541928988,90467.17836078928667120636,87284.78951251647958997637
6,6758.T  8035.T  4063.T  6954.T  DIS  CRM ,0.96225052623867868284,92941.72412644067662768066,89433.22295019763987511396
4,6758.T  6954.T  DIS  CRM ,1.00133365126595785810,97009.46237765063415281475,97138.83916996048355940729
5,6758.T  8035.T  6954.T  DIS  CRM ,0.88854419073306634136,110068.35548744400148279965,97800.59785191039554774761
4,8035.T  6954.T  DIS  CRM ,0.89792345922791827473,112212.68139763243380002677,100758.39904980239225551486
3,6954.T  DIS  CRM ,0.84504666943396111733,119460.05599692135001532733,100949.32245059288106858730
3,6758.T  DIS  CRM ,0.76972983539035877421,140131.24299478932516649365,107863.19860342555330134928
3,8035.T  DIS  CRM ,0.71107937413764632506,158659.82619861303828656673,112819.72991409749374724925
1,DIS ,0.68345582961024708979,185384.45857585346675477922,126702.08893280642223544419

Runtime,1.27299999999999990941
