Non-Dominant Set,Risk,Profit,TrendRaio,a,b,# of Portfolio,Portfolio{%}
1,37032.150204336401657201349735260010,39264.764917308086296543478965759277,1.060288551992053962536033395736,1821.828035677139268955215811729431,-15390.076153006084496155381202697754,18,SHW{0.4694835681%} DIS{0.2347417840%} TRV{1.4084507042%} JPM{7.7464788732%} MRK{5.3990610329%} AMGN{0.2347417840%} VZ{3.5211267606%} AXP{0.4694835681%} UNH{0.2347417840%} MMM{23.4741784038%} IBM{0.7042253521%} WMT{0.4694835681%} PG{18.0751173709%} CAT{0.2347417840%} KO{29.8122065728%} HON{6.1032863850%} HD{0.2347417840%} JNJ{1.1737089202%} 
2,37102.899863268969056662172079086304,39360.919946714740945026278495788574,1.060858318130577293558758356085,1829.638307854622553350054658949375,-15528.229288923934291233308613300323,19,SHW{0.4705882353%} CSCO{0.2352941176%} DIS{0.2352941176%} TRV{1.4117647059%} JPM{7.7647058824%} MRK{5.4117647059%} AMGN{0.2352941176%} VZ{3.5294117647%} AXP{0.4705882353%} UNH{0.2352941176%} MMM{23.5294117647%} IBM{0.2352941176%} WMT{0.4705882353%} PG{18.1176470588%} CAT{0.2352941176%} KO{29.8823529412%} HON{6.1176470588%} HD{0.2352941176%} JNJ{1.1764705882%} 
3,37187.864664232409268151968717575073,39362.435180781794770155102014541626,1.058475272408982981175995519152,1828.640479044701351085677742958069,-15496.779190559243943425826728343964,19,SHW{0.4694835681%} CSCO{0.2347417840%} DIS{0.2347417840%} TRV{1.4084507042%} JPM{7.7464788732%} MRK{5.3990610329%} AMGN{0.2347417840%} VZ{3.5211267606%} AXP{0.4694835681%} UNH{0.2347417840%} MMM{23.4741784038%} IBM{0.4694835681%} WMT{0.4694835681%} PG{18.0751173709%} CAT{0.2347417840%} KO{29.8122065728%} HON{6.1032863850%} HD{0.2347417840%} JNJ{1.1737089202%} 
4,37206.796291135535284411162137985229,39678.379404272789543028920888900757,1.066428270088013663396964147978,1838.548562011497324419906362891197,-15478.077456072134737041778862476349,19,SHW{0.4866180049%} CSCO{0.2433090024%} DIS{0.2433090024%} TRV{1.4598540146%} JPM{8.0291970803%} MRK{1.7031630170%} AMGN{0.2433090024%} VZ{3.6496350365%} AXP{0.4866180049%} UNH{0.2433090024%} MMM{24.3309002433%} IBM{0.7299270073%} WMT{0.4866180049%} PG{18.7347931873%} CAT{0.2433090024%} KO{30.9002433090%} HON{6.3260340633%} HD{0.2433090024%} JNJ{1.2165450122%} 
5,37225.698656885666423477232456207275,39685.109246779218665324151515960693,1.066067546846125591031295698485,1834.155145312635340815177187323570,-15339.545112599840649636462330818176,19,SHW{0.4773269690%} CSCO{0.2386634845%} DIS{0.2386634845%} TRV{1.4319809069%} JPM{7.8758949881%} MRK{5.4892601432%} AMGN{0.2386634845%} VZ{1.6706443914%} AXP{0.4773269690%} UNH{0.2386634845%} MMM{23.8663484487%} IBM{0.7159904535%} WMT{0.4773269690%} PG{18.3770883055%} CAT{0.2386634845%} KO{30.3102625298%} HON{6.2052505967%} HD{0.2386634845%} JNJ{1.1933174224%} 
6,37322.622808043073746375739574432373,40501.071627808472840115427970886230,1.085161453848319634829522328801,2020.742520204909851599950343370438,-20121.203978338824526872485876083374,17,SHW{0.4310344828%} DIS{0.2155172414%} TRV{1.5086206897%} JPM{7.1120689655%} MRK{4.9568965517%} AMGN{0.2155172414%} VZ{3.2327586207%} AAPL{0.2155172414%} AXP{0.4310344828%} UNH{0.2155172414%} MMM{23.2758620690%} IBM{0.4310344828%} WMT{0.4310344828%} PG{9.4827586207%} KO{27.3706896552%} HON{5.6034482759%} JNJ{14.8706896552%} 
7,37329.077981368318432942032814025879,40921.013595199736300855875015258789,1.096223528896808740995538755669,2042.723817635738441822468303143978,-20360.700933872416499070823192596436,18,SHW{0.4454342984%} CSCO{0.2227171492%} DIS{0.2227171492%} TRV{1.5590200445%} JPM{7.3496659243%} MRK{1.5590200445%} AMGN{0.2227171492%} VZ{3.3407572383%} AAPL{0.2227171492%} AXP{0.4454342984%} UNH{0.2227171492%} MMM{24.0534521158%} IBM{0.4454342984%} WMT{0.4454342984%} PG{9.7995545657%} KO{28.2850779510%} HON{5.7906458797%} JNJ{15.3674832962%} 
8,37661.203205128244007937610149383545,41353.681273421905643772333860397339,1.098044612334394765085221479239,2041.158770041453408339293673634529,-19881.081827821697515901178121566772,19,SHW{0.5763688761%} CSCO{0.2881844380%} DIS{0.2881844380%} TRV{1.7291066282%} JPM{0.2881844380%} MRK{6.6282420749%} AMGN{0.2881844380%} VZ{4.3227665706%} AXP{0.5763688761%} UNH{0.2881844380%} MMM{28.8184438040%} IBM{0.8645533141%} WMT{0.5763688761%} PG{8.3573487032%} CAT{0.2881844380%} KO{36.5994236311%} HON{7.4927953890%} HD{0.2881844380%} JNJ{1.4409221902%} 
9,37739.183627247541153337806463241577,41789.392055529213394038379192352295,1.107321039805361229113600529672,2122.163751805402171157766133546829,-21875.520498632853559684008359909058,17,SHW{0.4464285714%} DIS{0.2232142857%} TRV{1.5625000000%} JPM{7.3660714286%} MRK{5.1339285714%} AMGN{0.2232142857%} VZ{3.3482142857%} AAPL{0.2232142857%} AXP{0.4464285714%} UNH{0.2232142857%} MMM{24.1071428571%} IBM{0.4464285714%} WMT{0.4464285714%} PG{6.2500000000%} KO{28.3482142857%} HON{5.8035714286%} JNJ{15.4017857143%} 
10,37801.235730453081487212330102920532,42268.353629349978291429579257965088,1.118173858938112497085626273474,2148.428389907568089256528764963150,-22184.498067877058929298073053359985,18,SHW{0.4618937644%} CSCO{0.2309468822%} DIS{0.2309468822%} TRV{1.6166281755%} JPM{7.6212471132%} MRK{1.6166281755%} AMGN{0.2309468822%} VZ{3.4642032333%} AAPL{0.2309468822%} AXP{0.4618937644%} UNH{0.2309468822%} MMM{24.9422632794%} IBM{0.4618937644%} WMT{0.4618937644%} PG{6.4665127021%} KO{29.3302540416%} HON{6.0046189376%} JNJ{15.9353348730%} 
