period,exp_fitness,exp_time(s),total_fitness,total_time(s),max_TR,min_risk,#_in_front
2024_01,5000030,14.14327608199999986027,6093174,15.31955271600000045851,1.05773539295876051192,30242.85403283323103096336,527
2024_02,5000030,13.31248752599999995994,5630348,13.93000475200000032316,1.14815915184435990426,24499.34054559334617806599,320
2024_03,5000030,12.48847840500000039299,5563372,13.05393241500000023336,1.47953393027793689285,26331.99410068314682575874,358
2024_04,5000030,12.62291675800000056995,6021572,13.72758644199999977786,0.77768393407142044627,26448.60147110703837824985,442
2024_05,5000030,12.83144873200000013469,6159975,14.11770965700000068921,1.07054681655562800024,25706.39636587830682401545,589
2024_06,5000030,12.67099447400000045150,5683177,13.34841343000000080110,2.44093521237117672129,6336.76940064754671766423,315
2024_07,5000030,12.90934820100000024468,5802649,13.80373733899999955099,0.82496563001848721708,41273.53165678650839254260,560
2024_08,5000030,13.05967877299999990726,5342877,13.39103435900000071967,1.23440626514386586621,37032.15020433640165720135,78
2024_09,5000030,12.52010593099999979927,5991047,13.56897186399999988282,1.18661093018881858008,23809.79893119014377589338,605
2024_10,5000030,13.09792628399999969702,5383938,13.49742225500000003535,0.32709985573743594056,31321.57233065382752101868,220
2024_11,5000030,12.63301807699999912415,5685388,13.31970356299999913574,1.84796298810735848406,25031.40532491700651007704,392
2024_12,5000030,12.69866615099999940242,5644612,13.36570446200000006343,0.38985946387205111519,45377.05580006513628177345,368
2025_01,5000030,12.91168869900000082396,5816205,13.75942548799999975984,1.46948129233784641201,27717.04223564999847440049,436
2025_02,5000030,12.56972659200000030921,5926568,13.50463754099999924563,1.09446814332965858263,30218.67517059052988770418,497
2025_03,5000030,12.65468937500000023988,5813030,13.45770033199999993201,0.52076901653463458786,51661.55617958445509430021,462
2025_04,5000030,12.68691819600000059154,5438313,13.12577469200000024330,0.42712426823475990734,99693.53944768999645020813,217
2025_05,5000030,12.65156400499999911347,5128835,12.77738632400000007294,0.56068525426144133483,53054.93078492049244232476,113
2025_06,5000030,12.43136149000000045817,5515203,12.94354405400000018744,1.34136512782515793241,25023.12121414160355925560,315
2025_07,5000030,12.79324611200000028077,5543493,13.35721928599999941412,1.23434165889275448968,18128.76413976272669970058,292
2025_08,5000030,13.11777889400000063347,6063572,14.23769353600000009408,1.15508216579729605655,21753.53809780090523418039,580
2025_09,5000030,12.27328050700000083850,5510335,12.78665141499999968744,1.58298096164033230693,15665.57455438842043804470,378
2025_10,5000030,13.82005381599999971343,6045794,15.11094201699999928223,1.04149618357585693751,29520.62954012283807969652,376
2025_11,5000030,12.63819913200000044640,5342160,12.94447408399999943640,1.20611202197281186521,47486.69479286142450291663,180
2025_12,5000030,12.36653719199999912348,5937893,13.35391713799999990897,1.10769009818405828049,13712.16313491155051451642,473
