Non-Dominant Set,Risk,Profit,TrendRaio,a,b,# of Portfolio,Portfolio{%}
1,18128.764139762726699700579047203064,17683.390432837099069729447364807129,0.975432759591771225693435098947,388.022097234628745354712009429932,5525.364719485396562959067523479462,20,NVDA{10.0000000000%} CSCO{0.4615384615%} TRV{1.2307692308%} MCD{19.5384615385%} AMZN{7.3846153846%} AMGN{0.1538461538%} VZ{6.9230769231%} MSFT{17.8461538462%} AAPL{0.3076923077%} MMM{1.5384615385%} IBM{5.0769230769%} WMT{13.2307692308%} GS{0.3076923077%} CVX{4.0000000000%} CAT{0.3076923077%} HON{1.0769230769%} HD{2.4615384615%} JNJ{6.9230769231%} BA{0.1538461538%} CRM{1.0769230769%} 
2,18301.712239016309467842802405357361,18506.678713884750322904437780380249,1.011199305955181815264154465694,384.050788040739917050814256072044,6473.087355274902620294596999883652,19,NVDA{9.8784194529%} CSCO{0.4559270517%} MCD{19.3009118541%} AMZN{7.2948328267%} AMGN{0.1519756839%} VZ{6.8389057751%} MSFT{17.6291793313%} AAPL{0.3039513678%} MMM{1.5197568389%} IBM{5.0151975684%} WMT{13.0699088146%} GS{0.3039513678%} CVX{3.9513677812%} CAT{0.3039513678%} HON{1.0638297872%} HD{2.4316109422%} JNJ{9.2705167173%} BA{0.1519756839%} CRM{1.0638297872%} 
3,18570.907139828967046923935413360596,19008.398961967883224133402109146118,1.023557913398889906986255482479,419.759964247601317310909507796168,5855.920082209707288711797446012497,20,NVDA{10.0000000000%} CSCO{0.4615384615%} TRV{1.2307692308%} MCD{19.5384615385%} AMZN{7.3846153846%} AMGN{0.1538461538%} VZ{6.9230769231%} MSFT{17.8461538462%} AAPL{0.3076923077%} MMM{1.5384615385%} IBM{0.1538461538%} WMT{13.2307692308%} GS{0.3076923077%} CVX{4.0000000000%} CAT{0.3076923077%} HON{6.0000000000%} HD{2.4615384615%} JNJ{6.9230769231%} BA{0.1538461538%} CRM{1.0769230769%} 
4,18624.542675953391153598204255104065,20129.196565529993677046149969100952,1.080788769730131271273876336636,383.467902151741213856439571827650,8113.868964775436324998736381530762,18,NVDA{14.2201834862%} CSCO{0.3058103976%} MCD{18.8073394495%} AMZN{7.3394495413%} AMGN{0.4587155963%} VZ{9.6330275229%} MSFT{15.2905198777%} MMM{0.4587155963%} IBM{5.0458715596%} WMT{12.5382262997%} CVX{3.9755351682%} CAT{0.4587155963%} KO{0.3058103976%} HON{0.7645259939%} HD{2.4464831804%} JNJ{6.8807339450%} BA{0.1529051988%} CRM{0.9174311927%} 
5,18626.625121621851576492190361022949,20159.426895124332077102735638618469,1.082290901518343062548410671297,474.832623328272234175528865307570,5281.338030838468512229155749082565,20,NVDA{10.2523659306%} CSCO{0.4731861199%} TRV{1.2618296530%} MCD{20.0315457413%} AMZN{7.5709779180%} AMGN{0.1577287066%} VZ{7.0977917981%} MSFT{18.2965299685%} AAPL{0.3154574132%} MMM{1.5772870662%} IBM{2.6813880126%} WMT{13.5646687697%} GS{0.3154574132%} CVX{4.1009463722%} CAT{0.3154574132%} HON{1.1041009464%} HD{2.5236593060%} JNJ{7.0977917981%} BA{0.1577287066%} CRM{1.1041009464%} 
6,18782.336518493444600608199834823608,20518.997316913209942867979407310486,1.092462447188602858716421906138,482.862748926517497238819487392902,5389.297850548993665142916142940521,20,NVDA{10.1246105919%} CSCO{0.4672897196%} TRV{1.2461059190%} MCD{19.7819314642%} AMZN{7.4766355140%} AMGN{0.1557632399%} VZ{7.0093457944%} MSFT{18.0685358255%} AAPL{0.3115264798%} MMM{1.5576323988%} IBM{2.6479750779%} WMT{13.3956386293%} GS{0.3115264798%} CVX{4.0498442368%} CAT{0.3115264798%} HON{1.0903426791%} HD{2.4922118380%} JNJ{8.2554517134%} BA{0.1557632399%} CRM{1.0903426791%} 
7,18833.966184641518339049071073532104,20971.994958521441731136292219161987,1.113519837134645307230584876379,469.569949406161470051301876083016,6258.803210461715025303419679403305,19,NVDA{10.1246105919%} CSCO{0.4672897196%} MCD{19.7819314642%} AMZN{7.4766355140%} AMGN{0.1557632399%} VZ{7.0093457944%} MSFT{18.0685358255%} AAPL{0.3115264798%} MMM{1.5576323988%} IBM{2.6479750779%} WMT{13.3956386293%} GS{0.3115264798%} CVX{4.0498442368%} CAT{0.3115264798%} HON{1.0903426791%} HD{2.4922118380%} JNJ{9.5015576324%} BA{0.1557632399%} CRM{1.0903426791%} 
8,19141.654244165307318326085805892944,20976.353901511298317927867174148560,1.095848542343472731275255682704,484.378294334809709198452765122056,5799.167345687263150466606020927429,20,NVDA{10.0619195046%} CSCO{0.4643962848%} TRV{1.2383900929%} MCD{19.6594427245%} AMZN{7.4303405573%} AMGN{0.1547987616%} VZ{6.9659442724%} MSFT{17.9566563467%} AAPL{0.3095975232%} MMM{1.5479876161%} IBM{2.6315789474%} WMT{13.3126934985%} GS{0.3095975232%} CVX{4.0247678019%} CAT{0.3095975232%} HON{1.0835913313%} HD{2.4767801858%} JNJ{9.4427244582%} BA{0.1547987616%} CRM{0.4643962848%} 
9,19147.338479089714383007958531379700,21039.690923841269977856427431106567,1.098831095863173956672653730493,498.803685558587119430740131065249,5410.508776338872849009931087493896,20,NVDA{10.0308641975%} CSCO{0.4629629630%} TRV{1.2345679012%} MCD{19.5987654321%} AMZN{7.4074074074%} AMGN{0.1543209877%} VZ{6.9444444444%} MSFT{17.9012345679%} AAPL{0.3086419753%} MMM{1.2345679012%} IBM{2.6234567901%} WMT{13.2716049383%} GS{0.3086419753%} CVX{4.0123456790%} CAT{0.3086419753%} HON{1.0802469136%} HD{2.4691358025%} JNJ{9.4135802469%} BA{0.1543209877%} CRM{1.0802469136%} 
10,19148.267868876879219897091388702393,21555.474721637539914809167385101318,1.125714078643806459467668901198,523.021020890930685709463432431221,5167.482733721712975238915532827377,20,NVDA{10.1246105919%} CSCO{0.4672897196%} TRV{1.2461059190%} MCD{19.7819314642%} AMZN{7.4766355140%} AMGN{0.1557632399%} VZ{7.0093457944%} MSFT{18.0685358255%} AAPL{0.3115264798%} MMM{0.3115264798%} IBM{2.6479750779%} WMT{13.3956386293%} GS{0.3115264798%} CVX{4.0498442368%} CAT{0.3115264798%} HON{1.0903426791%} HD{2.4922118380%} JNJ{9.5015576324%} BA{0.1557632399%} CRM{1.0903426791%} 
