Non-Dominant Set,Risk,Profit,TrendRaio,a,b,# of Portfolio,Portfolio{%}
1,26448.601471107038378249853849411011,15927.455379296176033676601946353912,0.602204067262143705185906128463,2199.296525359221959661226719617844,-50051.440381480482756160199642181396,24,NVDA{0.7856341190%} V{0.2244668911%} DIS{0.2244668911%} TRV{3.2547699214%} MCD{0.2244668911%} AMZN{0.1122334456%} MRK{11.8967452301%} AMGN{1.3468013468%} VZ{12.2334455668%} MSFT{0.4489337823%} AAPL{14.2536475870%} AXP{0.1122334456%} UNH{7.9685746352%} MMM{11.1111111111%} WMT{11.4478114478%} GS{3.9281705948%} CVX{0.2244668911%} PG{13.8047138047%} KO{3.5914702581%} HD{0.1122334456%} JNJ{0.8978675645%} BA{0.2244668911%} CRM{0.1122334456%} NKE{1.4590347924%} 
2,26530.190286461012874497100710868835,16578.991036484952928731217980384827,0.624910370316703156490234505327,2354.404099024106926663080230355263,-54053.131934238255780655890703201294,24,NVDA{2.7283511269%} V{0.2372479241%} DIS{0.2372479241%} TRV{3.4400948992%} MCD{0.2372479241%} AMZN{0.1186239620%} MRK{12.5741399763%} AMGN{1.4234875445%} VZ{12.9300118624%} MSFT{0.4744958482%} AAPL{15.0652431791%} AXP{0.1186239620%} UNH{8.4223013049%} MMM{11.7437722420%} WMT{4.5077105575%} GS{4.1518386714%} CVX{0.2372479241%} PG{14.5907473310%} KO{3.7959667853%} HD{0.1186239620%} JNJ{0.9489916963%} BA{0.2372479241%} CRM{0.1186239620%} NKE{1.5421115065%} 
3,26711.478730759808968286961317062378,16840.982767264707945287227630615234,0.630477366566432162464650446054,2354.257781540690757537959143519402,-53786.750678956013871356844902038574,24,NVDA{1.7964071856%} V{0.2395209581%} DIS{0.2395209581%} TRV{3.4730538922%} MCD{0.2395209581%} AMZN{0.1197604790%} MRK{12.6946107784%} AMGN{1.4371257485%} VZ{13.0538922156%} MSFT{0.4790419162%} AAPL{15.2095808383%} AXP{0.1197604790%} UNH{8.5029940120%} MMM{11.8562874251%} WMT{4.5508982036%} GS{4.1916167665%} CVX{0.2395209581%} PG{14.7305389222%} KO{3.8323353293%} HD{0.1197604790%} JNJ{0.9580838323%} BA{0.2395209581%} CRM{0.1197604790%} NKE{1.5568862275%} 
4,27026.211872038649744354188442230225,17116.143143990015232702717185020447,0.633316397615397819187421646348,2351.881431019485717115458101034164,-53440.299786594558099750429391860962,24,NVDA{0.8303677343%} V{0.2372479241%} DIS{0.2372479241%} TRV{3.4400948992%} MCD{0.2372479241%} AMZN{0.1186239620%} MRK{12.5741399763%} AMGN{1.4234875445%} VZ{12.9300118624%} MSFT{0.4744958482%} AAPL{15.0652431791%} AXP{0.1186239620%} UNH{8.4223013049%} MMM{13.6417556346%} WMT{4.5077105575%} GS{4.1518386714%} CVX{0.2372479241%} PG{14.5907473310%} KO{3.7959667853%} HD{0.1186239620%} JNJ{0.9489916963%} BA{0.2372479241%} CRM{0.1186239620%} NKE{1.5421115065%} 
5,27267.976883298426400870084762573242,17122.144985670009191380813717842102,0.627921354743310011770063283620,2355.424192945924460218520835042000,-53540.580802707721886690706014633179,24,NVDA{0.8454106280%} V{0.2415458937%} DIS{0.2415458937%} TRV{3.5024154589%} MCD{0.2415458937%} AMZN{0.1207729469%} MRK{12.9227053140%} AMGN{1.4492753623%} VZ{13.1642512077%} MSFT{0.4830917874%} AAPL{15.3381642512%} AXP{0.1207729469%} UNH{8.5748792271%} MMM{11.9565217391%} WMT{4.5893719807%} GS{4.2270531401%} CVX{0.2415458937%} PG{14.8550724638%} KO{3.8647342995%} HD{0.1207729469%} JNJ{0.9661835749%} BA{0.2415458937%} CRM{0.1207729469%} NKE{1.5700483092%} 
6,27281.206928081013757036998867988586,17145.215479167374724056571722030640,0.628462498905043354113786335802,2358.110083494317223085090517997742,-53598.087025662141968496143817901611,24,NVDA{0.8423586041%} V{0.2406738869%} DIS{0.2406738869%} TRV{3.4897713598%} MCD{0.2406738869%} AMZN{0.1203369434%} MRK{13.2370637786%} AMGN{1.4440433213%} VZ{13.1167268351%} MSFT{0.4813477738%} AAPL{15.2827918171%} AXP{0.1203369434%} UNH{8.5439229844%} MMM{11.9133574007%} WMT{4.5728038508%} GS{4.2117930205%} CVX{0.2406738869%} PG{14.8014440433%} KO{3.8507821901%} HD{0.1203369434%} JNJ{0.9626955475%} BA{0.2406738869%} CRM{0.1203369434%} NKE{1.5643802647%} 
7,27308.457982069325225893408060073853,17146.368082493056135717779397964478,0.627877564297161128159530107951,2356.102272086458469857461750507355,-53536.700080100694322027266025543213,24,NVDA{0.8454106280%} V{0.2415458937%} DIS{0.2415458937%} TRV{3.5024154589%} MCD{0.2415458937%} AMZN{0.1207729469%} MRK{12.8019323671%} AMGN{1.4492753623%} VZ{13.1642512077%} MSFT{0.4830917874%} AAPL{15.3381642512%} AXP{0.1207729469%} UNH{8.5748792271%} MMM{11.9565217391%} WMT{4.5893719807%} GS{4.2270531401%} CVX{0.2415458937%} PG{14.8550724638%} KO{3.9855072464%} HD{0.1207729469%} JNJ{0.9661835749%} BA{0.2415458937%} CRM{0.1207729469%} NKE{1.5700483092%} 
8,27314.433423337828571675345301628113,17207.120118161117716226726770401001,0.629964380057728590145416092128,2358.375480757237710349727421998978,-53544.144304556015413254499435424805,24,NVDA{0.8423586041%} V{0.2406738869%} DIS{0.2406738869%} TRV{3.4897713598%} MCD{0.2406738869%} AMZN{0.1203369434%} MRK{12.7557160048%} AMGN{1.4440433213%} VZ{13.1167268351%} MSFT{0.4813477738%} AAPL{15.2827918171%} AXP{0.1203369434%} UNH{8.5439229844%} MMM{11.9133574007%} WMT{4.5728038508%} GS{4.2117930205%} CVX{0.2406738869%} PG{15.2827918171%} KO{3.8507821901%} HD{0.1203369434%} JNJ{0.9626955475%} BA{0.2406738869%} CRM{0.1203369434%} NKE{1.5643802647%} 
9,27374.019513666753482539206743240356,17260.170299031789909349754452705383,0.630531087713095184099643120135,2370.150121322320956096518784761429,-53844.333340637836954556405544281006,24,NVDA{0.8303677343%} V{0.2372479241%} DIS{0.2372479241%} TRV{3.4400948992%} MCD{0.2372479241%} AMZN{0.1186239620%} MRK{14.4721233689%} AMGN{1.4234875445%} VZ{12.9300118624%} MSFT{0.4744958482%} AAPL{15.0652431791%} AXP{0.1186239620%} UNH{8.4223013049%} MMM{11.7437722420%} WMT{4.5077105575%} GS{4.1518386714%} CVX{0.2372479241%} PG{14.5907473310%} KO{3.7959667853%} HD{0.1186239620%} JNJ{0.9489916963%} BA{0.2372479241%} CRM{0.1186239620%} NKE{1.5421115065%} 
10,27423.257529131449700798839330673218,17285.054851214026712113991379737854,0.630306404439818557250418962212,2362.246618012426097266143187880516,-53582.343689158755296375602483749390,24,NVDA{0.8423586041%} V{0.2406738869%} DIS{0.2406738869%} TRV{3.4897713598%} MCD{0.2406738869%} AMZN{0.1203369434%} MRK{12.7557160048%} AMGN{1.4440433213%} VZ{13.1167268351%} MSFT{0.4813477738%} AAPL{15.2827918171%} AXP{0.1203369434%} UNH{8.5439229844%} MMM{11.9133574007%} WMT{4.5728038508%} GS{4.6931407942%} CVX{0.2406738869%} PG{14.8014440433%} KO{3.8507821901%} HD{0.1203369434%} JNJ{0.9626955475%} BA{0.2406738869%} CRM{0.1203369434%} NKE{1.5643802647%} 
11,27604.928773903549881651997566223145,17465.961090654687723144888877868652,0.632711688325970911250806238968,2370.682539817308224883163347840309,-53654.515103864556294865906238555908,24,NVDA{0.8383233533%} V{0.2395209581%} DIS{0.2395209581%} TRV{3.4730538922%} MCD{0.2395209581%} AMZN{0.1197604790%} MRK{12.6946107784%} AMGN{1.4371257485%} VZ{13.0538922156%} MSFT{0.4790419162%} AAPL{15.2095808383%} AXP{0.1197604790%} UNH{8.5029940120%} MMM{11.8562874251%} WMT{4.5508982036%} GS{5.1497005988%} CVX{0.2395209581%} PG{14.7305389222%} KO{3.8323353293%} HD{0.1197604790%} JNJ{0.9580838323%} BA{0.2395209581%} CRM{0.1197604790%} NKE{1.5568862275%} 
12,27702.235521889149822527542710304260,17622.907488305754668544977903366089,0.636154705795525798883716106502,2405.528643288066632521804422140121,-54542.951810336242488119751214981079,24,NVDA{2.6285714286%} V{0.2285714286%} DIS{0.2285714286%} TRV{3.3142857143%} MCD{0.2285714286%} AMZN{0.1142857143%} MRK{12.1142857143%} AMGN{1.3714285714%} VZ{12.4571428571%} MSFT{0.4571428571%} AAPL{14.5142857143%} AXP{0.1142857143%} UNH{8.1142857143%} MMM{11.3142857143%} WMT{4.3428571429%} GS{4.0000000000%} CVX{0.2285714286%} PG{14.0571428571%} KO{7.3142857143%} HD{0.1142857143%} JNJ{0.9142857143%} BA{0.2285714286%} CRM{0.1142857143%} NKE{1.4857142857%} 
