Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
46,3639.993685556587479,2058.797615633679470,0.565604721734255,4,CSCO{4.854368932038835%} MCD{0.970873786407767%} AMGN{0.970873786407767%} CASH{93.203883495145632%} 
47,3656.300550219055367,2158.600367715083394,0.590378262964667,5,MRK{1.923076923076923%} CSCO{3.846153846153846%} MCD{0.961538461538462%} AMGN{0.961538461538462%} CASH{92.307692307692307%} 
48,3891.019285453479824,2171.192358926931774,0.558000924601917,3,CSCO{5.042016806722689%} AMGN{0.840336134453782%} CASH{94.117647058823522%} 
49,3897.532209388647061,2330.902888529145002,0.598045830875831,5,MRK{1.149425287356322%} CSCO{4.597701149425287%} MCD{1.149425287356322%} AMGN{1.149425287356322%} CASH{91.954022988505741%} 
50,4201.658187416071087,2341.116676688242478,0.557188750788883,4,MRK{3.305785123966942%} CSCO{3.305785123966942%} AMGN{0.826446280991736%} CASH{92.561983471074385%} 
51,4309.406623109473912,2437.703621646636748,0.565670365978994,4,CSCO{5.747126436781609%} MCD{1.149425287356322%} AMGN{1.149425287356322%} CASH{91.954022988505741%} 
52,4320.115237352447366,2550.645009250678868,0.590411336067467,5,MRK{2.272727272727273%} CSCO{4.545454545454546%} MCD{1.136363636363636%} AMGN{1.136363636363636%} CASH{90.909090909090907%} 
53,4712.039419222352080,2845.207289546725406,0.603816529619840,3,CSCO{5.797101449275362%} AMGN{1.449275362318841%} CASH{92.753623188405797%} 
54,4867.904234079327580,2879.558367252550397,0.591539650080475,4,V{1.428571428571429%} CSCO{5.714285714285714%} AMGN{1.428571428571429%} CASH{91.428571428571431%} 
55,5138.519290434226605,2919.038906105447495,0.568070049194809,4,CSCO{6.451612903225806%} MCD{1.612903225806452%} AMGN{1.612903225806452%} CASH{90.322580645161281%} 
56,5470.985348397924099,3247.505520351525774,0.593586952540916,3,CSCO{7.142857142857142%} AMGN{1.428571428571429%} CASH{91.428571428571431%} 
57,5794.882768721557113,3291.873341813145998,0.568065562875810,4,CSCO{7.272727272727272%} MCD{1.818181818181818%} AMGN{1.818181818181818%} CASH{89.090909090909093%} 
58,5900.456878844258426,3351.839026364486472,0.568064320304129,4,CSCO{7.407407407407407%} MCD{1.851851851851852%} AMGN{1.851851851851852%} CASH{88.888888888888886%} 
59,6133.139788205602599,3703.476565679933174,0.603846756077848,3,CSCO{7.547169811320755%} AMGN{1.886792452830189%} CASH{90.566037735849065%} 
60,6791.452841568568147,4009.411604995389553,0.590361399619079,5,MRK{3.571428571428571%} CSCO{7.142857142857142%} MCD{1.785714285714286%} AMGN{1.785714285714286%} CASH{85.714285714285708%} 
61,7225.865872164095890,4362.997816836265883,0.603802768280499,3,CSCO{8.888888888888889%} AMGN{2.222222222222222%} CASH{88.888888888888886%} 
62,7969.380819898949085,4526.996207215544928,0.568048673983802,4,CSCO{10.000000000000000%} MCD{2.500000000000000%} AMGN{2.500000000000000%} CASH{85.000000000000000%} 
63,8171.507771365934786,4642.056697502336647,0.568078355596592,4,CSCO{10.256410256410255%} MCD{2.564102564102564%} AMGN{2.564102564102564%} CASH{84.615384615384613%} 
64,8276.447747969730699,4701.532467622563672,0.568061638373284,4,CSCO{10.389610389610390%} MCD{2.597402597402597%} AMGN{2.597402597402597%} CASH{84.415584415584405%} 
65,8386.498708753961182,4763.830134135051594,0.568035636750589,4,CSCO{10.526315789473683%} MCD{2.631578947368421%} AMGN{2.631578947368421%} CASH{84.210526315789465%} 
66,8464.827668438840192,4983.725219703966104,0.588756843601886,5,MRK{1.298701298701299%} CSCO{10.389610389610390%} MCD{2.597402597402597%} AMGN{2.597402597402597%} CASH{83.116883116883116%} 
67,8694.332234796809644,5199.347331174840292,0.598015717683964,5,MRK{2.564102564102564%} CSCO{10.256410256410255%} MCD{2.564102564102564%} AMGN{2.564102564102564%} CASH{82.051282051282044%} 
68,8788.617241666272093,5306.564257631837791,0.603799677664167,3,CSCO{10.810810810810811%} AMGN{2.702702702702703%} CASH{86.486486486486484%} 
69,9509.504081887465873,5613.884592969476216,0.590344622035771,5,MRK{5.000000000000000%} CSCO{10.000000000000000%} MCD{2.500000000000000%} AMGN{2.500000000000000%} CASH{80.000000000000000%} 
70,10770.056910137040177,6007.529042553205727,0.557799192026439,3,CSCO{13.953488372093023%} AMGN{2.325581395348837%} CASH{83.720930232558146%} 
71,11212.650371110285050,6770.242231729882405,0.603803918578751,3,CSCO{13.793103448275861%} AMGN{3.448275862068965%} CASH{82.758620689655174%} 
72,11789.444725085675600,6822.258223866785556,0.578675110062676,5,MRK{4.761904761904762%} CSCO{14.285714285714285%} MCD{2.380952380952381%} AMGN{2.380952380952381%} CASH{76.190476190476190%} 
73,11817.103169028036064,6894.143697964868807,0.583403868050677,4,CSCO{14.814814814814813%} MCD{2.469135802469136%} AMGN{3.703703703703703%} CASH{79.012345679012341%} 
74,11887.960701814698041,7002.931426919527439,0.589077605703267,4,MRK{2.500000000000000%} CSCO{15.000000000000000%} AMGN{2.500000000000000%} CASH{80.000000000000000%} 
75,12294.093494028527857,7361.118068917666278,0.598752406795434,4,MRK{4.878048780487805%} CSCO{14.634146341463413%} AMGN{2.439024390243902%} CASH{78.048780487804876%} 
76,12346.878251210684539,7455.304301572610711,0.603820994253472,3,CSCO{15.189873417721520%} AMGN{3.797468354430380%} CASH{81.012658227848107%} 
77,13008.185649656790702,7854.198219241458901,0.603788908828241,3,CSCO{16.000000000000000%} AMGN{4.000000000000000%} CASH{80.000000000000000%} 
78,13926.687244037884739,8029.567132284912987,0.576559736826317,4,MRK{9.302325581395349%} CSCO{13.953488372093023%} AMGN{2.325581395348837%} CASH{74.418604651162795%} 
79,14139.962529390875716,8537.463936170219313,0.603782642169279,3,CSCO{17.391304347826086%} AMGN{4.347826086956522%} CASH{78.260869565217391%} 
80,14782.163505793521836,8925.279287696597748,0.603787076512754,3,CSCO{18.181818181818183%} AMGN{4.545454545454546%} CASH{77.272727272727266%} 
81,15124.012838158301747,9131.957372802955433,0.603805185206057,3,CSCO{18.604651162790699%} AMGN{4.651162790697675%} CASH{76.744186046511629%} 
82,15158.572516879603427,9200.175901942664495,0.606928910469501,4,CSCO{18.604651162790699%} AMGN{4.651162790697675%} IBM{2.325581395348837%} CASH{74.418604651162795%} 
83,15361.829288907796581,9254.261128584650578,0.602419214179577,4,V{2.325581395348837%} CSCO{18.604651162790699%} AMGN{4.651162790697675%} CASH{74.418604651162795%} 
