Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
1,774.565082573534823495720047503710,656.168998612393352232174947857857,0.847145079703613745891743747052,1,IBM{1%}Cash{99%},100
2,995.114639631068484959541819989681,739.461010638309062414919026196003,0.743091279324821107898912941891,1,CSCO{1%}Cash{99%},100
3,1122.748435410135243728291243314743,975.025511100830499344738200306892,0.868427405774703009555537391861,3,MRK{1%}HON{1%}IBM{1%}Cash{97%},100
4,1330.708457926434221008094027638435,1305.101038390381972931209020316601,0.980756551607138038484379194415,3,MRK{1%}MCD{1%}IBM{1%}Cash{97%},100
5,1357.270570634560954204061999917030,1341.564583718777612375561147928238,0.988428256490936574252259561035,3,PG{1%}MRK{1%}IBM{1%}Cash{97%},100
6,1384.155705654562098061433061957359,1395.630009250723105651559308171272,1.008289749158484127633528260048,2,CSCO{1%}IBM{1%}Cash{98%},100
7,1461.449659677530462431604973971844,1631.194509713221350466483272612095,1.116148270254580854299319980782,3,MRK{1%}HON{1%}IBM{2%}Cash{96%},100
8,1673.628922861838645985699258744717,1997.733582331158004308235831558704,1.193653835113648309373957090429,3,PG{1%}MRK{1%}IBM{2%}Cash{96%},100
9,1756.700123878174963465426117181778,2108.594724791862063284497708082199,1.200315691978678600548846588936,3,MRK{1%}KO{1%}IBM{2%}Cash{96%},100
10,1869.864342199151224122033454477787,2131.865967622549760562833398580551,1.140117985840223058247033804946,5,WMT{1%}MRK{2%}VZ{1%}IBM{2%}CRM{1%}Cash{93%},100
11,1936.338186020503371764789335429668,2264.337025901937522576190531253815,1.169391298611698770670841440733,4,HD{1%}MRK{2%}KO{1%}IBM{2%}Cash{94%},100
12,1968.791205819222341233398765325546,2356.104172987979836761951446533203,1.196726278553034816809486073907,4,WMT{1%}MRK{1%}CSCO{1%}IBM{2%}Cash{95%},100
13,2083.619200454376368725206702947617,2670.609313135977117781294509768486,1.281716598001014562058230694674,4,MRK{2%}KO{1%}DIS{1%}IBM{2%}Cash{94%},100
14,2137.865764358396972966147586703300,2737.194592969457517028786242008209,1.280339784940111691469155630330,4,PG{1%}MRK{1%}CSCO{1%}IBM{2%}Cash{95%},100
15,2215.307399970537971967132762074471,2764.763723404245865822304040193558,1.248027124109735375157015369041,3,MRK{1%}KO{1%}IBM{3%}Cash{95%},100
16,2228.401693208963479264639317989349,2788.034966234956755215534940361977,1.251136621701316897770084324293,5,WMT{1%}MRK{2%}VZ{1%}IBM{3%}CRM{1%}Cash{92%},100
17,2251.244069638165456126444041728973,2848.055735430138156516477465629578,1.265103048505929583811280281225,4,MRK{1%}KO{1%}CSCO{1%}IBM{2%}Cash{95%},100
18,2273.561076685826719767646864056587,2920.506024514344971976242959499359,1.284551382614084413802402195870,4,HD{1%}MRK{2%}KO{1%}IBM{3%}Cash{93%},100
19,2328.721551493455535819521173834801,3012.273171600366367783863097429276,1.293530851581862872734518532525,4,WMT{1%}MRK{1%}CSCO{1%}IBM{3%}Cash{94%},100
20,2464.618050611351918632863089442253,3083.620235892707114544464275240898,1.251155421477097018367885539192,4,MRK{2%}KO{1%}HON{1%}IBM{3%}Cash{93%},100
21,2551.748506070774965337477624416351,3134.318284921378108265344053506851,1.228302192580746909911226794065,5,WMT{1%}MRK{2%}DIS{1%}VZ{1%}IBM{3%}Cash{92%},100
22,2584.665829880712408339604735374451,3332.519509713250045024324208498001,1.289342502689043046260053415608,5,WMT{2%}MRK{2%}DIS{1%}VZ{1%}IBM{3%}Cash{91%},100
23,2649.222073388804801652440801262856,3424.866658186875156388850882649422,1.292782018007984312646385660628,5,PG{1%}MRK{2%}KO{1%}NKE{1%}IBM{3%}Cash{92%},100
24,2686.144861424119881121441721916199,3504.224734042546970158582553267479,1.304555381344810971455672188313,4,MRK{1%}KO{1%}CSCO{1%}IBM{3%}Cash{94%},100
25,2735.265618961632753780577331781387,3591.474230804814851580886170268059,1.313025764630572744806613627588,5,WMT{1%}PG{1%}MRK{1%}CSCO{1%}IBM{3%}Cash{93%},100
26,2820.847671336950043041724711656570,3659.967035152651988028082996606827,1.297470640595774771242076894850,5,HD{1%}MRK{2%}KO{1%}CSCO{1%}IBM{3%}Cash{92%},100
27,2858.944996334716961428057402372360,3669.209619333933915186207741498947,1.283413855124183600153742190741,4,WMT{1%}MRK{1%}CSCO{1%}IBM{4%}Cash{93%},100
28,2859.092290205548579251626506447792,3740.556683626271478715352714061737,1.308302182633409138645674829604,4,MRK{2%}KO{1%}HON{1%}IBM{4%}Cash{92%},100
29,2932.063781391630982398055493831635,3751.734182238637458794983103871346,1.279554082707563100740344452788,4,WMT{1%}MRK{1%}CSCO{2%}IBM{3%}Cash{93%},100
30,2940.116865032173791405512019991875,3989.455957446797128795878961682320,1.356903871711623299489701821585,5,WMT{2%}MRK{2%}DIS{1%}VZ{1%}IBM{4%}Cash{90%},100
31,3002.537930516360120236640796065331,4071.980520351529776235111057758331,1.356179543634025819187627348583,6,WMT{2%}MRK{2%}CSCO{1%}DIS{1%}VZ{1%}IBM{3%}Cash{90%},100
32,3071.224468759601222700439393520355,4075.044647086040185968158766627312,1.326846893979019226250670726586,6,WMT{1%}HD{1%}MRK{2%}KO{1%}VZ{1%}IBM{4%}Cash{90%},100
