Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
1841,41887.834545420955691952258348464966,64124.935847176078823395073413848877,1.530872544333662821358643668646,6,AAPL{2%}V{26%}WMT{40%}HD{6%}DIS{20%}HON{6%},100
1842,41904.884928977677191141992807388306,64130.302440350329561624675989151001,1.530377724435738384656247035309,6,AAPL{3%}V{24%}WMT{41%}HD{5%}DIS{20%}HON{7%},100
1843,41914.931109576886228751391172409058,64200.366526729056204203516244888306,1.531682501371457671979214865132,6,AAPL{3%}V{25%}WMT{41%}HD{4%}DIS{20%}HON{7%},100
1844,41943.630937733374594245105981826782,64226.155729386875464115291833877563,1.531249305162268870006414545060,6,AAPL{2%}V{26%}WMT{41%}HD{5%}DIS{20%}HON{6%},100
1845,42034.917508248581725638359785079956,64231.522322561169858090579509735107,1.528051584969969622918029017455,6,AAPL{3%}V{24%}WMT{42%}HD{4%}DIS{20%}HON{7%},100
1846,42043.873610896807804238051176071167,64303.212706131118466146290302276611,1.529431215145342859429433701735,6,AAPL{3%}V{25%}WMT{42%}HD{3%}DIS{20%}HON{7%},100
1847,42060.093520565009384881705045700073,64327.375611597730312496423721313477,1.529415895857323182127629479510,6,AAPL{2%}V{26%}WMT{42%}HD{4%}DIS{20%}HON{6%},100
1848,42088.290733261528657749295234680176,64380.517046209584805183112621307373,1.529653875806625595856758081936,6,AAPL{2%}V{25%}WMT{41%}HD{5%}DIS{20%}HON{7%},100
1849,42143.853108332848933059722185134888,64405.782688009661796968430280685425,1.528236692607375601937746978365,6,AAPL{1%}V{26%}WMT{41%}HD{6%}DIS{20%}HON{6%},100
1850,42184.295189479998953174799680709839,64481.736928420425101649016141891479,1.528572105775065859134542733955,6,AAPL{2%}V{25%}WMT{42%}HD{4%}DIS{20%}HON{7%},100
1851,42228.135848345475096721202135086060,64507.002570220509369391947984695435,1.527583476615814950250182846503,6,AAPL{1%}V{26%}WMT{42%}HD{5%}DIS{20%}HON{6%},100
1852,42279.479204398863657843321561813354,64511.141485955900861881673336029053,1.525826303916345327849057866842,6,AAPL{3%}V{26%}WMT{40%}HD{5%}DIS{21%}HON{5%},100
1853,42282.495580151968169957399368286133,64527.756276049556618090718984603882,1.526110400785800402800873598608,7,AAPL{5%}V{25%}WMT{40%}HD{3%}DIS{21%}HON{5%}CRM{1%},100
1854,42300.412481600651517510414123535156,64560.144004832378413993865251541138,1.526229656339970874867617567361,6,AAPL{1%}V{25%}WMT{41%}HD{6%}DIS{20%}HON{7%},100
1855,42330.148123275641410145908594131470,64564.706852914532646536827087402344,1.525265318346783693925772240618,6,AAPL{3%}V{25%}WMT{39%}HD{6%}DIS{21%}HON{6%},100
1856,42332.594425452254654373973608016968,64577.066656599221460055559873580933,1.525469145774174251073418417946,6,AAPL{1%}V{27%}WMT{42%}HD{4%}DIS{20%}HON{6%},100
1857,42336.648672533825447317212820053101,64615.413847780109790619462728500366,1.526228831846573985586701382999,7,AAPL{3%}V{25%}WMT{40%}HD{4%}CSCO{1%}DIS{21%}HON{6%},100
1858,42364.410199964848288800567388534546,64661.363887043204158544540405273438,1.526313327196913371963660210895,6,AAPL{1%}V{25%}WMT{42%}HD{5%}DIS{20%}HON{7%},100
1859,42368.539120952678786125034093856812,64665.502802778624754864722490310669,1.526262272536070163653221243294,6,AAPL{3%}V{25%}WMT{40%}HD{5%}DIS{21%}HON{6%},100
1860,42407.574636921955971047282218933105,64705.756937481142813339829444885254,1.525806592135202643945035561046,7,AAPL{4%}V{25%}WMT{40%}HD{4%}DIS{21%}HON{5%}CRM{1%},100
1861,42433.703451442277582827955484390259,64735.566889157329569570720195770264,1.525569573799645306522165810748,6,AAPL{3%}V{26%}WMT{40%}HD{4%}DIS{21%}HON{6%},100
1862,42463.525467064580880105495452880859,64761.356091815163381397724151611328,1.525105496528901038999492811854,6,AAPL{2%}V{27%}WMT{40%}HD{5%}DIS{21%}HON{5%},100
1863,42467.262975047742656897753477096558,64766.722684989385015796869993209839,1.525097643402260505496315090568,6,AAPL{3%}V{25%}WMT{41%}HD{4%}DIS{21%}HON{6%},100
1864,42483.829851991307805292308330535889,64795.564367260602011810988187789917,1.525181806654455796135039236106,7,AAPL{2%}V{25%}WMT{40%}HD{5%}CSCO{1%}DIS{21%}HON{6%},100
1865,42520.270124268208746798336505889893,64808.603116883132315706461668014526,1.524181359325231133183820020349,7,AAPL{4%}V{25%}WMT{41%}HD{3%}DIS{21%}HON{5%}CRM{1%},100
1866,42529.173731372757174540311098098755,64819.864119601312268059700727462769,1.524127050504751279547122067015,6,AAPL{3%}V{24%}WMT{40%}HD{5%}DIS{21%}HON{7%},100
1867,42531.007806430330674629658460617065,64838.413068559333623852580785751343,1.524497452862057844669152473216,6,AAPL{3%}V{26%}WMT{41%}HD{3%}DIS{21%}HON{6%},100
1868,42532.355088117263221647590398788452,64845.653322259131527971476316452026,1.524619391235539245244012818148,6,AAPL{2%}V{25%}WMT{40%}HD{6%}DIS{21%}HON{6%},100
1869,42548.733167319413041695952415466309,64862.575974025938194245100021362305,1.524430250812854215070046848268,6,AAPL{2%}V{27%}WMT{41%}HD{4%}DIS{21%}HON{5%},100
1870,42560.797132734165643341839313507080,64896.784249471398652531206607818604,1.524801898025502033817701885710,7,AAPL{2%}V{25%}WMT{41%}HD{4%}CSCO{1%}DIS{21%}HON{6%},100
1871,42569.764211061359674204140901565552,64915.717408637865446507930755615234,1.524925463218095966766441051732,6,AAPL{2%}V{26%}WMT{40%}HD{5%}DIS{21%}HON{6%},100
1872,42599.361919253075029700994491577148,64946.873204469913616776466369628906,1.524597324428860201095403681393,6,AAPL{2%}V{25%}WMT{41%}HD{5%}DIS{21%}HON{6%},100
1873,42634.912655061976693104952573776245,65016.937290848669363185763359069824,1.524969402819435826401672784414,6,AAPL{2%}V{26%}WMT{41%}HD{4%}DIS{21%}HON{6%},100
1874,42679.802974262973293662071228027344,65042.202932648724527098238468170166,1.523957431852974053754223859869,6,AAPL{1%}V{27%}WMT{41%}HD{5%}DIS{21%}HON{5%},100
1875,42715.017949100147234275937080383301,65076.411208094192261341959238052368,1.523501904778319815392251257435,7,AAPL{1%}V{25%}WMT{41%}HD{5%}CSCO{1%}DIS{21%}HON{6%},100
1876,42744.501421374377969186753034591675,65095.344367260622675530612468719482,1.522893991101969213275424408494,6,AAPL{1%}V{26%}WMT{40%}HD{6%}DIS{21%}HON{6%},100
1877,42751.755874053051229566335678100586,65101.234521292644785717129707336426,1.522773350247444756888626216096,6,AAPL{2%}V{24%}WMT{41%}HD{5%}DIS{21%}HON{7%},100
1878,42760.277424704530858434736728668213,65119.783470250680693425238132476807,1.522903671168140293801229745441,6,AAPL{2%}V{26%}WMT{42%}HD{3%}DIS{21%}HON{6%},100
1879,42770.049523011482961010187864303589,65126.500163092670845799148082733154,1.522712760200401360677346929151,6,AAPL{1%}V{25%}WMT{41%}HD{6%}DIS{21%}HON{6%},100
1880,42778.162251001602271571755409240723,65196.564249471441144123673439025879,1.524061830120926552822879784799,6,AAPL{1%}V{26%}WMT{41%}HD{5%}DIS{21%}HON{6%},100
1881,42849.692433602249366231262683868408,65222.353452129260404035449028015137,1.522119524036130933097865636228,5,V{27%}WMT{41%}HD{6%}DIS{21%}HON{5%},100
1882,42865.080798477480129804462194442749,65227.720045303532970137894153594971,1.521698287516592085211186713423,6,AAPL{1%}V{25%}WMT{42%}HD{5%}DIS{21%}HON{6%},100
1883,42871.385874097999476362019777297974,65297.784131682295992504805326461792,1.523108777575904237977511002100,6,AAPL{1%}V{26%}WMT{42%}HD{4%}DIS{21%}HON{6%},100
1884,42931.370104120840551331639289855957,65323.573334340086148586124181747437,1.521581379208531092928069483605,5,V{27%}WMT{42%}HD{5%}DIS{21%}HON{5%},100
1885,42947.357483379470068030059337615967,65350.925566294150485191494226455688,1.521651840665279920017383119557,6,AAPL{1%}V{25%}WMT{41%}HD{5%}DIS{21%}HON{7%},100
1886,42960.027416136043029837310314178467,65376.714768951940641272813081741333,1.521803376326432699627844158385,5,V{26%}WMT{41%}HD{6%}DIS{21%}HON{6%},100
1887,43009.230404703674139454960823059082,65382.081362126256863120943307876587,1.520187195792645384884167469863,6,AAPL{1%}V{24%}WMT{42%}HD{5%}DIS{21%}HON{7%},100
1888,43020.545429663521645125001668930054,65452.145448505012609530240297317505,1.521415983800485705046412476804,6,AAPL{1%}V{25%}WMT{42%}HD{4%}DIS{21%}HON{7%},100
1889,43021.827088415921025443822145462036,65477.934651162788213696330785751343,1.521970104072902341130202330532,5,V{26%}WMT{42%}HD{5%}DIS{21%}HON{6%},100
1890,43137.698669955512741580605506896973,65494.025880398708977736532688140869,1.518254981135882974996320626815,7,AAPL{2%}V{25%}WMT{42%}HD{3%}DIS{21%}HON{6%}CRM{1%},100
1891,43139.583303219107619952410459518433,65517.665225007571280002593994140625,1.518736626742488660113394871587,7,AAPL{1%}V{26%}WMT{42%}HD{4%}DIS{21%}HON{5%}CRM{1%},100
1892,43140.822142341712606139481067657471,65531.076085774657258298248052597046,1.519003876874600145185922883684,5,V{25%}WMT{41%}HD{6%}DIS{21%}HON{7%},100
1893,43142.474481429235311225056648254395,65578.730601026909425854682922363281,1.520050284302895127197530200647,5,V{26%}WMT{43%}HD{4%}DIS{21%}HON{6%},100
