Layer,Number of Stock,Portfolio,DailyRisk,ExpectedReturn,
Layer 1,0,,0.000000000000000000000000000000,0.000000000000000000000000000000
Layer 1,13,6758.T 6902.T 6954.T 9022.T MSFT PG CVX KO MCD DIS CAT AXP TRV,19869.268324071395909413695335388184,11036.268860627191315870732069015503
Layer 1,11,6758.T 6902.T 6954.T 9022.T MSFT PG CVX KO MCD AXP TRV,20557.193574507084122160449624061584,17315.628554006983904400840401649475
Layer 1,15,6758.T 4519.T 6902.T 6954.T 9022.T MSFT JNJ PG CVX KO MCD CAT AXP MMM TRV,20865.311852839033235795795917510986,18726.168400696831668028607964515686
Layer 1,12,6758.T 6902.T 6954.T 9022.T MSFT PG CVX KO CSCO MCD MMM TRV,21563.273949145113874692469835281372,20909.046257839730969863012433052063
Layer 1,15,6758.T 4519.T 6902.T 6954.T 9022.T MSFT JNJ V PG CVX KO MCD AXP MMM TRV,22137.090118261479801731184124946594,21540.700407665473903762176632881165
Layer 1,15,6758.T 4519.T 6902.T 6954.T 9022.T MSFT JNJ V JPM PG CVX MCD VZ MMM TRV,22189.677986970724305137991905212402,21644.428825783968932228162884712219
Layer 1,16,6758.T 4519.T 6902.T 6954.T 9022.T MSFT JNJ V JPM PG CVX CSCO MCD VZ MMM TRV,22506.789590493655850877985358238220,22422.651972125415340997278690338135
Layer 1,16,6758.T 4519.T 6902.T 6954.T 9022.T MSFT JNJ V PG CVX KO CSCO MCD CAT MMM TRV,22628.344780464100040262565016746521,22578.279498257797968108206987380981
Layer 1,14,6758.T 4519.T 6954.T 9022.T MSFT JNJ V JPM PG CVX MCD VZ MMM TRV,22897.855646897944097872823476791382,24019.831564459964283742010593414307
Layer 1,12,6758.T 6954.T 9022.T MSFT JNJ PG CVX KO CSCO MCD MMM TRV,24100.552911333496012957766652107239,25203.156843205568293342366814613342
Layer 1,11,6758.T 6954.T 9022.T MSFT JNJ V CVX KO MCD MMM TRV,24751.188254167362174484878778457642,25532.282672473887942032888531684875
Layer 1,15,6758.T 4519.T 6902.T 6954.T 9022.T MSFT JNJ V PG CVX KO CSCO MCD MMM TRV,24881.337861414256622083485126495361,25875.101473867580352816730737686157
Layer 1,10,6758.T 6954.T 9022.T MSFT JNJ CVX KO MCD MMM TRV,25095.088552864894154481589794158936,26542.186996515676582930609583854675
Layer 1,11,6758.T 4519.T 6902.T MSFT V PG CVX KO MCD MMM TRV,25551.541358929734997218474745750427,27024.377432055767712881788611412048
Layer 1,10,6758.T 6954.T 9022.T PG CVX KO CSCO MCD MMM TRV,25741.962853929824632359668612480164,27209.231560975626052822917699813843
Layer 1,10,6758.T 4519.T 6902.T MSFT PG CVX KO MCD MMM TRV,26113.636377643160813022404909133911,28208.902794425106549169868230819702
Layer 1,13,6758.T 4519.T 6902.T MSFT JNJ V PG CVX KO CSCO MCD MMM TRV,27265.249865516703721368685364723206,28560.935993031362158944830298423767
Layer 1,11,6758.T 4519.T 6954.T MSFT JNJ V PG CVX KO MMM TRV,27306.937770597251073922961950302124,29608.000407665542297763749957084656
Layer 1,11,6758.T 4502.T 4519.T MSFT V PG CVX KO MCD MMM TRV,27930.145690987996204057708382606506,29698.467501742175954859703779220581
Layer 1,11,6758.T 4519.T MSFT JNJ V PG CVX KO MCD MMM TRV,28386.277525997113116318359971046448,31707.736282229972857749089598655701
Layer 1,11,6758.T 4519.T 6954.T JNJ V PG CVX KO CSCO MMM TRV,29291.597162288097024429589509963989,33592.181292682937055360525846481323
Layer 1,11,6758.T 4519.T JNJ V PG CVX KO CSCO MCD MMM TRV,31743.597347378025006037205457687378,35691.917167247403995133936405181885
Layer 1,9,6758.T 4519.T 6954.T JNJ V CVX KO MMM TRV,32469.394391540514334337785840034485,36969.592832752598042134195566177368
Layer 1,10,6758.T 4519.T JNJ PG CVX KO CSCO MCD MMM TRV,33550.646355244956794194877147674561,37743.588759581878548488020896911621
Layer 1,8,6758.T 4519.T PG CVX KO MCD MMM TRV,34039.629940281629387754946947097778,37909.583738675981294363737106323242
Layer 1,9,6758.T 4519.T JNJ V CVX KO MCD MMM TRV,36274.207746888387191575020551681519,39529.544121951264969538897275924683
Layer 1,10,6758.T 4519.T JNJ V CVX KO MCD VZ MMM TRV,38363.894309162700665183365345001221,39566.397466898954007774591445922852
Layer 1,8,6758.T 4519.T 6954.T JNJ CVX KO MMM TRV,38901.610993101618078071624040603638,39674.567076655061100609600543975830
Layer 1,9,6758.T 4502.T 4519.T JNJ CVX KO MCD MMM TRV,39506.549401404488889966160058975220,39780.338630662045034114271402359009
Layer 1,10,6758.T 4502.T 4519.T JNJ V CVX KO MCD AMGN MMM,39768.163676255557220429182052612305,40085.426777003427559975534677505493
Layer 1,8,6758.T 4519.T JNJ CVX KO MCD MMM TRV,39885.212679035903420299291610717773,42553.861313588837219867855310440063
Layer 1,7,6758.T 4519.T CVX KO MCD MMM TRV,43082.469275105497217737138271331787,42970.408780487785406876355409622192
Layer 1,6,6758.T JNJ CVX KO MCD TRV,46639.449710780172608792781829833984,43888.867662020871648564934730529785
Layer 1,8,6758.T 4519.T V CVX KO MCD AMGN TRV,48009.142129337735241279006004333496,44082.355846689897589385509490966797
Layer 1,8,6758.T 4519.T JNJ V CVX KO MCD TRV,48584.103080679160484578460454940796,45080.021756097528850659728050231934
Layer 1,8,6758.T 4519.T JNJ CVX KO MCD AMGN MMM,50565.597132818380487151443958282471,45943.802198606281308457255363464355
Layer 1,8,6758.T 4519.T JNJ CVX KO MCD VZ MMM,54407.476987782734795473515987396240,46918.808909407664032187312841415405
