Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
0,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,13706
7,9432.T 4502.T 2914.T 3382.T JNJ MCD BA ,0.00259317628208129841,26478.99872328380661201663,68.66471146248055390515,267404
10,9432.T 9433.T 4502.T 2914.T 3382.T AAPL JNJ MCD NKE BA ,0.08009648766442008239,26557.60574201040435582399,2127.17094071146811984363,236339
9,9432.T 9433.T 4502.T 2914.T 3382.T AAPL JNJ MCD BA ,0.16475203378227087914,26979.92464878963801311329,4444.99745718051326548448,234318
10,9432.T 9433.T 4502.T 2914.T 3382.T 7733.T AAPL JNJ MCD BA ,0.17153911158957599326,27437.22549504282505949959,4706.55728590251055720728,236310
9,9432.T 4502.T 2914.T 3382.T 7733.T AAPL JNJ MCD BA ,0.17304199945045550812,27591.54590545962128089741,4774.49627140976190275978,243110
9,9432.T 9433.T 4502.T 2914.T 3382.T AAPL MRK KO BA ,0.24283612844372282069,27880.02843480078445281833,6770.27816600792812096188,6250
8,9432.T 4502.T 2914.T 3382.T AAPL MRK KO BA ,0.24609588973617116392,28910.04520258356205886230,7114.64329644272856967291,8794
8,9432.T 9433.T 4502.T 2914.T 3382.T AAPL MRK BA ,0.30704322454232008122,29077.37633557136723538861,8928.01139130438423308078,5534
8,9432.T 9433.T 4502.T 3382.T AAPL MRK KO BA ,0.30470674250111390302,30301.05853514546834048815,9232.93684057975042378530,7286
8,9432.T 9433.T 4502.T 2914.T 3382.T AAPL MCD BA ,0.32600639205701248402,30522.50529793868554406799,9950.53182872203979059123,3569
7,9432.T 9433.T 4502.T 2914.T 3382.T AAPL BA ,0.35787980655154566501,30556.81952767996699549258,10935.66866139659941836726,3651
6,9432.T 9433.T 4502.T 2914.T MRK BA ,0.36595719897662559728,30559.73353201566715142690,11183.55448484851513057947,96770
6,9432.T 4502.T 2914.T 3382.T AAPL BA ,0.38656032226640263394,31276.65341278674168279395,12090.31322266142524313182,4669
6,9432.T 9433.T 4502.T 2914.T MCD BA ,0.38481358825285821856,32605.20840936959939426742,12546.92724374178396828938,98248
7,9432.T 9433.T 4502.T 3382.T AAPL MCD BA ,0.39679288517562166794,33291.37547839238686719909,13209.78092753625787736382,261431
6,9432.T 9433.T 3382.T AAPL MRK BA ,0.40318436615146358015,33782.90989960577280726284,13620.74111462455766741186,62950
7,9432.T 9433.T 4502.T 2914.T AAPL MRK BA ,0.42483179919773650379,34488.66301101356657454744,14651.88075889331776124891,6286
6,9432.T 4502.T 2914.T 6954.T CSCO BA ,0.42733073609859711928,34925.71724364449619315565,14924.83245849806917249225,245267
5,9432.T 9433.T 4502.T MRK BA ,0.45368540328518980331,35262.22743846224329899997,15997.95787615282824845053,97085
8,9432.T 9433.T 4502.T 2914.T 6954.T AAPL CSCO BA ,0.45728437190137072310,35276.18548833757813554257,16131.24832411069837689865,133635
7,9432.T 4502.T 2914.T 6954.T AAPL CSCO BA ,0.48997638107496682691,36439.32712005934445187449,17854.40963109357107896358,244928
6,9432.T 9433.T 4502.T AAPL MRK BA ,0.50910588144902491070,37799.54205811412975890562,19243.96917786568519659340,68285
7,9432.T 9433.T 4502.T 6954.T AAPL CSCO BA ,0.50986200437492945614,39763.22833973013621289283,20273.75930171280560898595,9969
6,9432.T 4502.T 6954.T AAPL BA MMM ,0.51513100171786252446,40580.67135223084187600762,20904.36188405803841305897,123707
6,9432.T 4502.T 6954.T AAPL CSCO BA ,0.55606567001362627867,41335.49037643691553967074,22985.24715151519558276050,246636
6,9432.T 9433.T 6954.T AAPL CSCO BA ,0.52628824775363003408,44135.03139473388000624254,23227.74833728594239801168,260155
7,9432.T 4502.T 4519.T 6954.T AAPL CSCO BA ,0.52425420291122915017,44929.12803006554895546287,23554.28420289857604075223,4202
7,9432.T 9433.T 4502.T 4519.T 6954.T AAPL BA ,0.54662474805541572120,45275.52157096271548653021,24748.72057180503179552034,5673
6,9432.T 4519.T 6954.T AAPL BA MMM ,0.53686726953477847957,46518.28028714340325677767,24974.14212121218952233903,5702
7,9432.T 4502.T 4519.T 6954.T 7733.T AAPL BA ,0.53592514826664738870,46968.60784127280930988491,25171.65812121214548824355,4936
6,9432.T 4502.T 4519.T 6954.T AAPL BA ,0.59826251832017163235,47146.62182100345671642572,28206.05670092228319845162,4102
5,9432.T 4502.T 6954.T AAPL BA ,0.59258522836496085873,47992.21963499958656029776,28439.48043214758581598289,4740
6,9432.T 9433.T 4519.T 6954.T AAPL BA ,0.55935984808376948418,50859.13474867897457443178,28448.55788669303365168162,6918
5,9432.T 4502.T 4519.T AAPL BA ,0.56240701161130934871,51049.79967866228253114969,28710.76528063243313226849,4560
6,9432.T 4519.T 6954.T 7733.T AAPL BA ,0.54029374417885267512,53568.64931320768664591014,28942.80610803690797183663,5459
5,9432.T 9433.T 4519.T AAPL BA ,0.52329110413124524381,55420.68726843364856904373,29001.15263241109278169461,88796
5,9432.T 4519.T 6954.T AAPL BA ,0.59686792172827762837,55817.80893638013367308304,33315.85961528329062275589,4492
6,7203.T 9432.T 7733.T AAPL MSFT BA ,0.54603817885124084075,61315.32849241769145010039,33480.51030566535337129608,207157
7,7203.T 9432.T 9983.T 4502.T AAPL MSFT BA ,0.54587896099535981875,61423.38629192947701085359,33529.73428985509235644713,152118
6,7203.T 9432.T 9983.T 2914.T AAPL BA ,0.56678045173829916248,61541.53111552547488827258,34880.53680632412579143420,129218
4,9432.T 6954.T AAPL BA ,0.55345069972148741577,63082.69715859026473481208,34913.16288274047110462561,7973
6,7203.T 9432.T 9983.T AAPL WMT BA ,0.57699656382948372180,64418.87401754303573397920,37169.46895388673874549568,130618
6,7203.T 9432.T 9983.T 7733.T AAPL BA ,0.57516594331880943614,66407.86595697085431311280,38195.54286693019093945622,129618
6,7203.T 9432.T 9983.T AAPL MSFT BA ,0.56514944023843605159,68566.51102596768760122359,38750.32532542819535592571,131743
5,7203.T 9432.T AAPL MSFT BA ,0.55380314373910133341,69998.22318855139019433409,38765.23605797102209180593,206515
6,7203.T 6758.T 9432.T 2914.T AAPL BA ,0.56626661501893826856,70465.65070879519043955952,39902.34550197629869217053,105197
5,7203.T 9983.T 2914.T AAPL BA ,0.57156750940628842095,71948.32036445946141611785,41123.32227667983534047380,168067
6,7203.T 6758.T 9432.T AAPL MRK BA ,0.56369705751889409573,73071.64665621492895297706,41190.27220816869521513581,104618
6,7203.T 9432.T 9983.T 6954.T AAPL BA ,0.55978224647115881751,73784.53361921290343161672,41303.27198418974148808047,130327
6,7203.T 6758.T 9432.T 4502.T AAPL BA ,0.57228829131973391053,74229.37494930170942097902,42480.60215546773542882875,109467
5,7203.T 9432.T 9983.T AAPL BA ,0.59445061220517514400,74533.37401496253733057529,44306.40981291177013190463,128827
5,7203.T 9983.T 7733.T AAPL BA ,0.58923391415505244062,76543.61044002539711073041,45102.09118313570070313290,145843
6,7203.T 6758.T 9432.T 4519.T AAPL BA ,0.58566652464185608995,79482.74390633501752745360,46550.38239262189017608762,105027
6,7203.T 6758.T 9433.T 4519.T AAPL BA ,0.56128511943316916621,83236.64695156949164811522,46719.49132542821462266147,201959
6,7203.T 6758.T 4519.T 7733.T AAPL BA ,0.56374553199764387834,83750.09089556634717155248,47213.73954677208530483767,4005
5,7203.T 6758.T 9432.T AAPL BA ,0.60079913142999052944,83991.59841996103932615370,50462.07937812915770336986,6064
5,7203.T 6758.T 9433.T AAPL BA ,0.56352007127174963408,89907.33978655729151796550,50664.59052437417267356068,5364
5,7203.T 6758.T 7733.T AAPL BA ,0.56702954979061404028,90396.98330939005245454609,51257.76074835308827459812,5383
4,7203.T 9983.T AAPL BA ,0.60319342890390137413,90666.21781397436279803514,54689.26680895918252645060,131894
5,7203.T 6758.T 4519.T AAPL BA ,0.59029462574710411804,93598.31505462809582240880,55250.58235573123238282278,3983
5,7203.T 6758.T 9983.T AAPL BA ,0.55066611264718412500,104355.11175675585400313139,57464.82372595521155744791,5264
4,7203.T 6758.T AAPL BA ,0.59483360264638607262,104802.88138945489481557161,62340.27550461134524084628,4888
4,7203.T 6758.T 9983.T BA ,0.51496220106140433437,122396.06853443459840491414,63029.34885375493468018249,5028
3,7203.T 6758.T BA ,0.54463725502833304493,130889.10662325526936911047,71287.08374440055922605097,4242
2,6758.T BA ,0.36056243100265011892,200153.47174276353325694799,72167.82234519105986692011,4568
2,7203.T BA ,0.34325419172939397594,211279.21862299719941802323,72522.47741765482351183891,4508
1,BA ,0.33462847223391400941,225619.14223313544061966240,75498.58887220025644637644,8219

Duration,15246
