Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
15,6758.T 4568.T 8001.T 3382.T 8411.T 5108.T AAPL WMT PG CVX HD MRK KO DIS HON ,1.49343006950118817322,26704.67202771428492269479,39881.56020235578034771606,27234
15,6758.T 4568.T 3382.T 8411.T 5108.T 9022.T AAPL V WMT PG HD MRK KO DIS HON ,1.45667287884296947631,27397.92568534139718394727,39909.81528239198814844713,31777
15,6758.T 4568.T 4502.T 3382.T 8411.T 5108.T V WMT PG CVX HD MRK KO DIS HON ,1.44595691923904356990,27604.72890347893189755268,39915.24876170337665826082,24857
17,6758.T 9432.T 9983.T 4568.T 3382.T 8411.T 5108.T AAPL V WMT PG CVX HD MRK KO DIS HON ,1.48558853789337130813,27641.22730395144753856584,41063.49045605556602822617,80565
15,6758.T 4568.T 3382.T 8411.T 5108.T AAPL V WMT PG CVX HD MRK KO DIS HON ,1.53216073104173133856,27850.35129690763278631493,42671.21460283902706578374,16338
13,6758.T 4568.T 3382.T 8411.T 5108.T AAPL WMT CVX HD MRK KO DIS HON ,1.48646748551631646684,28806.11605233249065349810,42819.35489580188004765660,17101
16,6758.T 9433.T 9983.T 4568.T 3382.T 8411.T AAPL WMT PG CVX HD MRK KO CSCO DIS HON ,1.45548767035139725579,29470.88126936941262101755,42894.50432195711618987843,5534
14,6758.T 9983.T 4568.T 3382.T 8411.T 5108.T AAPL V WMT PG CVX HD KO DIS ,1.48244596066196177020,29623.52138612910130177625,43915.26961945032235234976,15174
14,6758.T 4568.T 3382.T 8411.T 5108.T V WMT PG CVX HD MRK KO DIS HON ,1.48619845682429141398,29639.50911798010201891884,44050.19271217154164332896,17027
14,6758.T 9983.T 4568.T 3382.T 8411.T AAPL MSFT V WMT PG CVX HD KO DIS ,1.48523617451987521854,30494.15989652513962937519,45291.02938991239352617413,13570
13,6758.T 4568.T 3382.T 8411.T AAPL V WMT CVX HD MRK KO DIS HON ,1.49244321781071587196,31310.59902049592346884310,46729.29115372998785460368,39934
14,6758.T 9983.T 3382.T 8411.T 5108.T AAPL V WMT PG HD MRK KO DIS HON ,1.48362738777691949288,32069.83384951651532901451,47579.68382059801660943776,219666
14,6758.T 9433.T 9983.T 3382.T 8411.T AAPL V WMT PG HD MRK KO CSCO DIS ,1.48409974010401701783,32305.73254990502755390480,47944.92928118393319891766,269661
14,6758.T 9983.T 4568.T 3382.T 8411.T AAPL V WMT PG CVX HD KO DIS HON ,1.48796364730504482310,32695.50702297841417021118,48649.72588039866968756542,12974
13,6758.T 9983.T 4568.T 3382.T 8411.T AAPL V WMT PG HD KO DIS HON ,1.48450058066187717820,33512.94330328547221142799,49749.98379341584950452670,13165
